x,y,z
856,54,506
785,165,546
759,178,535
755,193,533
762,229,537
756,290,515
740,282,484
727,283,451
723,318,431
754,367,462
770,325,495
767,283,505
757,297,436
803,326,416
866,356,439
895,396,493
835,523,569
816,610,564
844,682,539
929,684,508
1148,419,404
1132,297,333
975,299,292
756,408,295
626,610,262
750,617,200
866,585,191
894,542,277
772,495,514
728,505,530
709,511,493
696,486,474
694,403,572
741,411,611
821,453,604
933,528,536
924,546,496
905,559,413
908,556,271
935,349,56
931,155,133
934,24,314
926,191,632
850,327,686
750,359,683
688,319,647
718,339,576
727,403,586
701,442,615
653,455,628
541,468,583
507,450,564
508,410,561
543,375,558
618,392,527
639,412,504
658,403,478
679,371,448
702,385,424
712,463,446
750,549,475
827,615,498
979,711,605
992,682,690
972,518,703
923,95,459
897,132,405
869,322,462
851,472,522
865,350,393
867,262,344
863,262,380
871,309,436
914,341,383
919,320,338
914,302,333
908,296,355
885,324,402
875,342,422
887,342,433
920,304,428
943,176,436
918,179,477
900,251,516
928,395,462
948,384,365
964,304,248
985,163,147
1025,-120,175
1015,-109,313
972,20,451
910,186,515
822,386,416
828,438,373
854,476,393
856,475,474
822,480,453
792,522,414
781,572,397
739,499,471
681,405,524
617,353,542
570,361,509
557,435,403
570,479,410
579,547,465
586,635,530
629,794,550
668,874,516
732,943,488
838,937,457
1069,590,307
1069,436,247
977,454,270
799,738,425
768,731,446
713,619,452
611,521,492
437,544,586
434,559,563
470,531,516
508,497,505
511,549,637
519,622,674
585,687,621
705,706,502
887,525,343
892,419,328
889,387,278
915,406,182
980,362,229
972,308,434
972,293,599
1002,318,622
989,403,533
874,436,576
729,455,618
546,449,554
522,449,529
512,461,544
499,473,565
486,453,539
513,438,526
565,436,528
628,447,525
715,493,478
722,524,454
715,550,430
706,562,398
675,525,350
650,476,366
642,422,388
679,402,381
880,631,349
969,828,428
1006,929,556
989,563,562
975,301,393
951,226,261
911,361,273
860,630,471
874,561,428
890,433,298
890,326,182
881,231,167
904,249,224
934,305,273
945,364,294
891,398,291
863,403,322
859,419,378
884,432,420
952,342,334
953,219,286
925,106,324
892,78,442
907,281,543
956,348,408
1008,317,228
1071,140,126
1073,119,223
1039,169,354
960,252,473
770,314,516
735,269,433
744,229,363
766,228,366
800,273,462
826,266,445
859,254,395
883,259,355
877,313,341
860,347,339
848,418,337
828,562,349
669,918,487
554,948,582
493,855,623
661,660,494
799,644,417
874,648,382
873,657,377
852,703,327
906,667,266
961,558,219
965,448,219
803,525,339
712,645,389
660,700,403
653,673,393
682,577,406
651,574,462
588,589,530
531,603,576
520,588,578
533,560,583
534,536,606
534,531,654
549,522,665
583,489,669
655,449,657
866,449,527
907,464,444
876,450,404
823,417,417
841,450,429
886,504,389
897,524,379
793,452,534
723,425,608
668,422,620
631,423,593
590,407,570
578,412,577
566,430,568
556,449,543
587,478,512
631,476,517
682,449,520
727,407,506
741,381,448
713,420,438
704,494,438
750,596,416
914,742,322
918,748,346
857,750,442
797,733,567
860,621,500
931,457,403
963,337,354
950,375,400
956,409,396
959,393,357
939,370,319
888,435,314
885,463,336
878,453,372
814,432,454
790,455,461
786,469,446
795,438,457
799,438,494
809,457,523
824,467,528
857,369,504
871,289,499
880,253,494
879,304,482
852,530,421
857,535,350
893,429,287
943,301,307
898,290,584
776,352,651
654,367,605
600,307,499
648,315,534
695,337,567
723,339,557
736,319,524
746,308,504
771,347,496
780,365,470
778,371,450
762,364,462
720,290,474
718,274,394
739,331,298
791,462,270
880,623,330
986,766,417
1058,857,466
950,786,451
852,637,384
833,508,264
884,476,163
921,537,180
830,623,356
806,559,284
831,469,161
860,410,130
862,402,218
841,422,328
817,439,378
796,443,380
795,449,411
829,457,426
875,459,427
918,449,431
950,436,447
975,431,453
992,438,432
984,467,374
962,470,350
947,451,313
948,413,289
968,381,324
983,374,434
951,380,573
838,363,669
520,265,648
450,250,597
447,264,565
466,271,557
511,286,577
551,362,578
583,472,556
597,564,515
632,641,460
673,667,455
717,690,444
750,699,427
761,693,420
740,677,439
683,644,480
602,598,524
489,546,555
510,574,511
589,627,425
708,681,341
830,719,334
909,732,435
925,702,582
918,609,653
1045,328,382
1105,266,215
1066,298,173
957,378,241
876,444,314
870,461,309
895,440,244
837,419,194
799,462,228
807,515,262
847,536,293
882,504,341
895,446,414
898,406,493
937,367,500
972,287,409
997,174,328
1003,104,322
993,130,377
981,222,421
972,305,401
947,344,300
935,366,296
931,387,304
931,354,307
919,253,324
893,139,373
831,105,495
809,157,518
793,182,514
785,170,497
788,158,482
795,185,483
795,249,494
784,312,491
759,374,417
742,412,394
702,459,417
643,487,482
596,472,545
589,429,562
623,395,524
718,479,440
768,602,445
826,764,466
880,930,492
910,1013,511
925,919,491
945,670,410
962,430,301
850,497,270
751,641,345
702,657,378
714,556,347
743,456,311
749,436,332
712,526,473
696,523,484
685,478,441
695,440,388
744,457,379
814,524,430
867,582,506
880,514,520
905,427,435
956,353,347
999,313,307
999,323,325
961,371,365
919,412,380
901,398,363
912,265,392
891,250,460
840,272,515
780,286,524
740,276,501
731,275,484
743,313,499
752,373,534
746,415,558
694,426,526
666,437,494
649,452,468
642,454,443
631,444,412
606,435,379
577,437,361
570,452,374
663,511,438
726,567,440
770,666,432
796,827,455
820,1013,529
856,1099,618
900,957,648
948,272,408
935,148,265
909,265,218
890,455,249
892,540,269
908,483,232
894,335,161
876,372,208
892,433,277
937,453,329
973,415,360
973,356,384
944,318,405
920,313,410
919,315,359
918,299,335
917,290,323
933,299,308
967,317,282
998,323,253
1011,296,230
1014,233,219
1028,90,292
1027,85,381
1006,137,462
967,213,506
916,267,516
860,282,516
813,268,523
791,239,536
790,184,554
765,175,554
724,174,547
691,168,536
686,159,523
701,155,513
713,163,508
707,183,506
664,249,512
679,291,508
749,345,478
857,422,420
950,528,371
982,648,368
962,756,409
951,753,514
979,604,545
999,444,511
999,369,380
979,382,215
940,408,141
904,387,205
897,345,310
910,382,292
862,434,262
793,454,305
753,449,381
752,450,426
760,473,432
746,502,436
716,471,485
756,427,491
814,405,484
852,417,491
859,442,525
863,442,571
891,396,601
936,323,593
948,308,507
894,415,471
836,523,429
807,536,365
816,425,297
847,262,274
865,161,328
842,163,437
714,256,547
680,280,496
689,323,434
725,395,414
763,460,429
791,487,448
798,483,459
724,461,515
687,451,532
682,439,513
692,435,478
680,439,468
641,443,493
631,441,482
701,482,410
795,569,354
883,661,355
945,710,402
968,719,448
952,724,465
917,727,455
908,564,393
930,419,360
946,311,332
965,266,289
1008,274,206
1065,312,104
1087,355,54
1042,382,107
952,398,233
827,480,373
805,519,362
780,518,374
751,487,432
736,461,500
746,459,535
796,459,532
819,421,537
841,363,550
865,308,559
891,283,545
917,314,476
938,402,335
969,482,25
974,348,29
955,174,174
904,108,373
836,200,505
775,347,516
744,411,453
754,381,399
836,415,413
854,472,409
846,438,382
833,327,366
831,248,379
831,257,400
813,314,399
776,363,378
720,449,381
716,512,420
714,573,454
709,633,459
709,700,431
728,773,384
772,837,340
844,863,321
1008,700,373
1033,564,389
987,488,365
887,504,309
781,567,255
718,607,228
713,601,237
741,567,312
708,586,341
662,616,357
643,638,367
664,647,380
697,651,403
710,651,435
704,604,471
729,564,448
781,525,417
843,480,409
899,419,435
931,364,473
935,450,417
937,556,284
943,574,140
943,457,74
919,202,315
900,279,506
858,440,618
773,555,614
530,508,488
446,447,481
422,413,507
456,397,533
590,399,535
626,434,512
637,484,484
647,524,457
698,515,395
711,495,365
717,504,343
750,636,314
757,713,318
762,759,347
804,770,383
961,728,404
972,677,411
952,592,423
974,474,421
1075,301,336
1013,325,273
911,393,211
871,432,169
972,378,213
951,398,279
864,481,336
779,567,364
748,558,369
756,514,393
758,502,430
766,505,447
804,430,408
831,366,400
878,332,406
999,446,385
1027,550,352
1032,579,313
1030,477,282
988,200,344
916,232,435
822,332,510
736,375,540
675,224,501
690,189,482
714,228,484
742,291,501
805,339,505
808,359,481
775,396,460
728,422,450
705,352,434
730,299,423
748,281,418
729,383,429
721,486,421
740,609,394
793,732,360
956,904,343
1015,933,352
1033,892,349
1010,751,332
931,372,325
906,340,333
887,431,318
865,543,254
857,485,275
827,447,334
768,480,387
655,551,394
640,505,398
636,458,434
629,456,486
663,523,534
723,541,526
794,559,509
859,578,488
935,557,431
952,521,394
963,483,348
958,435,309
870,287,387
800,246,494
739,257,580
676,317,612
658,325,589
640,339,557
624,375,525
601,445,512
593,450,514
593,449,501
611,453,477
662,452,432
663,431,423
656,406,429
664,398,448
716,475,466
737,544,447
773,624,413
841,717,372
983,844,341
987,795,381
948,677,418
915,554,401
974,473,247
1002,505,233
973,542,276
877,491,280
893,408,221
922,353,201
914,366,242
824,453,327
814,442,332
827,419,357
831,420,412
798,451,465
798,433,445
820,400,429
857,375,423
958,369,369
1001,375,336
1007,391,342
968,422,382
901,416,404
927,340,382
959,250,384
905,178,471
839,190,510
783,204,525
747,215,513
743,237,469
773,241,486
802,236,518
808,229,529
749,243,468
724,270,447
719,304,446
722,341,445
667,425,449
611,489,479
571,566,515
588,643,524
863,747,383
1030,802,281
1088,887,236
1012,936,347
858,777,387
911,575,377
956,467,357
820,576,369
760,602,359
760,548,335
761,472,330
612,443,396
553,467,412
572,479,406
645,484,407
778,509,452
827,488,450
884,434,428
936,394,408
957,409,393
940,375,385
929,305,401
927,281,455
897,509,585
853,604,584
799,584,532
731,394,425
731,350,433
741,332,476
748,316,525
705,324,573
646,374,572
580,426,561
537,453,544
553,449,507
566,452,496
554,452,491
528,437,497
536,430,493
575,477,448
614,540,391
646,598,368
713,725,436
740,816,435
764,906,407
873,918,502
951,768,581
989,554,551
964,383,404
850,396,197
860,470,230
920,495,258
981,478,234
962,456,200
899,468,244
844,486,283
813,518,305
823,526,350
839,515,425
853,479,485
873,367,446
898,332,408
936,334,406
963,374,421
925,490,378
893,484,339
890,410,330
908,301,358
923,168,451
915,174,486
901,207,501
799,285,497
735,307,502
713,314,510
735,314,510
743,334,496
696,353,489
655,370,480
643,379,470
642,382,472
621,397,485
616,435,499
648,484,502
708,580,471
676,631,464
641,690,458
758,830,366
869,907,322
935,965,338
939,966,400
912,760,395
907,625,299
859,543,230
710,572,254
741,604,248
815,594,223
809,557,247
494,538,444
451,559,467
581,596,410
765,657,360
881,685,453
880,573,476
913,463,429
938,458,380
813,640,464
753,636,505
766,565,490
816,497,460
797,394,510
729,326,555
671,277,561
640,270,535
625,291,524
627,292,555
631,308,581
633,408,581
636,450,566
643,475,551
649,494,538
628,544,502
612,563,471
610,575,439
655,591,429
669,590,454
665,578,479
659,552,486
671,500,474
681,515,477
715,584,466
794,712,424
954,923,342
943,830,344
894,611,345
868,414,322
888,503,264
877,660,259
868,703,251
885,604,232
901,375,245
860,400,281
825,466,301
858,463,307
906,420,331
958,393,353
1006,375,341
1019,330,270
979,337,289
939,359,338
923,364,364
960,324,286
975,309,255
970,283,270
950,232,319
907,143,426
887,141,462
864,146,478
835,132,472
783,129,457
770,205,488
757,299,528
743,344,547
740,265,518
748,267,503
740,339,486
685,510,418
676,552,394
687,587,397
706,632,411
761,720,397
792,758,395
809,799,415
800,833,419
757,844,288
781,841,243
848,829,256
938,656,277
873,511,251
759,419,256
670,433,297
686,624,322
701,647,315
661,603,349
584,564,432
640,613,405
735,654,366
836,603,389
820,563,412
796,551,417
827,509,401
878,437,393
918,398,401
914,451,438
773,630,490
712,574,449
699,435,396
729,262,396
724,278,427
709,317,447
698,387,451
712,423,438
732,461,413
748,501,389
742,571,386
734,587,391
736,588,394
741,568,435
724,560,453
695,563,441
668,589,402
644,686,354
636,728,373
681,764,421
755,756,428
822,731,421
842,695,395
848,614,259
931,544,183
1041,437,137
1048,300,157
956,372,190
902,500,209
912,592,216
892,578,287
811,575,351
757,650,403
793,653,415
815,613,452
811,553,487
819,495,363
846,520,227
874,541,121
930,389,74
955,240,126
960,144,237
935,156,392
834,352,583
798,385,547
788,361,471
830,351,402
848,383,418
854,392,430
846,343,398
841,342,381
836,363,378
833,380,385
820,399,388
786,431,385
731,474,387
654,550,418
655,591,429
667,696,432
680,749,429
725,801,419
800,852,402
933,861,364
967,762,310
989,604,231
922,403,237
823,451,344
753,546,408
762,629,346
707,608,379
576,582,472
439,571,516
508,597,469
586,635,471
626,685,605
654,695,644
716,702,648
811,651,572
809,591,459
798,549,306
796,534,177
798,431,191
783,343,312
761,314,451
706,489,659
674,573,676
638,593,630
596,565,566
501,487,541
473,480,572
531,524,581
591,550,556
634,579,525
646,613,493
650,662,432
661,662,417
646,640,422
533,504,460
514,453,449
546,486,405
598,597,355
669,831,335
713,913,350
777,982,370
938,912,448
1012,723,435
1036,523,332
877,426,84
803,485,67
813,514,86
955,477,22
983,481,-9
964,511,36
912,554,154
779,658,310
740,692,294
732,699,277
783,672,331
822,645,358
856,589,366
879,506,370
891,395,388
883,407,386
840,435,352
828,396,337
841,325,327
869,250,326
854,205,376
822,233,419
823,260,444
904,299,404
915,356,367
898,437,337
887,507,316
936,551,299
953,555,312
936,545,334
831,424,372
762,357,375
683,341,374
562,445,416
559,500,463
577,533,509
578,554,551
510,631,645
515,695,669
583,769,653
777,973,557
835,1027,494
895,702,309
891,459,278
848,364,340
789,447,427
747,693,362
723,694,300
650,657,345
528,662,550
580,689,553
671,684,524
747,559,565
751,493,584
777,457,569
823,460,563
799,498,589
765,570,577
751,654,493
783,632,300
783,509,334
753,402,456
652,354,654
622,331,660
614,295,644
622,349,629
623,427,599
630,493,537
649,538,463
675,564,399
674,539,414
680,512,427
699,510,415
731,562,354
729,569,318
717,566,279
711,595,272
748,624,312
813,670,335
888,749,313
944,879,260
910,812,286
881,666,310
996,498,248
1115,516,227
1211,504,240
1241,412,234
1082,227,88
958,257,64
876,336,97
915,425,89
948,438,69
923,458,121
860,484,228
841,500,346
892,470,337
925,406,331
901,244,352
883,226,369
873,272,409
868,340,476
848,362,566
831,351,539
811,392,474
803,488,315
829,409,275
873,265,284
920,149,331
956,158,439
932,207,463
891,235,459
822,281,414
816,319,408
828,345,413
859,344,418
857,332,421
840,320,425
808,313,421
690,354,392
620,393,402
577,435,440
587,487,477
756,647,420
849,731,379
903,801,399
951,848,487
1008,755,447
1068,585,367
1078,432,286
907,459,202
825,543,227
814,558,266
927,462,198
936,470,158
878,523,201
788,578,298
668,593,405
637,570,443
604,543,524
579,509,622
593,446,669
611,450,628
632,482,608
768,605,651
861,684,609
914,745,457
914,739,234
844,422,64
819,239,235
807,179,460
796,249,608
748,405,587
729,393,544
715,397,541
677,476,560
489,699,505
413,722,446
411,695,427
583,649,472
659,636,450
679,614,403
656,590,369
621,565,376
640,551,392
660,524,413
669,494,434
714,503,401
770,580,335
838,698,262
904,814,216
979,846,324
993,721,416
1011,545,403
1030,386,254
997,328,63
964,392,188
963,442,306
976,437,181
913,428,133
828,445,202
780,489,310
839,574,358
883,565,356
911,520,376
924,467,383
909,415,294
898,410,250
912,390,211
946,325,151
957,77,71
932,14,174
931,66,348
973,318,512
952,376,458
909,383,397
876,377,395
886,377,408
893,374,405
901,372,397
915,386,395
890,404,387
838,422,375
775,428,371
660,398,396
601,380,412
544,369,418
513,376,408
565,402,418
659,453,450
779,534,487
980,775,501
1019,847,503
1024,790,519
1007,604,514
905,319,353
830,379,299
777,488,324
773,543,379
849,488,364
836,466,341
765,471,359
672,491,401
598,537,444
640,531,457
713,491,498
796,413,633
898,438,641
901,488,577
890,513,483
885,443,410
893,441,407
895,482,356
889,491,256
870,240,222
875,115,354
882,110,485
830,314,518
770,377,510
726,393,538
713,395,566
715,448,528
694,491,511
666,527,514
643,549,513
638,536,477
683,512,466
765,479,442
864,354,289
814,280,220
752,251,199
754,287,203
951,521,184
1009,718,204
984,936,270
917,1059,342
923,660,281
1012,321,178
1084,155,140
1098,214,196
1054,452,240
1041,408,139
1004,306,72
924,252,122
808,387,335
842,461,361
894,475,371
906,406,479
896,379,502
899,361,464
903,341,404
910,282,364
937,257,372
967,255,364
971,274,331
904,275,273
884,233,291
890,189,340
903,168,398
893,180,457
871,177,449
851,167,434
838,170,429
846,225,457
868,239,466
889,236,459
866,259,440
834,288,443
812,309,441
810,323,417
807,366,362
770,386,388
712,383,451
655,355,511
652,324,505
717,363,463
793,440,436
842,550,442
827,854,511
832,950,510
882,890,445
945,674,343
908,355,277
810,441,334
729,576,375
704,633,364
759,543,319
776,524,340
775,531,365
739,542,413
721,561,457
725,585,490
752,591,489
793,553,478
786,545,527
790,544,575
823,544,564
907,585,331
922,569,180
931,436,65
945,198,38
955,-92,303
939,-8,474
920,133,562
900,240,555
820,368,463
771,434,473
739,479,507
746,471,506
753,460,482
744,464,478
719,481,492
672,536,462
669,553,421
669,548,398
651,525,402
575,478,391
559,489,367
573,545,378
606,649,441
683,850,564
727,865,551
789,828,510
962,692,444
1040,572,391
1078,417,309
1062,283,242
929,273,288
883,355,313
886,410,265
928,411,186
973,382,230
924,404,323
846,431,371
782,445,361
801,466,335
866,480,365
927,478,406
966,435,476
940,429,491
898,432,479
857,435,448
819,419,398
843,378,375
898,285,346
963,158,333
974,2,387
914,15,420
855,44,450
822,57,481
804,88,512
792,147,513
776,218,522
762,271,536
759,307,525
765,316,499
768,323,478
762,318,470
738,269,485
737,256,499
748,268,514
786,358,527
789,421,534
768,493,556
727,571,577
666,705,533
696,730,492
773,717,472
869,684,468
981,655,432
999,634,362
1013,560,256
999,442,154
813,336,184
746,421,288
769,536,350
835,593,336
791,486,293
716,451,365
714,484,459
892,561,491
923,520,447
887,453,425
842,404,440
881,408,481
927,438,464
941,468,433
915,483,402
845,423,353
839,364,353
842,302,377
836,240,408
791,168,428
769,190,441
752,236,469
741,272,497
730,302,502
739,333,487
755,377,469
777,418,453
825,457,407
851,457,379
870,446,360
861,441,340
820,472,313
