x,y,z
496,998,369
557,962,361
597,925,360
659,925,278
717,927,166
776,891,46
745,784,-2
646,797,61
530,904,71
551,921,26
578,921,5
584,937,47
596,923,95
624,887,166
650,843,279
630,851,285
616,855,282
694,777,321
741,713,345
747,651,359
760,654,366
800,652,384
874,612,411
885,587,411
878,571,416
770,571,455
667,574,453
514,563,408
506,569,397
515,593,384
469,680,296
433,732,250
428,777,230
498,784,234
535,749,233
564,717,230
632,671,202
668,653,158
688,657,114
647,746,114
595,794,161
507,791,270
502,742,307
524,692,331
556,675,355
614,807,437
658,900,461
719,945,449
800,864,375
769,815,344
708,804,312
677,795,216
705,744,162
701,694,121
576,744,99
533,822,107
540,883,118
588,904,131
677,889,173
675,899,201
658,924,225
651,938,238
677,856,214
684,788,188
682,741,177
698,674,228
721,620,252
736,570,267
722,570,347
738,591,403
790,590,432
854,569,435
862,554,469
808,573,516
760,587,548
729,582,548
653,547,489
600,539,453
553,584,386
553,641,368
548,704,356
532,777,317
544,785,300
571,781,292
604,764,291
654,683,288
673,638,280
694,616,268
711,626,260
680,684,253
630,693,239
579,689,217
541,681,213
552,688,243
562,693,277
546,679,319
532,680,340
532,717,370
598,881,414
655,936,389
705,931,328
734,880,248
752,806,63
792,826,-24
861,855,-71
926,815,-27
867,754,3
785,713,19
733,711,36
695,736,112
631,715,164
548,698,205
520,787,208
557,863,198
571,922,210
566,957,237
620,945,243
679,872,222
717,763,217
697,603,280
670,588,297
652,589,286
651,585,268
713,603,318
766,658,368
813,735,404
844,780,423
885,614,454
879,500,469
825,482,462
621,638,369
560,668,332
550,670,327
562,692,336
518,765,320
468,755,300
432,729,285
474,675,278
545,630,292
619,583,305
666,563,298
638,591,229
586,597,204
535,605,188
509,641,165
552,815,129
572,911,178
556,987,287
492,1043,484
501,1017,486
534,971,453
586,904,453
599,895,455
631,894,405
697,888,312
891,802,132
929,724,71
873,671,40
587,770,80
484,872,97
452,937,80
505,945,33
560,934,55
631,906,100
691,849,143
678,747,205
650,741,242
654,743,274
690,703,283
680,686,298
667,684,344
723,661,441
780,619,457
820,575,464
830,546,469
814,585,448
808,666,427
792,748,422
759,766,435
663,584,455
625,516,456
605,521,461
583,581,482
553,573,481
523,567,470
551,606,443
594,631,429
618,662,397
614,705,342
562,791,221
546,798,193
553,780,189
614,717,202
632,686,211
631,655,223
612,615,230
609,625,222
601,657,222
582,702,237
549,785,278
562,819,291
586,845,307
590,855,377
583,835,408
601,804,406
642,768,372
714,744,261
749,777,194
800,814,125
846,815,68
799,721,29
712,707,39
635,746,61
611,881,84
658,907,51
698,894,7
699,869,-6
644,864,81
657,854,116
684,817,128
666,771,177
640,790,214
633,803,229
640,790,217
661,735,200
676,715,237
693,692,301
706,663,364
