"x","y","z","s","e"
"-179","665","-708","14:59:41","15:00:33"
"-248","671","-739","14:59:41","15:00:33"
"-322","692","-754","14:59:41","15:00:33"
"-421","767","-678","14:59:41","15:00:33"
"-451","799","-625","14:59:41","15:00:33"
"-495","819","-586","14:59:41","15:00:33"
"-552","829","-544","14:59:41","15:00:33"
"-632","827","-411","14:59:41","15:00:33"
"-644","818","-366","14:59:41","15:00:33"
"-654","807","-352","14:59:41","15:00:33"
"-657","796","-347","14:59:41","15:00:33"
"-564","785","-294","14:59:41","15:00:33"
"-442","784","-219","14:59:41","15:00:33"
"-278","772","-69","14:59:41","15:00:33"
"58","626","274","14:59:41","15:00:33"
"124","543","202","14:59:41","15:00:33"
"101","563","-84","14:59:41","15:00:33"
"58","734","-388","14:59:41","15:00:33"
"247","1225","-241","14:59:41","15:00:33"
"469","1375","97","14:59:41","15:00:33"
"664","1481","314","14:59:41","15:00:33"
"753","1558","318","14:59:41","15:00:33"
"555","1321","113","14:59:41","15:00:33"
"363","1052","83","14:59:41","15:00:33"
"192","927","54","14:59:41","15:00:33"
"76","1007","-9","14:59:41","15:00:33"
"15","1110","-83","14:59:41","15:00:33"
"25","966","-75","14:59:41","15:00:33"
"22","855","-116","14:59:41","15:00:33"
"-6","860","-226","14:59:41","15:00:33"
"-102","939","-431","14:59:41","15:00:33"
"-133","901","-451","14:59:41","15:00:33"
"-149","860","-447","14:59:41","15:00:33"
"-181","884","-467","14:59:41","15:00:33"
"-217","899","-467","14:59:41","15:00:33"
"-261","887","-437","14:59:41","15:00:33"
"-301","864","-388","14:59:41","15:00:33"
"-339","862","-313","14:59:41","15:00:33"
"-354","880","-296","14:59:41","15:00:33"
"-380","890","-291","14:59:41","15:00:33"
"-411","887","-296","14:59:41","15:00:33"
"-444","853","-306","14:59:41","15:00:33"
"-442","826","-315","14:59:41","15:00:33"
"-442","791","-354","14:59:41","15:00:33"
"-451","748","-438","14:59:41","15:00:33"
"-453","757","-590","14:59:41","15:00:33"
"-390","869","-522","14:59:41","15:00:33"
"-259","1008","-335","14:59:41","15:00:33"
"30","1068","-50","14:59:41","15:00:33"
"58","975","-136","14:59:41","15:00:33"
"3","870","-283","14:59:41","15:00:33"
"-61","799","-331","14:59:41","15:00:33"
"10","810","-26","14:59:41","15:00:33"
"122","853","92","14:59:41","15:00:33"
"210","874","64","14:59:41","15:00:33"
"246","869","-83","14:59:41","15:00:33"
"259","836","-331","14:59:41","15:00:33"
"304","791","-298","14:59:41","15:00:33"
"386","743","-233","14:59:41","15:00:33"
"496","760","-268","14:59:41","15:00:33"
"718","1100","-607","14:59:41","15:00:33"
"779","1269","-599","14:59:41","15:00:33"
"795","1324","-375","14:59:41","15:00:33"
"769","1173","96","14:59:41","15:00:33"
"733","1060","94","14:59:41","15:00:33"
"653","975","-39","14:59:41","15:00:33"
"532","951","-230","14:59:41","15:00:33"
"334","1007","-548","14:59:41","15:00:33"
"306","969","-594","14:59:41","15:00:33"
"288","878","-576","14:59:41","15:00:33"
"248","794","-550","14:59:41","15:00:33"
"129","753","-592","14:59:41","15:00:33"
"76","755","-623","14:59:41","15:00:33"
"10","744","-628","14:59:41","15:00:33"
"-88","722","-608","14:59:41","15:00:33"
"-328","702","-530","14:59:41","15:00:33"
"-392","744","-490","14:59:41","15:00:33"
"-386","827","-449","14:59:41","15:00:33"
"-326","907","-395","14:59:41","15:00:33"
"-207","883","-239","14:59:41","15:00:33"
"-219","821","-181","14:59:41","15:00:33"
"-287","810","-177","14:59:41","15:00:33"
"-485","929","-313","14:59:41","15:00:33"
"-556","972","-386","14:59:41","15:00:33"
"-584","983","-421","14:59:41","15:00:33"
"-548","960","-379","14:59:41","15:00:33"
"-519","945","-360","14:59:41","15:00:33"
"-453","932","-353","14:59:41","15:00:33"
"-295","905","-303","14:59:41","15:00:33"
"225","805","35","14:59:41","15:00:33"
"357","815","150","14:59:41","15:00:33"
"299","890","85","14:59:41","15:00:33"
"129","977","-113","14:59:41","15:00:33"
"-37","1009","-301","14:59:41","15:00:33"
"34","945","-188","14:59:41","15:00:33"
"116","865","-93","14:59:41","15:00:33"
"134","834","-144","14:59:41","15:00:33"
"1","1031","-494","14:59:41","15:00:33"
"-44","1124","-495","14:59:41","15:00:33"
"-37","1136","-324","14:59:41","15:00:33"
"94","1213","-13","14:59:41","15:00:33"
"162","1338","-37","14:59:41","15:00:33"
"190","1393","-90","14:59:41","15:00:33"
"188","1304","-78","14:59:41","15:00:33"
"235","1020","35","14:59:41","15:00:33"
"268","999","-11","14:59:41","15:00:33"
"247","1031","-136","14:59:41","15:00:33"
"173","1053","-275","14:59:41","15:00:33"
"54","1031","-418","14:59:41","15:00:33"
"22","1006","-430","14:59:41","15:00:33"
"-26","976","-433","14:59:41","15:00:33"
"-99","945","-438","14:59:41","15:00:33"
"-259","878","-426","14:59:41","15:00:33"
"-336","822","-399","14:59:41","15:00:33"
"-404","757","-369","14:59:41","15:00:33"
"-456","708","-343","14:59:41","15:00:33"
"-529","705","-288","14:59:41","15:00:33"
"-577","722","-273","14:59:41","15:00:33"
"-633","723","-283","14:59:41","15:00:33"
"-683","647","-325","14:59:41","15:00:33"
"-665","607","-317","14:59:41","15:00:33"
"-637","635","-289","14:59:41","15:00:33"
"-602","758","-257","14:59:41","15:00:33"
"-413","989","-195","14:59:41","15:00:33"
"-256","917","-165","14:59:41","15:00:33"
"-113","762","-168","14:59:41","15:00:33"
