"x","y","z","s","e"
"27","-132","1012","14:45:54","14:46:46"
"23","-129","1016","14:45:54","14:46:46"
"26","-130","1017","14:45:54","14:46:46"
"29","-134","1015","14:45:54","14:46:46"
"26","-133","1014","14:45:54","14:46:46"
"23","-134","1015","14:45:54","14:46:46"
"25","-135","1016","14:45:54","14:46:46"
"27","-131","1015","14:45:54","14:46:46"
"25","-126","1016","14:45:54","14:46:46"
"28","-125","1019","14:45:54","14:46:46"
"36","-125","1018","14:45:54","14:46:46"
"35","-126","1015","14:45:54","14:46:46"
"28","-124","1016","14:45:54","14:46:46"
"27","-120","1016","14:45:54","14:46:46"
"27","-119","1016","14:45:54","14:46:46"
"28","-122","1019","14:45:54","14:46:46"
"32","-124","1014","14:45:54","14:46:46"
"33","-121","1010","14:45:54","14:46:46"
"31","-118","1017","14:45:54","14:46:46"
"29","-119","1019","14:45:54","14:46:46"
"27","-121","1013","14:45:54","14:46:46"
"23","-125","1015","14:45:54","14:46:46"
"24","-125","1020","14:45:54","14:46:46"
"39","-120","1016","14:45:54","14:46:46"
"40","-121","1017","14:45:54","14:46:46"
"30","-127","1019","14:45:54","14:46:46"
"22","-126","1016","14:45:54","14:46:46"
"20","-119","1014","14:45:54","14:46:46"
"34","-110","1014","14:45:54","14:46:46"
"38","-115","1015","14:45:54","14:46:46"
"38","-119","1017","14:45:54","14:46:46"
"36","-118","1019","14:45:54","14:46:46"
"34","-115","1014","14:45:54","14:46:46"
"35","-114","1014","14:45:54","14:46:46"
"35","-110","1017","14:45:54","14:46:46"
"36","-108","1022","14:45:54","14:46:46"
"35","-113","1021","14:45:54","14:46:46"
"31","-115","1020","14:45:54","14:46:46"
"26","-108","1021","14:45:54","14:46:46"
"28","-110","1017","14:45:54","14:46:46"
"32","-116","1012","14:45:54","14:46:46"
"34","-123","1011","14:45:54","14:46:46"
"33","-125","1012","14:45:54","14:46:46"
"48","-115","1003","14:45:54","14:46:46"
"61","-95","996","14:45:54","14:46:46"
"64","-83","995","14:45:54","14:46:46"
"52","-91","1003","14:45:54","14:46:46"
"25","-124","1030","14:45:54","14:46:46"
"38","-115","1040","14:45:54","14:46:46"
"63","-96","1043","14:45:54","14:46:46"
"73","-90","1025","14:45:54","14:46:46"
"58","-96","1010","14:45:54","14:46:46"
"46","-94","1004","14:45:54","14:46:46"
"14","-78","1023","14:45:54","14:46:46"
"-13","-92","1029","14:45:54","14:46:46"
"-21","-123","1021","14:45:54","14:46:46"
"41","-173","996","14:45:54","14:46:46"
"69","-152","997","14:45:54","14:46:46"
"76","-107","1005","14:45:54","14:46:46"
"57","-91","1015","14:45:54","14:46:46"
"50","-127","1014","14:45:54","14:46:46"
"49","-148","1014","14:45:54","14:46:46"
"58","-121","1014","14:45:54","14:46:46"
"62","-119","1010","14:45:54","14:46:46"
"62","-130","1007","14:45:54","14:46:46"
"58","-138","1010","14:45:54","14:46:46"
"58","-129","1013","14:45:54","14:46:46"
"63","-127","1009","14:45:54","14:46:46"
"66","-131","1008","14:45:54","14:46:46"
"55","-150","1018","14:45:54","14:46:46"
"53","-151","1018","14:45:54","14:46:46"
"55","-146","1014","14:45:54","14:46:46"
"56","-141","1012","14:45:54","14:46:46"
"57","-146","1014","14:45:54","14:46:46"
"60","-148","1015","14:45:54","14:46:46"
"63","-144","1013","14:45:54","14:46:46"
"61","-134","1006","14:45:54","14:46:46"
"58","-135","1007","14:45:54","14:46:46"
"57","-140","1011","14:45:54","14:46:46"
"61","-138","1011","14:45:54","14:46:46"
"63","-130","1007","14:45:54","14:46:46"
"62","-126","1007","14:45:54","14:46:46"
"61","-138","1016","14:45:54","14:46:46"
"63","-139","1016","14:45:54","14:46:46"
"65","-131","1013","14:45:54","14:46:46"
"67","-125","1012","14:45:54","14:46:46"
"66","-132","1013","14:45:54","14:46:46"
"63","-132","1010","14:45:54","14:46:46"
