"x","y","z","s","e"
"-128","715","39","15:09:31","15:10:23"
"-65","842","-74","15:09:31","15:10:23"
"-39","1078","-165","15:09:31","15:10:23"
"-13","1299","-106","15:09:31","15:10:23"
"121","1305","210","15:09:31","15:10:23"
"158","1200","148","15:09:31","15:10:23"
"112","1173","-54","15:09:31","15:10:23"
"-2","1226","-210","15:09:31","15:10:23"
"-183","1272","-125","15:09:31","15:10:23"
"-215","1208","-143","15:09:31","15:10:23"
"-253","1113","-328","15:09:31","15:10:23"
"-294","983","-574","15:09:31","15:10:23"
"-236","622","-745","15:09:31","15:10:23"
"-206","476","-730","15:09:31","15:10:23"
"-273","380","-756","15:09:31","15:10:23"
"-413","297","-789","15:09:31","15:10:23"
"-529","127","-628","15:09:31","15:10:23"
"-467","154","-514","15:09:31","15:10:23"
"-413","303","-478","15:09:31","15:10:23"
"-421","728","-499","15:09:31","15:10:23"
"-421","919","-335","15:09:31","15:10:23"
"-390","1113","-18","15:09:31","15:10:23"
"-342","1275","249","15:09:31","15:10:23"
"-234","1159","-238","15:09:31","15:10:23"
"-197","910","-759","15:09:31","15:10:23"
"-225","713","-978","15:09:31","15:10:23"
"-343","655","-780","15:09:31","15:10:23"
"-549","741","-156","15:09:31","15:10:23"
"-440","744","-127","15:09:31","15:10:23"
"-230","755","-219","15:09:31","15:10:23"
"-60","835","-310","15:09:31","15:10:23"
"-49","1073","-260","15:09:31","15:10:23"
"-73","1104","-108","15:09:31","15:10:23"
"-25","1099","52","15:09:31","15:10:23"
"170","1128","130","15:09:31","15:10:23"
"228","1119","77","15:09:31","15:10:23"
"243","1079","27","15:09:31","15:10:23"
"166","1026","-44","15:09:31","15:10:23"
"99","1012","-54","15:09:31","15:10:23"
"43","991","-39","15:09:31","15:10:23"
"8","977","-40","15:09:31","15:10:23"
"24","1013","-88","15:09:31","15:10:23"
"56","1086","-149","15:09:31","15:10:23"
"108","1264","-241","15:09:31","15:10:23"
"95","1286","-252","15:09:31","15:10:23"
"61","1234","-256","15:09:31","15:10:23"
"19","1050","-380","15:09:31","15:10:23"
"27","975","-534","15:09:31","15:10:23"
"37","898","-717","15:09:31","15:10:23"
"44","821","-860","15:09:31","15:10:23"
"102","797","-790","15:09:31","15:10:23"
"151","851","-663","15:09:31","15:10:23"
"170","875","-634","15:09:31","15:10:23"
"15","690","-866","15:09:31","15:10:23"
"-118","526","-919","15:09:31","15:10:23"
"-240","383","-879","15:09:31","15:10:23"
"-423","287","-800","15:09:31","15:10:23"
"-503","323","-817","15:09:31","15:10:23"
"-572","381","-819","15:09:31","15:10:23"
"-615","476","-753","15:09:31","15:10:23"
"-583","520","-736","15:09:31","15:10:23"
"-529","597","-723","15:09:31","15:10:23"
"-470","716","-681","15:09:31","15:10:23"
"-408","951","-490","15:09:31","15:10:23"
"-419","1048","-327","15:09:31","15:10:23"
"-434","1161","-80","15:09:31","15:10:23"
"-375","1225","178","15:09:31","15:10:23"
"-317","1087","-187","15:09:31","15:10:23"
"-293","935","-744","15:09:31","15:10:23"
"-360","834","-808","15:09:31","15:10:23"
"-364","792","-253","15:09:31","15:10:23"
"-308","717","150","15:09:31","15:10:23"
"-183","670","-167","15:09:31","15:10:23"
"-189","692","-456","15:09:31","15:10:23"
"-217","680","-557","15:09:31","15:10:23"
"-219","642","-510","15:09:31","15:10:23"
"-91","698","-355","15:09:31","15:10:23"
"-8","813","-285","15:09:31","15:10:23"
"37","929","-197","15:09:31","15:10:23"
