"x","y","z","s","e"
"-115","772","-511","14:33:07","14:33:59"
"212","971","-250","14:33:07","14:33:59"
"271","1094","-206","14:33:07","14:33:59"
"283","1165","-236","14:33:07","14:33:59"
"315","1194","-283","14:33:07","14:33:59"
"476","1301","-184","14:33:07","14:33:59"
"509","1384","-6","14:33:07","14:33:59"
"485","1421","184","14:33:07","14:33:59"
"408","1281","281","14:33:07","14:33:59"
"334","1198","161","14:33:07","14:33:59"
"198","1165","13","14:33:07","14:33:59"
"51","1152","-101","14:33:07","14:33:59"
"19","1011","-239","14:33:07","14:33:59"
"72","911","-311","14:33:07","14:33:59"
"49","840","-375","14:33:07","14:33:59"
"-52","792","-410","14:33:07","14:33:59"
"-285","714","-437","14:33:07","14:33:59"
"-379","727","-452","14:33:07","14:33:59"
"-473","773","-434","14:33:07","14:33:59"
"-615","764","-260","14:33:07","14:33:59"
"-645","701","-165","14:33:07","14:33:59"
"-654","651","-89","14:33:07","14:33:59"
"-646","636","-6","14:33:07","14:33:59"
"-589","747","184","14:33:07","14:33:59"
"-557","878","220","14:33:07","14:33:59"
"-541","1007","202","14:33:07","14:33:59"
"-559","1094","167","14:33:07","14:33:59"
"-555","1090","186","14:33:07","14:33:59"
"-521","1109","201","14:33:07","14:33:59"
"-474","1125","192","14:33:07","14:33:59"
"-461","851","142","14:33:07","14:33:59"
"-464","574","111","14:33:07","14:33:59"
"-429","369","33","14:33:07","14:33:59"
"-371","327","-116","14:33:07","14:33:59"
"-275","537","-434","14:33:07","14:33:59"
"-197","651","-495","14:33:07","14:33:59"
"-87","766","-527","14:33:07","14:33:59"
"76","1022","-654","14:33:07","14:33:59"
"134","1143","-689","14:33:07","14:33:59"
"243","1289","-650","14:33:07","14:33:59"
"673","1624","-336","14:33:07","14:33:59"
"875","1628","-119","14:33:07","14:33:59"
"756","1247","48","14:33:07","14:33:59"
"408","1121","-45","14:33:07","14:33:59"
"55","1099","-141","14:33:07","14:33:59"
"-120","1091","-174","14:33:07","14:33:59"
"59","987","-221","14:33:07","14:33:59"
"135","984","-304","14:33:07","14:33:59"
"88","1011","-384","14:33:07","14:33:59"
"-132","901","-463","14:33:07","14:33:59"
"-197","782","-479","14:33:07","14:33:59"
"-248","707","-482","14:33:07","14:33:59"
"-315","696","-480","14:33:07","14:33:59"
"-466","731","-491","14:33:07","14:33:59"
"-516","736","-481","14:33:07","14:33:59"
"-551","739","-440","14:33:07","14:33:59"
"-616","760","-334","14:33:07","14:33:59"
"-642","779","-308","14:33:07","14:33:59"
"-653","795","-286","14:33:07","14:33:59"
"-639","806","-234","14:33:07","14:33:59"
"-537","799","70","14:33:07","14:33:59"
"-467","775","288","14:33:07","14:33:59"
"-398","772","447","14:33:07","14:33:59"
"-312","978","443","14:33:07","14:33:59"
"-328","1129","405","14:33:07","14:33:59"
