"x","y","z","s","e"
"800","587","524","15:15:25","15:16:17"
"850","480","486","15:15:25","15:16:17"
"890","394","457","15:15:25","15:16:17"
"864","404","482","15:15:25","15:16:17"
"821","422","465","15:15:25","15:16:17"
"805","411","419","15:15:25","15:16:17"
"841","374","393","15:15:25","15:16:17"
"1026","271","500","15:15:25","15:16:17"
"1080","279","548","15:15:25","15:16:17"
"1063","364","513","15:15:25","15:16:17"
"1022","466","404","15:15:25","15:16:17"
"1124","389","258","15:15:25","15:16:17"
"1178","285","287","15:15:25","15:16:17"
"1106","267","304","15:15:25","15:16:17"
"799","338","199","15:15:25","15:16:17"
"750","312","199","15:15:25","15:16:17"
"733","313","274","15:15:25","15:16:17"
"666","394","362","15:15:25","15:16:17"
"439","546","406","15:15:25","15:16:17"
"376","522","415","15:15:25","15:16:17"
"342","499","445","15:15:25","15:16:17"
"308","499","436","15:15:25","15:16:17"
"336","424","377","15:15:25","15:16:17"
"412","391","325","15:15:25","15:16:17"
"547","610","310","15:15:25","15:16:17"
"997","1676","499","15:15:25","15:16:17"
"1175","1726","645","15:15:25","15:16:17"
"1151","1131","654","15:15:25","15:16:17"
"908","324","453","15:15:25","15:16:17"
"456","173","100","15:15:25","15:16:17"
"524","636","236","15:15:25","15:16:17"
"725","841","390","15:15:25","15:16:17"
"1036","429","165","15:15:25","15:16:17"
"1034","319","51","15:15:25","15:16:17"
"961","366","138","15:15:25","15:16:17"
"900","430","323","15:15:25","15:16:17"
"972","359","372","15:15:25","15:16:17"
"1005","342","284","15:15:25","15:16:17"
"969","400","270","15:15:25","15:16:17"
"899","491","342","15:15:25","15:16:17"
"837","568","469","15:15:25","15:16:17"
"826","562","470","15:15:25","15:16:17"
"798","555","462","15:15:25","15:16:17"
"760","519","454","15:15:25","15:16:17"
"762","504","419","15:15:25","15:16:17"
"749","512","358","15:15:25","15:16:17"
"729","522","310","15:15:25","15:16:17"
"779","436","390","15:15:25","15:16:17"
"815","397","457","15:15:25","15:16:17"
"789","412","469","15:15:25","15:16:17"
"703","455","427","15:15:25","15:16:17"
"565","479","354","15:15:25","15:16:17"
