"x","y","z","s","e"
"657","397","331","15:25:15","15:26:07"
"639","458","346","15:25:15","15:26:07"
"824","187","152","15:25:15","15:26:07"
"919","115","81","15:25:15","15:26:07"
"1018","197","70","15:25:15","15:26:07"
"1120","380","67","15:25:15","15:26:07"
"1041","688","39","15:25:15","15:26:07"
"834","670","78","15:25:15","15:26:07"
"698","548","142","15:25:15","15:26:07"
"973","445","216","15:25:15","15:26:07"
"1173","510","227","15:25:15","15:26:07"
"1241","512","221","15:25:15","15:26:07"
"1116","192","94","15:25:15","15:26:07"
"1101","-14","-2","15:25:15","15:26:07"
"1147","-149","-81","15:25:15","15:26:07"
"1174","-4","-70","15:25:15","15:26:07"
"1113","176","44","15:25:15","15:26:07"
"1066","273","174","15:25:15","15:26:07"
"1068","270","244","15:25:15","15:26:07"
"1103","305","159","15:25:15","15:26:07"
"1106","354","87","15:25:15","15:26:07"
"1118","305","24","15:25:15","15:26:07"
"1116","149","-25","15:25:15","15:26:07"
"1012","-87","-74","15:25:15","15:26:07"
"1017","-98","-139","15:25:15","15:26:07"
"1131","-132","-282","15:25:15","15:26:07"
"1282","-220","-457","15:25:15","15:26:07"
"1261","-295","-527","15:25:15","15:26:07"
"1109","-226","-395","15:25:15","15:26:07"
"1009","-164","-267","15:25:15","15:26:07"
"997","-137","-202","15:25:15","15:26:07"
"974","26","-132","15:25:15","15:26:07"
"916","236","-40","15:25:15","15:26:07"
"905","450","101","15:25:15","15:26:07"
"1067","542","591","15:25:15","15:26:07"
"1172","448","915","15:25:15","15:26:07"
"1337","361","1149","15:25:15","15:26:07"
"1646","259","1127","15:25:15","15:26:07"
"-1578","-301","156","15:25:15","15:26:07"
"-1488","-611","-486","15:25:15","15:26:07"
"-1670","-653","-928","15:25:15","15:26:07"
"-1952","-378","-1055","15:25:15","15:26:07"
"1706","371","-684","15:25:15","15:26:07"
"1579","580","-456","15:25:15","15:26:07"
"1392","720","-275","15:25:15","15:26:07"
"1169","812","-165","15:25:15","15:26:07"
"695","787","-452","15:25:15","15:26:07"
"441","816","-785","15:25:15","15:26:07"
"244","1001","-983","15:25:15","15:26:07"
"171","1306","-937","15:25:15","15:26:07"
"267","1769","-662","15:25:15","15:26:07"
"356","1753","-673","15:25:15","15:26:07"
"562","1542","-718","15:25:15","15:26:07"
"1316","483","-856","15:25:15","15:26:07"
"1562","-233","-985","15:25:15","15:26:07"
"1615","-717","-957","15:25:15","15:26:07"
"1592","-691","-599","15:25:15","15:26:07"
"1748","243","470","15:25:15","15:26:07"
"1852","357","621","15:25:15","15:26:07"
"1826","141","515","15:25:15","15:26:07"
"1638","-84","381","15:25:15","15:26:07"
"1166","21","317","15:25:15","15:26:07"
"1087","99","243","15:25:15","15:26:07"
"1072","100","143","15:25:15","15:26:07"
"882","358","159","15:25:15","15:26:07"
"772","525","220","15:25:15","15:26:07"
"769","441","201","15:25:15","15:26:07"
"854","143","101","15:25:15","15:26:07"
"944","59","-49","15:25:15","15:26:07"
"920","388","-31","15:25:15","15:26:07"
"898","611","34","15:25:15","15:26:07"
"889","571","146","15:25:15","15:26:07"
"1032","277","374","15:25:15","15:26:07"
"1256","302","365","15:25:15","15:26:07"
"1485","386","272","15:25:15","15:26:07"
"1582","411","182","15:25:15","15:26:07"
"1401","124","166","15:25:15","15:26:07"
"1301","-53","150","15:25:15","15:26:07"
"1221","-64","65","15:25:15","15:26:07"
"1114","176","-41","15:25:15","15:26:07"
"828","861","19","15:25:15","15:26:07"
"728","908","173","15:25:15","15:26:07"
"699","764","273","15:25:15","15:26:07"
"754","597","264","15:25:15","15:26:07"
"1107","348","74","15:25:15","15:26:07"
"1312","136","-33","15:25:15","15:26:07"
"1420","-125","-134","15:25:15","15:26:07"
"1265","-412","-222","15:25:15","15:26:07"
"1228","-372","-228","15:25:15","15:26:07"
"1359","-320","-269","15:25:15","15:26:07"
"1560","-340","-343","15:25:15","15:26:07"
"1429","-411","-333","15:25:15","15:26:07"
"1136","-290","-216","15:25:15","15:26:07"
"950","-95","-116","15:25:15","15:26:07"
"937","85","-82","15:25:15","15:26:07"
"937","361","-38","15:25:15","15:26:07"
"782","467","68","15:25:15","15:26:07"
"600","472","188","15:25:15","15:26:07"
"493","353","235","15:25:15","15:26:07"
"685","145","-16","15:25:15","15:26:07"
"932","212","-207","15:25:15","15:26:07"
"1160","353","-338","15:25:15","15:26:07"
"1260","516","-384","15:25:15","15:26:07"
"982","721","-261","15:25:15","15:26:07"
"816","634","-131","15:25:15","15:26:07"
"829","456","-30","15:25:15","15:26:07"
"1259","317","-121","15:25:15","15:26:07"
"1365","319","-219","15:25:15","15:26:07"
"1312","204","-227","15:25:15","15:26:07"
"1187","8","-143","15:25:15","15:26:07"
"1015","62","-1","15:25:15","15:26:07"
"966","322","8","15:25:15","15:26:07"
"921","480","38","15:25:15","15:26:07"
"884","342","168","15:25:15","15:26:07"
"906","297","168","15:25:15","15:26:07"
"960","310","92","15:25:15","15:26:07"
"1053","280","-28","15:25:15","15:26:07"
"1312","14","-226","15:25:15","15:26:07"
"1380","-101","-271","15:25:15","15:26:07"
"1334","-168","-280","15:25:15","15:26:07"
"1190","-188","-248","15:25:15","15:26:07"
"1062","-69","-151","15:25:15","15:26:07"
"1231","-41","-203","15:25:15","15:26:07"
"1426","-124","-345","15:25:15","15:26:07"
"1464","-247","-483","15:25:15","15:26:07"
"1061","-73","-378","15:25:15","15:26:07"
"926","193","-205","15:25:15","15:26:07"
"918","399","-105","15:25:15","15:26:07"
"926","491","-109","15:25:15","15:26:07"
"721","445","-133","15:25:15","15:26:07"
"625","289","-78","15:25:15","15:26:07"
"613","94","-34","15:25:15","15:26:07"
"751","69","-60","15:25:15","15:26:07"
"904","210","-130","15:25:15","15:26:07"
"1092","333","-241","15:25:15","15:26:07"
"1180","488","-328","15:25:15","15:26:07"
"814","858","-91","15:25:15","15:26:07"
"724","733","151","15:25:15","15:26:07"
"917","399","297","15:25:15","15:26:07"
"1249","152","304","15:25:15","15:26:07"
"1432","328","193","15:25:15","15:26:07"
"1266","363","165","15:25:15","15:26:07"
"1108","205","123","15:25:15","15:26:07"
"1031","-26","-31","15:25:15","15:26:07"
"1042","125","-79","15:25:15","15:26:07"
"1018","330","-70","15:25:15","15:26:07"
"957","420","-8","15:25:15","15:26:07"
"933","252","104","15:25:15","15:26:07"
"1025","239","97","15:25:15","15:26:07"
"1135","314","74","15:25:15","15:26:07"
"1233","359","65","15:25:15","15:26:07"
"1379","107","7","15:25:15","15:26:07"
"1372","-44","-76","15:25:15","15:26:07"
"1287","-99","-159","15:25:15","15:26:07"
"1177","-71","-306","15:25:15","15:26:07"
"1249","-123","-423","15:25:15","15:26:07"
"1320","-202","-526","15:25:15","15:26:07"
"1302","-228","-541","15:25:15","15:26:07"
"1081","-61","-333","15:25:15","15:26:07"
"993","6","-236","15:25:15","15:26:07"
"921","34","-165","15:25:15","15:26:07"
"838","100","-88","15:25:15","15:26:07"
"680","419","116","15:25:15","15:26:07"
"627","494","222","15:25:15","15:26:07"
"590","462","293","15:25:15","15:26:07"
"614","400","274","15:25:15","15:26:07"
"934","366","-50","15:25:15","15:26:07"
"1002","449","-179","15:25:15","15:26:07"
"840","636","-187","15:25:15","15:26:07"
"568","824","-125","15:25:15","15:26:07"
"623","661","-81","15:25:15","15:26:07"
"969","457","-74","15:25:15","15:26:07"
"1234","395","-14","15:25:15","15:26:07"
"1175","508","169","15:25:15","15:26:07"
"1067","479","206","15:25:15","15:26:07"
"1045","406","212","15:25:15","15:26:07"
"1088","363","233","15:25:15","15:26:07"
"1137","497","416","15:25:15","15:26:07"
"1093","651","522","15:25:15","15:26:07"
"1014","746","567","15:25:15","15:26:07"
"935","659","512","15:25:15","15:26:07"
"923","205","177","15:25:15","15:26:07"
"975","253","16","15:25:15","15:26:07"
"999","495","-72","15:25:15","15:26:07"
"963","681","-96","15:25:15","15:26:07"
"799","608","-159","15:25:15","15:26:07"
"776","655","-236","15:25:15","15:26:07"
"825","794","-275","15:25:15","15:26:07"
"907","872","-223","15:25:15","15:26:07"
"985","856","36","15:25:15","15:26:07"
"1015","976","101","15:25:15","15:26:07"
"1125","1127","70","15:25:15","15:26:07"
"1518","985","-163","15:25:15","15:26:07"
"1580","744","-274","15:25:15","15:26:07"
"1489","546","-342","15:25:15","15:26:07"
"1370","422","-351","15:25:15","15:26:07"
"1432","217","-156","15:25:15","15:26:07"
"1487","84","14","15:25:15","15:26:07"
"1453","-49","216","15:25:15","15:26:07"
"1376","-132","503","15:25:15","15:26:07"
"1280","91","1495","15:25:15","15:26:07"
"1190","341","1956","15:25:15","15:26:07"
"1012","510","-1896","15:25:15","15:26:07"
"752","535","1876","15:25:15","15:26:07"
"240","574","918","15:25:15","15:26:07"
"196","731","519","15:25:15","15:26:07"
"356","855","240","15:25:15","15:26:07"
"603","844","61","15:25:15","15:26:07"
"791","681","-53","15:25:15","15:26:07"
"764","702","30","15:25:15","15:26:07"
"798","735","198","15:25:15","15:26:07"
"935","585","494","15:25:15","15:26:07"
"893","504","515","15:25:15","15:26:07"
"814","484","490","15:25:15","15:26:07"
"772","485","465","15:25:15","15:26:07"
"814","474","355","15:25:15","15:26:07"
"866","575","238","15:25:15","15:26:07"
"917","779","153","15:25:15","15:26:07"
"916","966","158","15:25:15","15:26:07"
