"x","y","z","s","e"
"-48","823","-428","14:51:48","14:52:41"
"-110","957","-562","14:51:48","14:52:41"
"-169","976","-553","14:51:48","14:52:41"
"-234","911","-506","14:51:48","14:52:41"
"-327","837","-478","14:51:48","14:52:41"
"-478","905","-438","14:51:48","14:52:41"
"-429","1019","-356","14:51:48","14:52:41"
"-320","1103","-244","14:51:48","14:52:41"
"-240","1097","56","14:51:48","14:52:41"
"-284","1092","298","14:51:48","14:52:41"
"-290","1129","522","14:51:48","14:52:41"
"-231","1173","556","14:51:48","14:52:41"
"-190","1115","-92","14:51:48","14:52:41"
"-285","998","-384","14:51:48","14:52:41"
"-364","823","-414","14:51:48","14:52:41"
"-335","615","-276","14:51:48","14:52:41"
"-1","414","-255","14:51:48","14:52:41"
"150","543","-446","14:51:48","14:52:41"
"230","762","-641","14:51:48","14:52:41"
"257","938","-757","14:51:48","14:52:41"
"333","990","-679","14:51:48","14:52:41"
"463","1038","-500","14:51:48","14:52:41"
"662","1195","-272","14:51:48","14:52:41"
"965","1462","37","14:51:48","14:52:41"
"918","1396","29","14:51:48","14:52:41"
"759","1254","-45","14:51:48","14:52:41"
"586","1137","-133","14:51:48","14:52:41"
"370","1081","-345","14:51:48","14:52:41"
"290","1070","-495","14:51:48","14:52:41"
"220","1027","-642","14:51:48","14:52:41"
"185","955","-750","14:51:48","14:52:41"
"206","813","-833","14:51:48","14:52:41"
"184","758","-824","14:51:48","14:52:41"
"108","702","-782","14:51:48","14:52:41"
"6","652","-715","14:51:48","14:52:41"
"-108","660","-626","14:51:48","14:52:41"
"-139","722","-640","14:51:48","14:52:41"
"-211","799","-649","14:51:48","14:52:41"
"-339","880","-580","14:51:48","14:52:41"
"-618","1045","-117","14:51:48","14:52:41"
"-680","1065","141","14:51:48","14:52:41"
"-644","988","280","14:51:48","14:52:41"
"-342","808","204","14:51:48","14:52:41"
"-216","920","143","14:51:48","14:52:41"
"-146","1135","123","14:51:48","14:52:41"
"-82","1297","115","14:51:48","14:52:41"
"-57","1181","37","14:51:48","14:52:41"
"-239","1026","-66","14:51:48","14:52:41"
"-438","915","-243","14:51:48","14:52:41"
"-439","848","-457","14:51:48","14:52:41"
"165","657","-565","14:51:48","14:52:41"
"365","586","-427","14:51:48","14:52:41"
"353","660","-340","14:51:48","14:52:41"
"253","856","-392","14:51:48","14:52:41"
"323","1008","-456","14:51:48","14:52:41"
"481","940","-290","14:51:48","14:52:41"
"606","993","-128","14:51:48","14:52:41"
"669","1226","-87","14:51:48","14:52:41"
"720","1608","-95","14:51:48","14:52:41"
"697","1496","11","14:51:48","14:52:41"
"574","1249","103","14:51:48","14:52:41"
"367","1016","80","14:51:48","14:52:41"
"148","883","-191","14:51:48","14:52:41"
"247","919","-312","14:51:48","14:52:41"
"367","962","-427","14:51:48","14:52:41"
"400","1005","-551","14:51:48","14:52:41"
"247","1035","-658","14:51:48","14:52:41"
"176","970","-603","14:51:48","14:52:41"
"116","875","-542","14:51:48","14:52:41"
"-50","802","-531","14:51:48","14:52:41"
"-113","824","-544","14:51:48","14:52:41"
"-141","836","-564","14:51:48","14:52:41"
"-186","828","-583","14:51:48","14:52:41"
"-475","817","-374","14:51:48","14:52:41"
"-584","860","-83","14:51:48","14:52:41"
"-545","940","214","14:51:48","14:52:41"
"-398","1010","376","14:51:48","14:52:41"
"-254","1002","38","14:51:48","14:52:41"
"-295","1002","-305","14:51:48","14:52:41"
"-296","1021","-533","14:51:48","14:52:41"
"-214","990","-541","14:51:48","14:52:41"
"14","774","-285","14:51:48","14:52:41"
"95","722","-316","14:51:48","14:52:41"
"181","729","-466","14:51:48","14:52:41"
"289","757","-615","14:51:48","14:52:41"
"481","868","-599","14:51:48","14:52:41"
"531","942","-480","14:51:48","14:52:41"
"560","980","-402","14:51:48","14:52:41"
"571","953","-509","14:51:48","14:52:41"
"572","976","-576","14:51:48","14:52:41"
"613","1049","-526","14:51:48","14:52:41"
"723","1124","-336","14:51:48","14:52:41"
"926","1203","115","14:51:48","14:52:41"
"826","1305","148","14:51:48","14:52:41"
"618","1420","38","14:51:48","14:52:41"
"471","1400","-121","14:51:48","14:52:41"
"603","875","-454","14:51:48","14:52:41"
"616","697","-646","14:51:48","14:52:41"
"457","700","-781","14:51:48","14:52:41"
"219","788","-786","14:51:48","14:52:41"
"-87","855","-573","14:51:48","14:52:41"
"-162","832","-507","14:51:48","14:52:41"
"-215","794","-463","14:51:48","14:52:41"
"-225","748","-394","14:51:48","14:52:41"
"-159","721","-231","14:51:48","14:52:41"
"-174","768","-187","14:51:48","14:52:41"
"-237","848","-140","14:51:48","14:52:41"
