"x","y","z","s","e"
"781","536","315","15:04:36","15:05:28"
"783","535","317","15:04:36","15:05:28"
"780","537","323","15:04:36","15:05:28"
"775","540","327","15:04:36","15:05:28"
"774","538","320","15:04:36","15:05:28"
"778","536","315","15:04:36","15:05:28"
"779","537","313","15:04:36","15:05:28"
"777","543","316","15:04:36","15:05:28"
"771","554","321","15:04:36","15:05:28"
"771","553","320","15:04:36","15:05:28"
"773","547","317","15:04:36","15:05:28"
"772","547","316","15:04:36","15:05:28"
"771","550","317","15:04:36","15:05:28"
"770","552","318","15:04:36","15:05:28"
"768","553","317","15:04:36","15:05:28"
"764","553","311","15:04:36","15:05:28"
"765","554","309","15:04:36","15:05:28"
"768","556","309","15:04:36","15:05:28"
"770","554","317","15:04:36","15:05:28"
"771","552","325","15:04:36","15:05:28"
"774","546","329","15:04:36","15:05:28"
"775","534","320","15:04:36","15:05:28"
"758","517","267","15:04:36","15:05:28"
"743","548","264","15:04:36","15:05:28"
"735","605","298","15:04:36","15:05:28"
"749","665","378","15:04:36","15:05:28"
"762","624","370","15:04:36","15:05:28"
"770","556","335","15:04:36","15:05:28"
"775","496","295","15:04:36","15:05:28"
"783","473","241","15:04:36","15:05:28"
"779","508","240","15:04:36","15:05:28"
"766","561","271","15:04:36","15:05:28"
"747","619","331","15:04:36","15:05:28"
"736","662","399","15:04:36","15:05:28"
"752","618","357","15:04:36","15:05:28"
"771","549","292","15:04:36","15:05:28"
"785","494","249","15:04:36","15:05:28"
"786","511","276","15:04:36","15:05:28"
"780","555","309","15:04:36","15:05:28"
"770","582","328","15:04:36","15:05:28"
"760","583","330","15:04:36","15:05:28"
"758","555","298","15:04:36","15:05:28"
"767","548","282","15:04:36","15:05:28"
"775","547","283","15:04:36","15:05:28"
"778","548","300","15:04:36","15:05:28"
"776","551","327","15:04:36","15:05:28"
"774","550","316","15:04:36","15:05:28"
"772","548","296","15:04:36","15:05:28"
"771","553","285","15:04:36","15:05:28"
"772","555","297","15:04:36","15:05:28"
"774","553","309","15:04:36","15:05:28"
"774","548","314","15:04:36","15:05:28"
"775","546","302","15:04:36","15:05:28"
"776","548","298","15:04:36","15:05:28"
"776","551","298","15:04:36","15:05:28"
"775","553","302","15:04:36","15:05:28"
"774","556","303","15:04:36","15:05:28"
"775","553","301","15:04:36","15:05:28"
"776","549","299","15:04:36","15:05:28"
"777","545","300","15:04:36","15:05:28"
"774","547","304","15:04:36","15:05:28"
"771","550","307","15:04:36","15:05:28"
"770","552","309","15:04:36","15:05:28"
"772","554","306","15:04:36","15:05:28"
"773","553","303","15:04:36","15:05:28"
"773","553","303","15:04:36","15:05:28"
"772","553","306","15:04:36","15:05:28"
"774","556","306","15:04:36","15:05:28"
"774","557","301","15:04:36","15:05:28"
"770","558","297","15:04:36","15:05:28"
"767","560","298","15:04:36","15:05:28"
"767","560","304","15:04:36","15:05:28"
"771","560","304","15:04:36","15:05:28"
"774","560","302","15:04:36","15:05:28"
