"x","y","z","s","e"
"922","217","328","14:29:11","14:30:03"
"922","216","329","14:29:11","14:30:03"
"922","217","326","14:29:11","14:30:03"
"921","216","321","14:29:11","14:30:03"
"921","215","325","14:29:11","14:30:03"
"923","215","331","14:29:11","14:30:03"
"924","218","333","14:29:11","14:30:03"
"919","224","330","14:29:11","14:30:03"
"918","223","328","14:29:11","14:30:03"
"920","220","327","14:29:11","14:30:03"
"921","219","327","14:29:11","14:30:03"
"920","222","327","14:29:11","14:30:03"
"920","223","327","14:29:11","14:30:03"
"920","220","325","14:29:11","14:30:03"
"920","214","320","14:29:11","14:30:03"
"919","216","320","14:29:11","14:30:03"
"918","218","321","14:29:11","14:30:03"
"919","219","322","14:29:11","14:30:03"
"922","220","322","14:29:11","14:30:03"
"922","222","325","14:29:11","14:30:03"
"921","223","329","14:29:11","14:30:03"
"916","225","329","14:29:11","14:30:03"
"916","226","325","14:29:11","14:30:03"
"917","226","323","14:29:11","14:30:03"
"918","224","323","14:29:11","14:30:03"
"918","221","326","14:29:11","14:30:03"
"919","220","328","14:29:11","14:30:03"
"921","219","330","14:29:11","14:30:03"
"921","218","330","14:29:11","14:30:03"
"920","220","322","14:29:11","14:30:03"
"921","219","322","14:29:11","14:30:03"
"922","217","323","14:29:11","14:30:03"
"920","215","325","14:29:11","14:30:03"
"918","217","325","14:29:11","14:30:03"
"920","217","327","14:29:11","14:30:03"
"921","217","329","14:29:11","14:30:03"
"919","218","327","14:29:11","14:30:03"
"917","221","324","14:29:11","14:30:03"
"921","221","326","14:29:11","14:30:03"
"927","222","328","14:29:11","14:30:03"
"929","222","326","14:29:11","14:30:03"
"919","217","319","14:29:11","14:30:03"
"915","214","319","14:29:11","14:30:03"
"917","214","322","14:29:11","14:30:03"
"924","213","325","14:29:11","14:30:03"
"922","211","323","14:29:11","14:30:03"
"919","211","319","14:29:11","14:30:03"
"916","214","317","14:29:11","14:30:03"
"919","217","320","14:29:11","14:30:03"
"921","214","325","14:29:11","14:30:03"
"920","213","327","14:29:11","14:30:03"
"916","217","326","14:29:11","14:30:03"
"912","225","323","14:29:11","14:30:03"
"916","223","324","14:29:11","14:30:03"
"920","218","325","14:29:11","14:30:03"
"922","215","325","14:29:11","14:30:03"
"916","220","324","14:29:11","14:30:03"
"915","225","327","14:29:11","14:30:03"
"917","226","331","14:29:11","14:30:03"
"920","221","333","14:29:11","14:30:03"
"918","224","330","14:29:11","14:30:03"
"915","229","327","14:29:11","14:30:03"
"914","234","325","14:29:11","14:30:03"
"914","238","335","14:29:11","14:30:03"
"911","237","341","14:29:11","14:30:03"
"910","234","344","14:29:11","14:30:03"
"911","231","339","14:29:11","14:30:03"
"920","228","325","14:29:11","14:30:03"
"921","228","326","14:29:11","14:30:03"
"920","230","331","14:29:11","14:30:03"
"920","230","333","14:29:11","14:30:03"
"922","224","325","14:29:11","14:30:03"
"921","221","321","14:29:11","14:30:03"
"917","219","319","14:29:11","14:30:03"
"914","218","318","14:29:11","14:30:03"
"917","217","319","14:29:11","14:30:03"
"921","219","322","14:29:11","14:30:03"
"923","222","324","14:29:11","14:30:03"
"922","225","325","14:29:11","14:30:03"
"920","225","324","14:29:11","14:30:03"
"919","226","322","14:29:11","14:30:03"
"918","229","318","14:29:11","14:30:03"
"916","230","317","14:29:11","14:30:03"
"917","224","320","14:29:11","14:30:03"
"917","219","322","14:29:11","14:30:03"
"915","221","320","14:29:11","14:30:03"
"921","232","318","14:29:11","14:30:03"
"933","225","325","14:29:11","14:30:03"
"946","207","332","14:29:11","14:30:03"
"946","193","333","14:29:11","14:30:03"
"908","213","307","14:29:11","14:30:03"
"896","233","299","14:29:11","14:30:03"
"900","240","303","14:29:11","14:30:03"
"916","230","314","14:29:11","14:30:03"
"933","204","317","14:29:11","14:30:03"
"929","208","305","14:29:11","14:30:03"
"925","217","296","14:29:11","14:30:03"
"926","219","300","14:29:11","14:30:03"
"939","199","332","14:29:11","14:30:03"
"941","194","332","14:29:11","14:30:03"
"936","199","314","14:29:11","14:30:03"
"928","208","291","14:29:11","14:30:03"
"918","208","283","14:29:11","14:30:03"
"919","206","300","14:29:11","14:30:03"
"921","211","317","14:29:11","14:30:03"
"933","209","316","14:29:11","14:30:03"
"938","195","301","14:29:11","14:30:03"
"937","183","287","14:29:11","14:30:03"
"934","182","281","14:29:11","14:30:03"
"939","201","292","14:29:11","14:30:03"
"943","201","297","14:29:11","14:30:03"
"941","192","297","14:29:11","14:30:03"
"937","184","292","14:29:11","14:30:03"
"938","187","282","14:29:11","14:30:03"
"942","191","285","14:29:11","14:30:03"
"942","189","294","14:29:11","14:30:03"
"940","182","301","14:29:11","14:30:03"
"936","174","300","14:29:11","14:30:03"
"935","178","298","14:29:11","14:30:03"
"933","184","300","14:29:11","14:30:03"
"931","190","303","14:29:11","14:30:03"
"934","196","284","14:29:11","14:30:03"
"943","195","263","14:29:11","14:30:03"
"951","189","256","14:29:11","14:30:03"
"949","178","312","14:29:11","14:30:03"
"940","184","339","14:29:11","14:30:03"
"933","197","333","14:29:11","14:30:03"
"930","205","301","14:29:11","14:30:03"
"932","188","260","14:29:11","14:30:03"
"933","177","275","14:29:11","14:30:03"
"933","175","298","14:29:11","14:30:03"
"931","182","312","14:29:11","14:30:03"
"926","187","296","14:29:11","14:30:03"
"927","180","278","14:29:11","14:30:03"
"929","171","264","14:29:11","14:30:03"
"930","157","272","14:29:11","14:30:03"
"934","159","284","14:29:11","14:30:03"
"939","175","285","14:29:11","14:30:03"
"947","200","275","14:29:11","14:30:03"
"958","218","260","14:29:11","14:30:03"
"960","202","261","14:29:11","14:30:03"
"959","184","261","14:29:11","14:30:03"
"956","180","256","14:29:11","14:30:03"
"949","206","242","14:29:11","14:30:03"
"948","213","237","14:29:11","14:30:03"
"946","209","232","14:29:11","14:30:03"
"940","203","227","14:29:11","14:30:03"
"925","213","257","14:29:11","14:30:03"
"925","228","299","14:29:11","14:30:03"
"934","237","324","14:29:11","14:30:03"
"952","232","300","14:29:11","14:30:03"
"975","189","172","14:29:11","14:30:03"
