"x","y","z","s","e"
"-500","901","-171","14:41:57","14:42:50"
"-474","852","-22","14:41:57","14:42:50"
"-396","805","54","14:41:57","14:42:50"
"-306","770","40","14:41:57","14:42:50"
"-237","779","-166","14:41:57","14:42:50"
"-211","858","-231","14:41:57","14:42:50"
"-138","976","-206","14:41:57","14:42:50"
"-32","1086","-103","14:41:57","14:42:50"
"74","1166","77","14:41:57","14:42:50"
"32","1168","66","14:41:57","14:42:50"
"-39","1173","20","14:41:57","14:42:50"
"-102","1168","6","14:41:57","14:42:50"
"-119","1058","128","14:41:57","14:42:50"
"-83","1001","148","14:41:57","14:42:50"
"-43","998","83","14:41:57","14:42:50"
"-25","1046","-20","14:41:57","14:42:50"
"-42","1101","-90","14:41:57","14:42:50"
"-160","1123","-116","14:41:57","14:42:50"
"-208","1118","-159","14:41:57","14:42:50"
"-219","1109","-225","14:41:57","14:42:50"
"-212","1069","-268","14:41:57","14:42:50"
"-276","904","-273","14:41:57","14:42:50"
"-353","838","-300","14:41:57","14:42:50"
"-414","795","-349","14:41:57","14:42:50"
"-444","761","-388","14:41:57","14:42:50"
"-484","703","-397","14:41:57","14:42:50"
"-527","688","-377","14:41:57","14:42:50"
"-573","682","-331","14:41:57","14:42:50"
"-608","682","-256","14:41:57","14:42:50"
"-624","683","-146","14:41:57","14:42:50"
"-607","677","-183","14:41:57","14:42:50"
"-586","668","-252","14:41:57","14:42:50"
"-568","651","-281","14:41:57","14:42:50"
"-559","629","-229","14:41:57","14:42:50"
"-547","675","-48","14:41:57","14:42:50"
"-553","791","-21","14:41:57","14:42:50"
"-582","937","-35","14:41:57","14:42:50"
"-630","1035","-68","14:41:57","14:42:50"
"-640","928","-213","14:41:57","14:42:50"
"-567","832","-332","14:41:57","14:42:50"
"-485","812","-448","14:41:57","14:42:50"
"-419","849","-553","14:41:57","14:42:50"
"-386","768","-527","14:41:57","14:42:50"
"-307","669","-462","14:41:57","14:42:50"
"-203","671","-380","14:41:57","14:42:50"
"-101","1041","-270","14:41:57","14:42:50"
"-124","1171","-250","14:41:57","14:42:50"
"-152","1127","-221","14:41:57","14:42:50"
"-150","960","-168","14:41:57","14:42:50"
"-40","760","-75","14:41:57","14:42:50"
"29","804","-81","14:41:57","14:42:50"
"86","879","-119","14:41:57","14:42:50"
"121","955","-161","14:41:57","14:42:50"
"124","1107","-138","14:41:57","14:42:50"
"102","1147","-57","14:41:57","14:42:50"
"79","1156","29","14:41:57","14:42:50"
"54","1177","74","14:41:57","14:42:50"
"-13","1339","-33","14:41:57","14:42:50"
"-36","1382","-124","14:41:57","14:42:50"
"-16","1343","-183","14:41:57","14:42:50"
"47","1260","-208","14:41:57","14:42:50"
"152","1155","-272","14:41:57","14:42:50"
"128","1132","-357","14:41:57","14:42:50"
"74","1099","-468","14:41:57","14:42:50"
"33","1047","-578","14:41:57","14:42:50"
"13","880","-710","14:41:57","14:42:50"
"-13","757","-740","14:41:57","14:42:50"
"-82","622","-770","14:41:57","14:42:50"
"-187","502","-811","14:41:57","14:42:50"
