"x","y","z","s","e"
"843","807","-16","14:38:03","14:38:54"
"851","697","-42","14:38:03","14:38:54"
"866","496","-175","14:38:03","14:38:54"
"901","440","-212","14:38:03","14:38:54"
"910","408","-150","14:38:03","14:38:54"
"871","465","-71","14:38:03","14:38:54"
"765","604","73","14:38:03","14:38:54"
"635","596","69","14:38:03","14:38:54"
"608","595","38","14:38:03","14:38:54"
"807","699","-31","14:38:03","14:38:54"
"966","739","-76","14:38:03","14:38:54"
"986","666","-47","14:38:03","14:38:54"
"863","520","172","14:38:03","14:38:54"
"940","456","226","14:38:03","14:38:54"
"1091","404","161","14:38:03","14:38:54"
"1073","436","122","14:38:03","14:38:54"
"1106","598","118","14:38:03","14:38:54"
"1171","668","108","14:38:03","14:38:54"
"1048","623","51","14:38:03","14:38:54"
"875","572","87","14:38:03","14:38:54"
"769","563","182","14:38:03","14:38:54"
"823","506","109","14:38:03","14:38:54"
"723","316","-34","14:38:03","14:38:54"
"592","327","52","14:38:03","14:38:54"
"426","471","280","14:38:03","14:38:54"
"446","541","198","14:38:03","14:38:54"
"530","622","117","14:38:03","14:38:54"
"669","829","4","14:38:03","14:38:54"
"655","877","-46","14:38:03","14:38:54"
"561","868","-111","14:38:03","14:38:54"
"528","841","-93","14:38:03","14:38:54"
"487","791","0","14:38:03","14:38:54"
"456","960","25","14:38:03","14:38:54"
"457","1148","-2","14:38:03","14:38:54"
"575","1296","18","14:38:03","14:38:54"
"678","1123","85","14:38:03","14:38:54"
"760","742","92","14:38:03","14:38:54"
"737","734","18","14:38:03","14:38:54"
"794","733","-67","14:38:03","14:38:54"
"878","510","-26","14:38:03","14:38:54"
"832","513","5","14:38:03","14:38:54"
"730","690","4","14:38:03","14:38:54"
"730","725","-10","14:38:03","14:38:54"
"705","739","37","14:38:03","14:38:54"
"682","761","65","14:38:03","14:38:54"
"724","746","79","14:38:03","14:38:54"
"802","689","130","14:38:03","14:38:54"
"860","652","111","14:38:03","14:38:54"
"1006","493","-87","14:38:03","14:38:54"
"1017","432","-175","14:38:03","14:38:54"
"935","477","-96","14:38:03","14:38:54"
"951","493","72","14:38:03","14:38:54"
"1088","413","441","14:38:03","14:38:54"
"1100","419","521","14:38:03","14:38:54"
"1023","532","425","14:38:03","14:38:54"
"1039","523","318","14:38:03","14:38:54"
"1032","499","304","14:38:03","14:38:54"
"905","495","240","14:38:03","14:38:54"
"722","464","149","14:38:03","14:38:54"
"625","430","137","14:38:03","14:38:54"
"453","400","138","14:38:03","14:38:54"
"401","433","117","14:38:03","14:38:54"
"434","607","84","14:38:03","14:38:54"
"577","772","43","14:38:03","14:38:54"
"605","822","5","14:38:03","14:38:54"
"593","857","-13","14:38:03","14:38:54"
"553","860","19","14:38:03","14:38:54"
"520","824","40","14:38:03","14:38:54"
"504","876","43","14:38:03","14:38:54"
"570","1050","88","14:38:03","14:38:54"
"641","1034","134","14:38:03","14:38:54"
"732","807","132","14:38:03","14:38:54"
"773","737","61","14:38:03","14:38:54"
"895","646","-46","14:38:03","14:38:54"
"921","542","-51","14:38:03","14:38:54"
"848","446","-32","14:38:03","14:38:54"
"817","573","12","14:38:03","14:38:54"
"838","586","24","14:38:03","14:38:54"
"833","568","12","14:38:03","14:38:54"
"808","602","10","14:38:03","14:38:54"
"827","641","14","14:38:03","14:38:54"
"870","620","19","14:38:03","14:38:54"
"889","675","105","14:38:03","14:38:54"
"858","786","178","14:38:03","14:38:54"
"875","988","249","14:38:03","14:38:54"
"941","944","260","14:38:03","14:38:54"
"1015","581","296","14:38:03","14:38:54"
"969","453","293","14:38:03","14:38:54"
"985","468","263","14:38:03","14:38:54"
"1070","369","182","14:38:03","14:38:54"
"1042","385","167","14:38:03","14:38:54"
"1016","460","202","14:38:03","14:38:54"
"1002","498","331","14:38:03","14:38:54"
"967","461","395","14:38:03","14:38:54"
"800","422","453","14:38:03","14:38:54"
"698","425","447","14:38:03","14:38:54"
"485","417","387","14:38:03","14:38:54"
"304","455","278","14:38:03","14:38:54"
"240","539","171","14:38:03","14:38:54"
"238","575","147","14:38:03","14:38:54"
"277","672","162","14:38:03","14:38:54"
"352","730","173","14:38:03","14:38:54"
"663","806","125","14:38:03","14:38:54"
"805","814","83","14:38:03","14:38:54"
"772","827","66","14:38:03","14:38:54"
"608","934","34","14:38:03","14:38:54"
"616","1054","17","14:38:03","14:38:54"
"714","1170","89","14:38:03","14:38:54"
"771","1052","90","14:38:03","14:38:54"
"832","827","-34","14:38:03","14:38:54"
"798","839","-42","14:38:03","14:38:54"
"765","766","16","14:38:03","14:38:54"
"817","654","-2","14:38:03","14:38:54"
"852","590","-28","14:38:03","14:38:54"
"725","658","54","14:38:03","14:38:54"
"668","691","79","14:38:03","14:38:54"
"618","737","43","14:38:03","14:38:54"
"622","701","13","14:38:03","14:38:54"
"714","596","18","14:38:03","14:38:54"
"923","700","87","14:38:03","14:38:54"
"1007","706","172","14:38:03","14:38:54"
"974","583","219","14:38:03","14:38:54"
"979","439","256","14:38:03","14:38:54"
"1036","469","254","14:38:03","14:38:54"
"1134","448","244","14:38:03","14:38:54"
"1152","390","225","14:38:03","14:38:54"
"1110","399","205","14:38:03","14:38:54"
"1061","464","229","14:38:03","14:38:54"
"942","520","270","14:38:03","14:38:54"
"734","454","271","14:38:03","14:38:54"
"613","437","286","14:38:03","14:38:54"
"448","439","277","14:38:03","14:38:54"
"403","468","229","14:38:03","14:38:54"
"359","581","128","14:38:03","14:38:54"
"363","604","113","14:38:03","14:38:54"
"433","593","106","14:38:03","14:38:54"
"490","644","78","14:38:03","14:38:54"
"557","835","12","14:38:03","14:38:54"
"557","881","4","14:38:03","14:38:54"
"582","820","26","14:38:03","14:38:54"
"616","787","39","14:38:03","14:38:54"
"643","920","-16","14:38:03","14:38:54"
"706","1016","-48","14:38:03","14:38:54"
"902","1066","12","14:38:03","14:38:54"
"959","937","60","14:38:03","14:38:54"
"924","640","22","14:38:03","14:38:54"
"911","629","0","14:38:03","14:38:54"
"986","645","37","14:38:03","14:38:54"
"989","576","38","14:38:03","14:38:54"
"808","520","21","14:38:03","14:38:54"
"709","552","36","14:38:03","14:38:54"
"647","589","57","14:38:03","14:38:54"
"655","617","52","14:38:03","14:38:54"
"657","689","17","14:38:03","14:38:54"
"709","650","-17","14:38:03","14:38:54"
"795","667","-11","14:38:03","14:38:54"
"971","757","43","14:38:03","14:38:54"
"981","711","103","14:38:03","14:38:54"
"981","517","253","14:38:03","14:38:54"
"1073","490","277","14:38:03","14:38:54"
"1287","476","176","14:38:03","14:38:54"
"1301","414","119","14:38:03","14:38:54"
"1206","391","174","14:38:03","14:38:54"
"1037","519","300","14:38:03","14:38:54"
"716","427","290","14:38:03","14:38:54"
"569","378","315","14:38:03","14:38:54"
"408","411","388","14:38:03","14:38:54"
"365","445","363","14:38:03","14:38:54"
"317","514","227","14:38:03","14:38:54"
"323","563","165","14:38:03","14:38:54"
"380","676","105","14:38:03","14:38:54"
"422","713","98","14:38:03","14:38:54"
"496","741","97","14:38:03","14:38:54"
"499","759","106","14:38:03","14:38:54"
"485","782","95","14:38:03","14:38:54"
"525","749","37","14:38:03","14:38:54"
"548","798","4","14:38:03","14:38:54"
"696","1192","-111","14:38:03","14:38:54"
"844","1352","-103","14:38:03","14:38:54"
"972","1036","164","14:38:03","14:38:54"
"884","746","221","14:38:03","14:38:54"
"787","669","9","14:38:03","14:38:54"
"852","753","-58","14:38:03","14:38:54"
"927","603","-13","14:38:03","14:38:54"
"836","496","27","14:38:03","14:38:54"
"691","580","53","14:38:03","14:38:54"
"626","568","39","14:38:03","14:38:54"
"666","634","46","14:38:03","14:38:54"
"736","713","86","14:38:03","14:38:54"
"801","687","74","14:38:03","14:38:54"
"836","622","8","14:38:03","14:38:54"
"971","636","-41","14:38:03","14:38:54"
"1036","654","-21","14:38:03","14:38:54"
"1187","520","-32","14:38:03","14:38:54"
"1257","430","-34","14:38:03","14:38:54"
"1242","397","44","14:38:03","14:38:54"
"1195","430","83","14:38:03","14:38:54"
"1226","391","101","14:38:03","14:38:54"
"1194","311","227","14:38:03","14:38:54"
"1058","324","333","14:38:03","14:38:54"
"677","320","424","14:38:03","14:38:54"
"509","309","411","14:38:03","14:38:54"
