"x","y","z","s","e"
"1371","464","25","15:23:17","15:24:09"
"1264","405","-67","15:23:17","15:24:09"
"1202","168","-268","15:23:17","15:24:09"
"1278","2","-182","15:23:17","15:24:09"
"1329","-178","7","15:23:17","15:24:09"
"1252","-207","-45","15:23:17","15:24:09"
"1220","44","-409","15:23:17","15:24:09"
"1203","317","-760","15:23:17","15:24:09"
"1125","507","-906","15:23:17","15:24:09"
"664","1002","-617","15:23:17","15:24:09"
"398","1350","-306","15:23:17","15:24:09"
"227","1480","120","15:23:17","15:24:09"
"185","1224","596","15:23:17","15:24:09"
"228","280","792","15:23:17","15:24:09"
"162","221","348","15:23:17","15:24:09"
"121","523","-62","15:23:17","15:24:09"
"233","905","-89","15:23:17","15:24:09"
"640","1005","504","15:23:17","15:24:09"
"622","835","478","15:23:17","15:24:09"
"473","732","231","15:23:17","15:24:09"
"371","699","36","15:23:17","15:24:09"
"854","729","-77","15:23:17","15:24:09"
"1399","900","-375","15:23:17","15:24:09"
"1819","1080","-833","15:23:17","15:24:09"
"1812","1003","-859","15:23:17","15:24:09"
"903","35","-271","15:23:17","15:24:09"
"769","-246","186","15:23:17","15:24:09"
"986","-237","184","15:23:17","15:24:09"
"1233","-289","-364","15:23:17","15:24:09"
"1067","-390","-419","15:23:17","15:24:09"
"940","-280","-463","15:23:17","15:24:09"
"928","44","-631","15:23:17","15:24:09"
"834","687","-923","15:23:17","15:24:09"
"687","914","-904","15:23:17","15:24:09"
"557","1147","-887","15:23:17","15:24:09"
"447","1375","-913","15:23:17","15:24:09"
"122","1573","-796","15:23:17","15:24:09"
"-21","1384","-571","15:23:17","15:24:09"
"-68","959","-324","15:23:17","15:24:09"
"-43","485","-168","15:23:17","15:24:09"
"71","504","-287","15:23:17","15:24:09"
"235","926","-390","15:23:17","15:24:09"
"488","1168","-359","15:23:17","15:24:09"
"690","1089","-201","15:23:17","15:24:09"
"481","799","-13","15:23:17","15:24:09"
"286","845","-121","15:23:17","15:24:09"
"317","862","-298","15:23:17","15:24:09"
"1205","737","-1008","15:23:17","15:24:09"
"1779","816","-1589","15:23:17","15:24:09"
"-1868","843","-1826","15:23:17","15:24:09"
"-1898","535","-1244","15:23:17","15:24:09"
"1357","-670","696","15:23:17","15:24:09"
"1150","-852","445","15:23:17","15:24:09"
"1132","-697","-419","15:23:17","15:24:09"
"1151","-479","-914","15:23:17","15:24:09"
"1047","-54","-83","15:23:17","15:24:09"
