"x","y","z","s","e"
"870","422","218","15:19:21","15:20:13"
"875","415","215","15:19:21","15:20:13"
"879","410","213","15:19:21","15:20:13"
"881","414","209","15:19:21","15:20:13"
"874","435","192","15:19:21","15:20:13"
"871","431","196","15:19:21","15:20:13"
"871","420","210","15:19:21","15:20:13"
"876","418","206","15:19:21","15:20:13"
"880","427","184","15:19:21","15:20:13"
"883","429","173","15:19:21","15:20:13"
"885","424","179","15:19:21","15:20:13"
"885","427","187","15:19:21","15:20:13"
"886","434","176","15:19:21","15:20:13"
"888","436","167","15:19:21","15:20:13"
"889","432","167","15:19:21","15:20:13"
"889","423","168","15:19:21","15:20:13"
"888","424","164","15:19:21","15:20:13"
"884","427","162","15:19:21","15:20:13"
"875","427","161","15:19:21","15:20:13"
"878","422","155","15:19:21","15:20:13"
"885","416","149","15:19:21","15:20:13"
"893","412","149","15:19:21","15:20:13"
"897","418","155","15:19:21","15:20:13"
"898","421","152","15:19:21","15:20:13"
"899","423","145","15:19:21","15:20:13"
"898","422","141","15:19:21","15:20:13"
"886","419","144","15:19:21","15:20:13"
"881","419","145","15:19:21","15:20:13"
"881","420","145","15:19:21","15:20:13"
"886","420","146","15:19:21","15:20:13"
"890","416","151","15:19:21","15:20:13"
"886","417","149","15:19:21","15:20:13"
"883","419","144","15:19:21","15:20:13"
"888","417","141","15:19:21","15:20:13"
"893","413","148","15:19:21","15:20:13"
"895","411","155","15:19:21","15:20:13"
"893","411","157","15:19:21","15:20:13"
"892","409","150","15:19:21","15:20:13"
"896","406","149","15:19:21","15:20:13"
"901","406","149","15:19:21","15:20:13"
"901","409","150","15:19:21","15:20:13"
"895","408","154","15:19:21","15:20:13"
"892","409","154","15:19:21","15:20:13"
"891","415","150","15:19:21","15:20:13"
"898","421","140","15:19:21","15:20:13"
"902","410","144","15:19:21","15:20:13"
"901","398","152","15:19:21","15:20:13"
"897","396","159","15:19:21","15:20:13"
"891","412","150","15:19:21","15:20:13"
"887","417","139","15:19:21","15:20:13"
"882","418","138","15:19:21","15:20:13"
"884","412","166","15:19:21","15:20:13"
"891","406","171","15:19:21","15:20:13"
