x,y,z
-654,676,495
-382,738,229
-359,678,-65
-419,510,-230
-448,355,-223
-198,445,-286
28,671,-436
239,919,-472
364,1096,-328
426,1142,22
546,1202,37
742,1410,-16
884,1677,-47
669,1674,256
458,1398,532
340,1204,700
375,1285,429
380,1300,158
329,1204,-38
262,1074,-125
199,960,-126
173,963,-159
124,981,-251
64,1009,-375
-9,1008,-499
-26,953,-478
-51,896,-470
-99,863,-507
-259,802,-565
-344,749,-526
-422,716,-481
-502,716,-461
-692,710,-421
-776,696,-363
-838,699,-286
-900,670,-81
-877,607,37
-801,554,145
-698,539,228
-632,568,305
-694,576,322
-754,568,368
-765,543,445
-721,494,411
-727,519,206
-728,603,-28
-639,849,-168
-612,871,-69
-620,809,44
-614,762,113
-347,909,197
-145,990,362
-38,1020,581
-88,971,661
-223,780,460
-189,218,-164
-17,247,-134
67,504,31
7,765,73
-93,946,-64
-98,1152,-170
1,1431,-41
161,1639,565
189,1531,645
259,1492,559
367,1543,454
471,1364,455
439,1139,461
384,1047,389
316,1145,243
240,1291,66
178,1312,-98
140,1178,-233
26,883,-448
-92,826,-532
-227,769,-579
-345,680,-580
-434,592,-552
-602,547,-490
-710,565,-441
-814,577,-362
-882,591,-262
-906,617,-164
-902,648,-80
-892,670,37
-899,673,65
-898,666,88
-871,638,128
-826,610,179
-786,617,209
-773,679,143
-786,654,102
-800,591,101
-811,526,140
-804,473,196
-768,425,243
-660,397,285
-630,458,297
-607,550,303
-568,645,264
-522,737,143
-514,823,-51
-666,910,-312
-718,915,-222
-687,933,-43
-591,976,89
-483,1052,142
-412,1173,212
-411,1289,375
-471,1277,543
-508,810,464
-396,734,397
-266,890,469
-208,1043,582
-249,941,578
-330,622,446
-365,371,329
-262,561,431
-275,636,473
-383,519,406
-491,380,288
-493,422,198
-387,625,144
-168,853,104
-67,909,210
73,1091,434
186,1343,671
-11,1514,651
-178,1437,429
-178,1365,295
18,1314,359
291,1253,540
471,1175,639
460,1114,531
289,1110,276
4,1205,-82
50,1187,-114
125,1092,-157
103,970,-255
-39,878,-371
-216,825,-444
-334,782,-456
-416,678,-436
-495,640,-438
-620,615,-417
-745,595,-356
-824,578,-266
-847,576,-179
-840,605,-115
-860,712,-50
-889,715,-14
-919,666,22
-941,599,38
-937,552,29
-884,531,16
-789,523,15
-703,516,29
-697,482,123
-722,473,215
-701,505,287
-622,587,298
-488,694,263
-317,817,234
-196,1114,145
-390,1157,0
-637,1000,-152
-740,714,-202
-630,529,-126
-424,626,-4
-274,955,80
-219,1283,124
-174,1226,258
-149,935,344
-138,727,391
-128,730,385
-110,873,353
-101,956,334
-124,852,343
-207,533,251
-188,622,86
-103,809,-45
38,944,-27
223,1041,138
421,1273,323
577,1705,429
630,-1897,476
446,1713,537
298,1253,456
156,1098,266
56,1215,56
51,1284,-86
131,1129,-162
192,886,-240
126,766,-353
-53,789,-461
-338,754,-479
-401,633,-423
-494,542,-384
-631,521,-368
-759,543,-356
-844,566,-324
-952,578,-166
-998,593,-60
-1001,618,34
-942,636,96
-849,630,117
-774,598,103
-754,566,72
-775,564,52
-790,617,110
-767,622,108
-753,640,24
-729,718,-43
-626,839,77
-408,914,395
-176,870,634
-106,717,482
-438,405,-560
-430,404,-761
-163,554,-651
203,828,-463
458,1157,-348
516,1455,-273
436,1626,-168
335,1613,-61
349,1302,-93
446,1235,-158
527,1228,-125
536,1190,20
456,1113,202
322,1074,320
206,1121,330
152,1201,251
100,1192,29
43,1131,-21
22,1102,-14
77,1114,19
167,1128,36
222,1088,17
224,973,-24
218,764,-175
190,812,-306
98,928,-440
-31,1010,-513
-141,1005,-482
-205,952,-378
-244,915,-280
-302,902,-241
-396,878,-242
-581,765,-159
-593,755,-96
-560,797,-80
-533,843,-106
-538,851,-130
-562,824,-120
-580,802,-79
-593,799,-29
-647,804,42
-681,803,35
-719,799,-14
-771,781,-96
-822,749,-174
-824,719,-186
-738,710,-67
-570,723,187
-295,816,584
-348,857,449
-495,813,152
-589,668,-119
-516,518,-252
-302,492,-268
-79,618,-254
50,812,-267
111,1137,-334
142,1234,-309
199,1248,-222
284,1179,-111
388,1103,-30
470,1097,2
484,1149,19
384,1133,131
376,1094,184
386,1138,182
354,1260,140
269,1376,118
192,1408,152
189,1348,209
254,1242,224
297,1107,76
205,1114,2
108,1121,-27
77,1088,-15
118,1026,19
174,993,50
192,1017,42
174,1067,-9
146,1059,-127
130,992,-148
86,911,-163
12,824,-197
-81,739,-246
-176,676,-289
-255,658,-321
-304,698,-357
-375,833,-453
-432,848,-457
-487,834,-414
-519,835,-361
-527,864,-337
-529,901,-336
-527,929,-324
-518,956,-285
-487,964,-192
-491,912,-176
-513,855,-192
-540,843,-242
-553,890,-311
-553,962,-369
-562,1013,-385
-619,1032,-172
-566,1041,110
-419,1035,425
-284,968,573
-304,811,413
-478,594,44
-624,408,-253
-562,357,-299
-107,739,-108
-44,966,-180
-82,1080,-309
-80,1099,-361
16,1080,-294
141,1044,-167
211,990,-62
216,963,-25
207,1135,-116
206,1214,-150
179,1177,-111
135,1050,0
116,944,130
159,962,217
252,1139,249
441,1656,332
539,1684,401
652,1454,395
701,1127,279
582,963,128
312,1054,40
70,1223,28
34,1234,28
193,1059,-4
356,865,-163
192,940,-279
11,968,-386
-75,903,-436
-88,817,-425
-121,780,-398
-222,786,-395
-446,792,-398
-491,779,-357
-519,770,-301
-560,774,-254
-609,798,-219
-650,837,-182
-678,866,-138
-701,865,-98
-712,805,-66
-687,781,-67
-665,761,-79
-675,734,-107
-717,697,-155
-758,663,-214
-759,648,-260
-704,670,-239
-467,847,165
-322,965,415
-231,1024,479
-256,953,295
-385,761,-15
-490,541,-355
-347,704,-337
-167,936,-292
-24,1095,-249
189,1204,-102
246,1250,-26
222,1247,-2
86,1048,-63
89,982,-56
123,984,-10
141,1012,33
160,1044,35
207,1073,32
266,1136,54
331,1233,109
543,1373,378
611,1355,521
534,1321,509
308,1317,286
-67,1275,-200
-26,1159,-189
103,1031,-109
218,926,-228
163,902,-341
87,850,-371
9,785,-333
-187,706,-270
-307,690,-259
-426,686,-235
-543,698,-200
-725,723,-149
-753,721,-120
-739,717,-77
-686,733,-4
-676,760,-6
-670,788,-26
-662,794,-49
-660,706,-122
-676,665,-150
-696,672,-138
-707,724,-85
-608,853,170
-463,925,405
-315,1000,593
-280,1003,533
-605,631,-293
-669,517,-527
-528,656,-418
-305,945,-129
-176,1142,179
-188,1043,166
-108,978,145
28,947,131
88,807,-1
34,817,-113
47,939,-206
256,1144,-252
307,1118,-196
288,1076,-89
248,1088,48
309,1316,308
429,1440,405
548,1453,460
500,1088,322
323,959,192
146,1029,127
43,1222,140
53,1274,98
69,1077,-18
62,912,-122
48,870,-169
6,943,-228
-64,934,-299
-165,917,-358
-326,953,-342
-369,938,-294
-403,864,-239
-430,761,-180
-460,668,-59
-475,698,-3
-500,732,45
-535,736,80
-645,688,93
-710,703,77
-755,746,51
-762,778,21
-717,759,-51
-705,768,-105
-685,815,-138
-620,867,-77
-349,908,328
-256,939,391
-290,966,192
-579,830,-408
-578,768,-421
-416,829,-269
-204,964,-125
10,1057,-74
53,1061,-46
109,1102,10
173,1110,51
231,859,58
210,792,71
175,874,78
166,1119,7
190,1126,-21
202,1110,-8
191,1131,38
171,1176,145
236,1148,190
378,1153,244
567,1216,316
751,1265,418
619,1241,358
380,1268,209
146,1321,26
19,1168,-169
126,1005,-150
259,911,-114
334,896,-117
246,864,-243
173,837,-304
108,852,-352
-124,894,-387
-260,833,-339
-344,753,-267
-379,725,-224
-467,866,-258
-532,930,-248
-576,930,-184
-589,882,-94
-582,808,-10
-574,828,-31
-553,874,-62
-526,927,-80
-565,993,-85
-642,961,-91
-714,893,-96
-743,835,-77
-564,831,187
-353,820,403
-153,784,521
-96,759,423
-451,751,-119
-566,725,-225
-497,710,-171
-168,839,-53
-72,928,-88
-2,973,-135
71,979,-173
194,1046,-264
252,1129,-273
317,1199,-221
363,1233,-134
329,1195,6
305,1125,71
313,1047,146
382,1086,238
442,1196,246
529,1249,276
593,1218,347
406,1268,393
208,1410,269
68,1464,93
28,1327,-48
122,852,-119
173,798,-128
170,876,-192
89,973,-305
-126,948,-425
-150,862,-370
-149,786,-305
-186,736,-284
-368,714,-291
-437,745,-245
-479,787,-162
-546,810,35
-564,798,102
-563,803,124
-550,822,108
-532,813,66
-527,789,66
-524,796,68
-538,887,12
-551,899,-57
-557,878,-132
-554,861,-187
-550,901,-229
-545,939,-239
-497,998,-200
-345,1088,-13
167,1186,691
181,1086,755
-93,922,468
-439,807,98
-414,930,153
-201,1018,376
-118,1015,437
-153,963,354
-132,968,274
-70,959,337
-51,895,387
-102,822,293
-129,842,195
-162,822,118
-205,762,61
-264,796,-63
-253,930,-94
-211,1061,-48
-143,1130,81
-70,1114,393
-126,1097,474
-209,1086,490
-190,1055,419
-47,1038,397
147,1032,401
366,1055,404
724,1254,322
699,1341,264
473,1328,202
148,1231,111
-84,1115,-144
79,1123,-229
228,1095,-275
220,1002,-322
-115,743,-441
-230,669,-433
-274,657,-371
-346,735,-289
-418,771,-292
-494,798,-270
-552,825,-194
-622,885,9
-655,885,65
-685,855,96
-694,819,126
-634,804,167
-605,815,148
-607,822,107
-647,817,64
-743,765,83
-705,739,192
-579,736,330
-341,813,338
-392,859,180
-529,862,52
-633,805,37
-543,645,97
-456,648,4
-406,723,-146
-246,947,-295
-94,1022,-258
36,1058,-219
98,1070,-221
135,1060,-264
199,1045,-245
278,1047,-200
326,1086,-138
261,1198,66
201,1203,191
178,1174,285
251,1103,311
274,1063,282
253,1010,276
213,961,303
277,1060,389
404,1203,438
519,1272,505
500,978,583
436,873,530
420,963,432
447,1148,324
460,1195,83
434,1077,-59
406,993,-184
361,962,-275
180,950,-429
80,946,-514
0,931,-573
-70,899,-588
-251,847,-540
-348,840,-497
-422,828,-428
-473,813,-331
-546,846,-134
-567,885,-79
-577,905,-58
-580,904,-58
-583,906,-89
-591,907,-128
-616,895,-185
-721,877,-277
-777,881,-258
-810,866,-169
-794,825,-6
-550,807,409
-388,860,475
-320,884,345
-392,815,89
-553,512,-219
-426,487,-215
-228,616,-236
-59,995,-417
-49,1067,-442
4,1063,-401
98,1047,-353
242,1076,-308
285,1093,-255
328,1113,-173
355,1156,-85
291,1272,141
266,1288,331
312,1259,542
399,1187,688
341,1006,571
218,1005,413
197,1086,304
320,1167,248
541,1096,132
496,1028,82
420,1012,63
378,1034,44
390,1036,16
397,1058,-24
388,1100,-87
268,1094,-258
185,1021,-319
135,949,-343
123,913,-342
46,925,-356
-50,927,-372
-136,913,-375
-189,890,-357
-290,863,-280
-363,864,-234
-416,865,-189
-430,863,-153
-427,864,-126
-447,870,-122
-470,878,-117
-496,907,-139
-519,916,-178
-551,906,-204
-572,879,-182
-539,806,-39
-524,780,-24
-540,784,-74
-583,829,-134
-631,968,-25
-570,996,124
-447,990,227
-220,978,107
-190,969,0
-198,936,-37
-209,900,-26
-170,950,-75
-114,1003,-110
-45,1022,-89
17,1009,-20
60,975,53
50,945,25
43,887,-1
46,809,-8
46,703,-87
46,728,-195
75,813,-296
140,938,-333
312,1170,-172
375,1229,-39
417,1261,66
564,1366,168
692,1390,212
797,1283,255
824,1042,258
712,806,74
673,1000,-32
656,1219,-88
623,1267,-115
511,948,-216
508,865,-253
520,893,-251
392,969,-280
309,946,-348
276,923,-412
261,916,-446
90,890,-455
-28,863,-437
-111,845,-398
-152,838,-350
-217,845,-303
-280,871,-307
-351,916,-309
-405,962,-299
-402,957,-226
-374,912,-172
-357,866,-120
-400,823,-76
-450,854,-102
-489,917,-135
-497,968,-137
-477,918,-88
-480,896,-96
-441,933,-60
-313,992,94
-41,966,357
-105,880,154
-260,798,-193
-344,767,-447
-112,932,-396
13,1057,-300
71,1135,-236
173,1150,-36
218,1132,84
208,1092,169
151,1013,231
24,842,352
-27,832,348
-53,852,245
99,774,-116
244,717,-242
348,748,-294
375,876,-297
380,1158,-288
481,1225,-273
671,1265,-218
907,1273,-123
1158,971,82
1047,710,159
849,603,191
678,762,140
533,1306,-169
502,1314,-286
484,1166,-312
478,1005,-274
447,843,-182
408,827,-183
365,858,-225
326,924,-336
248,989,-357
188,963,-362
105,934,-360
-63,907,-303
-116,896,-257
-163,887,-231
-224,886,-235
-327,896,-251
-320,893,-239
-304,887,-236
-328,888,-252
-491,891,-231
-565,878,-155
-622,870,-75
-673,877,-26
-686,830,25
-613,744,46
-534,671,29
-508,659,-30
-606,720,-96
-621,705,-73
-564,677,-41
-300,777,99
-175,890,163
-146,952,98
-248,898,-128
-479,630,-578
-386,645,-598
-177,811,-534
32,1035,-464
261,1274,-331
301,1231,-259
320,1119,-211
344,1004,-190
410,992,-134
399,1094,-86
354,1172,-45
315,1155,-10
351,937,72
417,916,97
515,995,68
646,1094,-100
869,1022,-114
872,908,-52
806,879,14
647,1105,-47
575,1197,-93
487,1211,-99
404,1168,-96
393,983,-118
436,881,-110
438,838,-110
380,870,-151
218,973,-296
166,952,-325
123,906,-318
62,881,-299
-120,895,-273
-198,873,-242
-248,831,-191
-284,804,-144
-384,816,-120
-422,817,-109
-425,820,-75
-380,893,-32
-381,921,-53
-402,915,-68
-425,901,-61
-409,930,-49
-365,952,-50
-323,971,-41
-310,996,-48
-380,997,-186
-399,962,-237
-369,961,-236
-290,1029,-203
23,1180,49
218,1133,270
270,1004,351
66,854,173
-477,750,-248
-374,843,-115
-115,961,99
13,963,97
-72,870,-10
-89,816,-65
-38,833,-96
38,933,-238
80,970,-295
168,1016,-290
285,1071,-219
470,1139,15
568,1165,114
686,1181,178
725,1077,199
624,1013,156
568,1019,103
599,1069,71
591,1067,70
477,1005,60
386,945,33
386,919,-75
392,970,-151
365,1035,-220
322,1066,-265
240,988,-317
189,939,-340
122,910,-346
46,895,-320
-87,900,-242
-144,914,-244
-203,904,-260
-320,833,-223
-373,836,-200
-422,869,-207
-462,894,-219
-485,858,-143
-480,830,-79
-485,823,-35
-521,862,23
-529,886,71
-535,901,109
-561,898,104
-659,800,25
-643,743,10
-547,740,-1
-270,906,14
-160,995,98
-104,1037,156
-281,910,-133
-408,805,-331
-394,798,-379
-226,936,-212
106,1271,-198
150,1260,-203
169,1143,-144
204,886,116
181,850,175
131,896,158
76,985,112
31,1025,58
57,948,45
103,871,49
205,857,135
285,925,145
408,1060,81
555,1256,-4
744,1432,134
744,1190,286
703,830,296
651,746,-14
640,1082,-44
589,1348,21
491,1363,55
353,1039,-60
354,984,-81
342,983,-82
290,965,-123
176,927,-283
151,958,-311
112,973,-304
-61,858,-322
-162,801,-342
-257,794,-335
-345,816,-298
-493,808,-220
-559,791,-199
-619,807,-173
-629,897,-70
-566,902,-8
-512,874,28
-545,819,7
-598,799,3
-640,771,20
-670,746,26
-704,743,-33
-678,745,-40
-607,727,-37
-508,708,-71
-293,816,-144
-146,946,-52
-14,1045,55
-8,1039,28
-333,840,-347
-349,850,-371
-185,964,-240
125,1112,-71
145,1070,-94
145,1024,-81
155,1001,-18
144,952,13
138,940,-32
155,960,-47
188,1001,-11
258,1102,70
334,1158,49
490,1169,-11
822,1078,-38
720,1156,98
433,1320,234
292,1230,83
569,957,-24
730,803,23
303,1047,116
153,1165,-58
225,1193,-260
353,1200,-369
228,1188,-438
69,1062,-507
-55,875,-560
-261,611,-478
-335,571,-401
-373,559,-354
-405,560,-338
-554,578,-316
-639,582,-288
-700,591,-243
-739,616,-181
-799,674,-86
-808,676,-80
-785,674,-87
-676,728,-87
-640,786,-74
-630,858,-40
-621,940,12
-494,1098,91
-339,1114,166
-131,1044,340
25,906,520
-291,692,179
-560,702,-236
-584,789,-482
-348,922,-491
142,1124,-318
223,1109,-233
238,1027,-103
198,926,15
55,913,-74
66,1044,-197
136,1182,-241
215,1255,-197
404,1313,-30
599,1356,89
800,1355,239
610,1271,336
209,1275,229
-115,1263,115
-197,1173,44
43,916,-59
91,883,-123
76,905,-187
41,926,-263
-111,836,-403
-230,744,-374
-334,656,-278
-406,595,-180
-533,577,-140
-609,618,-150
-675,687,-135
-720,760,-98
-742,797,-17
-736,761,4
-730,725,7
-727,701,-1
-707,689,16
-697,708,64
-702,745,112
-714,791,121
-630,882,56
-497,903,103
-348,909,228
-262,918,327
-452,874,57
-582,781,-172
-567,720,-265
-197,908,-105
-58,1034,-53
16,1072,-46
79,1036,-35
178,966,-19
174,978,-71
164,1006,-128
185,1030,-137
256,1030,-25
253,1024,19
233,1032,39
263,1125,48
366,1246,65
535,1416,137
711,1532,266
603,1156,291
271,799,83
-25,598,-96
43,869,-21
273,1130,35
422,1290,19
427,1274,13
171,882,32
16,746,-117
-124,764,-298
-230,892,-328
-259,942,-88
-241,795,-153
-255,724,-283
-281,877,-108
-208,869,47
-47,894,73
172,1093,53
472,1471,395
461,1453,650
401,1535,711
327,1727,461
-3,726,-639
-204,-488,-1037
-266,-965,-1039
-87,1358,-113
-123,1929,228
-233,1218,270
-264,288,179
-16,1220,348
41,-1911,583
-64,-1717,756
-331,1964,714
-735,1102,-260
-550,557,-755
-215,24,-798
49,195,104
-67,764,364
-252,1101,362
-464,1029,312
-715,509,406
-673,436,346
-606,465,159
-603,509,-36
-747,550,-110
-799,580,-56
-822,632,-16
-830,701,8
-797,780,72
-748,764,96
-694,750,92
-608,808,44
-560,837,41
-503,846,62
-443,854,99
-343,869,224
-314,877,341
-280,924,497
-204,1008,637
5,1070,472
-43,1012,143
-219,951,-142
-389,909,-130
-259,922,7
-101,954,68
61,1000,-10
102,998,-76
129,992,-144
133,959,-205
160,914,-174
215,875,-131
257,879,-107
198,1028,-128
150,1109,-138
139,1144,-128
167,1132,-91
282,1080,34
357,1051,73
432,992,69
491,930,36
586,1039,38
647,1167,104
694,1208,162
699,1150,163
643,1126,39
631,1190,3
622,1180,-24
577,950,-188
547,883,-281
491,868,-345
391,865,-401
130,851,-520
35,841,-528
-42,816,-500
-147,771,-478
-431,687,-475
-526,694,-444
-579,736,-394
-693,862,-291
-746,919,-232
-753,942,-169
-713,904,-110
-607,735,-8
-586,708,13
-598,730,8
-696,727,20
-732,679,27
-716,667,-20
-636,719,-114
-400,829,-134
-272,871,14
-126,1000,176
-34,1185,238
-396,1006,-39
-650,647,-202
-649,472,-266
-111,941,-294
14,1147,-335
13,1160,-326
19,1084,-238
178,992,-47
222,938,-11
223,881,22
208,869,60
183,941,45
182,935,-6
207,922,-58
383,1075,-176
529,1192,-236
690,1263,-236
838,1289,-126
964,1187,232
878,1003,270
721,839,185
570,866,79
457,1304,36
439,1280,25
407,1064,-27
370,890,-99
292,982,-246
235,991,-322
163,893,-377
84,802,-397
-85,876,-387
-167,910,-389
-246,859,-385
-406,708,-325
-470,723,-300
-512,773,-295
-539,805,-286
-595,793,-161
-629,806,-89
-658,839,-57
-671,865,-47
-604,844,17
-551,814,38
-521,792,14
-533,770,-51
-536,748,-35
-531,730,-16
-531,739,-34
-534,817,-120
-499,828,-75
-426,826,44
-323,860,170
-177,1046,174
-257,1046,47
-428,922,-86
-552,775,-163
-333,885,-127
-182,1073,-76
-150,1172,-4
-188,1127,108
-145,782,315
-79,618,259
-35,549,65
54,737,-414
125,866,-509
197,946,-476
293,1030,-385
734,1445,-258
979,1606,-174
1060,1549,-15
945,1333,175
628,1158,272
577,1206,133
547,1154,-21
498,1017,-102
369,1015,-72
314,1132,-95
276,1169,-175
237,1108,-266
67,970,-357
-27,938,-369
-89,890,-380
-135,743,-395
-308,699,-403
-435,691,-420
-554,696,-429
-702,649,-293
-719,600,-160
-704,560,-40
-676,536,39
-668,537,79
-687,555,30
-697,585,-56
-681,637,-147
-595,816,-243
-565,903,-252
-549,960,-218
-528,981,-105
-446,926,245
-397,898,319
-321,927,300
-207,1035,260
-167,1306,232
-362,1261,206
-568,1047,200
-525,655,355
-387,695,412
-318,816,384
-320,890,312
-386,776,326
-412,674,387
-406,566,370
-357,442,231
-217,368,-181
-159,526,-272
-111,729,-269
-79,880,-242
-47,1123,-152
17,1283,52
153,1399,370
342,1460,673
688,1631,808
760,1674,690
752,1578,559
557,1209,320
395,1088,188
209,979,68
39,863,-22
-137,840,-180
-164,944,-272
-184,1005,-345
-213,963,-380
-354,749,-377
-463,706,-358
-548,709,-312
-567,714,-228
-529,653,-24
-568,638,30
-634,668,39
-675,726,23
-655,811,14
-654,814,31
-671,795,46
-678,765,48
-598,720,9
-563,709,-27
-578,703,-69
-710,734,-118
-755,766,-98
-761,799,-51
-725,836,-4
-510,892,-5
-385,833,-81
-312,696,-222
-295,547,-419
-212,577,-745
-85,790,-710
54,1032,-534
158,1181,-323
248,1053,-161
276,956,-176
309,971,-173
343,1068,-146
405,1241,-123
442,1286,-110
486,1306,-65
572,1256,95
613,1251,166
665,1293,200
718,1356,183
684,1397,63
571,1334,28
441,1197,22
333,1002,19
241,596,-28
236,476,-89
199,487,-217
87,667,-411
-201,1140,-624
-244,1110,-541
-249,916,-454
-292,759,-448
-468,882,-370
-472,981,-215
-412,1000,-130
-359,951,-193
-420,646,-434
-471,428,-459
-475,303,-457
-420,634,-552
-484,907,-594
-635,1017,-508
-793,921,-275
-805,670,88
-703,715,5
-631,799,-141
-576,864,-188
-534,893,-146
-497,914,-127
-480,883,-106
-357,787,-25
-179,864,-27
-8,977,-64
-103,809,-141
-262,601,-179
-276,553,-232
-126,715,-303
74,957,-457
17,803,-495
20,654,-488
196,716,-447
778,1352,-384
872,1599,-352
668,1653,-30
659,1490,247
767,1244,457
