x,y,z
635,157,779
710,227,817
788,274,844
821,310,873
746,344,868
755,350,771
799,367,634
792,409,531
528,596,596
433,673,692
457,657,735
576,552,695
805,403,501
840,460,441
861,569,409
958,757,372
972,806,400
941,830,430
909,816,382
966,618,136
1005,511,158
999,468,278
943,465,365
789,360,346
773,280,400
809,259,512
847,312,611
782,445,693
741,423,718
753,355,732
814,298,726
1012,195,677
1121,61,620
1160,-49,548
844,223,547
666,427,593
674,412,545
849,178,386
949,-129,286
729,14,481
524,207,650
472,305,644
609,279,425
642,300,464
691,330,554
797,320,582
1018,265,469
1053,306,440
1057,372,435
1045,415,438
918,393,485
810,374,518
713,366,532
645,363,533
580,365,595
569,368,648
572,370,672
595,414,631
629,490,599
710,602,544
831,720,446
1005,883,235
1013,919,186
1041,893,128
1135,767,17
1252,417,-192
1142,401,-176
1024,503,-112
1003,609,-47
1007,547,135
870,430,259
728,338,367
676,328,459
732,517,604
736,545,632
738,472,674
842,385,799
957,402,723
1067,358,578
1090,297,519
779,540,709
591,668,688
496,579,546
501,338,420
582,69,488
562,54,553
510,9,554
488,-43,507
655,124,375
758,332,331
806,505,325
918,576,360
1071,554,331
1218,556,265
1283,570,191
1204,503,101
1140,426,103
1068,360,134
986,327,176
845,346,239
777,406,292
693,504,379
567,660,521
577,642,542
616,580,557
657,520,576
794,464,557
919,473,517
1026,525,482
1057,626,449
1013,798,228
1069,722,54
1145,543,-32
1050,405,146
971,528,146
989,615,25
1042,583,-23
825,488,446
636,529,635
557,544,648
634,499,617
1079,398,717
1229,389,723
1187,411,698
782,531,663
675,512,555
661,377,423
679,197,394
688,85,621
656,118,666
586,100,635
499,26,589
418,-27,573
434,46,601
453,135,634
467,213,644
619,432,577
797,587,531
974,698,476
1075,714,411
1036,583,352
993,530,405
964,471,473
887,285,473
841,249,436
804,291,430
778,364,457
741,414,544
713,406,596
672,400,629
635,383,610
653,334,486
699,364,493
739,432,550
764,499,587
831,572,437
901,624,295
994,692,154
1096,740,23
1298,630,-153
1341,496,-148
1275,386,-72
879,384,143
748,470,215
721,561,280
722,611,378
656,559,663
731,516,734
920,504,708
1159,566,583
1067,600,577
920,602,578
805,563,558
740,493,523
702,295,465
711,207,447
714,173,469
632,214,660
567,199,721
506,158,711
450,151,677
398,308,665
427,387,630
476,427,558
523,459,486
628,564,408
729,588,374
865,575,337
995,555,311
1013,552,327
901,541,353
796,524,364
750,521,356
750,559,376
709,564,447
645,556,543
597,568,647
631,579,614
673,566,543
712,529,472
789,479,369
835,510,298
898,576,203
994,657,107
1222,732,-25
1263,706,-63
1227,673,-89
1149,660,-113
1015,614,-112
960,539,-22
882,482,116
778,494,244
638,559,430
