x,y,z
281,867,-115
390,971,-329
452,1031,-407
539,1119,-416
653,1256,-312
878,1320,242
850,1128,464
660,968,437
387,1003,150
160,1246,-418
250,1094,-392
321,845,-266
292,709,-224
116,828,-414
80,855,-456
53,847,-446
-80,968,-477
-160,1039,-503
-236,1042,-483
-315,992,-420
-414,911,-330
-379,915,-329
-319,935,-325
-302,960,-314
-421,980,-315
-450,927,-224
-409,850,35
-133,883,914
3,942,1130
5,928,879
-170,888,225
-541,1034,-590
-462,1079,-283
-260,987,133
-54,817,210
-108,910,93
-181,1017,110
-231,1021,213
-263,787,222
-239,713,116
-183,709,5
-114,748,-97
-11,860,-293
29,918,-360
86,971,-380
234,1059,-301
288,1161,-247
320,1354,-169
368,1590,-19
578,1594,409
624,1252,481
552,924,372
416,841,128
296,1159,-399
315,1125,-519
300,946,-520
214,814,-486
-18,856,-568
-70,835,-626
-81,764,-644
-89,721,-650
-136,765,-734
-150,777,-770
-159,795,-765
-225,919,-651
-266,963,-534
-283,966,-340
-267,953,-81
-184,962,385
-138,945,601
-93,894,874
-81,865,1084
-152,937,982
-305,1104,495
-466,1174,-330
-326,970,-135
-129,788,218
4,853,323
-86,951,196
-208,985,152
-298,959,165
-318,887,133
-263,772,32
-166,643,-70
-72,569,-133
17,736,-164
30,883,-229
32,978,-286
23,1013,-297
31,1102,-251
103,1246,-257
223,1453,-245
359,1664,-150
479,1772,34
566,1651,211
596,1291,249
533,903,135
180,957,-56
59,1204,-42
43,1237,-86
71,1055,-230
58,862,-377
-7,796,-432
-79,811,-418
-126,806,-419
-237,747,-482
-344,787,-461
-462,852,-443
-555,892,-480
-616,900,-544
-661,897,-550
-705,887,-451
-661,795,-134
-530,739,-3
-388,720,175
-303,753,462
-295,827,792
-371,937,951
-423,953,697
-499,998,363
-585,1082,54
-627,1117,-168
-590,1014,-245
-495,807,-148
-329,721,209
-291,953,216
-270,1100,146
-252,927,184
-221,538,396
-183,321,602
-172,480,539
-208,756,176
-322,567,-443
-340,466,-409
-311,660,-281
-223,964,-178
-102,1117,-107
-7,1014,2
-60,1052,-14
-100,1212,-82
-80,1407,-125
-13,1534,-76
67,1545,51
218,1372,233
243,1277,215
189,1190,149
73,1114,61
-28,1048,-36
-50,988,-138
-6,930,-248
5,853,-501
-87,828,-609
-203,799,-667
-302,772,-668
-390,800,-577
-401,849,-526
-419,882,-489
-448,885,-459
-481,881,-416
-503,887,-350
-472,900,-157
-410,903,-34
-329,930,95
-253,983,239
-208,1037,418
-194,1047,626
-152,841,860
-129,753,774
-177,820,579
-318,1012,356
-483,1143,201
-562,1052,166
-510,813,218
-374,673,280
-115,892,287
-26,884,263
33,753,240
43,704,218
-6,814,185
-101,930,127
-243,771,-28
-203,716,-68
-91,802,-52
36,949,0
129,1060,40
176,1150,38
251,1523,23
336,1666,103
445,1576,227
523,1279,319
505,993,303
377,915,165
204,1016,-20
78,1104,-150
-1,909,-180
-74,822,-195
-185,831,-240
-274,872,-277
-304,878,-289
-302,866,-280
-326,886,-237
-513,1002,7
-597,1010,130
-624,980,175
-595,948,154
-538,922,135
-484,879,182
-450,812,307
-441,727,626
-440,728,735
-400,727,819
-289,733,905
-136,776,954
-55,848,858
-155,883,560
-635,652,-103
-661,518,-152
-489,516,-80
-281,642,-60
-170,788,-130
-148,864,-184
-129,886,-147
-75,927,-81
27,1083,-152
86,1123,-174
180,1142,-85
275,1154,50
317,1147,115
307,1133,75
289,1267,-4
307,1395,80
339,1452,220
385,1376,343
412,1200,388
369,1043,346
257,1006,263
116,1117,139
134,1067,63
128,972,-62
66,920,-221
-13,927,-365
-73,939,-463
-130,927,-518
-215,914,-536
-321,923,-512
-458,947,-343
-460,920,-264
-414,867,-220
-333,813,-190
-261,787,-142
-247,799,-70
-293,826,0
-343,829,50
-328,778,169
-318,821,301
-336,954,468
-358,1112,617
-352,1167,734
-296,1035,854
-184,796,976
-44,645,994
-90,865,286
-397,955,-259
-728,884,-629
-848,756,-713
-655,722,-586
-252,806,-380
406,944,-1
431,963,80
265,1031,0
28,1126,-223
-116,1167,-455
-59,1136,-545
172,1097,-450
599,1150,-33
617,1220,108
551,1344,168
484,1521,166
456,1636,138
440,1526,125
385,1189,144
264,858,158
-12,938,-18
-45,1064,-136
-27,972,-168
-54,767,-131
-183,684,-123
-365,789,-201
-510,927,-308
-584,940,-333
-621,745,-59
-582,732,71
-507,779,113
-449,826,111
-449,840,135
-493,833,200
-541,837,267
-580,860,299
-621,869,311
-655,739,477
-587,674,629
-476,679,745
-367,720,797
-285,726,809
-226,699,791
-208,729,684
-278,866,422
-696,1016,-319
-860,827,-513
-841,617,-486
-620,579,-302
-293,716,-83
-13,859,64
104,887,102
-69,834,-30
-163,860,-110
-173,876,-169
-110,884,-210
-12,932,-225
93,1022,-193
190,1102,-119
275,1153,-50
253,1207,-109
229,1307,-157
246,1401,-119
324,1420,12
438,1343,178
520,1222,306
493,1131,355
157,1104,218
39,1099,89
36,1073,-38
94,1048,-156
130,1051,-264
101,1078,-360
21,1085,-438
-72,1026,-492
-226,781,-510
-301,730,-487
-381,750,-463
-456,784,-438
-514,784,-394
-551,756,-320
-570,726,-235
-581,699,-163
-596,671,-111
-649,689,-20
-656,777,56
-640,860,201
-598,863,428
-531,790,690
-444,730,889
-365,745,940
-349,780,596
-400,722,359
-439,705,199
-445,777,123
-443,875,62
-460,900,-39
-479,830,-156
-445,741,-213
-206,785,-156
-115,880,-171
-83,935,-226
-72,930,-266
-36,909,-267
48,932,-243
177,1010,-213
329,1108,-170
509,1327,9
471,1537,165
397,1767,337
364,1820,458
389,1552,475
406,1097,391
340,797,262
199,845,140
14,1169,-8
35,1017,-33
53,803,-71
4,744,-177
-115,853,-356
-273,970,-536
-439,966,-624
-602,844,-585
-736,703,-453
-778,620,-161
-693,640,-65
-598,641,9
-535,617,91
-508,585,190
-505,562,281
-518,578,336
-544,661,358
-567,913,456
-511,978,558
-397,1021,673
-182,1044,800
-226,939,638
-377,820,278
-532,789,-126
-522,808,-333
-411,727,-179
-298,681,-64
-182,750,-38
32,971,-65
53,967,-104
10,930,-198
-27,938,-314
137,1077,-305
298,1085,-149
413,1037,2
440,1012,55
332,1210,-87
314,1304,-99
348,1302,0
397,1250,162
364,1226,350
281,1209,331
190,1159,264
65,1166,15
