x,y,z
-507,356,-561
-184,390,-309
163,814,-139
-45,928,-405
-132,856,-554
-115,829,-607
33,976,-425
29,1028,-362
26,942,-500
150,872,-555
319,832,-529
482,859,-382
446,909,-326
334,1061,-263
320,1137,-273
342,1182,-294
420,1230,-247
446,1300,-184
418,1443,-149
351,1392,-217
284,1241,-316
277,892,-497
314,798,-566
298,727,-641
231,702,-640
147,679,-638
-1,634,-704
-124,537,-837
-176,505,-873
-238,582,-810
-285,669,-739
-358,751,-680
-435,819,-666
-367,788,-681
-203,638,-624
-225,580,-558
-310,576,-490
-456,713,-360
-477,804,-319
-493,947,-372
-508,991,-425
-511,1016,-434
-358,1019,-177
-166,1002,75
111,878,226
-43,786,-88
-363,736,-490
-542,816,-621
-216,857,-365
187,885,-127
32,908,-235
-207,879,-412
-109,853,-366
70,938,-265
35,989,-310
-24,984,-376
-15,867,-383
58,825,-365
231,820,-398
288,841,-390
325,883,-352
380,1053,-264
391,1149,-219
365,1233,-157
348,1229,-156
331,1232,-155
288,1313,-149
282,1345,-183
261,1242,-281
233,1143,-301
226,1075,-304
277,1016,-358
236,945,-434
50,751,-599
60,658,-691
34,615,-727
-82,557,-746
-364,466,-711
-438,453,-697
-572,444,-681
-652,438,-649
-701,461,-607
-675,683,-536
-640,827,-491
-554,919,-355
-488,889,-293
-431,878,-238
-441,975,-79
-472,1030,30
-392,1042,212
-296,1016,223
-234,997,100
-363,975,-450
-478,942,-551
-456,888,-104
-333,911,88
-211,963,-28
-252,927,-132
-316,714,-156
-286,612,-171
-223,655,-325
-206,767,-372
-176,856,-338
-127,931,-178
-153,977,-194
-179,991,-371
-114,885,-393
-15,746,-350
163,682,-342
232,794,-439
378,1039,-532
445,1119,-427
502,1308,-141
488,1395,-103
456,1431,-154
420,1426,-234
357,1404,-242
310,1357,-201
259,1244,-225
303,981,-495
412,932,-615
492,911,-662
482,859,-645
299,669,-553
230,623,-553
171,615,-619
84,594,-745
-180,456,-1023
-309,416,-1075
-415,435,-1027
-501,493,-900
-614,605,-623
-629,638,-549
-606,662,-515
-560,674,-494
-522,686,-401
-553,714,-335
-598,762,-277
-679,859,-138
-702,914,-45
-677,989,35
-566,1059,97
-183,1037,150
-109,987,36
-204,961,-191
-388,935,-391
-478,799,-242
-328,764,-80
-175,801,-59
-99,873,-147
-156,896,-208
-207,850,-172
-237,843,-186
-238,910,-256
-190,1093,-326
-156,1078,-262
-109,994,-178
-51,920,-131
-3,948,-177
-34,968,-197
-62,937,-193
19,811,-221
100,785,-264
158,794,-281
185,831,-244
194,947,-117
190,1023,-131
188,1108,-195
202,1190,-238
289,1284,-118
326,1314,-47
329,1352,-56
295,1380,-145
186,1261,-311
168,1146,-310
194,1074,-290
241,1067,-299
269,1062,-389
231,992,-423
175,906,-447
65,789,-540
16,711,-621
-46,585,-704
-140,442,-764
-385,326,-789
-480,376,-769
-553,452,-737
-635,528,-695
-847,689,-607
-895,765,-566
-837,802,-513
-679,777,-443
-350,652,-327
-327,655,-318
-404,718,-329
-513,803,-331
-625,1018,-233
-588,1199,-61
-459,1371,195
-260,1408,367
-186,955,-237
-458,709,-720
-708,628,-850
-325,835,-99
96,907,180
292,893,156
182,835,-75
-221,782,-435
-205,822,-395
-94,909,-285
-2,1020,-212
26,1104,-220
28,1116,-317
60,1101,-320
120,1096,-290
195,1074,-238
265,922,-132
212,824,-123
59,671,-199
42,657,-235
84,712,-253
160,831,-267
230,1129,-336
188,1248,-348
148,1338,-298
160,1406,-198
285,1445,-86
292,1383,-135
256,1284,-214
226,1196,-278
230,1148,-319
222,1079,-419
183,999,-491
155,916,-560
117,850,-637
51,819,-644
-46,737,-643
-141,614,-650
-210,497,-676
-300,437,-750
-361,479,-761
-434,514,-729
-581,519,-562
-653,547,-476
-718,619,-415
-757,708,-376
-760,777,-347
-678,777,-295
-625,727,-271
-587,679,-254
-574,657,-249
-591,714,-280
-596,767,-295
-584,836,-293
-524,931,-252
-374,1043,-145
-165,1132,-3
-28,1165,68
-336,1048,-223
-559,916,-379
-569,778,-364
-360,717,-215
-107,785,-59
6,930,12
-54,1031,-6
-191,1012,-74
-294,858,-170
-245,874,-143
-188,932,-82
-148,968,-31
-123,963,-21
-93,946,-38
-53,945,-34
-20,958,30
-48,972,205
-73,984,172
-73,1001,57
-70,998,-39
-110,958,-34
-188,908,59
-237,895,149
-202,926,157
18,992,-3
94,1013,-61
128,1055,-85
121,1114,-112
61,1168,-169
-164,1247,-307
-218,1280,-322
-172,1268,-298
-50,1177,-271
78,1014,-278
151,842,-349
139,728,-486
46,692,-658
-248,665,-848
-345,593,-814
-379,521,-755
-388,510,-722
-420,565,-710
-485,636,-680
-553,675,-613
-574,722,-423
-533,791,-340
-493,858,-274
-476,875,-229
-484,839,-208
-507,800,-206
