x,y,z,s,e
257,579,-775,15:21:05,15:21:57
255,632,-779,15:21:05,15:21:57
252,690,-780,15:21:05,15:21:57
241,740,-763,15:21:05,15:21:57
215,786,-710,15:21:05,15:21:57
173,855,-617,15:21:05,15:21:57
128,961,-499,15:21:05,15:21:57
102,1145,-330,15:21:05,15:21:57
116,1137,-342,15:21:05,15:21:57
121,1092,-412,15:21:05,15:21:57
107,1064,-483,15:21:05,15:21:57
74,1038,-470,15:21:05,15:21:57
26,947,-321,15:21:05,15:21:57
-106,544,269,15:21:05,15:21:57
-194,379,567,15:21:05,15:21:57
-279,338,773,15:21:05,15:21:57
-329,439,831,15:21:05,15:21:57
-258,783,506,15:21:05,15:21:57
-216,815,309,15:21:05,15:21:57
-246,752,225,15:21:05,15:21:57
-336,719,258,15:21:05,15:21:57
-400,963,388,15:21:05,15:21:57
-372,1078,392,15:21:05,15:21:57
-454,1073,370,15:21:05,15:21:57
-1017,895,391,15:21:05,15:21:57
-1244,823,457,15:21:05,15:21:57
-1324,692,545,15:21:05,15:21:57
-1297,461,642,15:21:05,15:21:57
-1056,109,741,15:21:05,15:21:57
-908,215,659,15:21:05,15:21:57
-831,443,513,15:21:05,15:21:57
-829,634,396,15:21:05,15:21:57
-786,547,440,15:21:05,15:21:57
-757,311,553,15:21:05,15:21:57
-827,91,672,15:21:05,15:21:57
-1119,98,787,15:21:05,15:21:57
-1124,243,757,15:21:05,15:21:57
-1012,314,712,15:21:05,15:21:57
-881,290,688,15:21:05,15:21:57
-741,310,648,15:21:05,15:21:57
-661,395,574,15:21:05,15:21:57
-558,435,481,15:21:05,15:21:57
-468,260,385,15:21:05,15:21:57
-466,73,412,15:21:05,15:21:57
-441,-137,503,15:21:05,15:21:57
-414,-255,661,15:21:05,15:21:57
-479,185,869,15:21:05,15:21:57
-515,495,746,15:21:05,15:21:57
-554,583,545,15:21:05,15:21:57
-684,463,433,15:21:05,15:21:57
-1257,221,605,15:21:05,15:21:57
-1443,242,673,15:21:05,15:21:57
-1432,350,659,15:21:05,15:21:57
-1192,542,657,15:21:05,15:21:57
-1156,377,708,15:21:05,15:21:57
-1136,52,731,15:21:05,15:21:57
-1058,-216,698,15:21:05,15:21:57
-815,-30,533,15:21:05,15:21:57
-764,236,450,15:21:05,15:21:57
-764,404,393,15:21:05,15:21:57
-820,434,394,15:21:05,15:21:57
-889,428,432,15:21:05,15:21:57
-987,423,471,15:21:05,15:21:57
-1152,313,505,15:21:05,15:21:57
-1178,237,491,15:21:05,15:21:57
-1181,204,472,15:21:05,15:21:57
-1174,224,470,15:21:05,15:21:57
-1036,324,543,15:21:05,15:21:57
-861,315,578,15:21:05,15:21:57
-660,180,559,15:21:05,15:21:57
-494,-123,471,15:21:05,15:21:57
-411,-693,338,15:21:05,15:21:57
-518,-509,383,15:21:05,15:21:57
-662,-35,402,15:21:05,15:21:57
-721,444,169,15:21:05,15:21:57
-729,234,113,15:21:05,15:21:57
-917,44,206,15:21:05,15:21:57
-1279,54,374,15:21:05,15:21:57
-1700,137,533,15:21:05,15:21:57
-1516,-67,523,15:21:05,15:21:57
-1240,-318,528,15:21:05,15:21:57
-1062,-362,567,15:21:05,15:21:57
-1094,-153,519,15:21:05,15:21:57
-1068,72,424,15:21:05,15:21:57
-992,232,340,15:21:05,15:21:57
-953,298,376,15:21:05,15:21:57
-1009,271,458,15:21:05,15:21:57
-1057,240,521,15:21:05,15:21:57
-1055,171,525,15:21:05,15:21:57
-1041,151,511,15:21:05,15:21:57
-1045,179,532,15:21:05,15:21:57
