x,y,z,s,e
-794,217,-443,15:06:16,15:07:08
-735,340,-463,15:06:16,15:07:08
-668,425,-473,15:06:16,15:07:08
-594,455,-479,15:06:16,15:07:08
-521,444,-483,15:06:16,15:07:08
-473,438,-468,15:06:16,15:07:08
-468,480,-420,15:06:16,15:07:08
-486,562,-356,15:06:16,15:07:08
-482,669,-313,15:06:16,15:07:08
-473,672,-325,15:06:16,15:07:08
-487,671,-320,15:06:16,15:07:08
-523,658,-298,15:06:16,15:07:08
-569,604,-287,15:06:16,15:07:08
-626,509,-310,15:06:16,15:07:08
-711,417,-367,15:06:16,15:07:08
-825,373,-427,15:06:16,15:07:08
-940,376,-458,15:06:16,15:07:08
-1045,404,-435,15:06:16,15:07:08
-1041,418,-426,15:06:16,15:07:08
-1047,472,-417,15:06:16,15:07:08
-1082,587,-384,15:06:16,15:07:08
-1134,729,-329,15:06:16,15:07:08
-1176,823,-289,15:06:16,15:07:08
-1197,814,-281,15:06:16,15:07:08
-1210,580,-261,15:06:16,15:07:08
-1181,452,-240,15:06:16,15:07:08
-1087,322,-262,15:06:16,15:07:08
-939,181,-331,15:06:16,15:07:08
-800,52,-394,15:06:16,15:07:08
-733,-19,-394,15:06:16,15:07:08
-744,-9,-330,15:06:16,15:07:08
-779,78,-255,15:06:16,15:07:08
-751,333,-243,15:06:16,15:07:08
-717,405,-278,15:06:16,15:07:08
-707,430,-286,15:06:16,15:07:08
-710,453,-255,15:06:16,15:07:08
-709,504,-211,15:06:16,15:07:08
-699,568,-186,15:06:16,15:07:08
-687,609,-197,15:06:16,15:07:08
-671,592,-286,15:06:16,15:07:08
-678,579,-312,15:06:16,15:07:08
-715,565,-298,15:06:16,15:07:08
-786,525,-253,15:06:16,15:07:08
-858,454,-219,15:06:16,15:07:08
-879,381,-237,15:06:16,15:07:08
-834,337,-302,15:06:16,15:07:08
-779,319,-358,15:06:16,15:07:08
-892,236,-321,15:06:16,15:07:08
-1013,140,-304,15:06:16,15:07:08
-1086,49,-342,15:06:16,15:07:08
-1093,35,-406,15:06:16,15:07:08
-1055,141,-440,15:06:16,15:07:08
-988,330,-418,15:06:16,15:07:08
-904,502,-353,15:06:16,15:07:08
-832,586,-281,15:06:16,15:07:08
-845,589,-193,15:06:16,15:07:08
-908,600,-185,15:06:16,15:07:08
-959,638,-191,15:06:16,15:07:08
-992,702,-198,15:06:16,15:07:08
-1036,772,-210,15:06:16,15:07:08
-1122,782,-255,15:06:16,15:07:08
-1236,656,-366,15:06:16,15:07:08
-1264,68,-671,15:06:16,15:07:08
-1116,-171,-728,15:06:16,15:07:08
-958,-241,-691,15:06:16,15:07:08
-885,-146,-612,15:06:16,15:07:08
-902,33,-548,15:06:16,15:07:08
-932,200,-521,15:06:16,15:07:08
-917,313,-511,15:06:16,15:07:08
-836,431,-430,15:06:16,15:07:08
-817,457,-368,15:06:16,15:07:08
-764,506,-332,15:06:16,15:07:08
-656,629,-326,15:06:16,15:07:08
-491,932,-270,15:06:16,15:07:08
-509,927,-207,15:06:16,15:07:08
-532,802,-186,15:06:16,15:07:08
-514,628,-240,15:06:16,15:07:08
-544,343,-400,15:06:16,15:07:08
-691,266,-433,15:06:16,15:07:08
-862,200,-507,15:06:16,15:07:08
-971,128,-669,15:06:16,15:07:08
-979,178,-833,15:06:16,15:07:08
-971,372,-639,15:06:16,15:07:08
-978,576,-399,15:06:16,15:07:08
-981,698,-292,15:06:16,15:07:08
-1013,716,-414,15:06:16,15:07:08
-1064,671,-409,15:06:16,15:07:08
-1108,589,-355,15:06:16,15:07:08
-1118,483,-338,15:06:16,15:07:08
-1068,305,-421,15:06:16,15:07:08
-1037,204,-443,15:06:16,15:07:08
-1006,49,-479,15:06:16,15:07:08
-957,-251,-631,15:06:16,15:07:08
-960,-237,-636,15:06:16,15:07:08
-962,-80,-562,15:06:16,15:07:08
-893,162,-483,15:06:16,15:07:08
-357,638,-529,15:06:16,15:07:08
-42,804,-589,15:06:16,15:07:08
49,872,-583,15:06:16,15:07:08
-199,822,-489,15:06:16,15:07:08
-663,725,-322,15:06:16,15:07:08
-1022,692,-122,15:06:16,15:07:08
-801,651,60,15:06:16,15:07:08
-612,425,-110,15:06:16,15:07:08
-671,163,-381,15:06:16,15:07:08
-900,56,-554,15:06:16,15:07:08
-1120,233,-386,15:06:16,15:07:08
-1058,266,-333,15:06:16,15:07:08
-1001,260,-416,15:06:16,15:07:08
-989,297,-518,15:06:16,15:07:08
-952,479,-389,15:06:16,15:07:08
-898,531,-249,15:06:16,15:07:08
-874,565,-160,15:06:16,15:07:08
-904,610,-124,15:06:16,15:07:08
-967,655,-118,15:06:16,15:07:08
-1069,651,-209,15:06:16,15:07:08
-1123,585,-301,15:06:16,15:07:08
-1196,447,-386,15:06:16,15:07:08
-1263,206,-445,15:06:16,15:07:08
-1278,-101,-485,15:06:16,15:07:08
-1138,-400,-501,15:06:16,15:07:08
-1056,-222,-474,15:06:16,15:07:08
-990,67,-463,15:06:16,15:07:08
-913,313,-501,15:06:16,15:07:08
-799,450,-582,15:06:16,15:07:08
-550,559,-685,15:06:16,15:07:08
-526,558,-600,15:06:16,15:07:08
-597,505,-399,15:06:16,15:07:08
-696,457,-156,15:06:16,15:07:08
-687,543,-18,15:06:16,15:07:08
-612,539,-154,15:06:16,15:07:08
-583,427,-281,15:06:16,15:07:08
-617,295,-325,15:06:16,15:07:08
-755,269,-324,15:06:16,15:07:08
-830,261,-363,15:06:16,15:07:08
-887,196,-403,15:06:16,15:07:08
-891,182,-429,15:06:16,15:07:08
-850,327,-451,15:06:16,15:07:08
-842,753,-469,15:06:16,15:07:08
-894,748,-418,15:06:16,15:07:08
-930,644,-341,15:06:16,15:07:08
-954,602,-283,15:06:16,15:07:08
