x,y,z,s,e
-702,459,-539,16:35:16,16:40:08
-677,449,-556,16:35:16,16:40:08
-683,383,-583,16:35:16,16:40:08
-702,304,-544,16:35:16,16:40:08
-713,204,-521,16:35:16,16:40:08
-707,55,-670,16:35:16,16:40:08
-701,93,-760,16:35:16,16:40:08
-708,214,-779,16:35:16,16:40:08
-762,364,-713,16:35:16,16:40:08
-756,308,-765,16:35:16,16:40:08
-682,266,-887,16:35:16,16:40:08
-552,311,-1014,16:35:16,16:40:08
-328,445,-1102,16:35:16,16:40:08
-325,405,-1107,16:35:16,16:40:08
-421,333,-1123,16:35:16,16:40:08
-845,290,-1004,16:35:16,16:40:08
-1069,256,-817,16:35:16,16:40:08
-1200,166,-609,16:35:16,16:40:08
-1179,74,-445,16:35:16,16:40:08
-761,181,-302,16:35:16,16:40:08
-560,324,-313,16:35:16,16:40:08
-460,402,-411,16:35:16,16:40:08
-508,215,-845,16:35:16,16:40:08
-662,62,-945,16:35:16,16:40:08
-882,27,-826,16:35:16,16:40:08
-1049,149,-601,16:35:16,16:40:08
-965,320,-550,16:35:16,16:40:08
-878,193,-688,16:35:16,16:40:08
-861,72,-758,16:35:16,16:40:08
-868,66,-750,16:35:16,16:40:08
-802,151,-741,16:35:16,16:40:08
-753,130,-761,16:35:16,16:40:08
-702,123,-774,16:35:16,16:40:08
-595,219,-805,16:35:16,16:40:08
-577,258,-837,16:35:16,16:40:08
-587,270,-866,16:35:16,16:40:08
-605,273,-880,16:35:16,16:40:08
-626,304,-855,16:35:16,16:40:08
-648,305,-822,16:35:16,16:40:08
-677,266,-782,16:35:16,16:40:08
-702,93,-715,16:35:16,16:40:08
-678,19,-712,16:35:16,16:40:08
-643,-10,-722,16:35:16,16:40:08
-625,17,-713,16:35:16,16:40:08
-728,172,-582,16:35:16,16:40:08
-803,203,-549,16:35:16,16:40:08
-817,199,-615,16:35:16,16:40:08
-631,315,-886,16:35:16,16:40:08
-508,397,-943,16:35:16,16:40:08
-396,391,-928,16:35:16,16:40:08
-253,209,-812,16:35:16,16:40:08
