x,y,z,s,e
972,132,667,16:48:53,16:49:45
876,15,592,16:48:53,16:49:45
746,-39,542,16:48:53,16:49:45
597,-67,532,16:48:53,16:49:45
491,-45,578,16:48:53,16:49:45
550,151,796,16:48:53,16:49:45
694,227,818,16:48:53,16:49:45
856,204,699,16:48:53,16:49:45
1121,-6,438,16:48:53,16:49:45
1207,-39,483,16:48:53,16:49:45
1233,-3,541,16:48:53,16:49:45
1178,55,490,16:48:53,16:49:45
966,159,242,16:48:53,16:49:45
894,216,271,16:48:53,16:49:45
835,271,422,16:48:53,16:49:45
778,303,609,16:48:53,16:49:45
805,172,735,16:48:53,16:49:45
881,-26,634,16:48:53,16:49:45
907,-251,509,16:48:53,16:49:45
748,-422,406,16:48:53,16:49:45
688,-329,396,16:48:53,16:49:45
693,-196,398,16:48:53,16:49:45
735,-91,438,16:48:53,16:49:45
789,-16,621,16:48:53,16:49:45
803,-6,686,16:48:53,16:49:45
825,11,704,16:48:53,16:49:45
854,34,682,16:48:53,16:49:45
909,89,579,16:48:53,16:49:45
952,149,535,16:48:53,16:49:45
1030,249,517,16:48:53,16:49:45
1262,453,550,16:48:53,16:49:45
1343,483,552,16:48:53,16:49:45
1358,441,511,16:48:53,16:49:45
1308,314,443,16:48:53,16:49:45
1032,-135,326,16:48:53,16:49:45
833,-334,272,16:48:53,16:49:45
673,-423,227,16:48:53,16:49:45
643,-407,246,16:48:53,16:49:45
984,-281,510,16:48:53,16:49:45
1188,-219,574,16:48:53,16:49:45
1335,-127,500,16:48:53,16:49:45
1513,192,233,16:48:53,16:49:45
1518,366,208,16:48:53,16:49:45
1404,496,277,16:48:53,16:49:45
1162,567,405,16:48:53,16:49:45
705,512,681,16:48:53,16:49:45
737,310,734,16:48:53,16:49:45
910,7,649,16:48:53,16:49:45
1032,-266,426,16:48:53,16:49:45
797,-409,57,16:48:53,16:49:45
671,-412,112,16:48:53,16:49:45
685,-434,239,16:48:53,16:49:45
871,-289,331,16:48:53,16:49:45
913,-156,352,16:48:53,16:49:45
932,-91,407,16:48:53,16:49:45
944,-92,456,16:48:53,16:49:45
904,-17,417,16:48:53,16:49:45
876,80,368,16:48:53,16:49:45
881,154,334,16:48:53,16:49:45
920,187,321,16:48:53,16:49:45
1046,243,351,16:48:53,16:49:45
1148,307,398,16:48:53,16:49:45
