x,y,z,s,e
893,344,-316,16:36:06,16:36:59
854,347,-317,16:36:06,16:36:59
842,380,-303,16:36:06,16:36:59
912,432,-268,16:36:06,16:36:59
926,435,-248,16:36:06,16:36:59
906,430,-238,16:36:06,16:36:59
876,415,-248,16:36:06,16:36:59
866,404,-286,16:36:06,16:36:59
880,432,-271,16:36:06,16:36:59
895,459,-244,16:36:06,16:36:59
907,447,-234,16:36:06,16:36:59
909,350,-233,16:36:06,16:36:59
909,338,-186,16:36:06,16:36:59
935,368,-135,16:36:06,16:36:59
1080,464,-215,16:36:06,16:36:59
1096,497,-312,16:36:06,16:36:59
1013,505,-372,16:36:06,16:36:59
882,480,-383,16:36:06,16:36:59
794,398,-360,16:36:06,16:36:59
811,394,-337,16:36:06,16:36:59
784,428,-306,16:36:06,16:36:59
722,481,-281,16:36:06,16:36:59
705,552,-245,16:36:06,16:36:59
754,562,-224,16:36:06,16:36:59
791,561,-214,16:36:06,16:36:59
790,489,-284,16:36:06,16:36:59
755,432,-358,16:36:06,16:36:59
699,408,-426,16:36:06,16:36:59
640,437,-458,16:36:06,16:36:59
585,511,-419,16:36:06,16:36:59
597,490,-414,16:36:06,16:36:59
629,453,-439,16:36:06,16:36:59
684,442,-472,16:36:06,16:36:59
820,447,-514,16:36:06,16:36:59
818,377,-547,16:36:06,16:36:59
749,269,-583,16:36:06,16:36:59
657,139,-576,16:36:06,16:36:59
713,133,-539,16:36:06,16:36:59
788,134,-511,16:36:06,16:36:59
834,141,-506,16:36:06,16:36:59
867,195,-537,16:36:06,16:36:59
911,204,-551,16:36:06,16:36:59
983,169,-562,16:36:06,16:36:59
1132,80,-557,16:36:06,16:36:59
1127,147,-515,16:36:06,16:36:59
1026,297,-454,16:36:06,16:36:59
862,437,-409,16:36:06,16:36:59
660,405,-465,16:36:06,16:36:59
675,311,-547,16:36:06,16:36:59
698,273,-620,16:36:06,16:36:59
685,299,-650,16:36:06,16:36:59
663,340,-607,16:36:06,16:36:59
799,378,-332,16:36:06,16:36:59
959,384,-211,16:36:06,16:36:59
1114,378,-195,16:36:06,16:36:59
1212,355,-277,16:36:06,16:36:59
1221,325,-373,16:36:06,16:36:59
1140,293,-403,16:36:06,16:36:59
895,218,-363,16:36:06,16:36:59
820,230,-395,16:36:06,16:36:59
782,307,-421,16:36:06,16:36:59
766,408,-386,16:36:06,16:36:59
772,476,-313,16:36:06,16:36:59
801,501,-274,16:36:06,16:36:59
831,516,-307,16:36:06,16:36:59
796,541,-437,16:36:06,16:36:59
739,494,-463,16:36:06,16:36:59
692,424,-475,16:36:06,16:36:59
676,399,-473,16:36:06,16:36:59
685,451,-433,16:36:06,16:36:59
702,537,-352,16:36:06,16:36:59
712,543,-248,16:36:06,16:36:59
719,470,-258,16:36:06,16:36:59
742,400,-271,16:36:06,16:36:59
778,334,-286,16:36:06,16:36:59
804,260,-345,16:36:06,16:36:59
795,206,-471,16:36:06,16:36:59
752,219,-618,16:36:06,16:36:59
707,349,-690,16:36:06,16:36:59
751,344,-613,16:36:06,16:36:59
807,282,-538,16:36:06,16:36:59
836,213,-504,16:36:06,16:36:59
836,174,-508,16:36:06,16:36:59
843,169,-538,16:36:06,16:36:59
887,184,-581,16:36:06,16:36:59
1074,156,-642,16:36:06,16:36:59
1184,87,-618,16:36:06,16:36:59
1261,48,-544,16:36:06,16:36:59
1259,124,-431,16:36:06,16:36:59
1156,330,-309,16:36:06,16:36:59
983,557,-224,16:36:06,16:36:59
805,658,-221,16:36:06,16:36:59
626,446,-240,16:36:06,16:36:59
646,354,-243,16:36:06,16:36:59
724,346,-267,16:36:06,16:36:59
918,400,-484,16:36:06,16:36:59
968,414,-558,16:36:06,16:36:59
996,406,-497,16:36:06,16:36:59
1043,362,-332,16:36:06,16:36:59
1111,307,-186,16:36:06,16:36:59
1138,304,-154,16:36:06,16:36:59
890,504,-282,16:36:06,16:36:59
744,584,-285,16:36:06,16:36:59
713,588,-253,16:36:06,16:36:59
776,538,-243,16:36:06,16:36:59
832,480,-272,16:36:06,16:36:59
815,443,-314,16:36:06,16:36:59
695,433,-356,16:36:06,16:36:59
692,461,-365,16:36:06,16:36:59
717,514,-368,16:36:06,16:36:59
730,571,-353,16:36:06,16:36:59
718,593,-320,16:36:06,16:36:59
701,560,-286,16:36:06,16:36:59
694,483,-276,16:36:06,16:36:59
673,318,-373,16:36:06,16:36:59
653,262,-473,16:36:06,16:36:59
656,227,-576,16:36:06,16:36:59
705,218,-646,16:36:06,16:36:59
796,237,-661,16:36:06,16:36:59
892,269,-638,16:36:06,16:36:59
945,282,-626,16:36:06,16:36:59
921,244,-649,16:36:06,16:36:59
933,186,-663,16:36:06,16:36:59
1000,119,-665,16:36:06,16:36:59
1087,53,-666,16:36:06,16:36:59
1144,22,-652,16:36:06,16:36:59
1078,236,-446,16:36:06,16:36:59
960,439,-283,16:36:06,16:36:59
817,569,-156,16:36:06,16:36:59
708,558,-86,16:36:06,16:36:59
694,452,-60,16:36:06,16:36:59
764,377,-99,16:36:06,16:36:59
836,411,-262,16:36:06,16:36:59
849,520,-789,16:36:06,16:36:59
897,377,-807,16:36:06,16:36:59
975,162,-572,16:36:06,16:36:59
974,58,-274,16:36:06,16:36:59
838,158,-131,16:36:06,16:36:59
651,386,-174,16:36:06,16:36:59
551,593,-269,16:36:06,16:36:59
576,703,-312,16:36:06,16:36:59
704,697,-480,16:36:06,16:36:59
708,596,-701,16:36:06,16:36:59
692,433,-869,16:36:06,16:36:59
671,275,-843,16:36:06,16:36:59
645,210,-638,16:36:06,16:36:59
627,268,-416,16:36:06,16:36:59
689,482,-352,16:36:06,16:36:59
739,497,-377,16:36:06,16:36:59
756,465,-319,16:36:06,16:36:59
738,441,-221,16:36:06,16:36:59
718,433,-170,16:36:06,16:36:59
728,403,-205,16:36:06,16:36:59
767,312,-306,16:36:06,16:36:59
808,37,-556,16:36:06,16:36:59
782,-34,-648,16:36:06,16:36:59
762,-26,-708,16:36:06,16:36:59
780,34,-747,16:36:06,16:36:59
847,115,-769,16:36:06,16:36:59
951,202,-755,16:36:06,16:36:59
1063,287,-698,16:36:06,16:36:59
1170,320,-594,16:36:06,16:36:59
1116,261,-595,16:36:06,16:36:59
1003,246,-589,16:36:06,16:36:59
860,338,-531,16:36:06,16:36:59
716,494,-420,16:36:06,16:36:59
599,591,-293,16:36:06,16:36:59
549,547,-197,16:36:06,16:36:59
609,413,-181,16:36:06,16:36:59
986,307,-469,16:36:06,16:36:59
1110,356,-694,16:36:06,16:36:59
1084,361,-850,16:36:06,16:36:59
968,290,-841,16:36:06,16:36:59
884,213,-646,16:36:06,16:36:59
875,227,-372,16:36:06,16:36:59
862,353,-208,16:36:06,16:36:59
611,627,-412,16:36:06,16:36:59
508,647,-513,16:36:06,16:36:59
494,618,-491,16:36:06,16:36:59
508,595,-436,16:36:06,16:36:59
483,596,-447,16:36:06,16:36:59
392,563,-579,16:36:06,16:36:59
406,521,-585,16:36:06,16:36:59
445,508,-562,16:36:06,16:36:59
473,538,-549,16:36:06,16:36:59
491,619,-513,16:36:06,16:36:59
519,631,-456,16:36:06,16:36:59
575,629,-416,16:36:06,16:36:59
722,532,-517,16:36:06,16:36:59
777,443,-584,16:36:06,16:36:59
790,387,-605,16:36:06,16:36:59
754,389,-604,16:36:06,16:36:59
622,447,-671,16:36:06,16:36:59
593,465,-709,16:36:06,16:36:59
614,489,-700,16:36:06,16:36:59
685,505,-651,16:36:06,16:36:59
924,390,-549,16:36:06,16:36:59
1031,296,-525,16:36:06,16:36:59
1079,247,-520,16:36:06,16:36:59
983,263,-521,16:36:06,16:36:59
929,254,-464,16:36:06,16:36:59
936,237,-351,16:36:06,16:36:59
995,252,-207,16:36:06,16:36:59
1084,371,40,16:36:06,16:36:59
1075,380,83,16:36:06,16:36:59
1068,327,28,16:36:06,16:36:59
1082,261,-107,16:36:06,16:36:59
1073,272,-338,16:36:06,16:36:59
1004,326,-344,16:36:06,16:36:59
918,371,-312,16:36:06,16:36:59
831,439,-229,16:36:06,16:36:59
822,492,-161,16:36:06,16:36:59
800,565,-103,16:36:06,16:36:59
757,640,-96,16:36:06,16:36:59
684,679,-216,16:36:06,16:36:59
678,634,-260,16:36:06,16:36:59
677,590,-265,16:36:06,16:36:59
660,577,-245,16:36:06,16:36:59
576,586,-220,16:36:06,16:36:59
545,567,-231,16:36:06,16:36:59
548,532,-262,16:36:06,16:36:59
622,447,-429,16:36:06,16:36:59
669,390,-551,16:36:06,16:36:59
738,325,-659,16:36:06,16:36:59
833,279,-734,16:36:06,16:36:59
