x,y,z,s,e
297,353,-813,14:49:53,14:50:45
281,323,-853,14:49:53,14:50:45
275,308,-898,14:49:53,14:50:45
286,301,-965,14:49:53,14:50:45
297,306,-962,14:49:53,14:50:45
308,321,-927,14:49:53,14:50:45
312,352,-877,14:49:53,14:50:45
305,397,-840,14:49:53,14:50:45
288,453,-829,14:49:53,14:50:45
267,507,-830,14:49:53,14:50:45
244,544,-824,14:49:53,14:50:45
189,559,-804,14:49:53,14:50:45
156,576,-812,14:49:53,14:50:45
127,626,-811,14:49:53,14:50:45
105,698,-782,14:49:53,14:50:45
87,765,-741,14:49:53,14:50:45
69,801,-722,14:49:53,14:50:45
55,769,-775,14:49:53,14:50:45
72,736,-793,14:49:53,14:50:45
101,718,-775,14:49:53,14:50:45
129,720,-722,14:49:53,14:50:45
150,732,-651,14:49:53,14:50:45
152,738,-591,14:49:53,14:50:45
137,728,-568,14:49:53,14:50:45
119,669,-627,14:49:53,14:50:45
192,628,-654,14:49:53,14:50:45
284,583,-663,14:49:53,14:50:45
362,550,-669,14:49:53,14:50:45
390,548,-685,14:49:53,14:50:45
369,574,-697,14:49:53,14:50:45
340,587,-684,14:49:53,14:50:45
346,539,-648,14:49:53,14:50:45
396,439,-644,14:49:53,14:50:45
484,392,-905,14:49:53,14:50:45
457,504,-1048,14:49:53,14:50:45
392,601,-1035,14:49:53,14:50:45
331,595,-852,14:49:53,14:50:45
302,497,-616,14:49:53,14:50:45
314,392,-471,14:49:53,14:50:45
357,356,-472,14:49:53,14:50:45
409,383,-578,14:49:53,14:50:45
477,367,-808,14:49:53,14:50:45
485,282,-847,14:49:53,14:50:45
480,217,-831,14:49:53,14:50:45
462,225,-794,14:49:53,14:50:45
436,313,-780,14:49:53,14:50:45
404,451,-813,14:49:53,14:50:45
318,720,-894,14:49:53,14:50:45
258,800,-861,14:49:53,14:50:45
193,832,-799,14:49:53,14:50:45
133,827,-772,14:49:53,14:50:45
89,807,-817,14:49:53,14:50:45
55,790,-915,14:49:53,14:50:45
18,783,-996,14:49:53,14:50:45
-91,778,-854,14:49:53,14:50:45
-120,757,-671,14:49:53,14:50:45
-79,712,-541,14:49:53,14:50:45
38,635,-519,14:49:53,14:50:45
197,537,-555,14:49:53,14:50:45
342,454,-561,14:49:53,14:50:45
439,430,-503,14:49:53,14:50:45
496,480,-430,14:49:53,14:50:45
596,700,-398,14:49:53,14:50:45
633,791,-414,14:49:53,14:50:45
629,821,-420,14:49:53,14:50:45
583,774,-411,14:49:53,14:50:45
527,665,-396,14:49:53,14:50:45
494,540,-388,14:49:53,14:50:45
489,440,-419,14:49:53,14:50:45
466,325,-684,14:49:53,14:50:45
429,286,-857,14:49:53,14:50:45
395,262,-972,14:49:53,14:50:45
383,261,-999,14:49:53,14:50:45
390,281,-961,14:49:53,14:50:45
401,314,-909,14:49:53,14:50:45
398,352,-883,14:49:53,14:50:45
380,397,-889,14:49:53,14:50:45
328,492,-913,14:49:53,14:50:45
300,519,-888,14:49:53,14:50:45
277,524,-839,14:49:53,14:50:45
273,517,-790,14:49:53,14:50:45
299,515,-761,14:49:53,14:50:45
347,528,-762,14:49:53,14:50:45
389,550,-792,14:49:53,14:50:45
354,591,-889,14:49:53,14:50:45
283,614,-904,14:49:53,14:50:45
211,650,-875,14:49:53,14:50:45
151,699,-832,14:49:53,14:50:45
103,755,-834,14:49:53,14:50:45
67,798,-903,14:49:53,14:50:45
61,801,-988,14:49:53,14:50:45
194,645,-887,14:49:53,14:50:45
299,534,-698,14:49:53,14:50:45
377,447,-524,14:49:53,14:50:45
420,400,-423,14:49:53,14:50:45
447,402,-385,14:49:53,14:50:45
484,466,-363,14:49:53,14:50:45
