x,y,z,s,e
-928,376,-350,16:18:03,16:18:55
-848,328,-255,16:18:03,16:18:55
-789,367,-233,16:18:03,16:18:55
-801,407,-433,16:18:03,16:18:55
-830,313,-500,16:18:03,16:18:55
-834,227,-483,16:18:03,16:18:55
-810,208,-415,16:18:03,16:18:55
-768,269,-296,16:18:03,16:18:55
-778,290,-274,16:18:03,16:18:55
-788,310,-272,16:18:03,16:18:55
-748,334,-302,16:18:03,16:18:55
-738,325,-333,16:18:03,16:18:55
-753,315,-359,16:18:03,16:18:55
-764,323,-356,16:18:03,16:18:55
-733,397,-273,16:18:03,16:18:55
-792,428,-282,16:18:03,16:18:55
-942,439,-362,16:18:03,16:18:55
-1190,427,-484,16:18:03,16:18:55
-1168,400,-379,16:18:03,16:18:55
-1119,333,-205,16:18:03,16:18:55
-1120,220,-77,16:18:03,16:18:55
-1195,-7,-115,16:18:03,16:18:55
-1191,-65,-145,16:18:03,16:18:55
-1185,-106,-106,16:18:03,16:18:55
-1213,-157,-27,16:18:03,16:18:55
-1289,-229,57,16:18:03,16:18:55
-1254,-194,39,16:18:03,16:18:55
-1167,-115,2,16:18:03,16:18:55
-991,129,-53,16:18:03,16:18:55
-948,281,-66,16:18:03,16:18:55
-928,413,-81,16:18:03,16:18:55
-928,471,-91,16:18:03,16:18:55
-1048,332,-46,16:18:03,16:18:55
-1171,238,-38,16:18:03,16:18:55
-1282,185,-80,16:18:03,16:18:55
-1316,149,-201,16:18:03,16:18:55
-1119,98,-216,16:18:03,16:18:55
-1013,166,-224,16:18:03,16:18:55
-972,272,-258,16:18:03,16:18:55
-938,240,-383,16:18:03,16:18:55
-887,158,-429,16:18:03,16:18:55
-845,169,-450,16:18:03,16:18:55
-825,268,-449,16:18:03,16:18:55
-694,411,-361,16:18:03,16:18:55
-560,418,-281,16:18:03,16:18:55
-467,420,-216,16:18:03,16:18:55
-592,408,-228,16:18:03,16:18:55
-708,395,-251,16:18:03,16:18:55
-768,389,-237,16:18:03,16:18:55
-783,389,-203,16:18:03,16:18:55
-902,366,-219,16:18:03,16:18:55
-1018,335,-249,16:18:03,16:18:55
-1113,300,-247,16:18:03,16:18:55
-1160,283,-218,16:18:03,16:18:55
-1186,330,-234,16:18:03,16:18:55
-1204,319,-275,16:18:03,16:18:55
-1223,225,-269,16:18:03,16:18:55
-1164,-10,-112,16:18:03,16:18:55
-1063,-8,-89,16:18:03,16:18:55
-968,40,-146,16:18:03,16:18:55
-935,44,-222,16:18:03,16:18:55
-1019,-82,-224,16:18:03,16:18:55
-1043,-56,-208,16:18:03,16:18:55
-1041,66,-246,16:18:03,16:18:55
-1014,331,-386,16:18:03,16:18:55
-974,369,-398,16:18:03,16:18:55
-942,357,-353,16:18:03,16:18:55
-971,319,-271,16:18:03,16:18:55
-1164,268,-161,16:18:03,16:18:55
-1197,321,-208,16:18:03,16:18:55
-1161,400,-306,16:18:03,16:18:55
-1089,430,-397,16:18:03,16:18:55
-925,335,-470,16:18:03,16:18:55
-861,308,-486,16:18:03,16:18:55
-832,275,-513,16:18:03,16:18:55
-800,143,-561,16:18:03,16:18:55
-748,162,-534,16:18:03,16:18:55
-696,249,-480,16:18:03,16:18:55
-668,326,-439,16:18:03,16:18:55
-649,290,-413,16:18:03,16:18:55
-634,245,-372,16:18:03,16:18:55
-622,272,-325,16:18:03,16:18:55
-619,526,-324,16:18:03,16:18:55
-671,572,-336,16:18:03,16:18:55
-792,483,-336,16:18:03,16:18:55
-958,341,-333,16:18:03,16:18:55
-1144,379,-295,16:18:03,16:18:55
-1085,536,-277,16:18:03,16:18:55
-987,593,-303,16:18:03,16:18:55
-948,470,-354,16:18:03,16:18:55
-1119,74,-250,16:18:03,16:18:55
-1190,-11,-108,16:18:03,16:18:55
-1195,-78,-25,16:18:03,16:18:55
-1166,-263,-95,16:18:03,16:18:55
-1162,-254,-121,16:18:03,16:18:55
-1120,-161,-94,16:18:03,16:18:55
-1040,-54,-47,16:18:03,16:18:55
-978,154,-49,16:18:03,16:18:55
-1050,283,-82,16:18:03,16:18:55
-1131,363,-82,16:18:03,16:18:55
-1149,268,50,16:18:03,16:18:55
-1135,218,72,16:18:03,16:18:55
-1165,225,-11,16:18:03,16:18:55
-1221,248,-153,16:18:03,16:18:55
-1200,213,-204,16:18:03,16:18:55
-1105,197,-113,16:18:03,16:18:55
-1025,189,-86,16:18:03,16:18:55
-997,186,-172,16:18:03,16:18:55
-980,307,-410,16:18:03,16:18:55
-919,390,-424,16:18:03,16:18:55
-837,397,-378,16:18:03,16:18:55
-719,384,-269,16:18:03,16:18:55
-676,480,-217,16:18:03,16:18:55
-640,541,-153,16:18:03,16:18:55
-631,489,-98,16:18:03,16:18:55
-709,390,-103,16:18:03,16:18:55
-741,488,-137,16:18:03,16:18:55
-754,587,-143,16:18:03,16:18:55
-813,512,-63,16:18:03,16:18:55
-883,404,-36,16:18:03,16:18:55
-964,321,-51,16:18:03,16:18:55
-1038,275,-99,16:18:03,16:18:55
-1146,285,-197,16:18:03,16:18:55
-1187,346,-201,16:18:03,16:18:55
-1226,399,-153,16:18:03,16:18:55
-1253,367,-58,16:18:03,16:18:55
-1189,50,55,16:18:03,16:18:55
-1096,-61,-26,16:18:03,16:18:55
-1015,-82,-152,16:18:03,16:18:55
-1008,-14,-248,16:18:03,16:18:55
-1041,39,-247,16:18:03,16:18:55
-1035,96,-276,16:18:03,16:18:55
-983,139,-305,16:18:03,16:18:55
-935,261,-207,16:18:03,16:18:55
-1003,356,-133,16:18:03,16:18:55
-1081,386,-95,16:18:03,16:18:55
-1114,217,-157,16:18:03,16:18:55
-1114,164,-271,16:18:03,16:18:55
