x,y,z,s,e
-1037,389,-49,15:52:31,15:53:22
-963,309,-80,15:52:31,15:53:22
-892,274,-124,15:52:31,15:53:22
-875,264,-266,15:52:31,15:53:22
-921,202,-346,15:52:31,15:53:22
-967,125,-427,15:52:31,15:53:22
-983,173,-541,15:52:31,15:53:22
-935,284,-507,15:52:31,15:53:22
-868,356,-431,15:52:31,15:53:22
-809,349,-384,15:52:31,15:53:22
-761,282,-447,15:52:31,15:53:22
-746,312,-465,15:52:31,15:53:22
-724,375,-441,15:52:31,15:53:22
-698,441,-406,15:52:31,15:53:22
-639,547,-414,15:52:31,15:53:22
-601,593,-406,15:52:31,15:53:22
-577,625,-322,15:52:31,15:53:22
-654,613,-73,15:52:31,15:53:22
-740,583,-71,15:52:31,15:53:22
-831,545,-145,15:52:31,15:53:22
-917,493,-198,15:52:31,15:53:22
-1010,362,-127,15:52:31,15:53:22
-1001,305,-113,15:52:31,15:53:22
-981,258,-162,15:52:31,15:53:22
-995,157,-303,15:52:31,15:53:22
-1034,91,-315,15:52:31,15:53:22
-1100,28,-275,15:52:31,15:53:22
-1194,2,-203,15:52:31,15:53:22
-1313,143,-63,15:52:31,15:53:22
-1257,249,-20,15:52:31,15:53:22
-1154,307,7,15:52:31,15:53:22
-1069,309,35,15:52:31,15:53:22
-1026,297,98,15:52:31,15:53:22
-1015,323,91,15:52:31,15:53:22
-983,352,20,15:52:31,15:53:22
-934,334,-197,15:52:31,15:53:22
-962,271,-249,15:52:31,15:53:22
-1018,204,-282,15:52:31,15:53:22
-1056,180,-331,15:52:31,15:53:22
-946,274,-343,15:52:31,15:53:22
-846,335,-258,15:52:31,15:53:22
-773,398,-189,15:52:31,15:53:22
-681,555,-195,15:52:31,15:53:22
-623,611,-176,15:52:31,15:53:22
-574,633,-127,15:52:31,15:53:22
-558,638,-94,15:52:31,15:53:22
-608,634,-121,15:52:31,15:53:22
-648,610,-128,15:52:31,15:53:22
-693,573,-113,15:52:31,15:53:22
-749,535,-92,15:52:31,15:53:22
-924,425,-99,15:52:31,15:53:22
-1043,332,-142,15:52:31,15:53:22
-1150,215,-207,15:52:31,15:53:22
-1204,-69,-312,15:52:31,15:53:22
-1173,-188,-322,15:52:31,15:53:22
-1162,-205,-327,15:52:31,15:53:22
-1179,-77,-347,15:52:31,15:53:22
-1172,374,-330,15:52:31,15:53:22
-1109,510,-223,15:52:31,15:53:22
-1031,548,-69,15:52:31,15:53:22
-967,524,71,15:52:31,15:53:22
-948,408,37,15:52:31,15:53:22
-985,331,-169,15:52:31,15:53:22
-1033,246,-376,15:52:31,15:53:22
-1110,127,-396,15:52:31,15:53:22
-1104,139,-337,15:52:31,15:53:22
-1039,200,-365,15:52:31,15:53:22
-921,280,-437,15:52:31,15:53:22
-694,404,-449,15:52:31,15:53:22
-629,454,-452,15:52:31,15:53:22
-576,510,-495,15:52:31,15:53:22
-486,621,-522,15:52:31,15:53:22
-487,675,-477,15:52:31,15:53:22
-531,712,-423,15:52:31,15:53:22
-605,698,-356,15:52:31,15:53:22
-795,539,-144,15:52:31,15:53:22
-893,486,-62,15:52:31,15:53:22
-966,468,-49,15:52:31,15:53:22
-997,447,-99,15:52:31,15:53:22
-977,281,-290,15:52:31,15:53:22
-981,146,-393,15:52:31,15:53:22
-1005,29,-470,15:52:31,15:53:22
-1106,53,-428,15:52:31,15:53:22
-1188,198,-303,15:52:31,15:53:22
-1251,356,-140,15:52:31,15:53:22
-1237,464,22,15:52:31,15:53:22
-1015,490,215,15:52:31,15:53:22
-958,438,185,15:52:31,15:53:22
-980,368,57,15:52:31,15:53:22
-1064,244,-224,15:52:31,15:53:22
-1078,184,-232,15:52:31,15:53:22
-1084,124,-191,15:52:31,15:53:22
-1067,116,-194,15:52:31,15:53:22
-924,333,-348,15:52:31,15:53:22
-850,417,-370,15:52:31,15:53:22
-805,416,-328,15:52:31,15:53:22
-772,408,-257,15:52:31,15:53:22
-705,599,-66,15:52:31,15:53:22
-685,655,41,15:52:31,15:53:22
-665,593,91,15:52:31,15:53:22
-613,467,-69,15:52:31,15:53:22
-641,529,-136,15:52:31,15:53:22
-727,585,-116,15:52:31,15:53:22
-827,552,-60,15:52:31,15:53:22
-937,327,-73,15:52:31,15:53:22
-985,233,-115,15:52:31,15:53:22
-1064,152,-132,15:52:31,15:53:22
-1214,7,-143,15:52:31,15:53:22
-1214,11,-181,15:52:31,15:53:22
-1165,101,-234,15:52:31,15:53:22
-1103,243,-268,15:52:31,15:53:22
-1045,434,-134,15:52:31,15:53:22
-1035,435,9,15:52:31,15:53:22
-1008,411,117,15:52:31,15:53:22
-965,385,136,15:52:31,15:53:22
-968,333,9,15:52:31,15:53:22
-1046,309,-24,15:52:31,15:53:22
-1132,286,-47,15:52:31,15:53:22
-1145,235,-204,15:52:31,15:53:22
-1072,263,-251,15:52:31,15:53:22
-976,363,-223,15:52:31,15:53:22
-864,497,-184,15:52:31,15:53:22
-619,639,-300,15:52:31,15:53:22
-533,654,-364,15:52:31,15:53:22
-492,681,-363,15:52:31,15:53:22
-509,698,-292,15:52:31,15:53:22
-551,640,-272,15:52:31,15:53:22
-619,567,-247,15:52:31,15:53:22
-707,522,-210,15:52:31,15:53:22
-895,494,-143,15:52:31,15:53:22
-977,440,-139,15:52:31,15:53:22
-1046,348,-159,15:52:31,15:53:22
-1099,248,-198,15:52:31,15:53:22
-1145,91,-316,15:52:31,15:53:22
-1156,36,-381,15:52:31,15:53:22
-1176,22,-418,15:52:31,15:53:22
-1202,221,-255,15:52:31,15:53:22
-1155,409,-66,15:52:31,15:53:22
-1069,573,107,15:52:31,15:53:22
-984,657,208,15:52:31,15:53:22
-933,627,198,15:52:31,15:53:22
-954,599,126,15:52:31,15:53:22
-985,585,14,15:52:31,15:53:22
-1078,480,-238,15:52:31,15:53:22
-1104,350,-277,15:52:31,15:53:22
-1052,246,-247,15:52:31,15:53:22
-910,260,-216,15:52:31,15:53:22
-635,517,-362,15:52:31,15:53:22
-612,566,-456,15:52:31,15:53:22
-635,549,-463,15:52:31,15:53:22
-657,526,-384,15:52:31,15:53:22
-675,495,-196,15:52:31,15:53:22
-680,485,-138,15:52:31,15:53:22
-668,518,-86,15:52:31,15:53:22
-632,681,-8,15:52:31,15:53:22
-659,708,-24,15:52:31,15:53:22
-715,667,-84,15:52:31,15:53:22
-770,584,-164,15:52:31,15:53:22
-837,392,-262,15:52:31,15:53:22
-915,297,-285,15:52:31,15:53:22
-1055,203,-322,15:52:31,15:53:22
-1308,2,-326,15:52:31,15:53:22
-1317,-43,-198,15:52:31,15:53:22
-1286,26,-11,15:52:31,15:53:22
-1262,196,154,15:52:31,15:53:22
-1164,447,297,15:52:31,15:53:22
-1068,490,310,15:52:31,15:53:22
-1006,545,293,15:52:31,15:53:22
-1005,586,238,15:52:31,15:53:22
-1002,393,16,15:52:31,15:53:22
-940,265,-112,15:52:31,15:53:22
-869,256,-198,15:52:31,15:53:22
-769,496,-176,15:52:31,15:53:22
-730,571,-151,15:52:31,15:53:22
-694,586,-154,15:52:31,15:53:22
-660,592,-149,15:52:31,15:53:22
