x,y,z,s,e
-813,977,69,13:31:10,13:32:02
-805,1073,-115,13:31:10,13:32:02
-799,1058,-201,13:31:10,13:32:02
-770,980,-190,13:31:10,13:32:02
-769,1019,-178,13:31:10,13:32:02
-767,1072,-159,13:31:10,13:32:02
-748,1112,-109,13:31:10,13:32:02
-652,1172,36,13:31:10,13:32:02
-607,1145,70,13:31:10,13:32:02
-577,1050,66,13:31:10,13:32:02
-526,865,-21,13:31:10,13:32:02
-489,852,-75,13:31:10,13:32:02
-458,840,-106,13:31:10,13:32:02
-446,768,-109,13:31:10,13:32:02
-402,485,-114,13:31:10,13:32:02
-330,417,-149,13:31:10,13:32:02
-243,449,-188,13:31:10,13:32:02
-170,518,-214,13:31:10,13:32:02
-54,475,-266,13:31:10,13:32:02
4,396,-312,13:31:10,13:32:02
4,396,-312,13:32:09,13:33:01
41,351,-370,13:32:09,13:33:01
-27,292,-529,13:32:09,13:33:01
-111,221,-632,13:32:09,13:33:01
-185,167,-761,13:32:09,13:33:01
-225,179,-919,13:32:09,13:33:01
-264,236,-1166,13:32:09,13:33:01
-292,159,-1180,13:32:09,13:33:01
-311,66,-1166,13:32:09,13:33:01
-310,56,-1187,13:32:09,13:33:01
-303,246,-1299,13:32:09,13:33:01
-282,294,-1295,13:32:09,13:33:01
-221,278,-1259,13:32:09,13:33:01
-92,234,-1230,13:32:09,13:33:01
-103,276,-1221,13:32:09,13:33:01
-144,356,-1176,13:32:09,13:33:01
-172,445,-1093,13:32:09,13:33:01
-147,538,-913,13:32:09,13:33:01
-110,529,-866,13:32:09,13:33:01
-59,496,-851,13:32:09,13:33:01
-9,449,-834,13:32:09,13:33:01
-10,351,-630,13:32:09,13:33:01
-38,313,-443,13:32:09,13:33:01
-43,277,-261,13:32:09,13:33:01
-36,255,-123,13:32:09,13:33:01
-144,312,17,13:32:09,13:33:01
-252,376,64,13:32:09,13:33:01
-351,446,121,13:32:09,13:33:01
-434,528,167,13:32:09,13:33:01
-577,641,96,13:32:09,13:33:01
-640,621,44,13:32:09,13:33:01
-716,630,84,13:32:09,13:33:01
-821,751,202,13:32:09,13:33:01
-1008,1047,285,13:32:09,13:33:01
-1028,1034,209,13:32:09,13:33:01
-1016,983,153,13:32:09,13:33:01
-998,973,157,13:32:09,13:33:01
-934,898,215,13:32:09,13:33:01
-901,853,238,13:32:09,13:33:01
-907,935,276,13:32:09,13:33:01
-952,1053,280,13:32:09,13:33:01
-874,802,179,13:32:09,13:33:01
-750,570,49,13:32:09,13:33:01
-686,667,-28,13:32:09,13:33:01
-938,1483,118,13:32:09,13:33:01
-1098,1543,236,13:32:09,13:33:01
-1136,1325,259,13:32:09,13:33:01
-1056,1123,177,13:32:09,13:33:01
-860,1162,16,13:32:09,13:33:01
-803,1103,41,13:32:09,13:33:01
-740,914,104,13:32:09,13:33:01
-679,758,156,13:32:09,13:33:01
-654,924,109,13:32:09,13:33:01
-632,1060,44,13:32:09,13:33:01
-556,1087,33,13:32:09,13:33:01
-454,1026,90,13:32:09,13:33:01
-325,855,105,13:32:09,13:33:01
-285,779,-1,13:32:09,13:33:01
-243,710,-101,13:32:09,13:33:01
-206,639,-152,13:32:09,13:33:01
-150,492,-225,13:32:09,13:33:01
-114,443,-271,13:32:09,13:33:01
-56,389,-297,13:32:09,13:33:01
35,291,-305,13:32:09,13:33:01
209,66,-310,13:32:09,13:33:01
185,50,-332,13:32:09,13:33:01
91,62,-452,13:32:09,13:33:01
-54,-69,-1103,13:32:09,13:33:01
-91,-116,-1398,13:32:09,13:33:01
-149,-42,-1480,13:32:09,13:33:01
-205,110,-1374,13:32:09,13:33:01
-141,299,-1057,13:32:09,13:33:01
-81,294,-993,13:32:09,13:33:01
-89,243,-1033,13:32:09,13:33:01
-159,154,-1162,13:32:09,13:33:01
-250,49,-1294,13:32:09,13:33:01
-222,118,-1193,13:32:09,13:33:01
-170,223,-1084,13:32:09,13:33:01
-112,309,-1044,13:32:09,13:33:01
-8,467,-1005,13:32:09,13:33:01
24,560,-925,13:32:09,13:33:01
51,623,-856,13:32:09,13:33:01
85,641,-829,13:32:09,13:33:01
170,602,-778,13:32:09,13:33:01
184,543,-687,13:32:09,13:33:01
170,456,-545,13:32:09,13:33:01
136,376,-358,13:32:09,13:33:01
31,372,41,13:32:09,13:33:01
-26,436,172,13:32:09,13:33:01
-75,498,246,13:32:09,13:33:01
-109,520,291,13:32:09,13:33:01
-178,473,326,13:32:09,13:33:01
-256,487,313,13:32:09,13:33:01
-368,556,308,13:32:09,13:33:01
-575,744,359,13:32:09,13:33:01
-618,810,377,13:32:09,13:33:01
-628,846,366,13:32:09,13:33:01
-636,854,346,13:32:09,13:33:01
-696,847,380,13:32:09,13:33:01
-725,877,409,13:32:09,13:33:01
-749,942,391,13:32:09,13:33:01
-784,1022,324,13:32:09,13:33:01
-868,1054,254,13:32:09,13:33:01
-847,976,290,13:32:09,13:33:01
-774,925,303,13:32:09,13:33:01
-708,1024,264,13:32:09,13:33:01
-774,1523,242,13:32:09,13:33:01
-802,1484,330,13:32:09,13:33:01
-750,1188,423,13:32:09,13:33:01
-684,945,457,13:32:09,13:33:01
-790,1267,303,13:32:09,13:33:01
-860,1434,188,13:32:09,13:33:01
-832,1397,133,13:32:09,13:33:01
-723,1307,176,13:32:09,13:33:01
-508,1377,357,13:32:09,13:33:01
-435,1363,346,13:32:09,13:33:01
-373,1230,257,13:32:09,13:33:01
-317,1052,153,13:32:09,13:33:01
-222,800,43,13:32:09,13:33:01
-178,714,11,13:32:09,13:33:01
-139,647,-29,13:32:09,13:33:01
-114,605,-93,13:32:09,13:33:01
-118,591,-143,13:32:09,13:33:01
-92,545,-245,13:32:09,13:33:01
-25,475,-378,13:32:09,13:33:01
98,360,-524,13:32:09,13:33:01
101,324,-510,13:32:09,13:33:01
81,293,-489,13:32:09,13:33:01
68,266,-516,13:32:09,13:33:01
130,205,-767,13:32:09,13:33:01
177,140,-884,13:32:09,13:33:01
178,51,-922,13:32:09,13:33:01
124,-31,-909,13:32:09,13:33:01
45,-36,-931,13:32:09,13:33:01
86,51,-960,13:32:09,13:33:01
137,139,-976,13:32:09,13:33:01
145,164,-997,13:32:09,13:33:01
30,4,-1117,13:32:09,13:33:01
-8,-83,-1168,13:32:09,13:33:01
0,-117,-1181,13:32:09,13:33:01
33,-97,-1167,13:32:09,13:33:01
71,21,-1117,13:32:09,13:33:01
79,124,-1073,13:32:09,13:33:01
93,265,-1001,13:32:09,13:33:01
106,418,-908,13:32:09,13:33:01
114,591,-808,13:32:09,13:33:01
135,595,-845,13:32:09,13:33:01
181,572,-875,13:32:09,13:33:01
260,482,-701,13:32:09,13:33:01
208,399,-562,13:32:09,13:33:01
76,295,-447,13:32:09,13:33:01
-75,220,-329,13:32:09,13:33:01
-184,326,-24,13:32:09,13:33:01
-156,433,82,13:32:09,13:33:01
-150,490,129,13:32:09,13:33:01
-194,515,138,13:32:09,13:33:01
-368,681,123,13:32:09,13:33:01
-466,808,144,13:32:09,13:33:01
-560,915,203,13:32:09,13:33:01
-635,987,261,13:32:09,13:33:01
-702,981,247,13:32:09,13:33:01
-730,928,234,13:32:09,13:33:01
-765,911,256,13:32:09,13:33:01
-784,950,274,13:32:09,13:33:01
-776,996,184,13:32:09,13:33:01
-815,907,170,13:32:09,13:33:01
-881,753,242,13:32:09,13:33:01
-911,618,339,13:32:09,13:33:01
-761,838,275,13:32:09,13:33:01
-697,1114,219,13:32:09,13:33:01
-699,1239,289,13:32:09,13:33:01
-726,1036,413,13:32:09,13:33:01
-702,1065,221,13:32:09,13:33:01
-701,1220,-13,13:32:09,13:33:01
-734,1332,-92,13:32:09,13:33:01
-693,1227,178,13:32:09,13:33:01
-570,1184,251,13:32:09,13:33:01
-439,1197,219,13:32:09,13:33:01
-357,1197,147,13:32:09,13:33:01
-332,1029,54,13:32:09,13:33:01
-332,932,11,13:32:09,13:33:01
-319,861,-49,13:32:09,13:33:01
-289,801,-118,13:32:09,13:33:01
-182,692,-214,13:32:09,13:33:01
-128,650,-246,13:32:09,13:33:01
-87,596,-279,13:32:09,13:33:01
-44,527,-313,13:32:09,13:33:01
85,417,-411,13:32:09,13:33:01
132,369,-478,13:32:09,13:33:01
153,308,-550,13:32:09,13:33:01
170,245,-624,13:32:09,13:33:01
204,172,-702,13:32:09,13:33:01
178,145,-675,13:32:09,13:33:01
125,106,-649,13:32:09,13:33:01
18,7,-734,13:32:09,13:33:01
-21,-13,-796,13:32:09,13:33:01
-22,2,-881,13:32:09,13:33:01
33,33,-1040,13:32:09,13:33:01
139,-13,-1352,13:32:09,13:33:01
100,-82,-1293,13:32:09,13:33:01
44,-100,-1156,13:32:09,13:33:01
31,-24,-1097,13:32:09,13:33:01
114,238,-1220,13:32:09,13:33:01
145,313,-1205,13:32:09,13:33:01
159,346,-1120,13:32:09,13:33:01
164,377,-1028,13:32:09,13:33:01
156,490,-878,13:32:09,13:33:01
155,548,-774,13:32:09,13:33:01
166,588,-663,13:32:09,13:33:01
185,602,-571,13:32:09,13:33:01
184,570,-407,13:32:09,13:33:01
146,543,-303,13:32:09,13:33:01
89,518,-209,13:32:09,13:33:01
17,502,-144,13:32:09,13:33:01
-155,552,-29,13:32:09,13:33:01
-222,611,33,13:32:09,13:33:01
-260,649,72,13:32:09,13:33:01
-283,654,86,13:32:09,13:33:01
-382,707,136,13:32:09,13:33:01
-448,785,171,13:32:09,13:33:01
-491,852,193,13:32:09,13:33:01
-513,884,218,13:32:09,13:33:01
-596,889,355,13:32:09,13:33:01
-659,885,404,13:32:09,13:33:01
-702,881,402,13:32:09,13:33:01
-721,930,378,13:32:09,13:33:01
-721,1005,381,13:32:09,13:33:01
-720,1088,358,13:32:09,13:33:01
-721,1130,319,13:32:09,13:33:01
-719,948,304,13:32:09,13:33:01
-694,813,302,13:32:09,13:33:01
-672,815,279,13:32:09,13:33:01
-689,1001,275,13:32:09,13:33:01
-772,1311,394,13:32:09,13:33:01
-750,1220,410,13:32:09,13:33:01
-691,1132,336,13:32:09,13:33:01
-641,1186,223,13:32:09,13:33:01
-609,1350,162,13:32:09,13:33:01
-586,1269,208,13:32:09,13:33:01
-545,1171,243,13:32:09,13:33:01
-502,1143,246,13:32:09,13:33:01
-435,1147,195,13:32:09,13:33:01
-409,1055,146,13:32:09,13:33:01
-386,931,80,13:32:09,13:33:01
-336,838,-72,13:32:09,13:33:01
-292,857,-120,13:32:09,13:33:01
-230,845,-134,13:32:09,13:33:01
-157,771,-134,13:32:09,13:33:01
-2,526,-246,13:32:09,13:33:01
67,449,-382,13:32:09,13:33:01
126,426,-523,13:32:09,13:33:01
166,419,-612,13:32:09,13:33:01
165,270,-589,13:32:09,13:33:01
148,153,-564,13:32:09,13:33:01
153,74,-583,13:32:09,13:33:01
173,48,-630,13:32:09,13:33:01
125,19,-685,13:32:09,13:33:01
75,-22,-726,13:32:09,13:33:01
91,-42,-833,13:32:09,13:33:01
188,-17,-992,13:32:09,13:33:01
330,0,-1134,13:32:09,13:33:01
277,-91,-1087,13:32:09,13:33:01
204,-190,-1067,13:32:09,13:33:01
178,-97,-1105,13:32:09,13:33:01
185,61,-1046,13:32:09,13:33:01
193,185,-981,13:32:09,13:33:01
224,245,-1001,13:32:09,13:33:01
317,309,-1164,13:32:09,13:33:01
301,357,-1121,13:32:09,13:33:01
248,401,-996,13:32:09,13:33:01
210,438,-888,13:32:09,13:33:01
260,511,-839,13:32:09,13:33:01
278,536,-782,13:32:09,13:33:01
259,537,-659,13:32:09,13:33:01
231,511,-516,13:32:09,13:33:01
239,445,-313,13:32:09,13:33:01
225,453,-210,13:32:09,13:33:01
170,488,-109,13:32:09,13:33:01
92,494,-86,13:32:09,13:33:01
-137,347,-275,13:32:09,13:33:01
-307,360,-269,13:32:09,13:33:01
-437,520,-147,13:32:09,13:33:01
-466,721,-17,13:32:09,13:33:01
-477,790,92,13:32:09,13:33:01
-614,754,156,13:32:09,13:33:01
-771,803,206,13:32:09,13:33:01
-850,901,178,13:32:09,13:33:01
-815,974,16,13:32:09,13:33:01
-834,980,26,13:32:09,13:33:01
-902,1005,86,13:32:09,13:33:01
-1019,1011,102,13:32:09,13:33:01
-1017,908,50,13:32:09,13:33:01
-971,720,9,13:32:09,13:33:01
-893,556,-4,13:32:09,13:33:01
-788,866,51,13:32:09,13:33:01
-839,1199,140,13:32:09,13:33:01
-930,1333,233,13:32:09,13:33:01
-986,1230,233,13:32:09,13:33:01
-916,1100,-130,13:32:09,13:33:01
-868,1221,-239,13:32:09,13:33:01
-835,1286,-154,13:32:09,13:33:01
