x,y,z,s,e
345,458,278,15:35:12,15:40:04
563,509,456,15:35:12,15:40:04
742,619,578,15:35:12,15:40:04
830,729,544,15:35:12,15:40:04
863,706,335,15:35:12,15:40:04
909,610,345,15:35:12,15:40:04
991,545,383,15:35:12,15:40:04
1085,532,377,15:35:12,15:40:04
1196,522,306,15:35:12,15:40:04
1175,473,360,15:35:12,15:40:04
1102,409,489,15:35:12,15:40:04
1019,378,616,15:35:12,15:40:04
1040,543,603,15:35:12,15:40:04
1092,612,518,15:35:12,15:40:04
1026,537,474,15:35:12,15:40:04
798,350,468,15:35:12,15:40:04
312,183,461,15:35:12,15:40:04
300,267,520,15:35:12,15:40:04
426,326,639,15:35:12,15:40:04
711,336,672,15:35:12,15:40:04
793,433,510,15:35:12,15:40:04
865,582,411,15:35:12,15:40:04
950,691,531,15:35:12,15:40:04
1020,647,1038,15:35:12,15:40:04
907,532,950,15:35:12,15:40:04
734,422,617,15:35:12,15:40:04
618,416,339,15:35:12,15:40:04
759,790,652,15:35:12,15:40:04
850,924,943,15:35:12,15:40:04
827,892,1026,15:35:12,15:40:04
716,783,899,15:35:12,15:40:04
536,765,511,15:35:12,15:40:04
516,822,422,15:35:12,15:40:04
525,864,453,15:35:12,15:40:04
553,924,581,15:35:12,15:40:04
578,1127,664,15:35:12,15:40:04
542,1170,541,15:35:12,15:40:04
505,1142,473,15:35:12,15:40:04
504,936,596,15:35:12,15:40:04
495,791,585,15:35:12,15:40:04
446,686,512,15:35:12,15:40:04
361,663,461,15:35:12,15:40:04
170,690,456,15:35:12,15:40:04
102,615,460,15:35:12,15:40:04
56,487,494,15:35:12,15:40:04
19,352,555,15:35:12,15:40:04
-37,158,427,15:35:12,15:40:04
-47,125,137,15:35:12,15:40:04
-31,170,-197,15:35:12,15:40:04
16,290,-428,15:35:12,15:40:04
171,558,-438,15:35:12,15:40:04
238,624,-368,15:35:12,15:40:04
297,657,-351,15:35:12,15:40:04
355,705,-414,15:35:12,15:40:04
429,1042,-686,15:35:12,15:40:04
432,1299,-769,15:35:12,15:40:04
441,1472,-748,15:35:12,15:40:04
470,1472,-654,15:35:12,15:40:04
502,1329,-569,15:35:12,15:40:04
471,1099,-573,15:35:12,15:40:04
424,1134,-608,15:35:12,15:40:04
390,1192,-637,15:35:12,15:40:04
379,1186,-668,15:35:12,15:40:04
374,1099,-705,15:35:12,15:40:04
304,875,-748,15:35:12,15:40:04
221,773,-727,15:35:12,15:40:04
117,640,-671,15:35:12,15:40:04
7,478,-579,15:35:12,15:40:04
-90,347,-460,15:35:12,15:40:04
-157,313,-325,15:35:12,15:40:04
-191,375,-195,15:35:12,15:40:04
-254,428,-31,15:35:12,15:40:04
-284,317,18,15:35:12,15:40:04
-240,199,111,15:35:12,15:40:04
-95,155,285,15:35:12,15:40:04
94,182,516,15:35:12,15:40:04
242,215,719,15:35:12,15:40:04
315,219,806,15:35:12,15:40:04
447,230,661,15:35:12,15:40:04
580,266,594,15:35:12,15:40:04
735,303,594,15:35:12,15:40:04
880,344,618,15:35:12,15:40:04
1005,401,604,15:35:12,15:40:04
1108,469,542,15:35:12,15:40:04
1184,525,468,15:35:12,15:40:04
1302,622,566,15:35:12,15:40:04
1373,728,771,15:35:12,15:40:04
1408,795,903,15:35:12,15:40:04
1370,652,810,15:35:12,15:40:04
1298,248,572,15:35:12,15:40:04
1259,-207,458,15:35:12,15:40:04
1179,-279,810,15:35:12,15:40:04
1058,-40,833,15:35:12,15:40:04
963,83,673,15:35:12,15:40:04
967,101,567,15:35:12,15:40:04
1044,173,650,15:35:12,15:40:04
1098,362,768,15:35:12,15:40:04
1050,565,683,15:35:12,15:40:04
791,497,29,15:35:12,15:40:04
776,233,-125,15:35:12,15:40:04
855,0,-95,15:35:12,15:40:04
921,-85,-3,15:35:12,15:40:04
897,-37,86,15:35:12,15:40:04
819,42,198,15:35:12,15:40:04
772,117,343,15:35:12,15:40:04
861,424,540,15:35:12,15:40:04
933,491,578,15:35:12,15:40:04
977,297,623,15:35:12,15:40:04
960,-61,659,15:35:12,15:40:04
879,-298,607,15:35:12,15:40:04
799,-255,404,15:35:12,15:40:04
804,-49,93,15:35:12,15:40:04
1016,193,-149,15:35:12,15:40:04
1028,206,141,15:35:12,15:40:04
931,183,518,15:35:12,15:40:04
825,130,695,15:35:12,15:40:04
820,87,569,15:35:12,15:40:04
932,91,302,15:35:12,15:40:04
1148,130,108,15:35:12,15:40:04
1110,122,128,15:35:12,15:40:04
1013,120,96,15:35:12,15:40:04
935,128,39,15:35:12,15:40:04
912,127,21,15:35:12,15:40:04
925,129,37,15:35:12,15:40:04
935,184,55,15:35:12,15:40:04
911,496,116,15:35:12,15:40:04
901,592,143,15:35:12,15:40:04
872,540,131,15:35:12,15:40:04
796,372,118,15:35:12,15:40:04
683,198,163,15:35:12,15:40:04
608,125,248,15:35:12,15:40:04
654,195,284,15:35:12,15:40:04
817,344,230,15:35:12,15:40:04
970,516,183,15:35:12,15:40:04
855,554,299,15:35:12,15:40:04
799,642,442,15:35:12,15:40:04
910,753,562,15:35:12,15:40:04
1079,804,635,15:35:12,15:40:04
1102,747,620,15:35:12,15:40:04
927,579,482,15:35:12,15:40:04
661,172,162,15:35:12,15:40:04
784,195,206,15:35:12,15:40:04
931,403,322,15:35:12,15:40:04
938,608,357,15:35:12,15:40:04
811,675,304,15:35:12,15:40:04
719,682,317,15:35:12,15:40:04
820,781,504,15:35:12,15:40:04
1083,944,762,15:35:12,15:40:04
1365,807,809,15:35:12,15:40:04
1248,597,668,15:35:12,15:40:04
1103,569,593,15:35:12,15:40:04
1032,727,544,15:35:12,15:40:04
1025,883,398,15:35:12,15:40:04
997,895,128,15:35:12,15:40:04
727,659,-266,15:35:12,15:40:04
608,564,-147,15:35:12,15:40:04
593,520,147,15:35:12,15:40:04
646,538,441,15:35:12,15:40:04
690,602,573,15:35:12,15:40:04
689,652,530,15:35:12,15:40:04
651,637,437,15:35:12,15:40:04
466,453,478,15:35:12,15:40:04
322,401,569,15:35:12,15:40:04
193,421,641,15:35:12,15:40:04
107,474,664,15:35:12,15:40:04
45,503,624,15:35:12,15:40:04
-23,504,539,15:35:12,15:40:04
-107,523,450,15:35:12,15:40:04
-211,611,391,15:35:12,15:40:04
-197,575,413,15:35:12,15:40:04
-167,480,387,15:35:12,15:40:04
-160,393,231,15:35:12,15:40:04
-190,369,-54,15:35:12,15:40:04
-229,404,-348,15:35:12,15:40:04
-230,448,-512,15:35:12,15:40:04
-174,464,-528,15:35:12,15:40:04
21,458,-589,15:35:12,15:40:04
116,501,-777,15:35:12,15:40:04
210,600,-991,15:35:12,15:40:04
305,759,-1127,15:35:12,15:40:04
388,960,-1142,15:35:12,15:40:04
438,1147,-1057,15:35:12,15:40:04
443,1247,-929,15:35:12,15:40:04
407,1231,-820,15:35:12,15:40:04
359,1155,-765,15:35:12,15:40:04
338,1119,-760,15:35:12,15:40:04
365,1143,-761,15:35:12,15:40:04
382,1110,-774,15:35:12,15:40:04
367,1001,-813,15:35:12,15:40:04
321,855,-870,15:35:12,15:40:04
253,718,-925,15:35:12,15:40:04
174,615,-970,15:35:12,15:40:04
97,545,-1007,15:35:12,15:40:04
-8,463,-1059,15:35:12,15:40:04
-31,442,-1060,15:35:12,15:40:04
-49,424,-1043,15:35:12,15:40:04
