x,y,z,s,e
-1084,603,777,15:22:33,15:27:25
-1104,620,636,15:22:33,15:27:25
-1078,575,461,15:22:33,15:27:25
-1012,459,477,15:22:33,15:27:25
-977,487,655,15:22:33,15:27:25
-895,549,786,15:22:33,15:27:25
-574,591,753,15:22:33,15:27:25
-403,572,623,15:22:33,15:27:25
-277,539,458,15:22:33,15:27:25
-237,384,445,15:22:33,15:27:25
-273,317,675,15:22:33,15:27:25
-274,339,871,15:22:33,15:27:25
-225,434,890,15:22:33,15:27:25
-168,503,664,15:22:33,15:27:25
-194,430,666,15:22:33,15:27:25
-202,369,748,15:22:33,15:27:25
-165,358,827,15:22:33,15:27:25
-53,353,844,15:22:33,15:27:25
-26,294,832,15:22:33,15:27:25
-17,225,851,15:22:33,15:27:25
-34,179,924,15:22:33,15:27:25
-48,181,910,15:22:33,15:27:25
-37,198,853,15:22:33,15:27:25
13,289,769,15:22:33,15:27:25
154,830,574,15:22:33,15:27:25
183,1135,471,15:22:33,15:27:25
177,1289,370,15:22:33,15:27:25
160,1085,304,15:22:33,15:27:25
189,878,381,15:22:33,15:27:25
260,683,444,15:22:33,15:27:25
358,512,408,15:22:33,15:27:25
416,315,179,15:22:33,15:27:25
315,316,141,15:22:33,15:27:25
191,374,158,15:22:33,15:27:25
113,457,181,15:22:33,15:27:25
119,590,65,15:22:33,15:27:25
151,643,-151,15:22:33,15:27:25
169,717,-431,15:22:33,15:27:25
68,968,-938,15:22:33,15:27:25
-31,1114,-1157,15:22:33,15:27:25
-88,1213,-1289,15:22:33,15:27:25
-62,1219,-1237,15:22:33,15:27:25
106,1054,-800,15:22:33,15:27:25
128,986,-707,15:22:33,15:27:25
82,930,-729,15:22:33,15:27:25
-74,826,-721,15:22:33,15:27:25
-105,842,-631,15:22:33,15:27:25
-85,911,-523,15:22:33,15:27:25
-33,981,-425,15:22:33,15:27:25
95,987,-344,15:22:33,15:27:25
146,961,-373,15:22:33,15:27:25
167,932,-393,15:22:33,15:27:25
147,879,-345,15:22:33,15:27:25
54,701,-62,15:22:33,15:27:25
31,657,48,15:22:33,15:27:25
22,672,109,15:22:33,15:27:25
-6,749,272,15:22:33,15:27:25
-18,717,368,15:22:33,15:27:25
-16,628,400,15:22:33,15:27:25
-14,532,372,15:22:33,15:27:25
-96,473,390,15:22:33,15:27:25
-173,488,451,15:22:33,15:27:25
-249,504,472,15:22:33,15:27:25
-423,555,479,15:22:33,15:27:25
-552,564,600,15:22:33,15:27:25
-686,525,772,15:22:33,15:27:25
-798,449,893,15:22:33,15:27:25
-972,376,885,15:22:33,15:27:25
-1088,471,858,15:22:33,15:27:25
-1207,630,826,15:22:33,15:27:25
-1099,544,660,15:22:33,15:27:25
-847,198,688,15:22:33,15:27:25
-656,-46,904,15:22:33,15:27:25
-637,20,1190,15:22:33,15:27:25
-768,394,1130,15:22:33,15:27:25
-773,289,849,15:22:33,15:27:25
-817,133,743,15:22:33,15:27:25
-997,240,1123,15:22:33,15:27:25
-983,363,1178,15:22:33,15:27:25
-922,409,1041,15:22:33,15:27:25
-917,399,885,15:22:33,15:27:25
-1055,386,865,15:22:33,15:27:25
-1013,402,846,15:22:33,15:27:25
-862,443,765,15:22:33,15:27:25
-676,532,692,15:22:33,15:27:25
-391,782,584,15:22:33,15:27:25
-316,820,481,15:22:33,15:27:25
-295,753,453,15:22:33,15:27:25
-284,532,745,15:22:33,15:27:25
-214,510,740,15:22:33,15:27:25
-130,540,505,15:22:33,15:27:25
-86,558,209,15:22:33,15:27:25
-63,464,-7,15:22:33,15:27:25
2,431,-23,15:22:33,15:27:25
73,462,-73,15:22:33,15:27:25
-18,573,-177,15:22:33,15:27:25
-121,531,-261,15:22:33,15:27:25
-140,440,-446,15:22:33,15:27:25
-70,403,-695,15:22:33,15:27:25
-91,611,-951,15:22:33,15:27:25
-269,682,-961,15:22:33,15:27:25
-436,654,-1038,15:22:33,15:27:25
-407,609,-1256,15:22:33,15:27:25
-265,641,-1201,15:22:33,15:27:25
-142,632,-1097,15:22:33,15:27:25
-81,574,-1070,15:22:33,15:27:25
-99,551,-1168,15:22:33,15:27:25
-119,617,-1141,15:22:33,15:27:25
-130,682,-1087,15:22:33,15:27:25
-130,740,-1056,15:22:33,15:27:25
-107,741,-1000,15:22:33,15:27:25
-55,737,-878,15:22:33,15:27:25
