x,y,z,s,e
-600,-279,693,17:54:06,17:54:58
-590,-292,656,17:54:06,17:54:58
-564,-286,621,17:54:06,17:54:58
-527,-283,639,17:54:06,17:54:58
-481,-303,657,17:54:06,17:54:58
-440,-323,651,17:54:06,17:54:58
-404,-259,579,17:54:06,17:54:58
-406,-207,569,17:54:06,17:54:58
-405,-184,604,17:54:06,17:54:58
-360,-161,763,17:54:06,17:54:58
-337,-133,855,17:54:06,17:54:58
-346,-130,957,17:54:06,17:54:58
-487,-321,1214,17:54:06,17:54:58
-597,-486,1322,17:54:06,17:54:58
-693,-610,1353,17:54:06,17:54:58
-718,-587,1293,17:54:06,17:54:58
-377,50,1172,17:54:06,17:54:58
-110,403,1274,17:54:06,17:54:58
67,523,1444,17:54:06,17:54:58
111,418,1544,17:54:06,17:54:58
41,268,1333,17:54:06,17:54:58
18,350,1190,17:54:06,17:54:58
-12,375,1118,17:54:06,17:54:58
-55,285,1075,17:54:06,17:54:58
-87,169,843,17:54:06,17:54:58
-97,227,683,17:54:06,17:54:58
-156,235,541,17:54:06,17:54:58
-433,-20,252,17:54:06,17:54:58
-592,-152,95,17:54:06,17:54:58
-729,-245,-21,17:54:06,17:54:58
-818,-324,-44,17:54:06,17:54:58
-722,-361,264,17:54:06,17:54:58
-557,-272,468,17:54:06,17:54:58
-414,-170,548,17:54:06,17:54:58
-339,-122,493,17:54:06,17:54:58
-221,-147,534,17:54:06,17:54:58
-155,-132,740,17:54:06,17:54:58
-182,-106,879,17:54:06,17:54:58
-494,-169,715,17:54:06,17:54:58
-574,-243,682,17:54:06,17:54:58
-552,-294,818,17:54:06,17:54:58
-504,-312,1052,17:54:06,17:54:58
-516,-322,1460,17:54:06,17:54:58
-526,-329,1600,17:54:06,17:54:58
-500,-300,1686,17:54:06,17:54:58
-430,-206,1682,17:54:06,17:54:58
-145,106,1513,17:54:06,17:54:58
28,264,1517,17:54:06,17:54:58
152,402,1600,17:54:06,17:54:58
194,482,1649,17:54:06,17:54:58
110,334,1329,17:54:06,17:54:58
57,215,1077,17:54:06,17:54:58
10,185,893,17:54:06,17:54:58
-40,217,781,17:54:06,17:54:58
-196,125,573,17:54:06,17:54:58
-289,13,444,17:54:06,17:54:58
-385,-55,331,17:54:06,17:54:58
-489,-84,247,17:54:06,17:54:58
-677,-166,130,17:54:06,17:54:58
-705,-201,97,17:54:06,17:54:58
-677,-221,101,17:54:06,17:54:58
-619,-249,159,17:54:06,17:54:58
-516,-240,407,17:54:06,17:54:58
-460,-137,492,17:54:06,17:54:58
-376,-55,526,17:54:06,17:54:58
-218,-212,748,17:54:06,17:54:58
-255,-300,899,17:54:06,17:54:58
-371,-278,911,17:54:06,17:54:58
-482,-204,799,17:54:06,17:54:58
-483,-197,838,17:54:06,17:54:58
-464,-233,1062,17:54:06,17:54:58
-507,-252,1256,17:54:06,17:54:58
-590,-282,1358,17:54:06,17:54:58
-685,-401,1502,17:54:06,17:54:58
-671,-365,1563,17:54:06,17:54:58
-622,-204,1536,17:54:06,17:54:58
-521,15,1439,17:54:06,17:54:58
-195,175,1414,17:54:06,17:54:58
-96,115,1464,17:54:06,17:54:58
-100,118,1391,17:54:06,17:54:58
-159,237,1175,17:54:06,17:54:58
-193,418,804,17:54:06,17:54:58
-173,321,767,17:54:06,17:54:58
-176,182,736,17:54:06,17:54:58
-207,104,658,17:54:06,17:54:58
-332,72,447,17:54:06,17:54:58
-443,-20,341,17:54:06,17:54:58
-581,-161,231,17:54:06,17:54:58
-699,-276,150,17:54:06,17:54:58
-691,-309,216,17:54:06,17:54:58
-590,-293,319,17:54:06,17:54:58
-518,-300,401,17:54:06,17:54:58
-600,-396,529,17:54:06,17:54:58
-674,-441,640,17:54:06,17:54:58
-693,-421,717,17:54:06,17:54:58
-653,-321,673,17:54:06,17:54:58
-567,-207,550,17:54:06,17:54:58
-342,-202,688,17:54:06,17:54:58
-286,-240,901,17:54:06,17:54:58
-313,-208,937,17:54:06,17:54:58
-384,-136,771,17:54:06,17:54:58
-434,-108,608,17:54:06,17:54:58
-438,-162,640,17:54:06,17:54:58
-429,-254,852,17:54:06,17:54:58
-449,-332,1081,17:54:06,17:54:58
-518,-400,1215,17:54:06,17:54:58
-760,-565,1264,17:54:06,17:54:58
-830,-523,1280,17:54:06,17:54:58
-750,-295,1332,17:54:06,17:54:58
-496,39,1442,17:54:06,17:54:58
18,303,1733,17:54:06,17:54:58
36,165,1720,17:54:06,17:54:58
-53,42,1529,17:54:06,17:54:58
-125,31,1251,17:54:06,17:54:58
-134,142,927,17:54:06,17:54:58
-155,146,887,17:54:06,17:54:58
-194,124,822,17:54:06,17:54:58
-226,107,709,17:54:06,17:54:58
-249,103,585,17:54:06,17:54:58
-295,104,475,17:54:06,17:54:58
-545,42,202,17:54:06,17:54:58
-702,-41,41,17:54:06,17:54:58
-812,-149,-56,17:54:06,17:54:58
-827,-257,-26,17:54:06,17:54:58
-733,-331,131,17:54:06,17:54:58
-568,-339,344,17:54:06,17:54:58
-413,-297,507,17:54:06,17:54:58
-298,-292,607,17:54:06,17:54:58
-288,-345,679,17:54:06,17:54:58
-281,-359,795,17:54:06,17:54:58
-304,-315,872,17:54:06,17:54:58
-376,-265,854,17:54:06,17:54:58
-476,-263,792,17:54:06,17:54:58
-613,-357,895,17:54:06,17:54:58
-641,-396,1059,17:54:06,17:54:58
-666,-432,1200,17:54:06,17:54:58
-702,-455,1275,17:54:06,17:54:58
-748,-415,1282,17:54:06,17:54:58
-779,-271,1233,17:54:06,17:54:58
-746,-60,1153,17:54:06,17:54:58
-613,107,1107,17:54:06,17:54:58
-401,141,1172,17:54:06,17:54:58
-81,9,1519,17:54:06,17:54:58
-74,70,1549,17:54:06,17:54:58
-120,207,1423,17:54:06,17:54:58
-162,288,1238,17:54:06,17:54:58
-190,246,1084,17:54:06,17:54:58
-219,149,965,17:54:06,17:54:58
