x,y,z,s,e
479,-495,826,17:46:14,17:47:06
653,-513,702,17:46:14,17:47:06
746,-452,591,17:46:14,17:47:06
763,-512,542,17:46:14,17:47:06
686,-640,569,17:46:14,17:47:06
428,-800,725,17:46:14,17:47:06
343,-851,797,17:46:14,17:47:06
311,-881,813,17:46:14,17:47:06
320,-829,761,17:46:14,17:47:06
346,-564,711,17:46:14,17:47:06
368,-528,791,17:46:14,17:47:06
430,-545,856,17:46:14,17:47:06
513,-527,846,17:46:14,17:47:06
512,-330,774,17:46:14,17:47:06
429,-164,815,17:46:14,17:47:06
394,68,889,17:46:14,17:47:06
535,406,934,17:46:14,17:47:06
575,355,866,17:46:14,17:47:06
560,222,778,17:46:14,17:47:06
550,105,723,17:46:14,17:47:06
647,99,754,17:46:14,17:47:06
680,210,776,17:46:14,17:47:06
667,323,771,17:46:14,17:47:06
602,393,770,17:46:14,17:47:06
330,627,901,17:46:14,17:47:06
246,795,970,17:46:14,17:47:06
295,771,977,17:46:14,17:47:06
439,426,930,17:46:14,17:47:06
594,-302,812,17:46:14,17:47:06
544,-111,756,17:46:14,17:47:06
479,264,724,17:46:14,17:47:06
447,376,753,17:46:14,17:47:06
513,-357,931,17:46:14,17:47:06
576,-561,946,17:46:14,17:47:06
625,-483,870,17:46:14,17:47:06
654,-333,748,17:46:14,17:47:06
696,-358,586,17:46:14,17:47:06
691,-469,596,17:46:14,17:47:06
636,-573,663,17:46:14,17:47:06
544,-657,764,17:46:14,17:47:06
391,-698,899,17:46:14,17:47:06
345,-628,892,17:46:14,17:47:06
309,-543,866,17:46:14,17:47:06
329,-522,874,17:46:14,17:47:06
397,-546,879,17:46:14,17:47:06
466,-535,840,17:46:14,17:47:06
497,-485,769,17:46:14,17:47:06
436,-278,777,17:46:14,17:47:06
407,-80,902,17:46:14,17:47:06
429,139,1022,17:46:14,17:47:06
501,283,1053,17:46:14,17:47:06
639,174,875,17:46:14,17:47:06
629,92,803,17:46:14,17:47:06
562,135,806,17:46:14,17:47:06
467,284,863,17:46:14,17:47:06
330,536,932,17:46:14,17:47:06
319,568,906,17:46:14,17:47:06
341,543,881,17:46:14,17:47:06
375,441,897,17:46:14,17:47:06
389,73,992,17:46:14,17:47:06
379,-78,995,17:46:14,17:47:06
389,-179,976,17:46:14,17:47:06
414,-213,967,17:46:14,17:47:06
405,183,892,17:46:14,17:47:06
387,485,757,17:46:14,17:47:06
412,521,631,17:46:14,17:47:06
479,191,617,17:46:14,17:47:06
553,-537,852,17:46:14,17:47:06
536,-523,891,17:46:14,17:47:06
546,-411,821,17:46:14,17:47:06
673,-487,596,17:46:14,17:47:06
680,-631,538,17:46:14,17:47:06
588,-784,556,17:46:14,17:47:06
421,-931,655,17:46:14,17:47:06
187,-1035,835,17:46:14,17:47:06
229,-940,766,17:46:14,17:47:06
324,-800,656,17:46:14,17:47:06
391,-665,636,17:46:14,17:47:06
416,-466,852,17:46:14,17:47:06
478,-494,847,17:46:14,17:47:06
554,-614,717,17:46:14,17:47:06
560,-676,594,17:46:14,17:47:06
