x,y,z,s,e
500,-395,1375,17:42:18,17:43:10
531,-449,1297,17:42:18,17:43:10
325,-224,1279,17:42:18,17:43:10
141,31,1262,17:42:18,17:43:10
108,111,1229,17:42:18,17:43:10
318,-66,1097,17:42:18,17:43:10
318,6,1036,17:42:18,17:43:10
212,136,1003,17:42:18,17:43:10
84,160,992,17:42:18,17:43:10
32,-61,947,17:42:18,17:43:10
106,-117,883,17:42:18,17:43:10
196,-126,807,17:42:18,17:43:10
279,-139,728,17:42:18,17:43:10
402,-179,488,17:42:18,17:43:10
439,-153,323,17:42:18,17:43:10
461,-106,177,17:42:18,17:43:10
485,-88,93,17:42:18,17:43:10
567,-206,198,17:42:18,17:43:10
586,-242,346,17:42:18,17:43:10
575,-186,468,17:42:18,17:43:10
544,59,523,17:42:18,17:43:10
513,94,609,17:42:18,17:43:10
443,21,869,17:42:18,17:43:10
368,-120,1235,17:42:18,17:43:10
449,-302,1406,17:42:18,17:43:10
579,-284,1112,17:42:18,17:43:10
663,-267,902,17:42:18,17:43:10
664,-290,976,17:42:18,17:43:10
609,-314,1340,17:42:18,17:43:10
645,-307,1262,17:42:18,17:43:10
677,-355,1147,17:42:18,17:43:10
631,-452,1190,17:42:18,17:43:10
302,-383,1489,17:42:18,17:43:10
160,-100,1402,17:42:18,17:43:10
112,198,1206,17:42:18,17:43:10
203,211,1126,17:42:18,17:43:10
198,53,1144,17:42:18,17:43:10
113,9,999,17:42:18,17:43:10
18,52,720,17:42:18,17:43:10
129,-117,348,17:42:18,17:43:10
301,-262,340,17:42:18,17:43:10
434,-253,352,17:42:18,17:43:10
490,-94,323,17:42:18,17:43:10
499,98,188,17:42:18,17:43:10
489,16,176,17:42:18,17:43:10
467,-76,247,17:42:18,17:43:10
527,-71,512,17:42:18,17:43:10
606,-7,563,17:42:18,17:43:10
610,34,542,17:42:18,17:43:10
493,-8,588,17:42:18,17:43:10
296,-280,1250,17:42:18,17:43:10
411,-294,1520,17:42:18,17:43:10
594,-189,1459,17:42:18,17:43:10
710,-102,1206,17:42:18,17:43:10
669,-253,1123,17:42:18,17:43:10
660,-344,1256,17:42:18,17:43:10
692,-357,1332,17:42:18,17:43:10
702,-300,1392,17:42:18,17:43:10
533,-71,1584,17:42:18,17:43:10
430,-4,1524,17:42:18,17:43:10
348,-7,1287,17:42:18,17:43:10
263,-5,992,17:42:18,17:43:10
171,151,793,17:42:18,17:43:10
238,106,875,17:42:18,17:43:10
298,-59,884,17:42:18,17:43:10
145,-142,581,17:42:18,17:43:10
101,-27,495,17:42:18,17:43:10
210,-1,494,17:42:18,17:43:10
420,-99,469,17:42:18,17:43:10
708,-255,260,17:42:18,17:43:10
704,-213,243,17:42:18,17:43:10
629,-134,309,17:42:18,17:43:10
517,-50,387,17:42:18,17:43:10
359,-7,531,17:42:18,17:43:10
375,-86,649,17:42:18,17:43:10
430,-160,775,17:42:18,17:43:10
473,-168,880,17:42:18,17:43:10
502,-113,1019,17:42:18,17:43:10
544,-141,1007,17:42:18,17:43:10
607,-178,934,17:42:18,17:43:10
637,-177,900,17:42:18,17:43:10
527,-46,1177,17:42:18,17:43:10
514,-12,1311,17:42:18,17:43:10
598,-58,1329,17:42:18,17:43:10
754,-230,1291,17:42:18,17:43:10
692,-254,1310,17:42:18,17:43:10
599,-256,1313,17:42:18,17:43:10
545,-266,1310,17:42:18,17:43:10
465,-183,1338,17:42:18,17:43:10
384,-35,1253,17:42:18,17:43:10
330,123,1091,17:42:18,17:43:10
335,201,968,17:42:18,17:43:10
252,121,934,17:42:18,17:43:10
84,127,806,17:42:18,17:43:10
-6,140,576,17:42:18,17:43:10
355,-117,373,17:42:18,17:43:10
508,-178,446,17:42:18,17:43:10
479,-37,486,17:42:18,17:43:10
409,155,446,17:42:18,17:43:10
643,30,365,17:42:18,17:43:10
755,-142,379,17:42:18,17:43:10
699,-218,366,17:42:18,17:43:10
529,-218,317,17:42:18,17:43:10
253,-166,504,17:42:18,17:43:10
230,-184,839,17:42:18,17:43:10
305,-287,1145,17:42:18,17:43:10
455,-411,1248,17:42:18,17:43:10
636,-278,1064,17:42:18,17:43:10
594,-137,1038,17:42:18,17:43:10
560,-137,1032,17:42:18,17:43:10
588,-262,972,17:42:18,17:43:10
640,-408,892,17:42:18,17:43:10
587,-347,992,17:42:18,17:43:10
503,-257,1096,17:42:18,17:43:10
397,-194,1115,17:42:18,17:43:10
119,-316,1194,17:42:18,17:43:10
51,-465,1418,17:42:18,17:43:10
85,-532,1607,17:42:18,17:43:10
161,-416,1596,17:42:18,17:43:10
193,93,1262,17:42:18,17:43:10
218,164,1179,17:42:18,17:43:10
295,45,1061,17:42:18,17:43:10
299,-139,534,17:42:18,17:43:10
179,-38,399,17:42:18,17:43:10
108,28,470,17:42:18,17:43:10
174,-70,622,17:42:18,17:43:10
486,-370,573,17:42:18,17:43:10
548,-281,380,17:42:18,17:43:10
545,-97,222,17:42:18,17:43:10
522,9,172,17:42:18,17:43:10
428,-175,280,17:42:18,17:43:10
364,-255,328,17:42:18,17:43:10
322,-205,385,17:42:18,17:43:10
304,-96,541,17:42:18,17:43:10
351,-268,1159,17:42:18,17:43:10
487,-500,1309,17:42:18,17:43:10
648,-584,1236,17:42:18,17:43:10
707,-470,1107,17:42:18,17:43:10
515,-265,1210,17:42:18,17:43:10
489,-331,1265,17:42:18,17:43:10
536,-377,1194,17:42:18,17:43:10
560,-339,1075,17:42:18,17:43:10
468,-289,1064,17:42:18,17:43:10
428,-347,1216,17:42:18,17:43:10
393,-374,1409,17:42:18,17:43:10
359,-334,1531,17:42:18,17:43:10
355,-230,1312,17:42:18,17:43:10
312,-196,1102,17:42:18,17:43:10
189,-127,982,17:42:18,17:43:10
10,13,919,17:42:18,17:43:10
91,-24,755,17:42:18,17:43:10
226,-116,496,17:42:18,17:43:10
330,-197,326,17:42:18,17:43:10
375,-207,600,17:42:18,17:43:10
376,-154,747,17:42:18,17:43:10
417,-103,691,17:42:18,17:43:10
526,-85,506,17:42:18,17:43:10
791,-112,336,17:42:18,17:43:10
791,-93,346,17:42:18,17:43:10
680,-65,314,17:42:18,17:43:10
530,-69,294,17:42:18,17:43:10
370,-222,644,17:42:18,17:43:10
355,-316,889,17:42:18,17:43:10
356,-364,978,17:42:18,17:43:10
389,-341,876,17:42:18,17:43:10
558,-222,604,17:42:18,17:43:10
598,-242,695,17:42:18,17:43:10
568,-307,902,17:42:18,17:43:10
529,-353,1065,17:42:18,17:43:10
629,-360,1077,17:42:18,17:43:10
683,-394,1128,17:42:18,17:43:10
