x,y,z,s,e
-720,1781,-754,19:16:36,19:17:28
-361,1934,-553,19:16:36,19:17:28
135,1554,-83,19:16:36,19:17:28
273,1096,171,19:16:36,19:17:28
374,627,410,19:16:36,19:17:28
439,266,528,19:16:36,19:17:28
403,50,261,19:16:36,19:17:28
338,178,84,19:16:36,19:17:28
277,377,11,19:16:36,19:17:28
190,531,-5,19:16:36,19:17:28
-284,537,-289,19:16:36,19:17:28
-609,539,-562,19:16:36,19:17:28
-853,616,-779,19:16:36,19:17:28
-984,710,-869,19:16:36,19:17:28
-1166,784,-861,19:16:36,19:17:28
-1264,828,-877,19:16:36,19:17:28
-1283,896,-882,19:16:36,19:17:28
-1198,983,-847,19:16:36,19:17:28
-899,1368,-759,19:16:36,19:17:28
-702,1600,-734,19:16:36,19:17:28
-420,1673,-635,19:16:36,19:17:28
156,1295,-62,19:16:36,19:17:28
277,1034,209,19:16:36,19:17:28
326,741,300,19:16:36,19:17:28
379,372,246,19:16:36,19:17:28
351,-172,184,19:16:36,19:17:28
198,-48,225,19:16:36,19:17:28
72,282,222,19:16:36,19:17:28
61,584,125,19:16:36,19:17:28
7,619,-297,19:16:36,19:17:28
-300,527,-534,19:16:36,19:17:28
-751,531,-755,19:16:36,19:17:28
-1177,642,-947,19:16:36,19:17:28
-1527,881,-1024,19:16:36,19:17:28
-1434,858,-880,19:16:36,19:17:28
-1240,742,-760,19:16:36,19:17:28
-1055,687,-774,19:16:36,19:17:28
-910,1291,-920,19:16:36,19:17:28
-799,1683,-847,19:16:36,19:17:28
-575,1771,-733,19:16:36,19:17:28
-137,1208,-558,19:16:36,19:17:28
-7,961,-324,19:16:36,19:17:28
153,781,43,19:16:36,19:17:28
360,576,368,19:16:36,19:17:28
574,182,320,19:16:36,19:17:28
511,118,112,19:16:36,19:17:28
389,156,9,19:16:36,19:17:28
233,292,18,19:16:36,19:17:28
-197,656,-123,19:16:36,19:17:28
-425,683,-368,19:16:36,19:17:28
-630,594,-629,19:16:36,19:17:28
-833,500,-840,19:16:36,19:17:28
-1281,535,-1059,19:16:36,19:17:28
-1420,616,-1014,19:16:36,19:17:28
-1416,713,-884,19:16:36,19:17:28
-1122,940,-801,19:16:36,19:17:28
-981,1069,-878,19:16:36,19:17:28
-874,1211,-902,19:16:36,19:17:28
-775,1322,-842,19:16:36,19:17:28
-577,1217,-794,19:16:36,19:17:28
-472,1058,-809,19:16:36,19:17:28
-332,945,-718,19:16:36,19:17:28
-151,880,-493,19:16:36,19:17:28
205,631,15,19:16:36,19:17:28
344,440,149,19:16:36,19:17:28
462,293,188,19:16:36,19:17:28
535,229,165,19:16:36,19:17:28
419,319,92,19:16:36,19:17:28
253,439,71,19:16:36,19:17:28
74,563,21,19:16:36,19:17:28
-83,631,-95,19:16:36,19:17:28
-366,594,-504,19:16:36,19:17:28
-563,605,-717,19:16:36,19:17:28
-837,652,-881,19:16:36,19:17:28
-1405,656,-982,19:16:36,19:17:28
-1479,631,-921,19:16:36,19:17:28
-1366,661,-840,19:16:36,19:17:28
-1189,760,-814,19:16:36,19:17:28
-1063,1111,-965,19:16:36,19:17:28
-1000,1323,-987,19:16:36,19:17:28
-801,1475,-905,19:16:36,19:17:28
-504,1492,-750,19:16:36,19:17:28
-3,1121,-306,19:16:36,19:17:28
194,844,-20,19:16:36,19:17:28
400,566,233,19:16:36,19:17:28
563,323,363,19:16:36,19:17:28
552,152,199,19:16:36,19:17:28
444,259,58,19:16:36,19:17:28
306,432,21,19:16:36,19:17:28
119,579,84,19:16:36,19:17:28
-264,561,-96,19:16:36,19:17:28
-419,472,-486,19:16:36,19:17:28
-668,455,-875,19:16:36,19:17:28
-1480,664,-1118,19:16:36,19:17:28
-1677,758,-1025,19:16:36,19:17:28
-1549,768,-870,19:16:36,19:17:28
-1220,688,-715,19:16:36,19:17:28
-876,642,-734,19:16:36,19:17:28
-950,928,-855,19:16:36,19:17:28
-961,1346,-894,19:16:36,19:17:28
-785,1631,-833,19:16:36,19:17:28
-230,1310,-658,19:16:36,19:17:28
-90,1015,-494,19:16:36,19:17:28
-2,857,-231,19:16:36,19:17:28
126,787,37,19:16:36,19:17:28
427,562,170,19:16:36,19:17:28
481,437,37,19:16:36,19:17:28
470,345,-117,19:16:36,19:17:28
387,293,-181,19:16:36,19:17:28
-17,460,79,19:16:36,19:17:28
-164,628,126,19:16:36,19:17:28
-181,694,-74,19:16:36,19:17:28
-405,537,-728,19:16:36,19:17:28
-817,533,-886,19:16:36,19:17:28
