x,y,z,s,e
184,919,256,19:00:16,19:01:08
168,972,261,19:00:16,19:01:08
101,1054,235,19:00:16,19:01:08
-64,1137,154,19:00:16,19:01:08
-129,1086,132,19:00:16,19:01:08
-183,1020,127,19:00:16,19:01:08
-244,1015,97,19:00:16,19:01:08
-357,1086,-13,19:00:16,19:01:08
-572,1137,-204,19:00:16,19:01:08
-860,1032,-404,19:00:16,19:01:08
-1100,765,-527,19:00:16,19:01:08
-1076,522,-452,19:00:16,19:01:08
-909,767,-324,19:00:16,19:01:08
-753,1038,-218,19:00:16,19:01:08
-619,1125,-176,19:00:16,19:01:08
-502,1037,-187,19:00:16,19:01:08
-426,951,-190,19:00:16,19:01:08
-395,989,-140,19:00:16,19:01:08
-213,1154,88,19:00:16,19:01:08
66,1098,296,19:00:16,19:01:08
432,980,640,19:00:16,19:01:08
737,885,1063,19:00:16,19:01:08
807,860,1342,19:00:16,19:01:08
574,918,1245,19:00:16,19:01:08
182,1044,790,19:00:16,19:01:08
-102,1180,284,19:00:16,19:01:08
-49,1109,80,19:00:16,19:01:08
-3,886,223,19:00:16,19:01:08
14,728,305,19:00:16,19:01:08
164,741,330,19:00:16,19:01:08
443,843,356,19:00:16,19:01:08
627,888,376,19:00:16,19:01:08
544,878,334,19:00:16,19:01:08
278,946,218,19:00:16,19:01:08
-222,1272,-108,19:00:16,19:01:08
-446,1235,-317,19:00:16,19:01:08
-669,1066,-553,19:00:16,19:01:08
-856,925,-732,19:00:16,19:01:08
-990,896,-768,19:00:16,19:01:08
-1030,920,-675,19:00:16,19:01:08
-878,907,-514,19:00:16,19:01:08
-485,838,-291,19:00:16,19:01:08
340,848,278,19:00:16,19:01:08
289,1053,284,19:00:16,19:01:08
-56,1286,-31,19:00:16,19:01:08
-386,1369,-403,19:00:16,19:01:08
-443,1227,-481,19:00:16,19:01:08
-245,989,-202,19:00:16,19:01:08
9,862,160,19:00:16,19:01:08
188,917,332,19:00:16,19:01:08
462,1048,323,19:00:16,19:01:08
617,947,465,19:00:16,19:01:08
718,843,657,19:00:16,19:01:08
706,850,732,19:00:16,19:01:08
553,967,627,19:00:16,19:01:08
275,1104,427,19:00:16,19:01:08
-26,1163,267,19:00:16,19:01:08
-157,1112,232,19:00:16,19:01:08
490,864,433,19:00:16,19:01:08
868,819,465,19:00:16,19:01:08
861,889,338,19:00:16,19:01:08
477,1038,97,19:00:16,19:01:08
24,1166,-123,19:00:16,19:01:08
-214,1195,-233,19:00:16,19:01:08
-240,1138,-264,19:00:16,19:01:08
-416,1038,-415,19:00:16,19:01:08
-708,991,-541,19:00:16,19:01:08
-1009,896,-628,19:00:16,19:01:08
-1155,805,-644,19:00:16,19:01:08
-1009,792,-564,19:00:16,19:01:08
-571,856,-369,19:00:16,19:01:08
-58,942,-113,19:00:16,19:01:08
200,1041,33,19:00:16,19:01:08
-353,1298,-348,19:00:16,19:01:08
-614,1308,-523,19:00:16,19:01:08
-502,1170,-425,19:00:16,19:01:08
-101,974,-159,19:00:16,19:01:08
303,850,79,19:00:16,19:01:08
509,868,278,19:00:16,19:01:08
533,1009,549,19:00:16,19:01:08
533,1166,885,19:00:16,19:01:08
699,991,1149,19:00:16,19:01:08
674,766,1020,19:00:16,19:01:08
523,739,852,19:00:16,19:01:08
385,938,689,19:00:16,19:01:08
379,1139,503,19:00:16,19:01:08
446,1132,282,19:00:16,19:01:08
424,956,61,19:00:16,19:01:08
259,834,-105,19:00:16,19:01:08
-40,1031,-205,19:00:16,19:01:08
-43,1070,-194,19:00:16,19:01:08
-62,963,-188,19:00:16,19:01:08
-206,835,-225,19:00:16,19:01:08
-839,942,-600,19:00:16,19:01:08
