x,y,z,s,e
-228,347,895,19:10:41,19:11:33
-228,344,902,19:10:41,19:11:33
-216,349,914,19:10:41,19:11:33
-197,367,921,19:10:41,19:11:33
-202,384,883,19:10:41,19:11:33
-235,374,864,19:10:41,19:11:33
-261,373,879,19:10:41,19:11:33
-225,353,946,19:10:41,19:11:33
-167,303,950,19:10:41,19:11:33
-109,259,938,19:10:41,19:11:33
-89,266,921,19:10:41,19:11:33
-175,411,845,19:10:41,19:11:33
-189,462,795,19:10:41,19:11:33
-161,493,755,19:10:41,19:11:33
-138,549,720,19:10:41,19:11:33
-199,781,630,19:10:41,19:11:33
-208,882,597,19:10:41,19:11:33
-180,929,582,19:10:41,19:11:33
-155,933,567,19:10:41,19:11:33
-214,920,486,19:10:41,19:11:33
-258,931,446,19:10:41,19:11:33
-274,941,419,19:10:41,19:11:33
-259,940,386,19:10:41,19:11:33
-212,966,265,19:10:41,19:11:33
-201,1020,209,19:10:41,19:11:33
-193,1079,152,19:10:41,19:11:33
-167,1021,-10,19:10:41,19:11:33
-135,903,-31,19:10:41,19:11:33
-74,836,22,19:10:41,19:11:33
5,890,77,19:10:41,19:11:33
94,1102,-94,19:10:41,19:11:33
78,1040,-211,19:10:41,19:11:33
36,888,-220,19:10:41,19:11:33
-21,787,-131,19:10:41,19:11:33
-81,841,-12,19:10:41,19:11:33
-18,759,-32,19:10:41,19:11:33
67,542,-38,19:10:41,19:11:33
85,341,-32,19:10:41,19:11:33
-241,470,-276,19:10:41,19:11:33
-475,672,-506,19:10:41,19:11:33
-647,755,-679,19:10:41,19:11:33
-745,675,-764,19:10:41,19:11:33
-944,455,-810,19:10:41,19:11:33
-1104,494,-827,19:10:41,19:11:33
-1270,602,-890,19:10:41,19:11:33
-1477,711,-1036,19:10:41,19:11:33
-1436,631,-932,19:10:41,19:11:33
-1282,520,-746,19:10:41,19:11:33
-1087,506,-654,19:10:41,19:11:33
-842,876,-866,19:10:41,19:11:33
-741,1014,-871,19:10:41,19:11:33
-548,977,-705,19:10:41,19:11:33
20,547,-271,19:10:41,19:11:33
201,322,-136,19:10:41,19:11:33
264,142,-26,19:10:41,19:11:33
284,6,63,19:10:41,19:11:33
313,192,-60,19:10:41,19:11:33
240,620,-318,19:10:41,19:11:33
134,978,-554,19:10:41,19:11:33
97,942,-587,19:10:41,19:11:33
265,158,-5,19:10:41,19:11:33
273,114,218,19:10:41,19:11:33
147,340,156,19:10:41,19:11:33
-73,543,-145,19:10:41,19:11:33
-597,513,-774,19:10:41,19:11:33
-869,511,-917,19:10:41,19:11:33
-1116,547,-991,19:10:41,19:11:33
-1285,517,-1048,19:10:41,19:11:33
-1365,347,-1099,19:10:41,19:11:33
-1359,366,-1042,19:10:41,19:11:33
-1319,399,-910,19:10:41,19:11:33
-1090,349,-715,19:10:41,19:11:33
-1040,444,-843,19:10:41,19:11:33
