x,y,z,s,e
612,716,596,14:27:41,14:28:34
556,573,605,14:27:41,14:28:34
563,580,653,14:27:41,14:28:34
629,616,650,14:27:41,14:28:34
813,664,547,14:27:41,14:28:34
822,712,597,14:27:41,14:28:34
764,795,695,14:27:41,14:28:34
697,848,727,14:27:41,14:28:34
674,589,518,14:27:41,14:28:34
646,353,423,14:27:41,14:28:34
530,209,353,14:27:41,14:28:34
351,219,270,14:27:41,14:28:34
200,420,256,14:27:41,14:28:34
295,438,381,14:27:41,14:28:34
403,411,448,14:27:41,14:28:34
468,416,377,14:27:41,14:28:34
675,629,284,14:27:41,14:28:34
869,785,442,14:27:41,14:28:34
1017,924,634,14:27:41,14:28:34
1063,999,759,14:27:41,14:28:34
1071,817,749,14:27:41,14:28:34
1067,672,630,14:27:41,14:28:34
971,608,497,14:27:41,14:28:34
509,738,460,14:27:41,14:28:34
295,807,468,14:27:41,14:28:34
187,743,385,14:27:41,14:28:34
209,501,257,14:27:41,14:28:34
406,97,230,14:27:41,14:28:34
411,242,302,14:27:41,14:28:34
363,486,331,14:27:41,14:28:34
374,619,314,14:27:41,14:28:34
757,675,375,14:27:41,14:28:34
972,857,526,14:27:41,14:28:34
1084,1085,703,14:27:41,14:28:34
1116,1163,805,14:27:41,14:28:34
1138,698,650,14:27:41,14:28:34
1067,476,540,14:27:41,14:28:34
892,440,497,14:27:41,14:28:34
678,507,479,14:27:41,14:28:34
371,511,346,14:27:41,14:28:34
255,494,292,14:27:41,14:28:34
182,514,283,14:27:41,14:28:34
311,489,258,14:27:41,14:28:34
371,464,224,14:27:41,14:28:34
343,469,214,14:27:41,14:28:34
323,493,244,14:27:41,14:28:34
726,655,419,14:27:41,14:28:34
1018,813,555,14:27:41,14:28:34
1186,918,683,14:27:41,14:28:34
1210,878,749,14:27:41,14:28:34
1061,592,624,14:27:41,14:28:34
936,587,520,14:27:41,14:28:34
805,643,454,14:27:41,14:28:34
641,482,378,14:27:41,14:28:34
546,385,345,14:27:41,14:28:34
400,484,368,14:27:41,14:28:34
265,733,466,14:27:41,14:28:34
273,809,588,14:27:41,14:28:34
345,548,479,14:27:41,14:28:34
385,345,320,14:27:41,14:28:34
411,314,224,14:27:41,14:28:34
628,497,367,14:27:41,14:28:34
829,640,521,14:27:41,14:28:34
1011,835,661,14:27:41,14:28:34
1106,997,761,14:27:41,14:28:34
1070,872,761,14:27:41,14:28:34
1041,691,671,14:27:41,14:28:34
1015,597,581,14:27:41,14:28:34
937,605,533,14:27:41,14:28:34
517,515,467,14:27:41,14:28:34
253,305,356,14:27:41,14:28:34
97,112,225,14:27:41,14:28:34
328,256,264,14:27:41,14:28:34
522,439,377,14:27:41,14:28:34
592,445,376,14:27:41,14:28:34
553,310,280,14:27:41,14:28:34
595,573,453,14:27:41,14:28:34
737,990,741,14:27:41,14:28:34
875,1216,918,14:27:41,14:28:34
994,1100,876,14:27:41,14:28:34
1261,562,513,14:27:41,14:28:34
1305,512,467,14:27:41,14:28:34
1161,580,534,14:27:41,14:28:34
840,647,608,14:27:41,14:28:34
136,588,467,14:27:41,14:28:34
-11,459,306,14:27:41,14:28:34
36,308,201,14:27:41,14:28:34
229,211,208,14:27:41,14:28:34
549,277,322,14:27:41,14:28:34
556,341,269,14:27:41,14:28:34
582,407,212,14:27:41,14:28:34
944,735,494,14:27:41,14:28:34
1098,919,726,14:27:41,14:28:34
1121,957,843,14:27:41,14:28:34
1075,834,805,14:27:41,14:28:34
