x,y,z,s,e
963,749,-543,14:33:36,14:34:28
578,879,-508,14:33:36,14:34:28
-30,1280,-141,14:33:36,14:34:28
88,1475,-102,14:33:36,14:34:28
366,1422,-278,14:33:36,14:34:28
569,1132,-529,14:33:36,14:34:28
600,687,-507,14:33:36,14:34:28
703,642,-315,14:33:36,14:34:28
941,547,-232,14:33:36,14:34:28
1174,346,-274,14:33:36,14:34:28
1226,-237,-313,14:33:36,14:34:28
1183,-511,-277,14:33:36,14:34:28
1201,-609,-284,14:33:36,14:34:28
1231,-411,-343,14:33:36,14:34:28
1148,433,-448,14:33:36,14:34:28
1078,636,-478,14:33:36,14:34:28
963,660,-507,14:33:36,14:34:28
431,858,-446,14:33:36,14:34:28
197,1115,-325,14:33:36,14:34:28
173,1329,-212,14:33:36,14:34:28
344,1384,-180,14:33:36,14:34:28
649,935,-337,14:33:36,14:34:28
658,641,-384,14:33:36,14:34:28
708,503,-368,14:33:36,14:34:28
884,513,-350,14:33:36,14:34:28
1281,328,-440,14:33:36,14:34:28
1322,6,-461,14:33:36,14:34:28
1293,-307,-410,14:33:36,14:34:28
1136,-447,-219,14:33:36,14:34:28
999,-218,-189,14:33:36,14:34:28
883,141,-250,14:33:36,14:34:28
826,510,-382,14:33:36,14:34:28
646,900,-574,14:33:36,14:34:28
456,916,-531,14:33:36,14:34:28
321,855,-429,14:33:36,14:34:28
358,752,-335,14:33:36,14:34:28
800,672,-274,14:33:36,14:34:28
924,701,-316,14:33:36,14:34:28
887,644,-441,14:33:36,14:34:28
729,296,-694,14:33:36,14:34:28
783,273,-598,14:33:36,14:34:28
900,369,-416,14:33:36,14:34:28
1021,410,-338,14:33:36,14:34:28
1135,104,-494,14:33:36,14:34:28
1079,-10,-446,14:33:36,14:34:28
972,19,-315,14:33:36,14:34:28
891,153,-253,14:33:36,14:34:28
790,506,-433,14:33:36,14:34:28
614,685,-484,14:33:36,14:34:28
374,852,-475,14:33:36,14:34:28
229,1046,-479,14:33:36,14:34:28
364,1010,-480,14:33:36,14:34:28
491,902,-451,14:33:36,14:34:28
549,788,-425,14:33:36,14:34:28
708,648,-442,14:33:36,14:34:28
897,518,-434,14:33:36,14:34:28
1059,311,-403,14:33:36,14:34:28
1115,98,-387,14:33:36,14:34:28
1136,-89,-453,14:33:36,14:34:28
1248,-89,-456,14:33:36,14:34:28
1348,-74,-396,14:33:36,14:34:28
1318,-39,-319,14:33:36,14:34:28
935,168,-362,14:33:36,14:34:28
769,380,-471,14:33:36,14:34:28
631,677,-546,14:33:36,14:34:28
468,1007,-539,14:33:36,14:34:28
285,1320,-394,14:33:36,14:34:28
407,1223,-364,14:33:36,14:34:28
559,1049,-385,14:33:36,14:34:28
615,889,-428,14:33:36,14:34:28
664,748,-460,14:33:36,14:34:28
831,713,-421,14:33:36,14:34:28
1006,607,-353,14:33:36,14:34:28
1095,407,-280,14:33:36,14:34:28
1178,-67,-232,14:33:36,14:34:28
1252,-242,-278,14:33:36,14:34:28
1273,-350,-326,14:33:36,14:34:28
1097,-160,-293,14:33:36,14:34:28
1067,153,-283,14:33:36,14:34:28
1112,477,-344,14:33:36,14:34:28
1116,695,-446,14:33:36,14:34:28
642,835,-501,14:33:36,14:34:28
303,877,-439,14:33:36,14:34:28
126,893,-377,14:33:36,14:34:28
204,846,-346,14:33:36,14:34:28
669,776,-335,14:33:36,14:34:28
726,859,-332,14:33:36,14:34:28
686,929,-335,14:33:36,14:34:28
729,871,-344,14:33:36,14:34:28
1176,395,-352,14:33:36,14:34:28
1289,108,-336,14:33:36,14:34:28
1245,-146,-314,14:33:36,14:34:28
1162,-327,-300,14:33:36,14:34:28
1147,-382,-248,14:33:36,14:34:28
1112,-278,-228,14:33:36,14:34:28
1026,-98,-283,14:33:36,14:34:28
933,150,-419,14:33:36,14:34:28
692,751,-584,14:33:36,14:34:28
484,1047,-527,14:33:36,14:34:28
276,1308,-435,14:33:36,14:34:28
196,1453,-289,14:33:36,14:34:28
324,1214,-279,14:33:36,14:34:28
463,849,-330,14:33:36,14:34:28
582,546,-410,14:33:36,14:34:28
933,442,-484,14:33:36,14:34:28
1148,401,-496,14:33:36,14:34:28
1290,211,-513,14:33:36,14:34:28
1343,-24,-500,14:33:36,14:34:28
1310,-96,-244,14:33:36,14:34:28
1184,-46,-123,14:33:36,14:34:28
989,-31,-149,14:33:36,14:34:28
823,80,-324,14:33:36,14:34:28
618,801,-618,14:33:36,14:34:28
397,1079,-547,14:33:36,14:34:28
145,1145,-393,14:33:36,14:34:28
62,1091,-292,14:33:36,14:34:28
537,939,-464,14:33:36,14:34:28
731,840,-586,14:33:36,14:34:28
750,739,-591,14:33:36,14:34:28
712,646,-464,14:33:36,14:34:28
882,420,-155,14:33:36,14:34:28
1016,313,-154,14:33:36,14:34:28
1102,243,-249,14:33:36,14:34:28
1172,175,-350,14:33:36,14:34:28
1379,-85,-419,14:33:36,14:34:28
1401,-172,-437,14:33:36,14:34:28
1283,-137,-434,14:33:36,14:34:28
912,231,-346,14:33:36,14:34:28
821,503,-373,14:33:36,14:34:28
738,796,-468,14:33:36,14:34:28
571,1047,-536,14:33:36,14:34:28
