x,y,z,s,e
910,64,445,11:58:44,11:59:36
917,64,456,11:58:44,11:59:36
917,67,462,11:58:44,11:59:36
923,68,478,11:58:44,11:59:36
942,58,508,11:58:44,11:59:36
969,36,545,11:58:44,11:59:36
989,3,557,11:58:44,11:59:36
965,-25,522,11:58:44,11:59:36
922,-109,484,11:58:44,11:59:36
883,-241,465,11:58:44,11:59:36
869,-345,474,11:58:44,11:59:36
859,-242,476,11:58:44,11:59:36
809,-107,435,11:58:44,11:59:36
747,0,403,11:58:44,11:59:36
719,69,416,11:58:44,11:59:36
741,114,473,11:58:44,11:59:36
788,139,547,11:58:44,11:59:36
847,160,697,11:58:44,11:59:36
862,217,791,11:58:44,11:59:36
881,325,880,11:58:44,11:59:36
894,437,912,11:58:44,11:59:36
886,468,851,11:58:44,11:59:36
827,153,548,11:58:44,11:59:36
863,-79,396,11:58:44,11:59:36
1001,-277,260,11:58:44,11:59:36
1213,-463,130,11:58:44,11:59:36
1402,-663,21,11:58:44,11:59:36
1478,-811,-38,11:58:44,11:59:36
1437,-793,-28,11:58:44,11:59:36
1324,-249,182,11:58:44,11:59:36
1307,75,332,11:58:44,11:59:36
1227,350,463,11:58:44,11:59:36
1041,561,555,11:58:44,11:59:36
807,694,623,11:58:44,11:59:36
643,747,699,11:58:44,11:59:36
730,675,785,11:58:44,11:59:36
888,584,711,11:58:44,11:59:36
1017,512,601,11:58:44,11:59:36
1074,483,521,11:58:44,11:59:36
1069,428,453,11:58:44,11:59:36
1098,-112,33,11:58:44,11:59:36
1196,-484,-271,11:58:44,11:59:36
1310,-712,-453,11:58:44,11:59:36
1413,-581,-267,11:58:44,11:59:36
1370,-386,-107,11:58:44,11:59:36
1284,-226,-52,11:58:44,11:59:36
1138,-69,-78,11:58:44,11:59:36
1105,-11,-12,11:58:44,11:59:36
1076,50,82,11:58:44,11:59:36
1044,102,150,11:58:44,11:59:36
973,240,280,11:58:44,11:59:36
935,431,483,11:58:44,11:59:36
896,704,778,11:58:44,11:59:36
844,922,1025,11:58:44,11:59:36
764,926,1079,11:58:44,11:59:36
674,513,809,11:58:44,11:59:36
781,457,747,11:58:44,11:59:36
960,465,684,11:58:44,11:59:36
1128,308,471,11:58:44,11:59:36
1355,-519,-194,11:58:44,11:59:36
1478,-758,-282,11:58:44,11:59:36
1596,-706,-161,11:58:44,11:59:36
1580,-181,118,11:58:44,11:59:36
1395,-20,172,11:58:44,11:59:36
1149,18,271,11:58:44,11:59:36
923,43,463,11:58:44,11:59:36
776,166,696,11:58:44,11:59:36
713,391,876,11:58:44,11:59:36
712,708,894,11:58:44,11:59:36
714,646,787,11:58:44,11:59:36
708,511,683,11:58:44,11:59:36
718,443,650,11:58:44,11:59:36
769,501,720,11:58:44,11:59:36
856,579,826,11:58:44,11:59:36
1056,170,589,11:58:44,11:59:36
1231,-269,157,11:58:44,11:59:36
1458,-625,-332,11:58:44,11:59:36
1611,-766,-706,11:58:44,11:59:36
1482,-471,-624,11:58:44,11:59:36
1409,-252,-231,11:58:44,11:59:36
1399,-113,127,11:58:44,11:59:36
1160,35,378,11:58:44,11:59:36
946,159,535,11:58:44,11:59:36
826,319,841,11:58:44,11:59:36
847,684,1318,11:58:44,11:59:36
816,810,1251,11:58:44,11:59:36
765,815,1057,11:58:44,11:59:36
920,504,702,11:58:44,11:59:36
1091,259,511,11:58:44,11:59:36
1222,-58,207,11:58:44,11:59:36
1393,-667,-553,11:58:44,11:59:36
1490,-706,-725,11:58:44,11:59:36
1547,-555,-649,11:58:44,11:59:36
1516,-360,-397,11:58:44,11:59:36
1296,-133,150,11:58:44,11:59:36
1201,-24,318,11:58:44,11:59:36
1113,95,435,11:58:44,11:59:36
903,234,656,11:58:44,11:59:36
828,316,758,11:58:44,11:59:36
795,445,814,11:58:44,11:59:36
772,538,725,11:58:44,11:59:36
788,429,646,11:58:44,11:59:36
840,337,618,11:58:44,11:59:36
902,329,644,11:58:44,11:59:36
980,219,586,11:58:44,11:59:36
1064,-32,400,11:58:44,11:59:36
1220,-311,127,11:58:44,11:59:36
1490,-534,-442,11:58:44,11:59:36
1477,-478,-561,11:58:44,11:59:36
1402,-375,-480,11:58:44,11:59:36
1333,-262,-255,11:58:44,11:59:36
1236,-91,155,11:58:44,11:59:36
1162,-33,292,11:58:44,11:59:36
1068,40,466,11:58:44,11:59:36
957,155,689,11:58:44,11:59:36
721,518,1087,11:58:44,11:59:36
664,667,1163,11:58:44,11:59:36
676,685,1108,11:58:44,11:59:36
728,554,938,11:58:44,11:59:36
809,206,595,11:58:44,11:59:36
888,110,501,11:58:44,11:59:36
1066,-1,368,11:58:44,11:59:36
1539,-383,-196,11:58:44,11:59:36
1589,-515,-512,11:58:44,11:59:36
1475,-538,-682,11:58:44,11:59:36
1330,-487,-614,11:58:44,11:59:36
1302,-323,-13,11:58:44,11:59:36
1299,-203,224,11:58:44,11:59:36
1194,-57,355,11:58:44,11:59:36
888,269,690,11:58:44,11:59:36
813,451,968,11:58:44,11:59:36
770,605,1184,11:58:44,11:59:36
727,661,1215,11:58:44,11:59:36
758,449,825,11:58:44,11:59:36
859,302,645,11:58:44,11:59:36
976,165,529,11:58:44,11:59:36
1096,5,391,11:58:44,11:59:36
1376,-410,-166,11:58:44,11:59:36
1479,-557,-462,11:58:44,11:59:36
1507,-582,-612,11:58:44,11:59:36
1469,-485,-560,11:58:44,11:59:36
1341,-190,-95,11:58:44,11:59:36
1267,-106,111,11:58:44,11:59:36
1166,-62,257,11:58:44,11:59:36
1042,2,405,11:58:44,11:59:36
836,402,923,11:58:44,11:59:36
768,657,1178,11:58:44,11:59:36
708,789,1256,11:58:44,11:59:36
666,723,1112,11:58:44,11:59:36
722,290,629,11:58:44,11:59:36
807,132,515,11:58:44,11:59:36
936,23,449,11:58:44,11:59:36
1146,-94,331,11:58:44,11:59:36
1623,-360,-211,11:58:44,11:59:36
1624,-427,-530,11:58:44,11:59:36
1441,-441,-699,11:58:44,11:59:36
1202,-378,-267,11:58:44,11:59:36
1260,-285,118,11:58:44,11:59:36
1274,-142,384,11:58:44,11:59:36
1155,27,515,11:58:44,11:59:36
813,330,824,11:58:44,11:59:36
756,439,1051,11:58:44,11:59:36
746,494,1163,11:58:44,11:59:36
732,475,1069,11:58:44,11:59:36
743,302,668,11:58:44,11:59:36
822,227,614,11:58:44,11:59:36
929,149,611,11:58:44,11:59:36
1041,27,531,11:58:44,11:59:36
1314,-329,41,11:58:44,11:59:36
1448,-469,-247,11:58:44,11:59:36
1498,-531,-470,11:58:44,11:59:36
1440,-512,-552,11:58:44,11:59:36
1271,-287,-173,11:58:44,11:59:36
1268,-145,119,11:58:44,11:59:36
1251,-29,318,11:58:44,11:59:36
1156,63,407,11:58:44,11:59:36
890,304,625,11:58:44,11:59:36
828,448,842,11:58:44,11:59:36
779,546,1031,11:58:44,11:59:36
707,562,1085,11:58:44,11:59:36
662,397,817,11:58:44,11:59:36
770,283,691,11:58:44,11:59:36
900,181,628,11:58:44,11:59:36
1068,-21,406,11:58:44,11:59:36
1185,-159,170,11:58:44,11:59:36
1337,-310,-94,11:58:44,11:59:36
1437,-422,-329,11:58:44,11:59:36
1346,-374,-511,11:58:44,11:59:36
1287,-270,-401,11:58:44,11:59:36
1284,-197,-203,11:58:44,11:59:36
1290,-165,-2,11:58:44,11:59:36
1164,-69,294,11:58:44,11:59:36
1065,31,463,11:58:44,11:59:36
979,154,680,11:58:44,11:59:36
839,406,1048,11:58:44,11:59:36
778,458,1034,11:58:44,11:59:36
