x,y,z,s,e
-889,56,455,14:19:50,14:20:42
-906,40,458,14:19:50,14:20:42
-921,22,458,14:19:50,14:20:42
-936,-1,463,14:19:50,14:20:42
-946,-29,472,14:19:50,14:20:42
-923,-11,472,14:19:50,14:20:42
-880,73,467,14:19:50,14:20:42
-827,181,462,14:19:50,14:20:42
-795,252,395,14:19:50,14:20:42
-846,206,328,14:19:50,14:20:42
-901,166,281,14:19:50,14:20:42
-915,161,280,14:19:50,14:20:42
-810,250,353,14:19:50,14:20:42
-746,339,395,14:19:50,14:20:42
-690,425,446,14:19:50,14:20:42
-650,465,508,14:19:50,14:20:42
-711,402,633,14:19:50,14:20:42
-812,323,705,14:19:50,14:20:42
-895,211,775,14:19:50,14:20:42
-900,98,811,14:19:50,14:20:42
-666,61,748,14:19:50,14:20:42
-519,108,743,14:19:50,14:20:42
-398,122,805,14:19:50,14:20:42
-310,92,899,14:19:50,14:20:42
-249,-4,993,14:19:50,14:20:42
-269,-47,1031,14:19:50,14:20:42
-307,-56,1107,14:19:50,14:20:42
-380,0,1168,14:19:50,14:20:42
-785,211,975,14:19:50,14:20:42
-1080,279,722,14:19:50,14:20:42
-1288,313,422,14:19:50,14:20:42
-1332,315,136,14:19:50,14:20:42
-1253,257,-76,14:19:50,14:20:42
-1296,276,36,14:19:50,14:20:42
-1261,300,212,14:19:50,14:20:42
-574,88,678,14:19:50,14:20:42
-156,-51,1004,14:19:50,14:20:42
88,-83,1313,14:19:50,14:20:42
132,-29,1494,14:19:50,14:20:42
-127,4,1396,14:19:50,14:20:42
-282,-32,1263,14:19:50,14:20:42
-414,-28,1151,14:19:50,14:20:42
-572,50,1032,14:19:50,14:20:42
-1112,323,485,14:19:50,14:20:42
-1364,405,83,14:19:50,14:20:42
-1470,389,-195,14:19:50,14:20:42
-1432,297,-202,14:19:50,14:20:42
-1258,214,269,14:19:50,14:20:42
-1161,278,395,14:19:50,14:20:42
-974,300,440,14:19:50,14:20:42
-680,215,553,14:19:50,14:20:42
-106,-28,1061,14:19:50,14:20:42
22,-54,1256,14:19:50,14:20:42
42,-47,1351,14:19:50,14:20:42
-10,-42,1379,14:19:50,14:20:42
-176,39,1235,14:19:50,14:20:42
-283,128,1081,14:19:50,14:20:42
-479,195,932,14:19:50,14:20:42
-802,230,784,14:19:50,14:20:42
-1520,316,289,14:19:50,14:20:42
-1671,328,33,14:19:50,14:20:42
-1639,263,-57,14:19:50,14:20:42
-1308,137,252,14:19:50,14:20:42
-1084,186,452,14:19:50,14:20:42
-791,229,633,14:19:50,14:20:42
-422,177,857,14:19:50,14:20:42
172,-32,1406,14:19:50,14:20:42
174,-7,1495,14:19:50,14:20:42
12,90,1358,14:19:50,14:20:42
-153,160,1121,14:19:50,14:20:42
-324,174,979,14:19:50,14:20:42
-547,272,988,14:19:50,14:20:42
-908,417,818,14:19:50,14:20:42
-1257,486,434,14:19:50,14:20:42
-1493,262,-272,14:19:50,14:20:42
-1458,153,-221,14:19:50,14:20:42
-1408,171,90,14:19:50,14:20:42
-1324,295,442,14:19:50,14:20:42
-875,356,638,14:19:50,14:20:42
-537,173,669,14:19:50,14:20:42
-223,-1,864,14:19:50,14:20:42
-13,-22,1135,14:19:50,14:20:42
16,236,1184,14:19:50,14:20:42
-60,245,1042,14:19:50,14:20:42
-105,135,1023,14:19:50,14:20:42
-125,32,1120,14:19:50,14:20:42
-464,229,1057,14:19:50,14:20:42
-894,423,795,14:19:50,14:20:42
-1378,504,457,14:19:50,14:20:42
-1793,176,-177,14:19:50,14:20:42
-1614,-5,-295,14:19:50,14:20:42
-1354,12,-187,14:19:50,14:20:42
-1168,217,90,14:19:50,14:20:42
-881,418,677,14:19:50,14:20:42
-543,228,909,14:19:50,14:20:42
-111,9,1158,14:19:50,14:20:42
205,-79,1403,14:19:50,14:20:42
88,82,1439,14:19:50,14:20:42
-103,110,1184,14:19:50,14:20:42
-207,43,955,14:19:50,14:20:42
-296,-12,892,14:19:50,14:20:42
-848,252,846,14:19:50,14:20:42
-1210,411,564,14:19:50,14:20:42
-1491,398,231,14:19:50,14:20:42
-1664,243,86,14:19:50,14:20:42
-1613,154,289,14:19:50,14:20:42
-1379,317,247,14:19:50,14:20:42
-1102,433,120,14:19:50,14:20:42
-853,383,170,14:19:50,14:20:42
-298,24,1075,14:19:50,14:20:42
9,-77,1488,14:19:50,14:20:42
174,-97,1597,14:19:50,14:20:42
-43,-15,1177,14:19:50,14:20:42
-172,14,990,14:19:50,14:20:42
-246,35,945,14:19:50,14:20:42
-380,98,964,14:19:50,14:20:42
-1009,330,652,14:19:50,14:20:42
-1351,367,338,14:19:50,14:20:42
-1599,307,118,14:19:50,14:20:42
-1690,177,60,14:19:50,14:20:42
-1361,-3,84,14:19:50,14:20:42
-1149,100,70,14:19:50,14:20:42
-1020,279,147,14:19:50,14:20:42
-880,366,397,14:19:50,14:20:42
-200,64,1206,14:19:50,14:20:42
142,-112,1493,14:19:50,14:20:42
256,-160,1561,14:19:50,14:20:42
140,-85,1422,14:19:50,14:20:42
-200,70,1011,14:19:50,14:20:42
-317,55,920,14:19:50,14:20:42
-511,76,846,14:19:50,14:20:42
-813,203,691,14:19:50,14:20:42
-1451,394,239,14:19:50,14:20:42
-1645,275,116,14:19:50,14:20:42
-1687,139,61,14:19:50,14:20:42
-1548,125,10,14:19:50,14:20:42
-1070,281,66,14:19:50,14:20:42
-897,246,342,14:19:50,14:20:42
-687,157,737,14:19:50,14:20:42
5,32,1333,14:19:50,14:20:42
197,4,1409,14:19:50,14:20:42
121,9,1365,14:19:50,14:20:42
-101,52,1246,14:19:50,14:20:42
-260,99,978,14:19:50,14:20:42
-255,71,881,14:19:50,14:20:42
-440,79,759,14:19:50,14:20:42
-864,178,560,14:19:50,14:20:42
-1771,393,86,14:19:50,14:20:42
-1866,290,-4,14:19:50,14:20:42
-1651,89,33,14:19:50,14:20:42
-1270,-19,127,14:19:50,14:20:42
-811,267,369,14:19:50,14:20:42
-784,375,598,14:19:50,14:20:42
-689,315,878,14:19:50,14:20:42
-443,163,1096,14:19:50,14:20:42
84,1,1181,14:19:50,14:20:42
135,31,1135,14:19:50,14:20:42
49,90,1065,14:19:50,14:20:42
-93,126,985,14:19:50,14:20:42
-428,51,924,14:19:50,14:20:42
-640,33,903,14:19:50,14:20:42
-873,105,808,14:19:50,14:20:42
-1134,243,680,14:19:50,14:20:42
-1796,354,593,14:19:50,14:20:42
-1945,232,475,14:19:50,14:20:42
-1741,100,186,14:19:50,14:20:42
-896,195,-93,14:19:50,14:20:42
-726,298,310,14:19:50,14:20:42
-638,275,876,14:19:50,14:20:42
-407,130,1250,14:19:50,14:20:42
234,-132,1131,14:19:50,14:20:42
230,-121,1025,14:19:50,14:20:42
20,-27,1057,14:19:50,14:20:42
-182,75,1143,14:19:50,14:20:42
-345,101,1080,14:19:50,14:20:42
-565,100,929,14:19:50,14:20:42
-941,175,732,14:19:50,14:20:42
-1323,268,492,14:19:50,14:20:42
-1680,152,153,14:19:50,14:20:42
-1707,91,197,14:19:50,14:20:42
-1642,187,285,14:19:50,14:20:42
-1431,340,274,14:19:50,14:20:42
-752,240,218,14:19:50,14:20:42
-479,122,492,14:19:50,14:20:42
-243,98,931,14:19:50,14:20:42
-2,82,1331,14:19:50,14:20:42
188,-110,1509,14:19:50,14:20:42
20,-100,1333,14:19:50,14:20:42
-197,-15,1138,14:19:50,14:20:42
-496,46,948,14:19:50,14:20:42
-713,153,822,14:19:50,14:20:42
-1064,351,592,14:19:50,14:20:42
-1477,460,334,14:19:50,14:20:42
-1837,112,-14,14:19:50,14:20:42
-1617,0,-150,14:19:50,14:20:42
-1281,95,-220,14:19:50,14:20:42
-1023,260,-100,14:19:50,14:20:42
-725,235,702,14:19:50,14:20:42
-421,92,1102,14:19:50,14:20:42
-36,-29,1378,14:19:50,14:20:42
208,-92,1540,14:19:50,14:20:42
-44,-3,1426,14:19:50,14:20:42
-230,74,1158,14:19:50,14:20:42
-285,99,919,14:19:50,14:20:42
-312,91,829,14:19:50,14:20:42
-784,219,815,14:19:50,14:20:42
-1177,296,629,14:19:50,14:20:42
-1555,280,366,14:19:50,14:20:42
-1840,191,180,14:19:50,14:20:42
-1724,128,84,14:19:50,14:20:42
-1312,196,26,14:19:50,14:20:42
-920,256,53,14:19:50,14:20:42
-718,263,324,14:19:50,14:20:42
-469,149,1269,14:19:50,14:20:42
-245,156,1473,14:19:50,14:20:42
-154,279,1394,14:19:50,14:20:42
