x,y,z,s,e
-828,56,520,10:37:17,10:38:09
-838,62,517,10:37:17,10:38:09
-832,48,598,10:37:17,10:38:09
-828,35,606,10:37:17,10:38:09
-832,34,589,10:37:17,10:38:09
-849,60,604,10:37:17,10:38:09
-860,57,624,10:37:17,10:38:09
-876,24,602,10:37:17,10:38:09
-900,-55,520,10:37:17,10:38:09
-937,-190,394,10:37:17,10:38:09
-1059,-459,239,10:37:17,10:38:09
-1111,-428,308,10:37:17,10:38:09
-1105,-239,458,10:37:17,10:38:09
-1014,28,616,10:37:17,10:38:09
-693,381,807,10:37:17,10:38:09
-572,440,873,10:37:17,10:38:09
-511,474,905,10:37:17,10:38:09
-502,468,854,10:37:17,10:38:09
-530,392,732,10:37:17,10:38:09
-628,197,659,10:37:17,10:38:09
-691,192,770,10:37:17,10:38:09
-793,203,850,10:37:17,10:38:09
-952,110,796,10:37:17,10:38:09
-1334,-578,295,10:37:17,10:38:09
-1466,-951,2,10:37:17,10:38:09
-1515,-1090,-181,10:37:17,10:38:09
-1488,-942,-178,10:37:17,10:38:09
-1327,-244,327,10:37:17,10:38:09
-1189,129,646,10:37:17,10:38:09
-967,483,882,10:37:17,10:38:09
-678,746,999,10:37:17,10:38:09
-243,681,985,10:37:17,10:38:09
-226,431,921,10:37:17,10:38:09
-320,230,856,10:37:17,10:38:09
-469,207,838,10:37:17,10:38:09
-767,485,917,10:37:17,10:38:09
-910,378,792,10:37:17,10:38:09
-1089,-29,458,10:37:17,10:38:09
-1315,-555,42,10:37:17,10:38:09
-1527,-923,-247,10:37:17,10:38:09
-1563,-793,-127,10:37:17,10:38:09
-1410,-513,52,10:37:17,10:38:09
-1281,-257,127,10:37:17,10:38:09
-1232,-29,170,10:37:17,10:38:09
-1199,197,356,10:37:17,10:38:09
-753,432,1010,10:37:17,10:38:09
-396,389,1079,10:37:17,10:38:09
-195,385,964,10:37:17,10:38:09
-500,661,820,10:37:17,10:38:09
-691,719,804,10:37:17,10:38:09
-744,628,739,10:37:17,10:38:09
-745,446,637,10:37:17,10:38:09
-822,231,529,10:37:17,10:38:09
-1218,-326,253,10:37:17,10:38:09
-1366,-624,91,10:37:17,10:38:09
-1420,-771,0,10:37:17,10:38:09
-1410,-672,15,10:37:17,10:38:09
-1316,-234,41,10:37:17,10:38:09
-1252,-186,27,10:37:17,10:38:09
-1186,-139,188,10:37:17,10:38:09
-1108,54,546,10:37:17,10:38:09
-984,336,897,10:37:17,10:38:09
-573,527,1032,10:37:17,10:38:09
-426,423,938,10:37:17,10:38:09
-427,300,804,10:37:17,10:38:09
-556,212,635,10:37:17,10:38:09
-705,217,536,10:37:17,10:38:09
-742,486,818,10:37:17,10:38:09
-730,518,928,10:37:17,10:38:09
-830,357,813,10:37:17,10:38:09
-1038,60,520,10:37:17,10:38:09
-1258,-260,187,10:37:17,10:38:09
-1446,-575,-171,10:37:17,10:38:09
-1426,-482,-115,10:37:17,10:38:09
-1371,-345,26,10:37:17,10:38:09
-1291,-313,143,10:37:17,10:38:09
-1198,-373,204,10:37:17,10:38:09
-1113,-346,280,10:37:17,10:38:09
-1051,-114,430,10:37:17,10:38:09
-1005,206,606,10:37:17,10:38:09
-875,413,709,10:37:17,10:38:09
-757,373,692,10:37:17,10:38:09
-626,380,718,10:37:17,10:38:09
-556,363,753,10:37:17,10:38:09
-624,216,726,10:37:17,10:38:09
-802,9,644,10:37:17,10:38:09
-938,-48,576,10:37:17,10:38:09
-894,122,556,10:37:17,10:38:09
-596,439,526,10:37:17,10:38:09
-669,386,544,10:37:17,10:38:09
-876,355,626,10:37:17,10:38:09
-1090,383,689,10:37:17,10:38:09
-1263,294,579,10:37:17,10:38:09
-1418,-66,222,10:37:17,10:38:09
-1546,-583,-256,10:37:17,10:38:09
-1578,-846,-615,10:37:17,10:38:09
-1511,-484,-323,10:37:17,10:38:09
-1431,-172,67,10:37:17,10:38:09
-1337,-93,366,10:37:17,10:38:09
-1229,-117,525,10:37:17,10:38:09
-1115,-25,604,10:37:17,10:38:09
-994,210,663,10:37:17,10:38:09
-861,432,728,10:37:17,10:38:09
-719,526,804,10:37:17,10:38:09
-491,467,886,10:37:17,10:38:09
-464,379,804,10:37:17,10:38:09
-526,275,678,10:37:17,10:38:09
-649,231,626,10:37:17,10:38:09
-762,299,700,10:37:17,10:38:09
-807,404,810,10:37:17,10:38:09
-832,318,731,10:37:17,10:38:09
-953,169,590,10:37:17,10:38:09
-1152,19,444,10:37:17,10:38:09
-1350,-175,255,10:37:17,10:38:09
-1462,-449,12,10:37:17,10:38:09
-1447,-716,-188,10:37:17,10:38:09
-1222,-692,-63,10:37:17,10:38:09
-1166,-432,164,10:37:17,10:38:09
-1169,-203,337,10:37:17,10:38:09
-1167,-85,420,10:37:17,10:38:09
-1109,-31,459,10:37:17,10:38:09
-999,40,496,10:37:17,10:38:09
-879,159,541,10:37:17,10:38:09
-704,401,717,10:37:17,10:38:09
-629,461,868,10:37:17,10:38:09
-554,451,985,10:37:17,10:38:09
-501,371,993,10:37:17,10:38:09
-495,270,910,10:37:17,10:38:09
-536,236,833,10:37:17,10:38:09
-609,305,822,10:37:17,10:38:09
-712,404,827,10:37:17,10:38:09
-1022,230,579,10:37:17,10:38:09
-1194,-71,345,10:37:17,10:38:09
-1328,-382,127,10:37:17,10:38:09
-1395,-584,-39,10:37:17,10:38:09
-1399,-616,-144,10:37:17,10:38:09
-1368,-506,-168,10:37:17,10:38:09
-1327,-342,-91,10:37:17,10:38:09
-1277,-208,72,10:37:17,10:38:09
-1120,-37,421,10:37:17,10:38:09
-1024,66,517,10:37:17,10:38:09
-920,170,585,10:37:17,10:38:09
-803,255,678,10:37:17,10:38:09
-680,338,812,10:37:17,10:38:09
-576,437,939,10:37:17,10:38:09
-522,519,984,10:37:17,10:38:09
-585,491,795,10:37:17,10:38:09
-635,442,734,10:37:17,10:38:09
-677,419,775,10:37:17,10:38:09
-757,383,826,10:37:17,10:38:09
-925,266,728,10:37:17,10:38:09
-1159,21,410,10:37:17,10:38:09
-1378,-338,-26,10:37:17,10:38:09
-1510,-705,-383,10:37:17,10:38:09
-1483,-765,-478,10:37:17,10:38:09
-1380,-423,-312,10:37:17,10:38:09
-1265,-130,-99,10:37:17,10:38:09
-1177,-55,128,10:37:17,10:38:09
-1130,-86,347,10:37:17,10:38:09
-1086,-5,532,10:37:17,10:38:09
-984,231,667,10:37:17,10:38:09
-808,455,766,10:37:17,10:38:09
-626,509,854,10:37:17,10:38:09
-540,307,925,10:37:17,10:38:09
-602,250,838,10:37:17,10:38:09
-641,242,728,10:37:17,10:38:09
-641,255,693,10:37:17,10:38:09
-656,266,736,10:37:17,10:38:09
-746,250,754,10:37:17,10:38:09
-922,180,645,10:37:17,10:38:09
-1129,30,416,10:37:17,10:38:09
-1389,-446,-31,10:37:17,10:38:09
-1395,-604,-121,10:37:17,10:38:09
-1339,-599,-119,10:37:17,10:38:09
-1265,-467,-48,10:37:17,10:38:09
-1214,-309,71,10:37:17,10:38:09
-1192,-180,222,10:37:17,10:38:09
-1162,-55,380,10:37:17,10:38:09
-1081,89,516,10:37:17,10:38:09
-810,297,679,10:37:17,10:38:09
-693,337,758,10:37:17,10:38:09
-604,379,866,10:37:17,10:38:09
-537,401,953,10:37:17,10:38:09
-512,343,948,10:37:17,10:38:09
-550,224,860,10:37:17,10:38:09
-640,164,796,10:37:17,10:38:09
-739,241,829,10:37:17,10:38:09
-822,360,873,10:37:17,10:38:09
-1040,70,439,10:37:17,10:38:09
-1208,-314,50,10:37:17,10:38:09
-1362,-635,-213,10:37:17,10:38:09
-1437,-762,-281,10:37:17,10:38:09
-1411,-677,-221,10:37:17,10:38:09
-1325,-466,-117,10:37:17,10:38:09
-1239,-260,5,10:37:17,10:38:09
-1181,-139,152,10:37:17,10:38:09
-1073,34,470,10:37:17,10:38:09
-985,168,593,10:37:17,10:38:09
-877,255,666,10:37:17,10:38:09
-766,263,701,10:37:17,10:38:09
-645,318,820,10:37:17,10:38:09
-662,405,863,10:37:17,10:38:09
-693,436,805,10:37:17,10:38:09
-652,309,627,10:37:17,10:38:09
-622,269,699,10:37:17,10:38:09
-679,270,820,10:37:17,10:38:09
-853,262,839,10:37:17,10:38:09
-1274,-64,354,10:37:17,10:38:09
-1376,-425,20,10:37:17,10:38:09
-1410,-769,-186,10:37:17,10:38:09
-1401,-906,-203,10:37:17,10:38:09
-1344,-753,-86,10:37:17,10:38:09
-1246,-429,58,10:37:17,10:38:09
-1146,-149,177,10:38:16,10:39:08
-1086,-24,282,10:38:16,10:39:08
-1059,7,390,10:38:16,10:39:08
-948,180,568,10:38:16,10:39:08
-841,296,678,10:38:16,10:39:08
-720,369,834,10:38:16,10:39:08
-594,392,973,10:38:16,10:39:08
-441,291,937,10:38:16,10:39:08
-495,201,850,10:38:16,10:39:08
-619,168,829,10:38:16,10:39:08
-741,215,854,10:38:16,10:39:08
-872,251,723,10:38:16,10:39:08
-962,136,528,10:38:16,10:39:08
-1100,-28,308,10:38:16,10:39:08
-1242,-217,97,10:38:16,10:39:08
-1364,-594,-236,10:38:16,10:39:08
-1336,-637,-271,10:38:16,10:39:08
-1223,-373,73,10:38:16,10:39:08
-1176,-231,321,10:38:16,10:39:08
-1124,-85,503,10:38:16,10:39:08
-900,362,743,10:38:16,10:39:08
-725,542,893,10:38:16,10:39:08
-556,579,1027,10:38:16,10:39:08
-428,258,1024,10:38:16,10:39:08
-503,69,914,10:38:16,10:39:08
-623,14,801,10:38:16,10:39:08
-795,262,669,10:38:16,10:39:08
-856,264,626,10:38:16,10:39:08
-956,68,552,10:38:16,10:39:08
-1229,-446,220,10:38:16,10:39:08
-1307,-530,28,10:38:16,10:39:08
-1325,-477,-86,10:38:16,10:39:08
-1258,-257,-59,10:38:16,10:39:08
-1194,-234,3,10:38:16,10:39:08
-1136,-254,109,10:38:16,10:39:08
-1073,-104,523,10:38:16,10:39:08
-988,60,675,10:38:16,10:39:08
-721,208,675,10:38:16,10:39:08
-662,224,724,10:38:16,10:39:08
-648,275,845,10:38:16,10:39:08
-623,338,924,10:38:16,10:39:08
-591,328,822,10:38:16,10:39:08
-656,297,813,10:38:16,10:39:08
-741,297,848,10:38:16,10:39:08
-893,211,653,10:38:16,10:39:08
-1044,7,398,10:38:16,10:39:08
-1411,-604,-61,10:38:16,10:39:08
-1449,-826,-178,10:38:16,10:39:08
-1370,-862,-198,10:38:16,10:39:08
-1189,-433,-9,10:38:16,10:39:08
-1175,-197,141,10:38:16,10:39:08
-1170,-52,310,10:38:16,10:39:08
-1007,153,626,10:38:16,10:39:08
-849,279,754,10:38:16,10:39:08
-688,373,885,10:38:16,10:39:08
-522,372,1043,10:38:16,10:39:08
-547,316,971,10:38:16,10:39:08
-682,280,789,10:38:16,10:39:08
-725,320,814,10:38:16,10:39:08
-768,345,834,10:38:16,10:39:08
-860,297,737,10:38:16,10:39:08
-1241,-119,218,10:38:16,10:39:08
-1419,-452,-41,10:38:16,10:39:08
-1484,-753,-226,10:38:16,10:39:08
-1305,-801,-270,10:38:16,10:39:08
-1208,-558,-113,10:38:16,10:39:08
-1169,-304,98,10:38:16,10:39:08
-1115,16,450,10:38:16,10:39:08
-1023,167,614,10:38:16,10:39:08
-887,459,980,10:38:16,10:39:08
-577,492,1056,10:38:16,10:39:08
-471,400,1023,10:38:16,10:39:08
-450,212,938,10:38:16,10:39:08
-635,0,808,10:38:16,10:39:08
-733,156,784,10:38:16,10:39:08
-785,362,770,10:38:16,10:39:08
-910,227,610,10:38:16,10:39:08
-1073,-63,410,10:38:16,10:39:08
-1271,-323,160,10:38:16,10:39:08
-1430,-666,-212,10:38:16,10:39:08
-1335,-718,-208,10:38:16,10:39:08
-1212,-616,-72,10:38:16,10:39:08
-1142,-396,120,10:38:16,10:39:08
-1128,-42,350,10:38:16,10:39:08
-1085,14,376,10:38:16,10:39:08
-1004,44,428,10:38:16,10:39:08
-916,88,545,10:38:16,10:39:08
-748,253,848,10:38:16,10:39:08
-641,329,948,10:38:16,10:39:08
-496,272,950,10:38:16,10:39:08
-527,173,862,10:38:16,10:39:08
-602,135,781,10:38:16,10:39:08
-672,202,758,10:38:16,10:39:08
-823,303,749,10:38:16,10:39:08
-976,152,624,10:38:16,10:39:08
-1161,-101,415,10:38:16,10:39:08
-1312,-370,178,10:38:16,10:39:08
-1372,-722,-159,10:38:16,10:39:08
-1325,-706,-188,10:38:16,10:39:08
-1276,-547,-105,10:38:16,10:39:08
-1214,-171,238,10:38:16,10:39:08
-1169,-71,387,10:38:16,10:39:08
-1092,27,520,10:38:16,10:39:08
-986,164,673,10:38:16,10:39:08
-723,369,959,10:38:16,10:39:08
-586,364,992,10:38:16,10:39:08
-492,299,953,10:38:16,10:39:08
-483,194,885,10:38:16,10:39:08
-646,90,746,10:38:16,10:39:08
-709,201,706,10:38:16,10:39:08
-740,327,695,10:38:16,10:39:08
-920,129,616,10:38:16,10:39:08
-1099,-133,467,10:38:16,10:39:08
-1263,-366,247,10:38:16,10:39:08
-1355,-676,-103,10:38:16,10:39:08
-1314,-705,-91,10:38:16,10:39:08
-1254,-599,20,10:38:16,10:39:08
-1193,-405,150,10:38:16,10:39:08
-1112,-101,331,10:38:16,10:39:08
-1079,-11,434,10:38:16,10:39:08
-909,175,657,10:38:16,10:39:08
-784,229,738,10:38:16,10:39:08
-671,241,811,10:38:16,10:39:08
-587,237,883,10:38:16,10:39:08
-541,226,895,10:38:16,10:39:08
-583,218,816,10:38:16,10:39:08
-652,236,755,10:38:16,10:39:08
-811,371,801,10:38:16,10:39:08
-913,345,775,10:38:16,10:39:08
-1035,163,621,10:38:16,10:39:08
-1162,-137,373,10:38:16,10:39:08
-1357,-699,-44,10:38:16,10:39:08
-1382,-810,-131,10:38:16,10:39:08
-1338,-756,-153,10:38:16,10:39:08
-1191,-314,-11,10:38:16,10:39:08
-1166,-140,152,10:38:16,10:39:08
-1156,-55,339,10:38:16,10:39:08
-1007,166,672,10:38:16,10:39:08
-861,316,802,10:38:16,10:39:08
-711,384,910,10:38:16,10:39:08
-592,348,983,10:38:16,10:39:08
-518,157,912,10:38:16,10:39:08
-562,83,776,10:38:16,10:39:08
-632,78,680,10:38:16,10:39:08
-695,157,680,10:38:16,10:39:08
-784,275,724,10:38:16,10:39:08
-877,172,631,10:38:16,10:39:08
-1023,-5,488,10:38:16,10:39:08
-1271,-395,177,10:38:16,10:39:08
-1293,-577,28,10:38:16,10:39:08
-1276,-689,-54,10:38:16,10:39:08
-1261,-671,-29,10:38:16,10:39:08
-1232,-335,218,10:38:16,10:39:08
-1184,-165,360,10:38:16,10:39:08
-1108,-33,504,10:38:16,10:39:08
-997,87,627,10:38:16,10:39:08
-710,291,735,10:38:16,10:39:08
-608,324,804,10:38:16,10:39:08
-564,309,911,10:38:16,10:39:08
-558,266,884,10:38:16,10:39:08
-568,292,740,10:38:16,10:39:08
-609,341,677,10:38:16,10:39:08
-692,361,743,10:38:16,10:39:08
-947,225,772,10:38:16,10:39:08
-1073,109,549,10:38:16,10:39:08
-1172,-55,243,10:38:16,10:39:08
-1239,-305,-13,10:38:16,10:39:08
-1298,-694,-71,10:38:16,10:39:08
-1277,-584,73,10:38:16,10:39:08
-1212,-350,212,10:38:16,10:39:08
-1075,-169,335,10:38:16,10:39:08
-1057,-196,386,10:38:16,10:39:08
-1050,-150,459,10:38:16,10:39:08
-1017,-21,540,10:38:16,10:39:08
-848,181,701,10:38:16,10:39:08
-749,199,788,10:38:16,10:39:08
-663,219,869,10:38:16,10:39:08
-593,270,935,10:38:16,10:39:08
-519,339,973,10:38:16,10:39:08
-527,320,919,10:38:16,10:39:08
-571,331,840,10:38:16,10:39:08
-763,441,742,10:38:16,10:39:08
-899,356,653,10:38:16,10:39:08
-1061,110,459,10:38:16,10:39:08
-1242,-233,199,10:38:16,10:39:08
-1448,-829,-92,10:38:16,10:39:08
-1376,-906,-52,10:38:16,10:39:08
-1245,-778,46,10:38:16,10:39:08
-1154,-518,157,10:38:16,10:39:08
-1126,-116,382,10:38:16,10:39:08
-1078,-29,508,10:38:16,10:39:08
-983,85,638,10:38:16,10:39:08
-755,415,857,10:38:16,10:39:08
-640,487,929,10:38:16,10:39:08
-535,463,966,10:38:16,10:39:08
-473,399,953,10:38:16,10:39:08
-540,340,835,10:38:16,10:39:08
-642,353,820,10:38:16,10:39:08
-765,355,847,10:38:16,10:39:08
-897,300,829,10:38:16,10:39:08
-1165,-106,380,10:38:16,10:39:08
-1270,-420,52,10:38:16,10:39:08
-1320,-697,-180,10:38:16,10:39:08
-1218,-757,-145,10:38:16,10:39:08
-1144,-525,48,10:38:16,10:39:08
-1117,-251,256,10:38:16,10:39:08
-1111,61,520,10:38:16,10:39:08
-1049,89,563,10:38:16,10:39:08
-956,78,555,10:38:16,10:39:08
-874,58,528,10:38:16,10:39:08
-810,115,667,10:38:16,10:39:08
-775,206,840,10:38:16,10:39:08
-704,270,940,10:38:16,10:39:08
-631,245,884,10:38:16,10:39:08
-678,83,624,10:38:16,10:39:08
-762,120,635,10:38:16,10:39:08
-803,212,691,10:38:16,10:39:08
-842,133,575,10:38:16,10:39:08
-967,-51,427,10:38:16,10:39:08
-1155,-253,276,10:38:16,10:39:08
-1315,-450,120,10:38:16,10:39:08
-1318,-755,-88,10:38:16,10:39:08
-1227,-745,-38,10:38:16,10:39:08
-1169,-589,89,10:38:16,10:39:08
-1166,-356,216,10:38:16,10:39:08
-1154,4,365,10:38:16,10:39:08
-1076,92,449,10:38:16,10:39:08
-965,163,560,10:38:16,10:39:08
-727,287,783,10:38:16,10:39:08
-622,307,863,10:38:16,10:39:08
-554,294,895,10:38:16,10:39:08
-547,270,862,10:38:16,10:39:08
-653,278,731,10:38:16,10:39:08
-716,298,726,10:38:16,10:39:08
-798,291,739,10:38:16,10:39:08
-916,228,688,10:38:16,10:39:08
-1212,-133,281,10:38:16,10:39:08
-1336,-421,38,10:38:16,10:39:08
-1418,-865,-204,10:38:16,10:39:08
-1361,-830,-185,10:38:16,10:39:08
-1282,-628,-84,10:38:16,10:39:08
-1224,-386,88,10:38:16,10:39:08
-1144,-128,457,10:38:16,10:39:08
-1074,-45,544,10:38:16,10:39:08
-984,78,583,10:38:16,10:39:08
-880,219,655,10:38:16,10:39:08
-630,378,984,10:38:16,10:39:08
-514,367,1090,10:38:16,10:39:08
