x,y,z,s,e
1525,444,558,16:35:00,16:39:52
1693,386,583,16:35:00,16:39:52
1380,303,484,16:35:00,16:39:52
1212,219,432,16:35:00,16:39:52
1132,158,379,16:35:00,16:39:52
1015,211,303,16:35:00,16:39:52
439,409,84,16:35:00,16:39:52
210,326,22,16:35:00,16:39:52
167,184,44,16:35:00,16:39:52
332,172,143,16:35:00,16:39:52
396,226,129,16:35:00,16:39:52
523,238,132,16:35:00,16:39:52
800,285,210,16:35:00,16:39:52
1584,612,454,16:35:00,16:39:52
1801,661,522,16:35:00,16:39:52
1813,519,543,16:35:00,16:39:52
1671,306,509,16:35:00,16:39:52
1135,261,291,16:35:00,16:39:52
807,385,189,16:35:00,16:39:52
509,447,130,16:35:00,16:39:52
294,427,91,16:35:00,16:39:52
164,279,30,16:35:00,16:39:52
216,131,53,16:35:00,16:39:52
312,-31,127,16:35:00,16:39:52
640,101,286,16:35:00,16:39:52
949,414,315,16:35:00,16:39:52
1341,658,324,16:35:00,16:39:52
1680,682,349,16:35:00,16:39:52
1716,274,452,16:35:00,16:39:52
1489,126,441,16:35:00,16:39:52
1256,120,372,16:35:00,16:39:52
1048,236,295,16:35:00,16:39:52
615,488,185,16:35:00,16:39:52
436,461,112,16:35:00,16:39:52
328,344,55,16:35:00,16:39:52
280,238,48,16:35:00,16:39:52
305,249,54,16:35:00,16:39:52
380,274,35,16:35:00,16:39:52
526,272,69,16:35:00,16:39:52
1160,401,277,16:35:00,16:39:52
1508,534,322,16:35:00,16:39:52
1671,598,321,16:35:00,16:39:52
1624,524,343,16:35:00,16:39:52
1485,158,481,16:35:00,16:39:52
1482,130,455,16:35:00,16:39:52
1323,288,329,16:35:00,16:39:52
929,507,167,16:35:00,16:39:52
93,495,8,16:35:00,16:39:52
-9,271,24,16:35:00,16:39:52
66,61,47,16:35:00,16:39:52
346,-30,53,16:35:00,16:39:52
506,136,86,16:35:00,16:39:52
717,385,154,16:35:00,16:39:52
977,584,227,16:35:00,16:39:52
1390,579,317,16:35:00,16:39:52
1459,482,347,16:35:00,16:39:52
1488,411,364,16:35:00,16:39:52
1522,401,345,16:35:00,16:39:52
1479,564,221,16:35:00,16:39:52
1391,587,199,16:35:00,16:39:52
1316,477,230,16:35:00,16:39:52
1205,328,273,16:35:00,16:39:52
548,409,213,16:35:00,16:39:52
215,524,116,16:35:00,16:39:52
146,500,31,16:35:00,16:39:52
312,356,-3,16:35:00,16:39:52
532,185,49,16:35:00,16:39:52
448,209,89,16:35:00,16:39:52
404,232,130,16:35:00,16:39:52
807,328,222,16:35:00,16:39:52
1148,460,261,16:35:00,16:39:52
1450,572,304,16:35:00,16:39:52
1662,579,363,16:35:00,16:39:52
1728,397,448,16:35:00,16:39:52
1581,359,414,16:35:00,16:39:52
1380,349,332,16:35:00,16:39:52
1165,340,238,16:35:00,16:39:52
601,472,126,16:35:00,16:39:52
299,575,90,16:35:00,16:39:52
145,546,52,16:35:00,16:39:52
437,104,65,16:35:00,16:39:52
