x,y,z,s,e
-302,829,-81,18:53:29,18:54:21
-333,776,-50,18:53:29,18:54:21
-312,818,-29,18:53:29,18:54:21
-263,862,-51,18:53:29,18:54:21
-174,792,-119,18:53:29,18:54:21
-106,665,-137,18:53:29,18:54:21
-13,507,-165,18:53:29,18:54:21
57,386,-220,18:53:29,18:54:21
-70,719,-308,18:53:29,18:54:21
-216,1118,-296,18:53:29,18:54:21
-332,1322,-270,18:53:29,18:54:21
-447,1171,-255,18:53:29,18:54:21
-1089,779,-329,18:53:29,18:54:21
-1553,1071,-467,18:53:29,18:54:21
-1796,1526,-619,18:53:29,18:54:21
-1637,1795,-661,18:53:29,18:54:21
-586,1256,-338,18:53:29,18:54:21
-114,646,-151,18:53:29,18:54:21
201,58,-12,18:53:29,18:54:21
339,-253,75,18:53:29,18:54:21
60,452,-34,18:53:29,18:54:21
-131,958,-208,18:53:29,18:54:21
-186,1081,-380,18:53:29,18:54:21
-178,914,-509,18:53:29,18:54:21
-453,864,-441,18:53:29,18:54:21
-587,959,-246,18:53:29,18:54:21
-541,970,-107,18:53:29,18:54:21
-366,963,-110,18:53:29,18:54:21
-191,994,-233,18:53:29,18:54:21
-292,966,-245,18:53:29,18:54:21
-493,995,-327,18:53:29,18:54:21
-983,1252,-655,18:53:29,18:54:21
-1031,1288,-640,18:53:29,18:54:21
-813,1224,-471,18:53:29,18:54:21
-414,1108,-302,18:53:29,18:54:21
162,739,-287,18:53:29,18:54:21
197,510,-279,18:53:29,18:54:21
182,368,-187,18:53:29,18:54:21
196,388,-94,18:53:29,18:54:21
246,523,-144,18:53:29,18:54:21
220,398,-167,18:53:29,18:54:21
179,230,-98,18:53:29,18:54:21
141,168,14,18:53:29,18:54:21
1,354,5,18:53:29,18:54:21
-152,531,-154,18:53:29,18:54:21
-390,826,-331,18:53:29,18:54:21
-727,1198,-449,18:53:29,18:54:21
-1514,1463,-465,18:53:29,18:54:21
-1696,1201,-410,18:53:29,18:54:21
-1593,884,-332,18:53:29,18:54:21
-1291,747,-258,18:53:29,18:54:21
-895,1213,-296,18:53:29,18:54:21
-912,1507,-392,18:53:29,18:54:21
-886,1617,-468,18:53:29,18:54:21
-704,1491,-493,18:53:29,18:54:21
-133,569,-307,18:53:29,18:54:21
66,-52,-80,18:53:29,18:54:21
184,-498,139,18:53:29,18:54:21
231,-266,202,18:53:29,18:54:21
202,201,78,18:53:29,18:54:21
174,528,-39,18:53:29,18:54:21
142,555,-100,18:53:29,18:54:21
-45,374,-127,18:53:29,18:54:21
-210,599,-207,18:53:29,18:54:21
-453,1017,-331,18:53:29,18:54:21
-814,1460,-412,18:53:29,18:54:21
-1562,1728,-290,18:53:29,18:54:21
-1634,1367,-198,18:53:29,18:54:21
-1470,934,-160,18:53:29,18:54:21
-1215,794,-175,18:53:29,18:54:21
-790,1295,-219,18:53:29,18:54:21
-594,1326,-195,18:53:29,18:54:21
-409,1137,-164,18:53:29,18:54:21
-275,964,-162,18:53:29,18:54:21
-93,806,-145,18:53:29,18:54:21
39,550,-64,18:53:29,18:54:21
174,184,12,18:53:29,18:54:21
249,-99,27,18:53:29,18:54:21
225,36,-42,18:53:29,18:54:21
216,299,-41,18:53:29,18:54:21
210,486,-17,18:53:29,18:54:21
155,547,0,18:53:29,18:54:21
-133,562,-53,18:53:29,18:54:21
-374,692,-99,18:53:29,18:54:21
-769,1000,-128,18:53:29,18:54:21
-1819,1791,-222,18:53:29,18:54:21
-1979,1718,-283,18:53:29,18:54:21
-1722,1271,-271,18:53:29,18:54:21
-1277,902,-171,18:53:29,18:54:21
-777,1386,-88,18:53:29,18:54:21
-653,1583,-192,18:53:29,18:54:21
-453,1337,-259,18:53:29,18:54:21
-213,862,-202,18:53:29,18:54:21
103,232,23,18:53:29,18:54:21
210,17,35,18:53:29,18:54:21
308,-182,29,18:53:29,18:54:21
360,-201,62,18:53:29,18:54:21
268,456,21,18:53:29,18:54:21
171,649,-108,18:53:29,18:54:21
61,554,-189,18:53:29,18:54:21
-53,404,-164,18:53:29,18:54:21
-380,881,-86,18:53:29,18:54:21
-729,1364,-128,18:53:29,18:54:21
-1200,1715,-170,18:53:29,18:54:21
-1607,1794,-186,18:53:29,18:54:21
-1746,1579,-189,18:53:29,18:54:21
-1592,1209,-185,18:53:29,18:54:21
-1103,1053,-147,18:53:29,18:54:21
-965,1374,-170,18:53:29,18:54:21
-778,1521,-207,18:53:29,18:54:21
-455,1178,-179,18:53:29,18:54:21
249,-142,76,18:53:29,18:54:21
380,-347,111,18:53:29,18:54:21
359,-200,39,18:53:29,18:54:21
285,53,-33,18:53:29,18:54:21
223,262,-20,18:53:29,18:54:21
171,414,54,18:53:29,18:54:21
96,508,104,18:53:29,18:54:21
-134,547,18,18:53:29,18:54:21
-315,648,-57,18:53:29,18:54:21
-617,915,-133,18:53:29,18:54:21
-1047,1312,-201,18:53:29,18:54:21
-1694,1709,-185,18:53:29,18:54:21
-1614,1388,-103,18:53:29,18:54:21
-1350,971,-50,18:53:29,18:54:21
-1119,897,-67,18:53:29,18:54:21
-1017,1290,-138,18:53:29,18:54:21
-938,1747,-209,18:53:29,18:54:21
-726,1730,-239,18:53:29,18:54:21
-375,1136,-212,18:53:29,18:54:21
135,-159,-23,18:53:29,18:54:21
155,-326,73,18:53:29,18:54:21
129,-272,116,18:53:29,18:54:21
148,-89,85,18:53:29,18:54:21
209,184,10,18:53:29,18:54:21
242,432,-47,18:53:29,18:54:21
191,506,-46,18:53:29,18:54:21
-107,479,19,18:53:29,18:54:21
-320,764,-11,18:53:29,18:54:21
-622,1210,-79,18:53:29,18:54:21
-1020,1610,-138,18:53:29,18:54:21
-1409,1811,-157,18:53:29,18:54:21
-1619,1749,-136,18:53:29,18:54:21
-1559,1456,-94,18:53:29,18:54:21
-1036,1058,-62,18:53:29,18:54:21
-847,1297,-107,18:53:29,18:54:21
-689,1550,-165,18:53:29,18:54:21
-458,1440,-184,18:53:29,18:54:21
-153,911,-132,18:53:29,18:54:21
111,266,-29,18:53:29,18:54:21
234,-182,58,18:53:29,18:54:21
236,-260,12,18:53:29,18:54:21
231,10,-64,18:53:29,18:54:21
242,364,-86,18:53:29,18:54:21
191,596,-32,18:53:29,18:54:21
84,577,42,18:53:29,18:54:21
-41,435,65,18:53:29,18:54:21
-199,458,13,18:53:29,18:54:21
-464,799,-75,18:53:29,18:54:21
-1284,1771,-165,18:53:29,18:54:21
-1522,1862,-145,18:53:29,18:54:21
-1475,1562,-109,18:53:29,18:54:21
-1243,1121,-70,18:53:29,18:54:21
-1030,933,-46,18:53:29,18:54:21
-935,1161,-55,18:53:29,18:54:21
-865,1531,-109,18:53:29,18:54:21
-673,1613,-180,18:53:29,18:54:21
-17,737,-146,18:53:29,18:54:21
175,303,-44,18:53:29,18:54:21
225,27,31,18:53:29,18:54:21
217,-148,53,18:53:29,18:54:21
225,-181,40,18:53:29,18:54:21
256,43,14,18:53:29,18:54:21
263,768,-61,18:53:29,18:54:21
201,743,-72,18:53:29,18:54:21
101,499,-49,18:53:29,18:54:21
-13,369,-27,18:53:29,18:54:21
-143,526,-44,18:53:29,18:54:21
-328,851,-92,18:53:29,18:54:21
-606,1146,-131,18:53:29,18:54:21
-1217,1462,-163,18:53:29,18:54:21
-1346,1481,-187,18:53:29,18:54:21
-1336,1347,-187,18:53:29,18:54:21
-1262,1113,-136,18:53:29,18:54:21
-1180,969,-66,18:53:29,18:54:21
-1088,1068,-40,18:53:29,18:54:21
-955,1316,-81,18:53:29,18:54:21
-544,1242,-166,18:53:29,18:54:21
