x,y,z,s,e
-470,361,662,15:02:44,15:03:36
-749,358,777,15:02:44,15:03:36
-860,335,802,15:02:44,15:03:36
-916,319,791,15:02:44,15:03:36
-946,305,757,15:02:44,15:03:36
-1028,215,707,15:02:44,15:03:36
-1040,130,732,15:02:44,15:03:36
-1011,61,786,15:02:44,15:03:36
-961,55,826,15:02:44,15:03:36
-853,170,746,15:02:44,15:03:36
-818,177,713,15:02:44,15:03:36
-827,127,768,15:02:44,15:03:36
-861,60,872,15:02:44,15:03:36
-786,112,770,15:02:44,15:03:36
-712,187,674,15:02:44,15:03:36
-705,227,706,15:02:44,15:03:36
-702,149,851,15:02:44,15:03:36
-605,137,780,15:02:44,15:03:36
-533,192,722,15:02:44,15:03:36
-550,269,781,15:02:44,15:03:36
-606,316,1054,15:02:44,15:03:36
-552,301,1099,15:02:44,15:03:36
-507,274,1058,15:02:44,15:03:36
-515,240,967,15:02:44,15:03:36
-533,301,834,15:02:44,15:03:36
-466,400,802,15:02:44,15:03:36
-395,456,752,15:02:44,15:03:36
-383,440,718,15:02:44,15:03:36
-486,436,999,15:02:44,15:03:36
-518,523,1256,15:02:44,15:03:36
-534,624,1419,15:02:44,15:03:36
-565,770,1350,15:02:44,15:03:36
-566,824,1272,15:02:44,15:03:36
-564,838,1217,15:02:44,15:03:36
-569,780,1137,15:02:44,15:03:36
-524,453,797,15:02:44,15:03:36
-428,282,607,15:02:44,15:03:36
-299,214,449,15:02:44,15:03:36
-160,250,302,15:02:44,15:03:36
68,167,-32,15:02:44,15:03:36
150,101,-99,15:02:44,15:03:36
245,269,-24,15:02:44,15:03:36
372,612,101,15:02:44,15:03:36
464,665,-15,15:02:44,15:03:36
336,407,-234,15:02:44,15:03:36
179,349,-425,15:02:44,15:03:36
82,519,-557,15:02:44,15:03:36
-1,721,-748,15:02:44,15:03:36
-97,715,-807,15:02:44,15:03:36
-217,810,-822,15:02:44,15:03:36
-347,1096,-807,15:02:44,15:03:36
-351,1084,-838,15:02:44,15:03:36
-334,1005,-893,15:02:44,15:03:36
-300,944,-945,15:02:44,15:03:36
-236,896,-993,15:02:44,15:03:36
-254,853,-995,15:02:44,15:03:36
-288,812,-984,15:02:44,15:03:36
-295,804,-964,15:02:44,15:03:36
-158,867,-925,15:02:44,15:03:36
-51,868,-902,15:02:44,15:03:36
63,822,-861,15:02:44,15:03:36
188,741,-795,15:02:44,15:03:36
416,573,-653,15:02:44,15:03:36
468,531,-597,15:02:44,15:03:36
470,501,-528,15:02:44,15:03:36
450,432,-432,15:02:44,15:03:36
439,196,-207,15:02:44,15:03:36
439,154,-89,15:02:44,15:03:36
401,187,46,15:02:44,15:03:36
134,261,293,15:02:44,15:03:36
-48,289,336,15:02:44,15:03:36
-209,349,354,15:02:44,15:03:36
-328,421,417,15:02:44,15:03:36
-470,337,716,15:02:44,15:03:36
-546,188,840,15:02:44,15:03:36
-664,105,900,15:02:44,15:03:36
-821,153,918,15:02:44,15:03:36
-1060,334,910,15:02:44,15:03:36
-1065,282,899,15:02:44,15:03:36
-1010,151,899,15:02:44,15:03:36
-936,27,915,15:02:44,15:03:36
-931,105,861,15:02:44,15:03:36
-1084,307,728,15:02:44,15:03:36
-1267,453,585,15:02:44,15:03:36
-1284,415,542,15:02:44,15:03:36
-627,114,757,15:02:44,15:03:36
-422,130,844,15:02:44,15:03:36
-551,189,918,15:02:44,15:03:36
-890,93,1062,15:02:44,15:03:36
-718,126,900,15:02:44,15:03:36
-512,289,598,15:02:44,15:03:36
-478,420,431,15:02:44,15:03:36
-694,206,919,15:02:44,15:03:36
-671,133,1092,15:02:44,15:03:36
-577,224,964,15:02:44,15:03:36
-522,336,727,15:02:44,15:03:36
-606,238,782,15:02:44,15:03:36
-631,232,971,15:02:44,15:03:36
-609,335,1094,15:02:44,15:03:36
-574,426,1162,15:02:44,15:03:36
-582,301,1230,15:02:44,15:03:36
-637,216,1208,15:02:44,15:03:36
-713,241,1203,15:02:44,15:03:36
-772,385,1249,15:02:44,15:03:36
-731,658,1174,15:02:44,15:03:36
-657,611,965,15:02:44,15:03:36
-582,499,787,15:02:44,15:03:36
-414,496,862,15:02:44,15:03:36
-341,594,944,15:02:44,15:03:36
-316,650,892,15:02:44,15:03:36
-328,645,724,15:02:44,15:03:36
-201,652,463,15:02:44,15:03:36
-33,674,478,15:02:44,15:03:36
103,649,540,15:02:44,15:03:36
147,552,570,15:02:44,15:03:36
124,256,338,15:02:44,15:03:36
179,191,147,15:02:44,15:03:36
281,245,18,15:02:44,15:03:36
394,375,-39,15:02:44,15:03:36
559,459,-173,15:02:44,15:03:36
588,349,-309,15:02:44,15:03:36
574,295,-443,15:02:44,15:03:36
455,635,-528,15:02:44,15:03:36
393,744,-532,15:02:44,15:03:36
336,657,-605,15:02:44,15:03:36
279,529,-751,15:02:44,15:03:36
179,727,-958,15:02:44,15:03:36
135,873,-962,15:02:44,15:03:36
99,881,-966,15:02:44,15:03:36
88,802,-1006,15:02:44,15:03:36
137,758,-1101,15:02:44,15:03:36
146,790,-1104,15:02:44,15:03:36
135,777,-1085,15:02:44,15:03:36
130,711,-1068,15:02:44,15:03:36
192,590,-1070,15:02:44,15:03:36
248,578,-1059,15:02:44,15:03:36
312,566,-1010,15:02:44,15:03:36
382,525,-922,15:02:44,15:03:36
502,390,-691,15:02:44,15:03:36
534,349,-564,15:02:44,15:03:36
549,330,-440,15:02:44,15:03:36
556,266,-244,15:02:44,15:03:36
543,193,-137,15:02:44,15:03:36
515,115,5,15:02:44,15:03:36
474,68,158,15:02:44,15:03:36
328,119,307,15:02:44,15:03:36
184,179,323,15:02:44,15:03:36
-10,238,366,15:02:44,15:03:36
-224,296,457,15:02:44,15:03:36
-531,372,721,15:02:44,15:03:36
-583,349,859,15:02:44,15:03:36
-597,299,977,15:02:44,15:03:36
-629,271,1045,15:02:44,15:03:36
-837,356,1024,15:02:44,15:03:36
-932,372,997,15:02:44,15:03:36
-954,308,979,15:02:44,15:03:36
-908,199,952,15:02:44,15:03:36
-844,120,912,15:02:44,15:03:36
-825,147,868,15:02:44,15:03:36
-1034,525,653,15:02:44,15:03:36
-1131,591,517,15:02:44,15:03:36
-1068,360,534,15:02:44,15:03:36
-860,-50,744,15:02:44,15:03:36
-671,-313,961,15:02:44,15:03:36
-641,-232,986,15:02:44,15:03:36
-821,265,863,15:02:44,15:03:36
-787,290,1007,15:02:44,15:03:36
-659,255,1084,15:02:44,15:03:36
-524,301,916,15:02:44,15:03:36
-455,397,651,15:02:44,15:03:36
-507,295,760,15:02:44,15:03:36
-520,172,957,15:02:44,15:03:36
-501,188,964,15:02:44,15:03:36
-484,324,827,15:02:44,15:03:36
-483,418,729,15:02:44,15:03:36
-480,381,754,15:02:44,15:03:36
-472,305,853,15:02:44,15:03:36
-472,318,953,15:02:44,15:03:36
-490,441,1091,15:02:44,15:03:36
-475,394,1179,15:02:44,15:03:36
-452,335,1300,15:02:44,15:03:36
-442,317,1386,15:02:44,15:03:36
-453,324,1346,15:02:44,15:03:36
-487,356,1194,15:02:44,15:03:36
-536,466,1041,15:02:44,15:03:36
-566,837,924,15:02:44,15:03:36
-508,834,930,15:02:44,15:03:36
-441,652,1030,15:02:44,15:03:36
-406,472,1193,15:02:44,15:03:36
-393,479,1274,15:02:44,15:03:36
-366,659,1192,15:02:44,15:03:36
-325,822,1054,15:02:44,15:03:36
-325,664,951,15:02:44,15:03:36
-346,534,801,15:02:44,15:03:36
-315,505,541,15:02:44,15:03:36
-211,506,312,15:02:44,15:03:36
-54,410,191,15:02:44,15:03:36
116,171,99,15:02:44,15:03:36
368,-242,-174,15:02:44,15:03:36
401,-149,-172,15:02:44,15:03:36
379,110,-67,15:02:44,15:03:36
352,374,-44,15:02:44,15:03:36
364,504,-219,15:02:44,15:03:36
410,486,-488,15:02:44,15:03:36
435,425,-665,15:02:44,15:03:36
392,447,-711,15:02:44,15:03:36
218,767,-812,15:02:44,15:03:36
182,876,-895,15:02:44,15:03:36
168,889,-927,15:02:44,15:03:36
145,859,-926,15:02:44,15:03:36
102,840,-947,15:02:44,15:03:36
52,829,-992,15:02:44,15:03:36
12,798,-1012,15:02:44,15:03:36
-13,696,-952,15:02:44,15:03:36
-20,667,-949,15:02:44,15:03:36
-36,654,-980,15:02:44,15:03:36
-42,651,-1013,15:02:44,15:03:36
-26,665,-1032,15:02:44,15:03:36
3,697,-1047,15:02:44,15:03:36
30,720,-1072,15:02:44,15:03:36
123,682,-1126,15:02:44,15:03:36
205,670,-1118,15:02:44,15:03:36
283,688,-1065,15:02:44,15:03:36
347,693,-967,15:02:44,15:03:36
414,624,-850,15:02:44,15:03:36
498,488,-748,15:02:44,15:03:36
566,369,-668,15:02:44,15:03:36
517,280,-459,15:02:44,15:03:36
449,185,-294,15:02:44,15:03:36
414,72,-119,15:02:44,15:03:36
408,32,39,15:02:44,15:03:36
402,73,177,15:02:44,15:03:36
379,113,287,15:02:44,15:03:36
218,91,366,15:02:44,15:03:36
58,119,371,15:02:44,15:03:36
-111,182,421,15:02:44,15:03:36
-240,246,540,15:02:44,15:03:36
-329,287,693,15:02:44,15:03:36
-425,300,827,15:02:44,15:03:36
-560,277,914,15:02:44,15:03:36
-704,216,964,15:02:44,15:03:36
-813,58,1018,15:02:44,15:03:36
-773,25,1012,15:02:44,15:03:36
-731,30,974,15:02:44,15:03:36
-729,37,922,15:02:44,15:03:36
-775,25,883,15:02:44,15:03:36
-895,-3,864,15:02:44,15:03:36
-905,5,851,15:02:44,15:03:36
-884,9,820,15:02:44,15:03:36
-867,4,781,15:02:44,15:03:36
-875,6,748,15:02:44,15:03:36
-888,29,720,15:02:44,15:03:36
-873,55,710,15:02:44,15:03:36
-767,41,861,15:02:44,15:03:36
-744,61,947,15:02:44,15:03:36
-760,136,892,15:02:44,15:03:36
-783,207,692,15:02:44,15:03:36
-779,204,521,15:02:44,15:03:36
-745,144,579,15:02:44,15:03:36
-719,109,864,15:02:44,15:03:36
-719,140,1126,15:02:44,15:03:36
-674,261,837,15:02:44,15:03:36
-621,304,554,15:02:44,15:03:36
-610,303,501,15:02:44,15:03:36
-652,244,653,15:02:44,15:03:36
-688,187,805,15:02:44,15:03:36
-670,216,828,15:02:44,15:03:36
-611,313,770,15:02:44,15:03:36
-568,356,734,15:02:44,15:03:36
-565,283,740,15:02:44,15:03:36
-595,175,877,15:02:44,15:03:36
-606,259,1075,15:02:44,15:03:36
-619,330,1277,15:02:44,15:03:36
-615,316,1332,15:02:44,15:03:36
-592,256,1216,15:02:44,15:03:36
-588,255,1072,15:02:44,15:03:36
-644,367,1028,15:02:44,15:03:36
-740,545,1063,15:02:44,15:03:36
-731,694,1019,15:02:44,15:03:36
-574,611,927,15:02:44,15:03:36
-413,543,882,15:02:44,15:03:36
-339,594,950,15:02:44,15:03:36
-373,754,1095,15:02:44,15:03:36
-457,906,1176,15:02:44,15:03:36
-515,942,1086,15:02:44,15:03:36
-447,739,702,15:02:44,15:03:36
-382,649,595,15:02:44,15:03:36
-339,584,465,15:02:44,15:03:36
-295,480,238,15:02:44,15:03:36
-191,275,-22,15:02:44,15:03:36
6,11,-192,15:02:44,15:03:36
260,-157,-216,15:02:44,15:03:36
480,-107,-147,15:02:44,15:03:36
622,314,-111,15:02:44,15:03:36
584,427,-230,15:02:44,15:03:36
531,508,-399,15:02:44,15:03:36
472,629,-556,15:02:44,15:03:36
391,750,-667,15:02:44,15:03:36
296,788,-735,15:02:44,15:03:36
227,747,-784,15:02:44,15:03:36
246,758,-906,15:02:44,15:03:36
237,808,-959,15:02:44,15:03:36
155,773,-971,15:02:44,15:03:36
32,651,-943,15:02:44,15:03:36
-74,543,-915,15:02:44,15:03:36
-129,528,-925,15:02:44,15:03:36
-136,575,-966,15:02:44,15:03:36
-115,599,-999,15:02:44,15:03:36
-60,512,-983,15:02:44,15:03:36
-58,495,-999,15:02:44,15:03:36
-72,522,-1063,15:02:44,15:03:36
-63,564,-1141,15:02:44,15:03:36
5,594,-1183,15:02:44,15:03:36
121,613,-1176,15:02:44,15:03:36
222,624,-1139,15:02:44,15:03:36
269,624,-1087,15:02:44,15:03:36
337,568,-944,15:02:44,15:03:36
432,518,-871,15:02:44,15:03:36
534,483,-797,15:02:44,15:03:36
602,473,-693,15:02:44,15:03:36
625,458,-544,15:02:44,15:03:36
617,403,-383,15:02:44,15:03:36
529,295,-177,15:02:44,15:03:36
461,308,-108,15:02:44,15:03:36
412,292,-28,15:02:44,15:03:36
400,185,53,15:02:44,15:03:36
398,37,129,15:02:44,15:03:36
357,-38,207,15:02:44,15:03:36
97,103,350,15:02:44,15:03:36
-70,177,396,15:02:44,15:03:36
-229,210,451,15:02:44,15:03:36
-377,231,543,15:02:44,15:03:36
-525,249,655,15:02:44,15:03:36
-679,249,749,15:02:44,15:03:36
-831,228,817,15:02:44,15:03:36
-1014,209,986,15:02:44,15:03:36
-1021,217,1058,15:02:44,15:03:36
-1005,215,1057,15:02:44,15:03:36
-1002,192,976,15:02:44,15:03:36
-1016,145,857,15:02:44,15:03:36
-1027,77,756,15:02:44,15:03:36
-1010,8,738,15:02:44,15:03:36
-957,-19,857,15:02:44,15:03:36
-790,81,1306,15:02:44,15:03:36
-733,134,1282,15:02:44,15:03:36
-711,148,994,15:02:44,15:03:36
-709,130,664,15:02:44,15:03:36
-716,88,569,15:02:44,15:03:36
-732,35,747,15:02:44,15:03:36
-752,3,966,15:02:44,15:03:36
-750,41,986,15:02:44,15:03:36
-663,265,605,15:02:44,15:03:36
-640,329,557,15:02:44,15:03:36
-640,329,638,15:02:44,15:03:36
-629,300,715,15:02:44,15:03:36
-597,283,729,15:02:44,15:03:36
-585,292,742,15:02:44,15:03:36
-615,307,812,15:02:44,15:03:36
-607,270,859,15:02:44,15:03:36
-506,246,766,15:02:44,15:03:36
-429,247,734,15:02:44,15:03:36
-446,271,842,15:02:44,15:03:36
-535,302,1021,15:02:44,15:03:36
-618,327,1142,15:02:44,15:03:36
-651,338,1153,15:02:44,15:03:36
-652,338,1101,15:02:44,15:03:36
-668,426,1042,15:02:44,15:03:36
-677,544,1049,15:02:44,15:03:36
-662,643,1041,15:02:44,15:03:36
-607,652,998,15:02:44,15:03:36
-523,579,957,15:02:44,15:03:36
-443,519,995,15:02:44,15:03:36
-406,556,1133,15:02:44,15:03:36
-423,668,1280,15:02:44,15:03:36
-496,769,1189,15:02:44,15:03:36
-486,744,1026,15:02:44,15:03:36
-433,742,914,15:02:44,15:03:36
-355,747,843,15:02:44,15:03:36
-280,691,744,15:02:44,15:03:36
-223,550,584,15:02:44,15:03:36
-169,358,388,15:02:44,15:03:36
-83,161,196,15:02:44,15:03:36
204,-57,-33,15:02:44,15:03:36
324,31,-48,15:02:44,15:03:36
374,226,-55,15:02:44,15:03:36
362,408,-113,15:02:44,15:03:36
325,506,-225,15:02:44,15:03:36
291,562,-348,15:02:44,15:03:36
265,650,-455,15:02:44,15:03:36
