x,y,z,s,e
-1363,-9,-191,17:59:07,17:59:59
1595,1256,-62,17:59:07,17:59:59
1541,-1786,169,17:59:07,17:59:59
-1977,-1299,390,17:59:07,17:59:59
-1113,-1570,448,17:59:07,17:59:59
335,948,6,17:59:07,17:59:59
623,580,-219,17:59:07,17:59:59
815,484,-332,17:59:07,17:59:59
1000,466,-388,17:59:07,17:59:59
670,998,-376,17:59:07,17:59:59
-145,1908,-163,17:59:07,17:59:59
-1194,-1116,150,17:59:07,17:59:59
1733,-1511,385,17:59:07,17:59:59
-1881,1199,178,17:59:07,17:59:59
-1267,140,-84,17:59:07,17:59:59
-881,-302,-260,17:59:07,17:59:59
-940,-506,-366,17:59:07,17:59:59
-939,-646,-380,17:59:07,17:59:59
-936,-417,-277,17:59:07,17:59:59
-1724,1832,545,17:59:07,17:59:59
1915,-1072,970,17:59:07,17:59:59
-1770,-927,1043,17:59:07,17:59:59
-776,-1800,696,17:59:07,17:59:59
990,136,-281,17:59:07,17:59:59
1097,32,-446,17:59:07,17:59:59
998,326,-437,17:59:07,17:59:59
945,654,-370,17:59:07,17:59:59
215,1979,18,17:59:07,17:59:59
-764,-879,297,17:59:07,17:59:59
-1646,-304,410,17:59:07,17:59:59
-1894,-955,255,17:59:07,17:59:59
-1028,130,-342,17:59:07,17:59:59
-867,-437,-420,17:59:07,17:59:59
-979,-451,-335,17:59:07,17:59:59
-1052,-483,-237,17:59:07,17:59:59
-1004,-675,-306,17:59:07,17:59:59
-1446,19,-410,17:59:07,17:59:59
1707,1525,-491,17:59:07,17:59:59
1216,0,-441,17:59:07,17:59:59
-1509,-414,-335,17:59:07,17:59:59
134,-1553,-277,17:59:07,17:59:59
1193,1074,-316,17:59:07,17:59:59
1186,84,-605,17:59:07,17:59:59
1123,549,-709,17:59:07,17:59:59
1095,1074,-666,17:59:07,17:59:59
611,1629,-492,17:59:07,17:59:59
-1846,-678,-310,17:59:07,17:59:59
1407,-573,-362,17:59:07,17:59:59
1607,-1691,-363,17:59:07,17:59:59
-926,-628,-234,17:59:07,17:59:59
-784,-852,-236,17:59:07,17:59:59
-1019,-603,-255,17:59:07,17:59:59
-1213,-518,-232,17:59:07,17:59:59
-1139,65,-151,17:59:07,17:59:59
-1310,1492,-173,17:59:07,17:59:59
-1567,-852,-201,17:59:07,17:59:59
-1438,-93,-183,17:59:07,17:59:59
418,1503,-116,17:59:07,17:59:59
1172,69,-170,17:59:07,17:59:59
1323,-383,-271,17:59:07,17:59:59
1139,-46,-364,17:59:07,17:59:59
692,1135,-471,17:59:07,17:59:59
71,-1971,-526,17:59:07,17:59:59
-913,-956,-553,17:59:07,17:59:59
-1988,-1366,-240,17:59:07,17:59:59
-1546,1074,-8,17:59:07,17:59:59
-982,-189,58,17:59:07,17:59:59
-796,-615,-72,17:59:07,17:59:59
-1156,-675,-364,17:59:07,17:59:59
-1134,-687,-363,17:59:07,17:59:59
-1120,49,-330,17:59:07,17:59:59
-1345,1717,-297,17:59:07,17:59:59
-1461,0,-98,17:59:07,17:59:59
-683,-1035,2,17:59:07,17:59:59
324,1188,-21,17:59:07,17:59:59
993,-81,-165,17:59:07,17:59:59
1020,148,-397,17:59:07,17:59:59
886,630,-383,17:59:07,17:59:59
693,1036,-330,17:59:07,17:59:59
-597,-1296,-288,17:59:07,17:59:59
-1422,-599,-277,17:59:07,17:59:59
-1807,-958,-220,17:59:07,17:59:59
-1614,1682,-152,17:59:07,17:59:59
-1006,-530,-256,17:59:07,17:59:59
-1140,-654,-356,17:59:07,17:59:59
-1283,-670,-360,17:59:07,17:59:59
-1208,-682,-275,17:59:07,17:59:59
-1354,1230,-127,17:59:07,17:59:59
-1806,-984,-65,17:59:07,17:59:59
-1870,-30,21,17:59:07,17:59:59
138,1539,-2,17:59:07,17:59:59
1085,-47,-150,17:59:07,17:59:59
1290,-537,-258,17:59:07,17:59:59
1033,-112,-274,17:59:07,17:59:59
778,853,-291,17:59:07,17:59:59
511,1387,-382,17:59:07,17:59:59
-248,-1598,-503,17:59:07,17:59:59
-1247,-537,-591,17:59:07,17:59:59
-1832,-1507,-430,17:59:07,17:59:59
-1389,786,-274,17:59:07,17:59:59
-1086,-420,-223,17:59:07,17:59:59
-1116,-769,-287,17:59:07,17:59:59
-1204,-736,-386,17:59:07,17:59:59
-1124,-566,-365,17:59:07,17:59:59
-1296,366,-366,17:59:07,17:59:59
-1727,-1894,-409,17:59:07,17:59:59
-1438,0,-462,17:59:07,17:59:59
-251,-1253,-422,17:59:07,17:59:59
967,924,-385,17:59:07,17:59:59
1605,-553,-467,17:59:07,17:59:59
1325,19,-538,17:59:07,17:59:59
987,791,-572,17:59:07,17:59:59
491,1582,-590,17:59:07,17:59:59
-1187,-576,-697,17:59:07,17:59:59
-1782,-420,-667,17:59:07,17:59:59
-1836,-1430,-511,17:59:07,17:59:59
-1518,898,-316,17:59:07,17:59:59
-1102,-839,-194,17:59:07,17:59:59
-1126,-705,-223,17:59:07,17:59:59
-1115,-557,-243,17:59:07,17:59:59
-1244,294,-325,17:59:07,17:59:59
-1636,1774,-378,17:59:07,17:59:59
-1962,-595,-374,17:59:07,17:59:59
-1737,0,-313,17:59:07,17:59:59
373,1115,-340,17:59:07,17:59:59
1197,-301,-487,17:59:07,17:59:59
1423,-499,-637,17:59:07,17:59:59
1291,137,-720,17:59:07,17:59:59
738,1386,-694,17:59:07,17:59:59
51,-1840,-668,17:59:07,17:59:59
-941,-860,-635,17:59:07,17:59:59
-1797,-433,-535,17:59:07,17:59:59
-1684,1096,-239,17:59:07,17:59:59
-1172,-354,-248,17:59:07,17:59:59
-958,-912,-343,17:59:07,17:59:59
-1198,-607,-323,17:59:07,17:59:59
-1219,-236,-264,17:59:07,17:59:59
-1249,686,-295,17:59:07,17:59:59
-1389,-1841,-368,17:59:07,17:59:59
-1067,-545,-223,17:59:07,17:59:59
-266,-1773,-81,17:59:07,17:59:59
577,643,-62,17:59:07,17:59:59
1060,-222,-169,17:59:07,17:59:59
1046,360,-321,17:59:07,17:59:59
880,812,-286,17:59:07,17:59:59
461,1400,-266,17:59:07,17:59:59
-382,-1604,-307,17:59:07,17:59:59
1927,-572,-326,17:59:07,17:59:59
-1968,-1808,-212,17:59:07,17:59:59
-1381,438,-122,17:59:07,17:59:59
-926,-923,-245,17:59:07,17:59:59
-1085,-719,-298,17:59:07,17:59:59
-1062,-560,-250,17:59:07,17:59:59
-924,-201,-153,17:59:07,17:59:59
-1440,-1616,14,17:59:07,17:59:59
-1714,-549,119,17:59:07,17:59:59
-1335,-800,183,17:59:07,17:59:59
658,461,-104,17:59:07,17:59:59
1121,-93,-283,17:59:07,17:59:59
1043,102,-317,17:59:07,17:59:59
807,442,-255,17:59:07,17:59:59
330,1166,-243,17:59:07,17:59:59
-386,-1817,-277,17:59:07,17:59:59
-1370,-788,-242,17:59:07,17:59:59
1974,-711,-124,17:59:07,17:59:59
-1201,452,41,17:59:07,17:59:59
-659,-601,-53,17:59:07,17:59:59
-668,-812,-202,17:59:07,17:59:59
-965,-692,-279,17:59:07,17:59:59
-1019,-48,-193,17:59:07,17:59:59
-1070,1177,-145,17:59:07,17:59:59
-1329,-1310,-46,17:59:07,17:59:59
-1402,-554,145,17:59:07,17:59:59
-5,1354,265,17:59:07,17:59:59
722,103,8,17:59:07,17:59:59
933,-285,-247,17:59:07,17:59:59
813,-42,-317,17:59:07,17:59:59
667,786,-232,17:59:07,17:59:59
318,1606,-318,17:59:07,17:59:59
-511,-1300,-387,17:59:07,17:59:59
-1910,-1242,-126,17:59:07,17:59:59
-1598,1220,8,17:59:07,17:59:59
-967,-272,-3,17:59:07,17:59:59
-641,-928,-104,17:59:07,17:59:59
-1074,-591,-193,17:59:07,17:59:59
