x,y,z,s,e
-1645,1656,-234,17:55:09,17:56:01
1658,1690,147,17:55:09,17:56:01
970,1448,676,17:55:09,17:56:01
363,1035,1178,17:55:09,17:56:01
0,-336,1509,17:55:09,17:56:01
174,-1127,1233,17:55:09,17:56:01
551,-1587,689,17:55:09,17:56:01
1315,-1523,103,17:55:09,17:56:01
-534,-309,390,17:55:09,17:56:01
-20,453,1375,17:55:09,17:56:01
-232,1217,-1853,17:55:09,17:56:01
-1787,-1584,1389,17:55:09,17:56:01
1715,-1777,533,17:55:09,17:56:01
1872,1401,-260,17:55:09,17:56:01
-1212,751,-1279,17:55:09,17:56:01
1061,1883,896,17:55:09,17:56:01
1077,1888,1459,17:55:09,17:56:01
395,511,-1293,17:55:09,17:56:01
-37,-1601,-685,17:55:09,17:56:01
355,-729,-1218,17:55:09,17:56:01
319,394,-1296,17:55:09,17:56:01
-354,894,-735,17:55:09,17:56:01
-1585,683,562,17:55:09,17:56:01
-1624,645,719,17:55:09,17:56:01
-1841,623,848,17:55:09,17:56:01
1460,541,1353,17:55:09,17:56:01
598,229,-1324,17:55:09,17:56:01
1270,-89,-1600,17:55:09,17:56:01
-1849,-433,1705,17:55:09,17:56:01
-1233,-142,-1911,17:55:09,17:56:01
-1206,446,-1296,17:55:09,17:56:01
-1193,870,-1609,17:55:09,17:56:01
-1417,948,1208,17:55:09,17:56:01
1674,516,-436,17:55:09,17:56:01
1888,384,-711,17:55:09,17:56:01
-1268,552,-1218,17:55:09,17:56:01
-36,785,-1780,17:55:09,17:56:01
-257,-54,-1447,17:55:09,17:56:01
-503,-1161,-1311,17:55:09,17:56:01
-369,-1603,-1550,17:55:09,17:56:01
202,-402,-1292,17:55:09,17:56:01
171,-282,-630,17:55:09,17:56:01
80,-642,-286,17:55:09,17:56:01
-86,-690,-461,17:55:09,17:56:01
-1782,1266,-605,17:55:09,17:56:01
927,-1729,121,17:55:09,17:56:01
177,-1305,985,17:55:09,17:56:01
939,-1651,1186,17:55:09,17:56:01
1414,1836,783,17:55:09,17:56:01
1406,968,705,17:55:09,17:56:01
1209,-156,1047,17:55:09,17:56:01
1841,-979,1661,17:55:09,17:56:01
-1574,-235,1480,17:55:09,17:56:01
-1269,455,1043,17:55:09,17:56:01
-1202,3,273,17:55:09,17:56:01
-817,-161,346,17:55:09,17:56:01
-452,290,676,17:55:09,17:56:01
-162,911,976,17:55:09,17:56:01
-205,976,989,17:55:09,17:56:01
-575,857,978,17:55:09,17:56:01
-981,912,1043,17:55:09,17:56:01
-1183,829,977,17:55:09,17:56:01
-789,193,-171,17:55:09,17:56:01
-367,546,-993,17:55:09,17:56:01
129,1352,-1582,17:55:09,17:56:01
713,1493,-1509,17:55:09,17:56:01
503,576,-1160,17:55:09,17:56:01
188,-152,-947,17:55:09,17:56:01
75,-260,-906,17:55:09,17:56:01
75,315,-800,17:55:09,17:56:01
-427,334,-705,17:55:09,17:56:01
-1399,339,-659,17:55:09,17:56:01
1415,731,-585,17:55:09,17:56:01
207,-1391,-648,17:55:09,17:56:01
470,-1116,-1427,17:55:09,17:56:01
692,1961,1385,17:55:09,17:56:01
0,-1770,1322,17:55:09,17:56:01
0,1384,-892,17:55:09,17:56:01
555,1989,834,17:55:09,17:56:01
1348,-521,1407,17:55:09,17:56:01
-1390,731,144,17:55:09,17:56:01
