x,y,z,s,e
867,-311,-78,17:41:32,17:46:25
1093,-163,-140,17:41:32,17:46:25
1267,6,-185,17:41:32,17:46:25
1449,241,-140,17:41:32,17:46:25
1558,290,-133,17:41:32,17:46:25
1651,278,-192,17:41:32,17:46:25
1648,224,-278,17:41:32,17:46:25
1434,234,-266,17:41:32,17:46:25
1386,361,-181,17:41:32,17:46:25
1382,523,-107,17:41:32,17:46:25
1348,663,-47,17:41:32,17:46:25
1166,781,113,17:41:32,17:46:25
1150,759,157,17:41:32,17:46:25
1233,686,113,17:41:32,17:46:25
1526,442,-138,17:41:32,17:46:25
1614,320,-226,17:41:32,17:46:25
1644,220,-263,17:41:32,17:46:25
1681,156,-279,17:41:32,17:46:25
1915,160,-351,17:41:32,17:46:25
1937,189,-378,17:41:32,17:46:25
1759,181,-363,17:41:32,17:46:25
1443,128,-317,17:41:32,17:46:25
958,9,-239,17:41:32,17:46:25
841,-34,-203,17:41:32,17:46:25
720,-102,-140,17:41:32,17:46:25
539,-268,-20,17:41:32,17:46:25
615,-269,-44,17:41:32,17:46:25
803,-191,-122,17:41:32,17:46:25
1018,-71,-197,17:41:32,17:46:25
1305,174,-179,17:41:32,17:46:25
1425,282,-127,17:41:32,17:46:25
1578,353,-124,17:41:32,17:46:25
1718,361,-192,17:41:32,17:46:25
1671,256,-320,17:41:32,17:46:25
1525,243,-263,17:41:32,17:46:25
1411,303,-148,17:41:32,17:46:25
1307,559,40,17:41:32,17:46:25
1230,675,105,17:41:32,17:46:25
1146,737,165,17:41:32,17:46:25
1123,727,191,17:41:32,17:46:25
1374,517,11,17:41:32,17:46:25
1544,380,-140,17:41:32,17:46:25
1646,260,-254,17:41:32,17:46:25
1673,169,-306,17:41:32,17:46:25
1750,128,-327,17:41:32,17:46:25
1829,176,-347,17:41:32,17:46:25
1827,214,-367,17:41:32,17:46:25
1418,131,-349,17:41:32,17:46:25
1164,66,-320,17:41:32,17:46:25
987,36,-292,17:41:32,17:46:25
870,14,-259,17:41:32,17:46:25
642,-170,-145,17:41:32,17:46:25
571,-275,-85,17:41:32,17:46:25
606,-291,-60,17:41:32,17:46:25
754,-207,-85,17:41:32,17:46:25
1163,35,-190,17:41:32,17:46:25
1333,132,-194,17:41:32,17:46:25
1503,232,-164,17:41:32,17:46:25
1840,380,-188,17:41:32,17:46:25
1858,366,-260,17:41:32,17:46:25
1715,307,-294,17:41:32,17:46:25
1505,261,-242,17:41:32,17:46:25
1303,373,-36,17:41:32,17:46:25
1275,501,25,17:41:32,17:46:25
1203,610,76,17:41:32,17:46:25
1107,663,135,17:41:32,17:46:25
1125,600,143,17:41:32,17:46:25
1267,526,39,17:41:32,17:46:25
1430,450,-94,17:41:32,17:46:25
1621,294,-244,17:41:32,17:46:25
1628,219,-249,17:41:32,17:46:25
1641,170,-250,17:41:32,17:46:25
1714,160,-278,17:41:32,17:46:25
1811,159,-371,17:41:32,17:46:25
