x,y,z,s,e
-540,281,709,15:24:07,15:24:59
-398,256,656,15:24:07,15:24:59
-387,447,728,15:24:07,15:24:59
-438,458,817,15:24:07,15:24:59
-456,346,891,15:24:07,15:24:59
-456,186,924,15:24:07,15:24:59
-530,65,853,15:24:07,15:24:59
-572,107,781,15:24:07,15:24:59
-560,150,725,15:24:07,15:24:59
-494,157,720,15:24:07,15:24:59
-345,72,862,15:24:07,15:24:59
-307,71,917,15:24:07,15:24:59
-280,170,909,15:24:07,15:24:59
-257,427,776,15:24:07,15:24:59
-301,390,684,15:24:07,15:24:59
-397,256,572,15:24:07,15:24:59
-540,134,443,15:24:07,15:24:59
-1021,178,80,15:24:07,15:24:59
-1367,323,-207,15:24:07,15:24:59
-1695,485,-515,15:24:07,15:24:59
-1885,619,-730,15:24:07,15:24:59
-1681,748,-652,15:24:07,15:24:59
-1414,721,-473,15:24:07,15:24:59
-1167,605,-324,15:24:07,15:24:59
-997,432,-251,15:24:07,15:24:59
-882,255,-276,15:24:07,15:24:59
-853,301,-286,15:24:07,15:24:59
-794,358,-255,15:24:07,15:24:59
-717,395,-187,15:24:07,15:24:59
-662,570,-37,15:24:07,15:24:59
-738,722,-7,15:24:07,15:24:59
-876,833,-23,15:24:07,15:24:59
-1041,846,-69,15:24:07,15:24:59
-1258,628,-131,15:24:07,15:24:59
-1297,499,-145,15:24:07,15:24:59
-1330,410,-184,15:24:07,15:24:59
-1341,334,-304,15:24:07,15:24:59
-1253,306,-327,15:24:07,15:24:59
-1130,273,-321,15:24:07,15:24:59
-1033,246,-311,15:24:07,15:24:59
-981,235,-325,15:24:07,15:24:59
-958,234,-323,15:24:07,15:24:59
-919,229,-297,15:24:07,15:24:59
-893,233,-255,15:24:07,15:24:59
-955,283,-176,15:24:07,15:24:59
-1025,302,-134,15:24:07,15:24:59
-1096,288,-88,15:24:07,15:24:59
-1139,248,-62,15:24:07,15:24:59
-1074,262,-53,15:24:07,15:24:59
-1035,361,23,15:24:07,15:24:59
-1062,454,154,15:24:07,15:24:59
-1150,473,243,15:24:07,15:24:59
-1241,327,90,15:24:07,15:24:59
-1162,271,15,15:24:07,15:24:59
-1043,262,43,15:24:07,15:24:59
-882,317,124,15:24:07,15:24:59
-845,348,72,15:24:07,15:24:59
-808,371,26,15:24:07,15:24:59
-767,386,37,15:24:07,15:24:59
-739,402,88,15:24:07,15:24:59
-816,413,37,15:24:07,15:24:59
-985,431,-59,15:24:07,15:24:59
-1205,462,-167,15:24:07,15:24:59
-1345,496,-292,15:24:07,15:24:59
-1201,441,-298,15:24:07,15:24:59
-1074,351,-288,15:24:07,15:24:59
-1066,289,-281,15:24:07,15:24:59
-1118,356,-307,15:24:07,15:24:59
-1020,400,-341,15:24:07,15:24:59
-905,399,-375,15:24:07,15:24:59
-854,372,-395,15:24:07,15:24:59
-866,328,-386,15:24:07,15:24:59
-848,317,-363,15:24:07,15:24:59
-830,319,-322,15:24:07,15:24:59
-839,346,-264,15:24:07,15:24:59
-940,493,-149,15:24:07,15:24:59
-991,596,-121,15:24:07,15:24:59
-1013,683,-109,15:24:07,15:24:59
-954,616,-49,15:24:07,15:24:59
-936,489,51,15:24:07,15:24:59
-974,466,221,15:24:07,15:24:59
-1037,628,412,15:24:07,15:24:59
-908,892,358,15:24:07,15:24:59
-723,680,41,15:24:07,15:24:59
-603,426,-243,15:24:07,15:24:59
-602,378,-311,15:24:07,15:24:59
-674,636,-18,15:24:07,15:24:59
-654,605,55,15:24:07,15:24:59
-679,538,97,15:24:07,15:24:59
-801,584,197,15:24:07,15:24:59
-1022,860,229,15:24:07,15:24:59
-938,879,-73,15:24:07,15:24:59
-771,796,-418,15:24:07,15:24:59
-638,667,-542,15:24:07,15:24:59
-599,536,-199,15:24:07,15:24:59
-602,619,-140,15:24:07,15:24:59
-585,744,-210,15:24:07,15:24:59
-570,814,-264,15:24:07,15:24:59
-588,751,-162,15:24:07,15:24:59
-603,717,-155,15:24:07,15:24:59
-623,705,-199,15:24:07,15:24:59
-705,699,-175,15:24:07,15:24:59
-749,716,-97,15:24:07,15:24:59
-780,744,-47,15:24:07,15:24:59
-792,766,-54,15:24:07,15:24:59
-774,763,-156,15:24:07,15:24:59
-782,754,-196,15:24:07,15:24:59
-824,738,-206,15:24:07,15:24:59
-878,699,-191,15:24:07,15:24:59
-865,556,-177,15:24:07,15:24:59
-808,499,-204,15:24:07,15:24:59
-780,477,-233,15:24:07,15:24:59
-797,480,-245,15:24:07,15:24:59
-807,492,-204,15:24:07,15:24:59
-743,488,-147,15:24:07,15:24:59
-674,478,-83,15:24:07,15:24:59
-651,469,-40,15:24:07,15:24:59
-723,478,-51,15:24:07,15:24:59
-745,502,-63,15:24:07,15:24:59
-739,547,-64,15:24:07,15:24:59
-722,617,-67,15:24:07,15:24:59
-711,742,-71,15:24:07,15:24:59
-703,746,-44,15:24:07,15:24:59
-687,719,-23,15:24:07,15:24:59
-763,709,-153,15:24:07,15:24:59
-873,747,-276,15:24:07,15:24:59
-940,772,-375,15:24:07,15:24:59
-895,746,-436,15:24:07,15:24:59
-635,554,-527,15:24:07,15:24:59
-586,473,-565,15:24:07,15:24:59
-600,434,-570,15:24:07,15:24:59
-618,417,-542,15:24:07,15:24:59
-633,399,-501,15:24:07,15:24:59
-690,449,-491,15:24:07,15:24:59
