x,y,z,s,e
-1343,147,-852,15:04:30,15:05:22
-1171,-102,-770,15:04:30,15:05:22
-957,-254,-612,15:04:30,15:05:22
-828,-334,-558,15:04:30,15:05:22
-814,-377,-723,15:04:30,15:05:22
-816,-288,-711,15:04:30,15:05:22
-814,-123,-622,15:04:30,15:05:22
-829,37,-554,15:04:30,15:05:22
-857,121,-582,15:04:30,15:05:22
-844,115,-590,15:04:30,15:05:22
-837,153,-567,15:04:30,15:05:22
-850,223,-534,15:04:30,15:05:22
-889,371,-433,15:04:30,15:05:22
-904,505,-349,15:04:30,15:05:22
-929,676,-286,15:04:30,15:05:22
-961,798,-276,15:04:30,15:05:22
-941,724,-306,15:04:30,15:05:22
-864,688,-262,15:04:30,15:05:22
-785,767,-186,15:04:30,15:05:22
-768,904,-122,15:04:30,15:05:22
-1021,845,-216,15:04:30,15:05:22
-1191,585,-406,15:04:30,15:05:22
-1281,296,-614,15:04:30,15:05:22
-1182,-72,-712,15:04:30,15:05:22
-1086,-181,-657,15:04:30,15:05:22
-1001,-296,-687,15:04:30,15:05:22
-925,-406,-807,15:04:30,15:05:22
-844,-323,-880,15:04:30,15:05:22
-868,-94,-774,15:04:30,15:05:22
-898,125,-667,15:04:30,15:05:22
-886,232,-587,15:04:30,15:05:22
-745,245,-447,15:04:30,15:05:22
-695,313,-404,15:04:30,15:05:22
-687,423,-385,15:04:30,15:05:22
-764,542,-390,15:04:30,15:05:22
-799,519,-470,15:04:30,15:05:22
-774,508,-569,15:04:30,15:05:22
-681,589,-567,15:04:30,15:05:22
-602,938,-267,15:04:30,15:05:22
-770,916,-301,15:04:30,15:05:22
-1026,656,-546,15:04:30,15:05:22
-1220,272,-811,15:04:30,15:05:22
-1094,-314,-796,15:04:30,15:05:22
-911,-428,-647,15:04:30,15:05:22
-814,-415,-583,15:04:30,15:05:22
-830,-272,-620,15:04:30,15:05:22
-956,168,-739,15:04:30,15:05:22
-987,284,-727,15:04:30,15:05:22
-987,300,-671,15:04:30,15:05:22
-838,277,-558,15:04:30,15:05:22
-727,307,-509,15:04:30,15:05:22
-683,359,-433,15:04:30,15:05:22
-754,429,-355,15:04:30,15:05:22
-1031,519,-420,15:04:30,15:05:22
-1027,491,-481,15:04:30,15:05:22
-894,503,-405,15:04:30,15:05:22
-763,650,-205,15:04:30,15:05:22
-1046,968,-89,15:04:30,15:05:22
-1380,785,-357,15:04:30,15:05:22
-1579,395,-687,15:04:30,15:05:22
-1518,8,-864,15:04:30,15:05:22
-985,-326,-575,15:04:30,15:05:22
-828,-336,-422,15:04:30,15:05:22
-790,-266,-448,15:04:30,15:05:22
-812,-101,-583,15:04:30,15:05:22
-922,248,-664,15:04:30,15:05:22
-981,274,-589,15:04:30,15:05:22
-972,245,-530,15:04:30,15:05:22
-704,312,-523,15:04:30,15:05:22
-587,359,-525,15:04:30,15:05:22
-577,343,-520,15:04:30,15:05:22
-666,290,-538,15:04:30,15:05:22
-846,379,-590,15:04:30,15:05:22
-813,560,-492,15:04:30,15:05:22
-739,717,-323,15:04:30,15:05:22
-881,574,-394,15:04:30,15:05:22
-1087,334,-677,15:04:30,15:05:22
-1198,130,-878,15:04:30,15:05:22
-1134,0,-880,15:04:30,15:05:22
-852,-236,-708,15:04:30,15:05:22
-821,-326,-717,15:04:30,15:05:22
-826,-288,-737,15:04:30,15:05:22
-811,-113,-738,15:04:30,15:05:22
-795,205,-739,15:04:30,15:05:22
-815,237,-688,15:04:30,15:05:22
-792,277,-584,15:04:30,15:05:22
-705,385,-487,15:04:30,15:05:22
-549,717,-405,15:04:30,15:05:22
-562,845,-359,15:04:30,15:05:22
-623,889,-360,15:04:30,15:05:22
-709,844,-473,15:04:30,15:05:22
-799,767,-584,15:04:30,15:05:22
-718,831,-359,15:04:30,15:05:22
-625,872,-175,15:04:30,15:05:22
-664,781,-314,15:04:30,15:05:22
-1191,249,-1057,15:04:30,15:05:22
-1356,-37,-1015,15:04:30,15:05:22
-1281,-315,-737,15:04:30,15:05:22
-834,-687,-726,15:04:30,15:05:22
-766,-518,-931,15:04:30,15:05:22
-827,-122,-944,15:04:30,15:05:22
-908,239,-757,15:04:30,15:05:22
-840,321,-456,15:04:30,15:05:22
-723,302,-417,15:04:30,15:05:22
-635,420,-348,15:04:30,15:05:22
-623,592,-245,15:04:30,15:05:22
-809,555,-260,15:04:30,15:05:22
-911,425,-421,15:04:30,15:05:22
-947,454,-526,15:04:30,15:05:22
-849,910,-280,15:04:30,15:05:22
-860,943,-190,15:04:30,15:05:22
-994,742,-336,15:04:30,15:05:22
-1187,438,-651,15:04:30,15:05:22
-1237,-105,-979,15:04:30,15:05:22
-1048,-333,-864,15:04:30,15:05:22
-858,-489,-738,15:04:30,15:05:22
-756,-506,-721,15:04:30,15:05:22
-743,-182,-811,15:04:30,15:05:22
-753,-15,-766,15:04:30,15:05:22
-758,86,-707,15:04:30,15:05:22
-718,229,-665,15:04:30,15:05:22
-647,326,-595,15:04:30,15:05:22
-570,406,-484,15:04:30,15:05:22
-528,439,-397,15:04:30,15:05:22
-652,456,-484,15:04:30,15:05:22
-797,537,-614,15:04:30,15:05:22
-910,683,-673,15:04:30,15:05:22
-906,851,-571,15:04:30,15:05:22
-679,971,-257,15:04:30,15:05:22
-753,818,-358,15:04:30,15:05:22
-1013,536,-567,15:04:30,15:05:22
-1284,215,-689,15:04:30,15:05:22
-1206,-212,-633,15:04:30,15:05:22
-940,-302,-670,15:04:30,15:05:22
-747,-339,-750,15:04:30,15:05:22
-721,-304,-775,15:04:30,15:05:22
-919,-10,-595,15:04:30,15:05:22
-941,132,-522,15:04:30,15:05:22
-887,199,-516,15:04:30,15:05:22
-822,218,-533,15:04:30,15:05:22
-815,327,-460,15:04:30,15:05:22
-835,410,-396,15:04:30,15:05:22
-850,469,-365,15:04:30,15:05:22
-972,540,-433,15:04:30,15:05:22
-1062,584,-459,15:04:30,15:05:22
-1065,629,-392,15:04:30,15:05:22
-946,674,-231,15:04:30,15:05:22
-790,714,-134,15:04:30,15:05:22
-950,597,-413,15:04:30,15:05:22
-1141,349,-790,15:04:30,15:05:22
-1191,-76,-917,15:04:30,15:05:22
-955,-81,-626,15:04:30,15:05:22
-916,-72,-450,15:04:30,15:05:22
-939,-181,-575,15:04:30,15:05:22
-851,-481,-998,15:04:30,15:05:22
-771,-387,-890,15:04:30,15:05:22
-750,-156,-705,15:04:30,15:05:22
-778,53,-639,15:04:30,15:05:22
-765,173,-693,15:04:30,15:05:22
-694,224,-592,15:04:30,15:05:22
-621,329,-452,15:04:30,15:05:22
-566,435,-373,15:04:30,15:05:22
-534,524,-344,15:04:30,15:05:22
-626,602,-366,15:04:30,15:05:22
-820,740,-492,15:04:30,15:05:22
-1002,869,-678,15:04:30,15:05:22
-758,873,-489,15:04:30,15:05:22
-526,807,-154,15:04:30,15:05:22
-554,736,-54,15:04:30,15:05:22
-1156,410,-675,15:04:30,15:05:22
-1263,164,-836,15:04:30,15:05:22
-1166,-45,-748,15:04:30,15:05:22
-1006,-179,-616,15:04:30,15:05:22
-820,-251,-675,15:04:30,15:05:22
-803,-180,-690,15:04:30,15:05:22
-824,-35,-619,15:04:30,15:05:22
-855,133,-546,15:04:30,15:05:22
-803,299,-551,15:04:30,15:05:22
-737,305,-527,15:04:30,15:05:22
-705,327,-451,15:04:30,15:05:22
-717,379,-370,15:04:30,15:05:22
-754,447,-288,15:04:30,15:05:22
-769,427,-263,15:04:30,15:05:22
-851,398,-291,15:04:30,15:05:22
-1163,486,-486,15:04:30,15:05:22
-1151,641,-410,15:04:30,15:05:22
-962,803,-180,15:04:30,15:05:22
-775,877,-15,15:04:30,15:05:22
-1033,677,-459,15:04:30,15:05:22
-1291,486,-788,15:04:30,15:05:22
-1372,258,-918,15:04:30,15:05:22
-1258,-6,-852,15:04:30,15:05:22
-948,-460,-698,15:04:30,15:05:22
-888,-524,-783,15:04:30,15:05:22
-846,-451,-894,15:04:30,15:05:22
-762,-60,-842,15:04:30,15:05:22
-769,113,-733,15:04:30,15:05:22
-785,222,-651,15:04:30,15:05:22
-756,295,-581,15:04:30,15:05:22
-559,451,-411,15:04:30,15:05:22
-489,513,-350,15:04:30,15:05:22
-477,547,-321,15:04:30,15:05:22
-518,541,-336,15:04:30,15:05:22
-769,418,-652,15:04:30,15:05:22
-893,446,-835,15:04:30,15:05:22
-874,617,-817,15:04:30,15:05:22
-691,821,-579,15:04:30,15:05:22
-511,792,-264,15:04:30,15:05:22
-760,624,-449,15:04:30,15:05:22
-1074,467,-696,15:04:30,15:05:22
-1248,307,-794,15:04:30,15:05:22
-1106,-62,-536,15:04:30,15:05:22
-978,-199,-521,15:04:30,15:05:22
-886,-275,-676,15:04:30,15:05:22
-832,-265,-842,15:04:30,15:05:22
-816,46,-742,15:04:30,15:05:22
-808,205,-626,15:04:30,15:05:22
-768,265,-587,15:04:30,15:05:22
-646,283,-523,15:04:30,15:05:22
-618,353,-434,15:04:30,15:05:22
-624,430,-359,15:04:30,15:05:22
-653,480,-319,15:04:30,15:05:22
-765,534,-297,15:04:30,15:05:22
-915,559,-404,15:04:30,15:05:22
-1138,595,-630,15:04:30,15:05:22
-1210,763,-745,15:04:30,15:05:22
-891,827,-407,15:04:30,15:05:22
-617,810,-105,15:04:30,15:05:22
-660,716,-141,15:04:30,15:05:22
-1279,415,-833,15:04:30,15:05:22
-1319,214,-905,15:04:30,15:05:22
-1149,-15,-754,15:04:30,15:05:22
-960,-246,-621,15:04:30,15:05:22
-804,-494,-801,15:04:30,15:05:22
-758,-394,-874,15:04:30,15:05:22
-730,-169,-816,15:04:30,15:05:22
-748,52,-719,15:04:30,15:05:22
-814,172,-727,15:04:30,15:05:22
-776,168,-741,15:04:30,15:05:22
-707,223,-682,15:04:30,15:05:22
-649,329,-583,15:04:30,15:05:22
-610,492,-450,15:04:30,15:05:22
-608,519,-430,15:04:30,15:05:22
-637,533,-458,15:04:30,15:05:22
-720,564,-540,15:04:30,15:05:22
-817,783,-563,15:04:30,15:05:22
-682,913,-400,15:04:30,15:05:22
-526,955,-258,15:04:30,15:05:22
-810,713,-518,15:04:30,15:05:22
-1150,498,-736,15:04:30,15:05:22
-1333,253,-780,15:04:30,15:05:22
-1277,-6,-671,15:04:30,15:05:22
-923,-410,-579,15:04:30,15:05:22
-832,-468,-643,15:04:30,15:05:22
-800,-399,-651,15:04:30,15:05:22
-800,-215,-597,15:04:30,15:05:22
-828,215,-636,15:04:30,15:05:22
-820,346,-710,15:04:30,15:05:22
-787,443,-685,15:04:30,15:05:22
-736,550,-547,15:04:30,15:05:22
-655,655,-371,15:04:30,15:05:22
-724,525,-449,15:04:30,15:05:22
-922,333,-544,15:04:30,15:05:22
-1143,273,-562,15:04:30,15:05:22
-934,852,-359,15:04:30,15:05:22
-646,1060,-278,15:04:30,15:05:22
-631,894,-304,15:04:30,15:05:22
-947,483,-432,15:04:30,15:05:22
-1399,-23,-751,15:04:30,15:05:22
-1198,-120,-823,15:04:30,15:05:22
-927,-307,-813,15:04:30,15:05:22
-761,-584,-685,15:04:30,15:05:22
-782,-423,-651,15:04:30,15:05:22
-784,-163,-650,15:04:30,15:05:22
-781,16,-666,15:04:30,15:05:22
-783,53,-642,15:04:30,15:05:22
-743,94,-579,15:04:30,15:05:22
-677,204,-503,15:04:30,15:05:22
-628,339,-438,15:04:30,15:05:22
-681,558,-422,15:04:30,15:05:22
-757,624,-517,15:04:30,15:05:22
-797,644,-650,15:04:30,15:05:22
-610,655,-593,15:04:30,15:05:22
-507,722,-378,15:04:30,15:05:22
-568,765,-274,15:04:30,15:05:22
-816,677,-433,15:04:30,15:05:22
-1274,155,-967,15:04:30,15:05:22
-1240,-50,-879,15:04:30,15:05:22
-1089,-173,-619,15:04:30,15:05:22
-941,-276,-463,15:04:30,15:05:22
-822,-327,-666,15:04:30,15:05:22
-826,-150,-695,15:04:30,15:05:22
-843,88,-608,15:04:30,15:05:22
-847,244,-532,15:04:30,15:05:22
-751,226,-525,15:04:30,15:05:22
-693,227,-451,15:04:30,15:05:22
-667,292,-335,15:04:30,15:05:22
-675,359,-258,15:04:30,15:05:22
-794,361,-334,15:04:30,15:05:22
-931,418,-470,15:04:30,15:05:22
-1053,577,-598,15:04:30,15:05:22
-1038,762,-589,15:04:30,15:05:22
-696,796,-162,15:04:30,15:05:22
-740,658,-141,15:04:30,15:05:22
-1010,501,-414,15:04:30,15:05:22
-1348,120,-989,15:04:30,15:05:22
-1174,-102,-903,15:04:30,15:05:22
-942,-294,-690,15:04:30,15:05:22
-813,-420,-592,15:04:30,15:05:22
-792,-391,-796,15:04:30,15:05:22
-757,-208,-788,15:04:30,15:05:22
-722,12,-668,15:04:30,15:05:22
-727,155,-573,15:04:30,15:05:22
-739,150,-617,15:04:30,15:05:22
-679,159,-613,15:04:30,15:05:22
-610,236,-554,15:04:30,15:05:22
-577,339,-488,15:04:30,15:05:22
-590,459,-414,15:04:30,15:05:22
-639,505,-428,15:04:30,15:05:22
-761,605,-548,15:04:30,15:05:22
-905,764,-737,15:04:30,15:05:22
-782,973,-588,15:04:30,15:05:22
-611,888,-261,15:04:30,15:05:22
-643,682,-157,15:04:30,15:05:22
-908,437,-386,15:04:30,15:05:22
-1282,112,-741,15:04:30,15:05:22
-1173,0,-576,15:04:30,15:05:22
-1005,-169,-461,15:04:30,15:05:22
-840,-423,-671,15:04:30,15:05:22
-847,-288,-671,15:04:30,15:05:22
-898,-37,-549,15:04:30,15:05:22
-961,166,-463,15:04:30,15:05:22
-922,243,-537,15:04:30,15:05:22
-827,268,-498,15:04:30,15:05:22
-752,343,-383,15:04:30,15:05:22
