x,y,z,s,e
819,453,195,14:39:30,14:40:23
732,571,163,14:39:30,14:40:23
699,679,107,14:39:30,14:40:23
702,700,68,14:39:30,14:40:23
649,571,36,14:39:30,14:40:23
596,589,-23,14:39:30,14:40:23
595,670,-89,14:39:30,14:40:23
821,707,-22,14:39:30,14:40:23
926,636,83,14:39:30,14:40:23
948,571,157,14:39:30,14:40:23
942,519,180,14:39:30,14:40:23
1141,270,187,14:39:30,14:40:23
1268,57,265,14:39:30,14:40:23
1302,-85,418,14:39:30,14:40:23
1269,-64,576,14:39:30,14:40:23
1268,158,532,14:39:30,14:40:23
1271,159,379,14:39:30,14:40:23
1211,185,270,14:39:30,14:40:23
1091,359,208,14:39:30,14:40:23
770,832,51,14:39:30,14:40:23
611,873,-28,14:39:30,14:40:23
500,823,-95,14:39:30,14:40:23
466,777,-162,14:39:30,14:40:23
599,640,-135,14:39:30,14:40:23
702,552,-26,14:39:30,14:40:23
770,572,28,14:39:30,14:40:23
745,804,-65,14:39:30,14:40:23
778,740,-23,14:39:30,14:40:23
941,556,102,14:39:30,14:40:23
1183,388,222,14:39:30,14:40:23
1384,178,375,14:39:30,14:40:23
1277,-5,496,14:39:30,14:40:23
1152,-212,602,14:39:30,14:40:23
1091,-327,593,14:39:30,14:40:23
1211,-117,296,14:39:30,14:40:23
1294,114,214,14:39:30,14:40:23
1245,352,228,14:39:30,14:40:23
676,766,291,14:39:30,14:40:23
460,929,214,14:39:30,14:40:23
446,1021,48,14:39:30,14:40:23
557,960,-118,14:39:30,14:40:23
797,236,124,14:39:30,14:40:23
917,-136,458,14:39:30,14:40:23
1027,-192,570,14:39:30,14:40:23
1056,77,321,14:39:30,14:40:23
693,586,-373,14:39:30,14:40:23
448,628,-382,14:39:30,14:40:23
380,724,-245,14:39:30,14:40:23
557,918,-131,14:39:30,14:40:23
1104,991,-6,14:39:30,14:40:23
1176,766,133,14:39:30,14:40:23
1145,508,313,14:39:30,14:40:23
1139,303,439,14:39:30,14:40:23
1311,-18,401,14:39:30,14:40:23
1332,-182,398,14:39:30,14:40:23
1268,-270,487,14:39:30,14:40:23
1208,-211,581,14:39:30,14:40:23
1260,114,444,14:39:30,14:40:23
1230,245,310,14:39:30,14:40:23
1096,425,234,14:39:30,14:40:23
687,875,144,14:39:30,14:40:23
484,902,96,14:39:30,14:40:23
349,831,57,14:39:30,14:40:23
348,838,-8,14:39:30,14:40:23
602,1055,-224,14:39:30,14:40:23
676,988,-194,14:39:30,14:40:23
706,816,-17,14:39:30,14:40:23
770,676,173,14:39:30,14:40:23
1103,575,153,14:39:30,14:40:23
1295,455,123,14:39:30,14:40:23
1438,226,262,14:39:30,14:40:23
1509,-55,512,14:39:30,14:40:23
1421,-364,727,14:39:30,14:40:23
1293,-332,599,14:39:30,14:40:23
1183,-220,407,14:39:30,14:40:23
1150,-4,237,14:39:30,14:40:23
1119,725,81,14:39:30,14:40:23
917,958,54,14:39:30,14:40:23
596,963,41,14:39:30,14:40:23
292,849,52,14:39:30,14:40:23
193,743,48,14:39:30,14:40:23
391,749,-11,14:39:30,14:40:23
607,767,-37,14:39:30,14:40:23
730,805,44,14:39:30,14:40:23
797,794,327,14:39:30,14:40:23
923,673,350,14:39:30,14:40:23
1082,478,331,14:39:30,14:40:23
1182,6,518,14:39:30,14:40:23
