x,y,z,s,e
-549,680,541,14:11:57,14:12:49
-1049,521,676,14:11:57,14:12:49
-1211,263,668,14:11:57,14:12:49
-1329,-62,612,14:11:57,14:12:49
-1452,-562,389,14:11:57,14:12:49
-1369,-567,254,14:11:57,14:12:49
-1207,-386,196,14:11:57,14:12:49
-1059,-70,286,14:11:57,14:12:49
-836,720,696,14:11:57,14:12:49
-640,1036,776,14:11:57,14:12:49
-414,1148,747,14:11:57,14:12:49
-261,985,704,14:11:57,14:12:49
-294,395,707,14:11:57,14:12:49
-371,430,668,14:11:57,14:12:49
-449,666,619,14:11:57,14:12:49
-588,810,619,14:11:57,14:12:49
-1176,327,648,14:11:57,14:12:49
-1447,-26,549,14:11:57,14:12:49
-1544,-276,398,14:11:57,14:12:49
-1472,-408,276,14:11:57,14:12:49
-1228,-293,251,14:11:57,14:12:49
-1161,-77,341,14:11:57,14:12:49
-1078,165,470,14:11:57,14:12:49
-922,402,592,14:11:57,14:12:49
-421,804,646,14:11:57,14:12:49
-224,842,599,14:11:57,14:12:49
-174,699,564,14:11:57,14:12:49
-445,409,536,14:11:57,14:12:49
-567,566,516,14:11:57,14:12:49
-628,810,534,14:11:57,14:12:49
-725,895,614,14:11:57,14:12:49
-1199,412,684,14:11:57,14:12:49
-1386,76,557,14:11:57,14:12:49
-1439,-248,399,14:11:57,14:12:49
-1423,-521,306,14:11:57,14:12:49
-1364,-421,284,14:11:57,14:12:49
-1251,-57,285,14:11:57,14:12:49
-1074,262,335,14:11:57,14:12:49
-743,568,602,14:11:57,14:12:49
-600,703,674,14:11:57,14:12:49
-441,768,657,14:11:57,14:12:49
-301,653,613,14:11:57,14:12:49
-369,218,586,14:11:57,14:12:49
-546,279,557,14:11:57,14:12:49
-656,572,515,14:11:57,14:12:49
-641,884,511,14:11:57,14:12:49
-716,827,663,14:11:57,14:12:49
-1018,540,707,14:11:57,14:12:49
-1363,248,651,14:11:57,14:12:49
-1518,-402,362,14:11:57,14:12:49
-1373,-651,274,14:11:57,14:12:49
-1252,-639,261,14:11:57,14:12:49
