x,y,z,s,e
986,278,275,16:43:59,16:44:51
1148,289,269,16:43:59,16:44:51
1242,290,324,16:43:59,16:44:51
1218,311,413,16:43:59,16:44:51
1019,363,546,16:43:59,16:44:51
987,327,513,16:43:59,16:44:51
1001,254,395,16:43:59,16:44:51
1001,171,249,16:43:59,16:44:51
912,-35,106,16:43:59,16:44:51
914,-161,125,16:43:59,16:44:51
991,-244,221,16:43:59,16:44:51
1228,-142,670,16:43:59,16:44:51
1284,-41,787,16:43:59,16:44:51
1271,-3,654,16:43:59,16:44:51
1222,-25,356,16:43:59,16:44:51
1178,29,55,16:43:59,16:44:51
1171,139,108,16:43:59,16:44:51
1109,222,153,16:43:59,16:44:51
809,205,266,16:43:59,16:44:51
697,173,430,16:43:59,16:44:51
699,158,609,16:43:59,16:44:51
800,127,733,16:43:59,16:44:51
979,-152,692,16:43:59,16:44:51
954,-337,537,16:43:59,16:44:51
888,-426,371,16:43:59,16:44:51
792,-258,347,16:43:59,16:44:51
770,-158,460,16:43:59,16:44:51
753,-122,539,16:43:59,16:44:51
741,-109,548,16:43:59,16:44:51
750,30,508,16:43:59,16:44:51
786,122,519,16:43:59,16:44:51
839,178,527,16:43:59,16:44:51
890,204,504,16:43:59,16:44:51
950,266,406,16:43:59,16:44:51
993,317,392,16:43:59,16:44:51
1058,375,396,16:43:59,16:44:51
1184,490,341,16:43:59,16:44:51
1211,510,296,16:43:59,16:44:51
1210,474,280,16:43:59,16:44:51
1175,381,290,16:43:59,16:44:51
1030,114,345,16:43:59,16:44:51
977,3,388,16:43:59,16:44:51
961,-64,442,16:43:59,16:44:51
962,-85,492,16:43:59,16:44:51
960,-35,531,16:43:59,16:44:51
985,33,523,16:43:59,16:44:51
1039,146,519,16:43:59,16:44:51
1117,400,539,16:43:59,16:44:51
1089,432,529,16:43:59,16:44:51
1023,379,499,16:43:59,16:44:51
940,274,468,16:43:59,16:44:51
756,63,424,16:43:59,16:44:51
677,45,381,16:43:59,16:44:51
652,134,313,16:43:59,16:44:51
687,294,260,16:43:59,16:44:51
739,412,354,16:43:59,16:44:51
711,312,453,16:43:59,16:44:51
734,212,537,16:43:59,16:44:51
1045,68,750,16:43:59,16:44:51
1181,-53,803,16:43:59,16:44:51
1213,-143,705,16:43:59,16:44:51
1167,-117,497,16:43:59,16:44:51
984,22,309,16:43:59,16:44:51
866,-48,366,16:43:59,16:44:51
758,-142,390,16:43:59,16:44:51
703,-140,342,16:43:59,16:44:51
769,115,236,16:43:59,16:44:51
833,212,250,16:43:59,16:44:51
887,267,298,16:43:59,16:44:51
967,401,419,16:43:59,16:44:51
1005,449,476,16:43:59,16:44:51
1046,419,518,16:43:59,16:44:51
1079,318,522,16:43:59,16:44:51
1062,88,394,16:43:59,16:44:51
1010,-3,320,16:43:59,16:44:51
963,-102,295,16:43:59,16:44:51
1005,-272,468,16:43:59,16:44:51
1101,-282,616,16:43:59,16:44:51
1203,-245,683,16:43:59,16:44:51
1263,-202,585,16:43:59,16:44:51
1244,-181,168,16:43:59,16:44:51
1268,-153,129,16:43:59,16:44:51
1342,-61,219,16:43:59,16:44:51
1394,93,309,16:43:59,16:44:51
1133,383,264,16:43:59,16:44:51
890,451,254,16:43:59,16:44:51
731,468,320,16:43:59,16:44:51
817,246,478,16:43:59,16:44:51
915,-14,517,16:43:59,16:44:51
929,-279,553,16:43:59,16:44:51
722,-439,455,16:43:59,16:44:51
656,-330,308,16:43:59,16:44:51
689,-201,251,16:43:59,16:44:51
774,-127,355,16:43:59,16:44:51
802,-153,615,16:43:59,16:44:51
746,-166,601,16:43:59,16:44:51
719,-144,572,16:43:59,16:44:51
739,-95,591,16:43:59,16:44:51
839,37,592,16:43:59,16:44:51
909,103,499,16:43:59,16:44:51
999,161,394,16:43:59,16:44:51
1184,278,376,16:43:59,16:44:51
1236,344,464,16:43:59,16:44:51
1247,401,537,16:43:59,16:44:51
1227,431,525,16:43:59,16:44:51
1182,387,295,16:43:59,16:44:51
1143,315,240,16:43:59,16:44:51
1057,217,291,16:43:59,16:44:51
933,113,395,16:43:59,16:44:51
791,-12,443,16:43:59,16:44:51
824,-28,377,16:43:59,16:44:51
885,-42,324,16:43:59,16:44:51
1007,-59,342,16:43:59,16:44:51
1096,-16,373,16:43:59,16:44:51
1218,38,395,16:43:59,16:44:51
1352,64,403,16:43:59,16:44:51
1463,74,392,16:43:59,16:44:51
1472,340,312,16:43:59,16:44:51
1327,576,300,16:43:59,16:44:51
1096,708,359,16:43:59,16:44:51
654,469,631,16:43:59,16:44:51
591,278,709,16:43:59,16:44:51
670,135,690,16:43:59,16:44:51
842,0,617,16:43:59,16:44:51
1062,-432,512,16:43:59,16:44:51
999,-626,437,16:43:59,16:44:51
882,-683,321,16:43:59,16:44:51
801,-600,235,16:43:59,16:44:51
814,-336,357,16:43:59,16:44:51
820,-241,446,16:43:59,16:44:51
785,-152,448,16:43:59,16:44:51
733,-21,319,16:43:59,16:44:51
792,-9,284,16:43:59,16:44:51
897,0,260,16:43:59,16:44:51
995,57,224,16:43:59,16:44:51
1048,177,187,16:43:59,16:44:51
1102,425,183,16:43:59,16:44:51
1179,440,194,16:43:59,16:44:51
1286,394,185,16:43:59,16:44:51
1373,344,166,16:43:59,16:44:51
1398,312,169,16:43:59,16:44:51
1269,138,242,16:43:59,16:44:51
1174,-57,254,16:43:59,16:44:51
1088,-260,234,16:43:59,16:44:51
1015,-386,220,16:43:59,16:44:51
934,-248,360,16:43:59,16:44:51
943,-64,475,16:43:59,16:44:51
984,98,544,16:43:59,16:44:51
1033,194,549,16:43:59,16:44:51
1069,224,518,16:43:59,16:44:51
1050,204,456,16:43:59,16:44:51
995,205,429,16:43:59,16:44:51
922,226,413,16:43:59,16:44:51
848,258,413,16:43:59,16:44:51
795,298,411,16:43:59,16:44:51
763,396,328,16:43:59,16:44:51
769,422,286,16:43:59,16:44:51
787,400,297,16:43:59,16:44:51
827,330,369,16:43:59,16:44:51
892,238,471,16:43:59,16:44:51
1013,76,558,16:43:59,16:44:51
1041,43,471,16:43:59,16:44:51
1059,58,340,16:43:59,16:44:51
1059,87,266,16:43:59,16:44:51
1019,71,309,16:43:59,16:44:51
933,-16,421,16:43:59,16:44:51
837,-131,491,16:43:59,16:44:51
780,-200,463,16:43:59,16:44:51
791,-109,303,16:43:59,16:44:51
797,-8,259,16:43:59,16:44:51
797,87,226,16:43:59,16:44:51
824,168,196,16:43:59,16:44:51
900,235,194,16:43:59,16:44:51
997,292,244,16:43:59,16:44:51
1061,339,335,16:43:59,16:44:51
1061,372,435,16:43:59,16:44:51
1032,354,570,16:43:59,16:44:51
1105,293,591,16:43:59,16:44:51
1194,192,584,16:43:59,16:44:51
1197,50,571,16:43:59,16:44:51
1065,-111,577,16:43:59,16:44:51
875,-242,594,16:43:59,16:44:51
817,-242,474,16:43:59,16:44:51
978,-152,348,16:43:59,16:44:51
1143,-94,282,16:43:59,16:44:51
1250,-109,313,16:43:59,16:44:51
1302,-184,378,16:43:59,16:44:51
1320,-261,399,16:43:59,16:44:51
1304,-277,367,16:43:59,16:44:51
1141,-77,321,16:43:59,16:44:51
1030,52,312,16:43:59,16:44:51
948,150,285,16:43:59,16:44:51
900,226,255,16:43:59,16:44:51
848,298,250,16:43:59,16:44:51
751,355,271,16:43:59,16:44:51
574,326,369,16:43:59,16:44:51
668,231,480,16:43:59,16:44:51
882,71,640,16:43:59,16:44:51
1067,-162,789,16:43:59,16:44:51
1067,-397,827,16:43:59,16:44:51
875,-497,704,16:43:59,16:44:51
657,-386,498,16:43:59,16:44:51
596,-154,372,16:43:59,16:44:51
875,57,536,16:43:59,16:44:51
963,15,599,16:43:59,16:44:51
984,-5,561,16:43:59,16:44:51
1001,0,506,16:43:59,16:44:51
1018,-22,508,16:43:59,16:44:51
992,-75,532,16:43:59,16:44:51
932,-98,502,16:43:59,16:44:51
1002,55,353,16:43:59,16:44:51
1105,142,364,16:43:59,16:44:51
1122,195,421,16:43:59,16:44:51
1027,242,459,16:43:59,16:44:51
907,299,450,16:43:59,16:44:51
867,337,414,16:43:59,16:44:51
929,315,381,16:43:59,16:44:51
1027,231,361,16:43:59,16:44:51
1067,30,366,16:43:59,16:44:51
1015,-37,405,16:43:59,16:44:51
964,-87,481,16:43:59,16:44:51
934,-120,576,16:43:59,16:44:51
932,-123,637,16:43:59,16:44:51
967,-90,620,16:43:59,16:44:51
1035,-38,545,16:43:59,16:44:51
1101,0,486,16:43:59,16:44:51
1100,-32,499,16:43:59,16:44:51
1054,-67,457,16:43:59,16:44:51
1022,-64,364,16:43:59,16:44:51
1010,0,303,16:43:59,16:44:51
988,106,331,16:43:59,16:44:51
915,203,417,16:43:59,16:44:51
645,250,552,16:43:59,16:44:51
599,226,637,16:43:59,16:44:51
692,167,764,16:43:59,16:44:51
868,24,864,16:43:59,16:44:51
1000,-213,850,16:43:59,16:44:51
996,-462,717,16:43:59,16:44:51
872,-597,546,16:43:59,16:44:51
730,-561,426,16:43:59,16:44:51
665,-252,401,16:43:59,16:44:51
696,-162,441,16:43:59,16:44:51
709,-134,478,16:43:59,16:44:51
714,-118,498,16:43:59,16:44:51
743,-71,506,16:43:59,16:44:51
878,46,538,16:43:59,16:44:51
918,62,541,16:43:59,16:44:51
925,85,509,16:43:59,16:44:51
938,164,454,16:43:59,16:44:51
1001,286,421,16:43:59,16:44:51
1117,375,437,16:43:59,16:44:51
1238,377,480,16:43:59,16:44:51
1307,309,497,16:43:59,16:44:51
1244,167,381,16:43:59,16:44:51
1172,89,313,16:43:59,16:44:51
1113,-33,289,16:43:59,16:44:51
1072,-179,315,16:43:59,16:44:51
