x,y,z,s,e
172,974,-140,14:49:37,14:50:29
217,1026,-216,14:49:37,14:50:29
285,962,-243,14:49:37,14:50:29
297,800,-232,14:49:37,14:50:29
236,817,-245,14:49:37,14:50:29
176,883,-271,14:49:37,14:50:29
132,986,-292,14:49:37,14:50:29
40,1243,-201,14:49:37,14:50:29
-19,1258,-69,14:49:37,14:50:29
-71,1139,44,14:49:37,14:50:29
-99,981,47,14:49:37,14:50:29
-49,1024,-257,14:49:37,14:50:29
2,1175,-363,14:49:37,14:50:29
25,1214,-347,14:49:37,14:50:29
-23,823,-206,14:49:37,14:50:29
-15,648,-232,14:49:37,14:50:29
56,642,-325,14:49:37,14:50:29
175,762,-425,14:49:37,14:50:29
399,896,-455,14:49:37,14:50:29
459,845,-398,14:49:37,14:50:29
476,815,-355,14:49:37,14:50:29
374,991,-383,14:49:37,14:50:29
278,1101,-401,14:49:37,14:50:29
183,1121,-382,14:49:37,14:50:29
111,1015,-330,14:49:37,14:50:29
78,629,-298,14:49:37,14:50:29
117,535,-389,14:49:37,14:50:29
183,551,-518,14:49:37,14:50:29
324,608,-683,14:49:37,14:50:29
328,561,-723,14:49:37,14:50:29
264,504,-760,14:49:37,14:50:29
159,484,-780,14:49:37,14:50:29
-26,646,-718,14:49:37,14:50:29
-90,839,-679,14:49:37,14:50:29
-137,1053,-645,14:49:37,14:50:29
-121,1227,-449,14:49:37,14:50:29
-51,1139,-290,14:49:37,14:50:29
15,1029,-160,14:49:37,14:50:29
39,1001,-88,14:49:37,14:50:29
-44,1196,13,14:49:37,14:50:29
-87,1232,102,14:49:37,14:50:29
-73,1148,170,14:49:37,14:50:29
109,904,4,14:49:37,14:50:29
196,860,-164,14:49:37,14:50:29
249,828,-267,14:49:37,14:50:29
279,762,-294,14:49:37,14:50:29
317,714,-437,14:49:37,14:50:29
390,879,-572,14:49:37,14:50:29
549,1118,-585,14:49:37,14:50:29
804,1150,-37,14:49:37,14:50:29
637,876,195,14:49:37,14:50:29
292,640,134,14:49:37,14:50:29
-40,587,-170,14:49:37,14:50:29
-147,656,-659,14:49:37,14:50:29
10,526,-667,14:49:37,14:50:29
172,360,-639,14:49:37,14:50:29
335,403,-733,14:49:37,14:50:29
343,574,-795,14:49:37,14:50:29
319,723,-808,14:49:37,14:50:29
280,821,-775,14:49:37,14:50:29
235,927,-699,14:49:37,14:50:29
238,919,-681,14:49:37,14:50:29
244,853,-656,14:49:37,14:50:29
245,770,-610,14:49:37,14:50:29
190,798,-509,14:49:37,14:50:29
94,948,-481,14:49:37,14:50:29
-53,1154,-443,14:49:37,14:50:29
-356,1508,-261,14:49:37,14:50:29
-430,1498,-151,14:49:37,14:50:29
-441,1330,-77,14:49:37,14:50:29
-349,946,-126,14:49:37,14:50:29
-268,889,-212,14:49:37,14:50:29
-169,871,-271,14:49:37,14:50:29
-63,824,-274,14:49:37,14:50:29
132,692,-226,14:49:37,14:50:29
236,721,-228,14:49:37,14:50:29
366,858,-200,14:49:37,14:50:29
492,1061,-83,14:49:37,14:50:29
442,1213,252,14:49:37,14:50:29
238,1056,237,14:49:37,14:50:29
53,864,41,14:49:37,14:50:29
104,690,-435,14:49:37,14:50:29
268,621,-527,14:49:37,14:50:29
409,514,-554,14:49:37,14:50:29
489,428,-592,14:49:37,14:50:29
524,472,-713,14:49:37,14:50:29
515,531,-713,14:49:37,14:50:29
484,583,-667,14:49:37,14:50:29
258,793,-632,14:49:37,14:50:29
65,989,-626,14:49:37,14:50:29
-116,1200,-524,14:49:37,14:50:29
-233,1343,-296,14:49:37,14:50:29
-328,1313,98,14:49:37,14:50:29
-370,1294,23,14:49:37,14:50:29
-377,1332,-182,14:49:37,14:50:29
-165,1102,-348,14:49:37,14:50:29
-6,794,-241,14:49:37,14:50:29
140,582,-164,14:49:37,14:50:29
279,556,-203,14:49:37,14:50:29
531,609,-390,14:49:37,14:50:29
619,592,-374,14:49:37,14:50:29
682,680,-289,14:49:37,14:50:29
725,1010,-75,14:49:37,14:50:29
662,958,13,14:49:37,14:50:29
537,777,57,14:49:37,14:50:29
393,646,36,14:49:37,14:50:29
248,687,-152,14:49:37,14:50:29
266,653,-285,14:49:37,14:50:29
309,541,-443,14:49:37,14:50:29
347,448,-618,14:49:37,14:50:29
336,477,-875,14:49:37,14:50:29
292,519,-906,14:49:37,14:50:29
260,576,-900,14:49:37,14:50:29
249,1002,-893,14:49:37,14:50:29
212,1282,-807,14:49:37,14:50:29
145,1411,-581,14:49:37,14:50:29
-44,1239,-15,14:49:37,14:50:29
-217,1168,78,14:49:37,14:50:29
-439,1130,59,14:49:37,14:50:29
-616,1067,30,14:49:37,14:50:29
-463,966,-74,14:49:37,14:50:29
-192,986,-228,14:49:37,14:50:29
39,969,-354,14:49:37,14:50:29
209,739,-237,14:49:37,14:50:29
273,674,-112,14:49:37,14:50:29
380,727,-49,14:49:37,14:50:29
486,886,-38,14:49:37,14:50:29
506,1213,12,14:49:37,14:50:29
438,1213,59,14:49:37,14:50:29
364,1098,75,14:49:37,14:50:29
312,951,29,14:49:37,14:50:29
315,748,-194,14:49:37,14:50:29
356,670,-288,14:49:37,14:50:29
395,607,-352,14:49:37,14:50:29
363,584,-506,14:49:37,14:50:29
284,629,-612,14:49:37,14:50:29
205,695,-697,14:49:37,14:50:29
168,748,-736,14:49:37,14:50:29
206,708,-751,14:49:37,14:50:29
207,665,-784,14:49:37,14:50:29
181,664,-822,14:49:37,14:50:29
106,802,-818,14:49:37,14:50:29
58,914,-767,14:49:37,14:50:29
-12,1023,-676,14:49:37,14:50:29
-112,1090,-530,14:49:37,14:50:29
-279,1113,-166,14:49:37,14:50:29
-258,1122,-51,14:49:37,14:50:29
-154,1104,-4,14:49:37,14:50:29
87,931,-41,14:49:37,14:50:29
122,898,-103,14:49:37,14:50:29
109,946,-170,14:49:37,14:50:29
109,999,-214,14:49:37,14:50:29
255,887,-260,14:49:37,14:50:29
348,794,-305,14:49:37,14:50:29
438,758,-338,14:49:37,14:50:29
662,857,-217,14:49:37,14:50:29
700,921,-106,14:49:37,14:50:29
580,956,-56,14:49:37,14:50:29
321,957,-100,14:49:37,14:50:29
-93,810,-268,14:49:37,14:50:29
-77,633,-299,14:49:37,14:50:29
14,455,-313,14:49:37,14:50:29
75,410,-398,14:49:37,14:50:29
59,521,-460,14:49:37,14:50:29
59,646,-516,14:49:37,14:50:29
70,778,-555,14:49:37,14:50:29
110,1097,-570,14:49:37,14:50:29
187,1225,-580,14:49:37,14:50:29
305,1270,-610,14:49:37,14:50:29
493,1132,-670,14:49:37,14:50:29
502,1034,-687,14:49:37,14:50:29
445,965,-712,14:49:37,14:50:29
307,937,-730,14:49:37,14:50:29
-256,1041,-587,14:49:37,14:50:29
-547,1145,-450,14:49:37,14:50:29
-672,1217,-349,14:49:37,14:50:29
-587,1212,-297,14:49:37,14:50:29
-217,1034,-171,14:49:37,14:50:29
