x,y,z,s,e
-715,0,-546,14:25:20,14:26:12
-716,118,-497,14:25:20,14:26:12
-744,239,-404,14:25:20,14:26:12
-770,349,-317,14:25:20,14:26:12
-781,443,-299,14:25:20,14:26:12
-770,540,-432,14:25:20,14:26:12
-753,520,-457,14:25:20,14:26:12
-732,468,-428,14:25:20,14:26:12
-713,419,-391,14:25:20,14:26:12
-706,396,-389,14:25:20,14:26:12
-720,391,-421,14:25:20,14:26:12
-752,377,-458,14:25:20,14:26:12
-790,281,-471,14:25:20,14:26:12
-844,223,-465,14:25:20,14:26:12
-854,175,-480,14:25:20,14:26:12
-849,140,-532,14:25:20,14:26:12
-826,126,-618,14:25:20,14:26:12
-794,143,-711,14:25:20,14:26:12
-778,182,-766,14:25:20,14:26:12
-799,213,-754,14:25:20,14:26:12
-896,144,-603,14:25:20,14:26:12
-927,82,-558,14:25:20,14:26:12
-951,46,-563,14:25:20,14:26:12
-970,34,-587,14:25:20,14:26:12
-962,21,-580,14:25:20,14:26:12
-918,-1,-519,14:25:20,14:26:12
-872,-9,-434,14:25:20,14:26:12
-864,101,-382,14:25:20,14:26:12
-844,171,-427,14:25:20,14:26:12
-800,191,-471,14:25:20,14:26:12
-789,159,-487,14:25:20,14:26:12
-855,124,-483,14:25:20,14:26:12
-959,122,-497,14:25:20,14:26:12
-1014,136,-560,14:25:20,14:26:12
-975,123,-656,14:25:20,14:26:12
-809,41,-684,14:25:20,14:26:12
-781,60,-576,14:25:20,14:26:12
-773,127,-465,14:25:20,14:26:12
-754,209,-402,14:25:20,14:26:12
-726,277,-383,14:25:20,14:26:12
-719,325,-390,14:25:20,14:26:12
-746,361,-431,14:25:20,14:26:12
-789,389,-503,14:25:20,14:26:12
-811,407,-555,14:25:20,14:26:12
-764,384,-413,14:25:20,14:26:12
-747,350,-322,14:25:20,14:26:12
-760,333,-328,14:25:20,14:26:12
-794,348,-410,14:25:20,14:26:12
-834,369,-478,14:25:20,14:26:12
-867,348,-472,14:25:20,14:26:12
-885,270,-417,14:25:20,14:26:12
-862,122,-402,14:25:20,14:26:12
-831,118,-456,14:25:20,14:26:12
-802,128,-510,14:25:20,14:26:12
-787,124,-558,14:25:20,14:26:12
-788,111,-608,14:25:20,14:26:12
-800,112,-659,14:25:20,14:26:12
-813,133,-695,14:25:20,14:26:12
-828,153,-699,14:25:20,14:26:12
-901,104,-614,14:25:20,14:26:12
-962,46,-570,14:25:20,14:26:12
-1006,14,-555,14:25:20,14:26:12
-995,25,-559,14:25:20,14:26:12
-928,54,-548,14:25:20,14:26:12
-855,56,-496,14:25:20,14:26:12
-839,16,-419,14:25:20,14:26:12
-899,-22,-348,14:25:20,14:26:12
-1048,48,-308,14:25:20,14:26:12
-1036,103,-336,14:25:20,14:26:12
-974,110,-382,14:25:20,14:26:12
-908,82,-421,14:25:20,14:26:12
-869,67,-445,14:25:20,14:26:12
-860,82,-480,14:25:20,14:26:12
-857,103,-551,14:25:20,14:26:12
-845,112,-631,14:25:20,14:26:12
-824,122,-593,14:25:20,14:26:12
-794,207,-504,14:25:20,14:26:12
-783,233,-451,14:25:20,14:26:12
-770,227,-441,14:25:20,14:26:12
-763,229,-439,14:25:20,14:26:12
-774,278,-435,14:25:20,14:26:12
-824,429,-477,14:25:20,14:26:12
-826,426,-468,14:25:20,14:26:12
-810,362,-398,14:25:20,14:26:12
