x,y,z,s,e
-826,374,-507,16:09:13,16:10:05
-892,338,-637,16:09:13,16:10:05
-980,334,-557,16:09:13,16:10:05
-1056,315,-312,16:09:13,16:10:05
-1074,278,-108,16:09:13,16:10:05
-1014,283,-99,16:09:13,16:10:05
-903,370,-233,16:09:13,16:10:05
-777,541,-377,16:09:13,16:10:05
-794,468,-358,16:09:13,16:10:05
-820,318,-354,16:09:13,16:10:05
-838,190,-369,16:09:13,16:10:05
-868,151,-383,16:09:13,16:10:05
-915,186,-387,16:09:13,16:10:05
-952,229,-373,16:09:13,16:10:05
-906,172,-256,16:09:13,16:10:05
-868,134,-211,16:09:13,16:10:05
-848,155,-233,16:09:13,16:10:05
-820,240,-305,16:09:13,16:10:05
-761,357,-361,16:09:13,16:10:05
-699,454,-357,16:09:13,16:10:05
-693,490,-301,16:09:13,16:10:05
-779,450,-237,16:09:13,16:10:05
-1036,248,-171,16:09:13,16:10:05
-1059,171,-147,16:09:13,16:10:05
-1012,147,-109,16:09:13,16:10:05
-989,174,-70,16:09:13,16:10:05
-1055,234,-60,16:09:13,16:10:05
-1183,296,-97,16:09:13,16:10:05
-1299,270,-104,16:09:13,16:10:05
-1242,187,27,16:09:13,16:10:05
-1159,138,162,16:09:13,16:10:05
-1084,156,171,16:09:13,16:10:05
-1031,195,41,16:09:13,16:10:05
-1010,183,-111,16:09:13,16:10:05
-1026,107,-175,16:09:13,16:10:05
-1085,-29,-135,16:09:13,16:10:05
-1072,-16,-151,16:09:13,16:10:05
-1032,43,-169,16:09:13,16:10:05
-996,126,-151,16:09:13,16:10:05
-984,213,-116,16:09:13,16:10:05
-998,285,-115,16:09:13,16:10:05
-1025,326,-152,16:09:13,16:10:05
-1054,339,-153,16:09:13,16:10:05
-1037,361,-95,16:09:13,16:10:05
-1012,397,-63,16:09:13,16:10:05
-1002,409,-97,16:09:13,16:10:05
-1015,360,-194,16:09:13,16:10:05
-1033,263,-308,16:09:13,16:10:05
-1027,186,-379,16:09:13,16:10:05
-926,258,-302,16:09:13,16:10:05
-875,331,-236,16:09:13,16:10:05
-832,355,-222,16:09:13,16:10:05
-779,340,-255,16:09:13,16:10:05
-720,327,-289,16:09:13,16:10:05
-681,345,-300,16:09:13,16:10:05
-674,386,-295,16:09:13,16:10:05
-668,430,-281,16:09:13,16:10:05
-565,463,-207,16:09:13,16:10:05
-536,473,-174,16:09:13,16:10:05
-583,511,-181,16:09:13,16:10:05
-688,572,-222,16:09:13,16:10:05
-812,610,-260,16:09:13,16:10:05
-932,577,-263,16:09:13,16:10:05
-1111,337,-175,16:09:13,16:10:05
-1108,236,-111,16:09:13,16:10:05
-1028,195,-52,16:09:13,16:10:05
-934,199,-11,16:09:13,16:10:05
-910,208,-1,16:09:13,16:10:05
-987,191,-24,16:09:13,16:10:05
-1119,139,-69,16:09:13,16:10:05
-1266,1,-103,16:09:13,16:10:05
-1239,-51,-63,16:09:13,16:10:05
-1175,-73,-34,16:09:13,16:10:05
-1104,-56,-55,16:09:13,16:10:05
-1052,-13,-113,16:09:13,16:10:05
-1033,25,-165,16:09:13,16:10:05
-1041,51,-196,16:09:13,16:10:05
-1059,130,-286,16:09:13,16:10:05
-1054,182,-319,16:09:13,16:10:05
-1060,224,-278,16:09:13,16:10:05
-1076,271,-163,16:09:13,16:10:05
-1068,339,-34,16:09:13,16:10:05
-1001,413,28,16:09:13,16:10:05
-891,451,-20,16:09:13,16:10:05
-794,404,-361,16:09:13,16:10:05
-859,389,-502,16:09:13,16:10:05
-951,369,-545,16:09:13,16:10:05
-1019,294,-509,16:09:13,16:10:05
-1044,174,-456,16:09:13,16:10:05
-1021,54,-419,16:09:13,16:10:05
-1019,65,-433,16:09:13,16:10:05
-1014,70,-468,16:09:13,16:10:05
-972,73,-504,16:09:13,16:10:05
-886,89,-510,16:09:13,16:10:05
-805,102,-472,16:09:13,16:10:05
-846,96,-502,16:09:13,16:10:05
-845,103,-548,16:09:13,16:10:05
-755,121,-558,16:09:13,16:10:05
-549,218,-454,16:09:13,16:10:05
-531,336,-392,16:09:13,16:10:05
-546,463,-332,16:09:13,16:10:05
-735,485,-257,16:09:13,16:10:05
-951,400,-290,16:09:13,16:10:05
-1164,344,-350,16:09:13,16:10:05
-1191,368,-296,16:09:13,16:10:05
-1060,375,-167,16:09:13,16:10:05
-1008,341,-59,16:09:13,16:10:05
-1086,274,-20,16:09:13,16:10:05
-1257,126,-12,16:09:13,16:10:05
-1195,63,27,16:09:13,16:10:05
-1100,7,62,16:09:13,16:10:05
-1055,-33,50,16:09:13,16:10:05
-1090,-16,-66,16:09:13,16:10:05
-1070,50,-81,16:09:13,16:10:05
-1013,129,-60,16:09:13,16:10:05
-940,161,-80,16:09:13,16:10:05
-980,112,-150,16:09:13,16:10:05
-1060,98,-225,16:09:13,16:10:05
-1137,145,-259,16:09:13,16:10:05
-1144,232,-64,16:09:13,16:10:05
-1088,245,97,16:09:13,16:10:05
-1035,305,167,16:09:13,16:10:05
-971,514,-31,16:09:13,16:10:05
-954,533,-149,16:09:13,16:10:05
-957,474,-222,16:09:13,16:10:05
-988,373,-271,16:09:13,16:10:05
-1077,137,-297,16:09:13,16:10:05
-1087,27,-252,16:09:13,16:10:05
-1068,-29,-196,16:09:13,16:10:05
-1034,13,-164,16:09:13,16:10:05
-931,349,-221,16:09:13,16:10:05
-852,476,-283,16:09:13,16:10:05
-770,485,-333,16:09:13,16:10:05
-649,338,-368,16:09:13,16:10:05
-603,343,-363,16:09:13,16:10:05
-567,425,-346,16:09:13,16:10:05
-557,538,-319,16:09:13,16:10:05
-629,697,-248,16:09:13,16:10:05
-700,698,-202,16:09:13,16:10:05
-796,627,-151,16:09:13,16:10:05
-1026,368,-100,16:09:13,16:10:05
-1102,288,-126,16:09:13,16:10:05
-1127,273,-162,16:09:13,16:10:05
-1122,288,-164,16:09:13,16:10:05
-1142,250,-24,16:09:13,16:10:05
-1165,184,25,16:09:13,16:10:05
-1168,103,8,16:09:13,16:10:05
-1133,-64,-113,16:09:13,16:10:05
-1125,-126,-144,16:09:13,16:10:05
-1129,-151,-157,16:09:13,16:10:05
-1136,-127,-179,16:09:13,16:10:05
-1077,22,-266,16:09:13,16:10:05
-999,92,-270,16:09:13,16:10:05
-926,159,-223,16:09:13,16:10:05
-897,346,-126,16:09:13,16:10:05
-910,406,-151,16:09:13,16:10:05
-914,389,-211,16:09:13,16:10:05
-927,342,-268,16:09:13,16:10:05
-1073,458,-242,16:09:13,16:10:05
-1163,521,-169,16:09:13,16:10:05
-1198,430,-142,16:09:13,16:10:05
-1097,99,-318,16:09:13,16:10:05
-1043,129,-390,16:09:13,16:10:05
-1017,232,-411,16:09:13,16:10:05
-997,266,-441,16:09:13,16:10:05
-876,137,-590,16:09:13,16:10:05
-795,99,-609,16:09:13,16:10:05
-747,84,-569,16:09:13,16:10:05
-744,72,-531,16:09:13,16:10:05
-732,133,-613,16:09:13,16:10:05
-660,200,-661,16:09:13,16:10:05
-582,225,-639,16:09:13,16:10:05
-556,166,-455,16:09:13,16:10:05
-569,213,-381,16:09:13,16:10:05
-560,327,-331,16:09:13,16:10:05
-541,418,-281,16:09:13,16:10:05
-620,298,-139,16:09:13,16:10:05
-813,181,-95,16:09:13,16:10:05
-1107,129,-123,16:09:13,16:10:05
-1350,150,-219,16:09:13,16:10:05
-1155,255,-333,16:09:13,16:10:05
-957,294,-233,16:09:13,16:10:05
-980,323,-70,16:09:13,16:10:05
-1301,275,135,16:09:13,16:10:05
-1254,177,131,16:09:13,16:10:05
-1126,72,83,16:09:13,16:10:05
-1066,0,20,16:09:13,16:10:05
-1149,-22,-86,16:09:13,16:10:05
-1144,14,-113,16:09:13,16:10:05
-1094,83,-123,16:09:13,16:10:05
-999,227,-77,16:09:13,16:10:05
-962,277,-27,16:09:13,16:10:05
-920,340,20,16:09:13,16:10:05
-885,433,45,16:09:13,16:10:05
-873,599,-19,16:09:13,16:10:05
-900,573,-82,16:09:13,16:10:05
-959,475,-119,16:09:13,16:10:05
-1062,374,-96,16:09:13,16:10:05
-1284,249,68,16:09:13,16:10:05
-1302,143,54,16:09:13,16:10:05
-1252,38,-70,16:09:13,16:10:05
-1154,119,-316,16:09:13,16:10:05
-1118,225,-338,16:09:13,16:10:05
-1050,259,-346,16:09:13,16:10:05
-961,229,-369,16:09:13,16:10:05
-858,219,-448,16:09:13,16:10:05
-823,291,-493,16:09:13,16:10:05
-751,371,-501,16:09:13,16:10:05
-625,349,-364,16:09:13,16:10:05
-668,296,-310,16:09:13,16:10:05
-740,332,-293,16:09:13,16:10:05
-745,482,-260,16:09:13,16:10:05
-561,761,-85,16:09:13,16:10:05
-595,723,-48,16:09:13,16:10:05
-803,581,-69,16:09:13,16:10:05
-1077,402,-98,16:09:13,16:10:05
-1240,152,-84,16:09:13,16:10:05
-1142,133,-87,16:09:13,16:10:05
-1091,164,-115,16:09:13,16:10:05
