x,y,z,s,e
-1133,348,-153,15:52:13,15:53:04
-1197,332,-254,15:52:13,15:53:04
-1269,135,-217,15:52:13,15:53:04
-1190,122,-57,15:52:13,15:53:04
-1024,263,81,15:52:13,15:53:04
-845,480,127,15:52:13,15:53:04
-738,624,122,15:53:10,15:54:02
-734,604,163,15:53:10,15:54:02
-802,403,271,15:53:10,15:54:02
-970,-265,268,15:53:10,15:54:02
-1013,-357,67,15:53:10,15:54:02
-1019,-64,-141,15:53:10,15:54:02
-997,440,-278,15:53:10,15:54:02
-918,784,-403,15:53:10,15:54:02
-880,578,-422,15:53:10,15:54:02
-850,436,-391,15:53:10,15:54:02
-822,454,-328,15:53:10,15:54:02
-727,637,-238,15:53:10,15:54:02
-671,657,-211,15:53:10,15:54:02
-625,634,-172,15:53:10,15:54:02
-586,612,-119,15:53:10,15:54:02
-532,663,-19,15:53:10,15:54:02
-548,687,15,15:53:10,15:54:02
-609,659,40,15:53:10,15:54:02
-806,551,3,15:53:10,15:54:02
-908,539,-99,15:53:10,15:54:02
-1022,504,-260,15:53:10,15:54:02
-1152,380,-430,15:53:10,15:54:02
-1278,26,-433,15:53:10,15:54:02
-1196,30,-177,15:53:10,15:54:02
-1074,198,127,15:53:10,15:54:02
-995,403,326,15:53:10,15:54:02
-995,478,333,15:53:10,15:54:02
-985,415,293,15:53:10,15:54:02
-946,418,237,15:53:10,15:54:02
-902,495,106,15:53:10,15:54:02
-825,558,-166,15:53:10,15:54:02
-788,456,-95,15:53:10,15:54:02
-756,338,66,15:53:10,15:54:02
-719,311,156,15:53:10,15:54:02
-582,534,0,15:53:10,15:54:02
-532,576,-31,15:53:10,15:54:02
-540,507,25,15:53:10,15:54:02
-673,478,78,15:53:10,15:54:02
-768,594,33,15:53:10,15:54:02
-897,658,-6,15:53:10,15:54:02
-1061,592,-55,15:53:10,15:54:02
-1319,226,-387,15:53:10,15:54:02
-1312,27,-624,15:53:10,15:54:02
-1224,-116,-748,15:53:10,15:54:02
-1125,-111,-657,15:53:10,15:54:02
-1026,419,-59,15:53:10,15:54:02
-950,671,145,15:53:10,15:54:02
-834,724,218,15:53:10,15:54:02
-755,618,265,15:53:10,15:54:02
-994,407,458,15:53:10,15:54:02
-1220,388,366,15:53:10,15:54:02
-1336,427,19,15:53:10,15:54:02
-1257,550,-442,15:53:10,15:54:02
-745,866,-759,15:53:10,15:54:02
-503,838,-517,15:53:10,15:54:02
-308,700,-241,15:53:10,15:54:02
-30,631,-40,15:53:10,15:54:02
-29,692,-4,15:53:10,15:54:02
-185,671,79,15:53:10,15:54:02
-495,575,151,15:53:10,15:54:02
-1340,525,-56,15:53:10,15:54:02
-1638,530,-305,15:53:10,15:54:02
-1680,425,-534,15:53:10,15:54:02
-1466,253,-662,15:53:10,15:54:02
-961,214,-371,15:53:10,15:54:02
-938,310,62,15:53:10,15:54:02
-985,309,527,15:53:10,15:54:02
-985,229,786,15:53:10,15:54:02
-907,562,257,15:53:10,15:54:02
-929,911,-180,15:53:10,15:54:02
-948,976,-388,15:53:10,15:54:02
-906,699,-370,15:53:10,15:54:02
-687,458,-371,15:53:10,15:54:02
-615,683,-432,15:53:10,15:54:02
-603,777,-388,15:53:10,15:54:02
-650,529,-146,15:53:10,15:54:02
-658,562,-123,15:53:10,15:54:02
-666,688,-130,15:53:10,15:54:02
-689,750,-100,15:53:10,15:54:02
-763,641,15,15:53:10,15:54:02
-798,621,29,15:53:10,15:54:02
-819,630,29,15:53:10,15:54:02
-816,616,44,15:53:10,15:54:02
-751,514,77,15:53:10,15:54:02
-734,504,56,15:53:10,15:54:02
-739,540,22,15:53:10,15:54:02
-742,589,0,15:53:10,15:54:02
-703,566,25,15:53:10,15:54:02
-709,490,37,15:53:10,15:54:02
-758,424,20,15:53:10,15:54:02
-835,403,-35,15:53:10,15:54:02
-988,392,-243,15:53:10,15:54:02
-1068,313,-334,15:53:10,15:54:02
-1162,210,-335,15:53:10,15:54:02
-1243,163,-214,15:53:10,15:54:02
-1162,348,115,15:53:10,15:54:02
-1021,465,164,15:53:10,15:54:02
-931,499,193,15:53:10,15:54:02
-1034,303,484,15:53:10,15:54:02
-1126,196,531,15:53:10,15:54:02
-1167,222,315,15:53:10,15:54:02
-1130,405,-53,15:53:10,15:54:02
-903,647,-233,15:53:10,15:54:02
-816,539,-25,15:53:10,15:54:02
-769,485,81,15:53:10,15:54:02
-717,599,15,15:53:10,15:54:02
-639,733,-72,15:53:10,15:54:02
-511,496,95,15:53:10,15:54:02
