x,y,z,s,e
795,99,598,18:39:42,18:40:34
800,67,609,18:39:42,18:40:34
825,17,615,18:39:42,18:40:34
885,-71,596,18:39:42,18:40:34
915,-100,587,18:39:42,18:40:34
939,-100,593,18:39:42,18:40:34
905,74,664,18:39:42,18:40:34
804,264,633,18:39:42,18:40:34
645,494,455,18:39:42,18:40:34
478,682,156,18:39:42,18:40:34
414,563,-187,18:39:42,18:40:34
589,316,-52,18:39:42,18:40:34
862,151,162,18:39:42,18:40:34
1160,148,317,18:39:42,18:40:34
1520,311,388,18:39:42,18:40:34
1497,365,401,18:39:42,18:40:34
1361,437,395,18:39:42,18:40:34
1178,521,324,18:39:42,18:40:34
882,589,59,18:39:42,18:40:34
789,593,0,18:39:42,18:40:34
720,576,25,18:39:42,18:40:34
686,494,93,18:39:42,18:40:34
767,272,204,18:39:42,18:40:34
848,287,270,18:39:42,18:40:34
914,360,366,18:39:42,18:40:34
959,391,464,18:39:42,18:40:34
1038,285,494,18:39:42,18:40:34
1052,288,417,18:39:42,18:40:34
1011,345,331,18:39:42,18:40:34
920,381,287,18:39:42,18:40:34
814,229,454,18:39:42,18:40:34
881,140,635,18:39:42,18:40:34
978,129,772,18:39:42,18:40:34
981,276,635,18:39:42,18:40:34
901,297,472,18:39:42,18:40:34
859,237,405,18:39:42,18:40:34
884,149,449,18:39:42,18:40:34
1031,144,499,18:39:42,18:40:34
1121,222,435,18:39:42,18:40:34
1214,324,376,18:39:42,18:40:34
1272,453,330,18:39:42,18:40:34
1143,645,126,18:39:42,18:40:34
1022,597,-4,18:39:42,18:40:34
947,502,-87,18:39:42,18:40:34
925,471,-127,18:39:42,18:40:34
842,577,-174,18:39:42,18:40:34
751,506,-136,18:39:42,18:40:34
696,325,-8,18:39:42,18:40:34
734,183,175,18:39:42,18:40:34
1030,444,416,18:39:42,18:40:34
1155,656,434,18:39:42,18:40:34
1198,684,448,18:39:42,18:40:34
1157,506,487,18:39:42,18:40:34
919,70,508,18:39:42,18:40:34
817,0,464,18:39:42,18:40:34
806,10,461,18:39:42,18:40:34
986,34,694,18:39:42,18:40:34
1006,0,779,18:39:42,18:40:34
948,-8,715,18:39:42,18:40:34
907,74,526,18:39:42,18:40:34
1110,345,304,18:39:42,18:40:34
1247,351,381,18:39:42,18:40:34
1310,326,442,18:39:42,18:40:34
1293,401,378,18:39:42,18:40:34
1112,662,100,18:39:42,18:40:34
1008,594,72,18:39:42,18:40:34
933,456,94,18:39:42,18:40:34
859,475,79,18:39:42,18:40:34
828,522,79,18:39:42,18:40:34
801,453,129,18:39:42,18:40:34
795,340,205,18:39:42,18:40:34
898,479,262,18:39:42,18:40:34
1005,629,246,18:39:42,18:40:34
1118,630,251,18:39:42,18:40:34
1177,480,295,18:39:42,18:40:34
983,261,407,18:39:42,18:40:34
820,275,442,18:39:42,18:40:34
748,259,476,18:39:42,18:40:34
809,186,509,18:39:42,18:40:34
1066,239,483,18:39:42,18:40:34
1110,395,420,18:39:42,18:40:34
1079,451,361,18:39:42,18:40:34
1022,334,323,18:39:42,18:40:34
1037,150,305,18:39:42,18:40:34
1128,282,327,18:39:42,18:40:34
1218,400,365,18:39:42,18:40:34
1261,372,389,18:39:42,18:40:34
1220,265,265,18:39:42,18:40:34
1176,419,155,18:39:42,18:40:34
1115,585,92,18:39:42,18:40:34
1025,603,93,18:39:42,18:40:34
811,332,145,18:39:42,18:40:34
760,240,162,18:39:42,18:40:34
774,174,197,18:39:42,18:40:34
832,126,257,18:39:42,18:40:34
894,159,318,18:39:42,18:40:34
1005,443,359,18:39:42,18:40:34
1103,495,355,18:39:42,18:40:34
1228,436,364,18:39:42,18:40:34
1318,308,393,18:39:42,18:40:34
1185,-103,475,18:39:42,18:40:34
994,-311,504,18:39:42,18:40:34
818,-391,521,18:39:42,18:40:34
726,-318,532,18:39:42,18:40:34
859,-47,542,18:39:42,18:40:34
999,35,538,18:39:42,18:40:34
1096,91,525,18:39:42,18:40:34
1119,111,501,18:39:42,18:40:34
1102,9,444,18:39:42,18:40:34
1148,-12,432,18:39:42,18:40:34
1212,70,416,18:39:42,18:40:34
1242,245,363,18:39:42,18:40:34
1150,539,148,18:39:42,18:40:34
1076,558,74,18:39:42,18:40:34
1012,526,54,18:39:42,18:40:34
954,496,64,18:39:42,18:40:34
829,386,114,18:39:42,18:40:34
797,225,197,18:39:42,18:40:34
814,77,310,18:39:42,18:40:34
868,94,389,18:39:42,18:40:34
1005,542,327,18:39:42,18:40:34
1088,576,297,18:39:42,18:40:34
1175,384,345,18:39:42,18:40:34
1218,147,430,18:39:42,18:40:34
1165,26,466,18:39:42,18:40:34
1015,-3,417,18:39:42,18:40:34
776,-95,310,18:39:42,18:40:34
838,-103,367,18:39:42,18:40:34
981,-41,450,18:39:42,18:40:34
1090,42,476,18:39:42,18:40:34
1015,221,335,18:39:42,18:40:34
942,311,287,18:39:42,18:40:34
925,299,292,18:39:42,18:40:34
950,140,321,18:39:42,18:40:34
987,-65,345,18:39:42,18:40:34
1105,-104,390,18:39:42,18:40:34
1187,18,414,18:39:42,18:40:34
1247,109,415,18:39:42,18:40:34
1261,170,384,18:39:42,18:40:34
1234,250,331,18:39:42,18:40:34
1141,458,213,18:39:42,18:40:34
1084,506,175,18:39:42,18:40:34
998,492,179,18:39:42,18:40:34
890,419,230,18:39:42,18:40:34
786,262,311,18:39:42,18:40:34
835,312,292,18:39:42,18:40:34
914,432,275,18:39:42,18:40:34
992,512,299,18:39:42,18:40:34
1070,480,354,18:39:42,18:40:34
1196,217,449,18:39:42,18:40:34
1172,63,477,18:39:42,18:40:34
1069,-94,484,18:39:42,18:40:34
936,-195,449,18:39:42,18:40:34
848,-140,370,18:39:42,18:40:34
951,330,224,18:39:42,18:40:34
1071,432,223,18:39:42,18:40:34
1142,308,268,18:39:42,18:40:34
1136,57,331,18:39:42,18:40:34
1059,-189,393,18:39:42,18:40:34
1088,-103,374,18:39:42,18:40:34
1156,3,348,18:39:42,18:40:34
1260,70,343,18:39:42,18:40:34
1280,124,334,18:39:42,18:40:34
1285,261,286,18:39:42,18:40:34
1260,432,207,18:39:42,18:40:34
1086,524,101,18:39:42,18:40:34
983,430,115,18:39:42,18:40:34
902,329,161,18:39:42,18:40:34
844,246,217,18:39:42,18:40:34
809,171,268,18:39:42,18:40:34
870,198,345,18:39:42,18:40:34
969,340,375,18:39:42,18:40:34
1080,439,391,18:39:42,18:40:34
1176,405,393,18:39:42,18:40:34
1238,170,393,18:39:42,18:40:34
1172,64,397,18:39:42,18:40:34
1052,-79,388,18:39:42,18:40:34
932,-224,366,18:39:42,18:40:34
880,-250,348,18:39:42,18:40:34
1025,109,363,18:39:42,18:40:34
1119,199,377,18:39:42,18:40:34
1153,83,388,18:39:42,18:40:34
1130,-148,405,18:39:42,18:40:34
1137,-322,452,18:39:42,18:40:34
1211,-217,454,18:39:42,18:40:34
1278,-133,431,18:39:42,18:40:34
1306,-116,387,18:39:42,18:40:34
1312,-84,325,18:39:42,18:40:34
1314,265,174,18:39:42,18:40:34
1258,446,117,18:39:42,18:40:34
1134,504,98,18:39:42,18:40:34
983,437,125,18:39:42,18:40:34
872,308,190,18:39:42,18:40:34
875,187,334,18:39:42,18:40:34
937,292,373,18:39:42,18:40:34
1011,453,390,18:39:42,18:40:34
1114,543,403,18:39:42,18:40:34
1233,466,421,18:39:42,18:40:34
1280,-45,442,18:39:42,18:40:34
1157,-277,424,18:39:42,18:40:34
1012,-398,398,18:39:42,18:40:34
906,-389,378,18:39:42,18:40:34
846,-274,353,18:39:42,18:40:34
828,-2,277,18:39:42,18:40:34
897,66,272,18:39:42,18:40:34
1006,108,313,18:39:42,18:40:34
1102,124,378,18:39:42,18:40:34
1133,-49,461,18:39:42,18:40:34
1130,-180,478,18:39:42,18:40:34
