x,y,z,s,e
560,141,769,17:37:26,17:38:18
582,53,767,17:37:26,17:38:18
610,-55,779,17:37:26,17:38:18
589,-193,867,17:37:26,17:38:18
569,-194,876,17:37:26,17:38:18
578,-197,854,17:37:26,17:38:18
613,-234,834,17:37:26,17:38:18
672,-377,849,17:37:26,17:38:18
672,-400,835,17:37:26,17:38:18
646,-308,781,17:37:26,17:38:18
598,-107,714,17:37:26,17:38:18
520,77,768,17:37:26,17:38:18
501,-59,889,17:37:26,17:38:18
469,-134,960,17:37:26,17:38:18
429,-4,923,17:37:26,17:38:18
460,484,775,17:37:26,17:38:18
550,584,783,17:37:26,17:38:18
641,570,804,17:37:26,17:38:18
657,390,779,17:37:26,17:38:18
601,331,773,17:37:26,17:38:18
566,320,771,17:37:26,17:38:18
570,312,755,17:37:26,17:38:18
604,267,684,17:37:26,17:38:18
624,321,642,17:37:26,17:38:18
669,447,593,17:37:26,17:38:18
729,582,542,17:37:26,17:38:18
783,676,456,17:37:26,17:38:18
777,683,415,17:37:26,17:38:18
779,713,377,17:37:26,17:38:18
791,726,374,17:37:26,17:38:18
773,553,531,17:37:26,17:38:18
745,496,606,17:37:26,17:38:18
722,550,618,17:37:26,17:38:18
706,642,599,17:37:26,17:38:18
665,502,699,17:37:26,17:38:18
631,305,793,17:37:26,17:38:18
593,150,846,17:37:26,17:38:18
554,-34,824,17:37:26,17:38:18
567,-145,802,17:37:26,17:38:18
587,-249,792,17:37:26,17:38:18
594,-309,794,17:37:26,17:38:18
559,-323,837,17:37:26,17:38:18
546,-335,862,17:37:26,17:38:18
559,-368,868,17:37:26,17:38:18
599,-415,846,17:37:26,17:38:18
676,-496,772,17:37:26,17:38:18
666,-537,752,17:37:26,17:38:18
625,-571,746,17:37:26,17:38:18
587,-530,742,17:37:26,17:38:18
604,-153,695,17:37:26,17:38:18
613,-45,688,17:37:26,17:38:18
584,-95,728,17:37:26,17:38:18
535,-175,834,17:37:26,17:38:18
507,-48,823,17:37:26,17:38:18
513,-36,800,17:37:26,17:38:18
500,-120,812,17:37:26,17:38:18
509,189,851,17:37:26,17:38:18
577,589,797,17:37:26,17:38:18
654,776,727,17:37:26,17:38:18
696,624,697,17:37:26,17:38:18
676,212,717,17:37:26,17:38:18
672,280,684,17:37:26,17:38:18
686,393,614,17:37:26,17:38:18
705,441,546,17:37:26,17:38:18
747,517,519,17:37:26,17:38:18
775,595,517,17:37:26,17:38:18
801,630,479,17:37:26,17:38:18
815,621,414,17:37:26,17:38:18
824,637,360,17:37:26,17:38:18
865,793,368,17:37:26,17:38:18
881,743,410,17:37:26,17:38:18
869,562,457,17:37:26,17:38:18
829,395,489,17:37:26,17:38:18
784,387,486,17:37:26,17:38:18
751,516,453,17:37:26,17:38:18
704,551,503,17:37:26,17:38:18
672,364,618,17:37:26,17:38:18
654,176,719,17:37:26,17:38:18
665,54,756,17:37:26,17:38:18
687,-35,748,17:37:26,17:38:18
693,-136,748,17:37:26,17:38:18
661,-284,803,17:37:26,17:38:18
665,-301,802,17:37:26,17:38:18
676,-339,781,17:37:26,17:38:18
667,-422,771,17:37:26,17:38:18
623,-566,774,17:37:26,17:38:18
637,-584,739,17:37:26,17:38:18
666,-599,682,17:37:26,17:38:18
678,-634,630,17:37:26,17:38:18
669,-675,599,17:37:26,17:38:18
656,-674,593,17:37:26,17:38:18
642,-404,606,17:37:26,17:38:18
623,-210,604,17:37:26,17:38:18
601,-109,616,17:37:26,17:38:18
571,-222,769,17:37:26,17:38:18
556,-197,836,17:37:26,17:38:18
555,-12,824,17:37:26,17:38:18
593,231,757,17:37:26,17:38:18
673,382,704,17:37:26,17:38:18
757,394,695,17:37:26,17:38:18
799,333,688,17:37:26,17:38:18
774,328,651,17:37:26,17:38:18
752,284,616,17:37:26,17:38:18
744,215,597,17:37:26,17:38:18
755,192,586,17:37:26,17:38:18
846,371,566,17:37:26,17:38:18
874,458,581,17:37:26,17:38:18
843,484,629,17:37:26,17:38:18
779,498,683,17:37:26,17:38:18
790,721,631,17:37:26,17:38:18
850,830,533,17:37:26,17:38:18
857,781,465,17:37:26,17:38:18
750,346,482,17:37:26,17:38:18
728,213,503,17:37:26,17:38:18
709,181,518,17:37:26,17:38:18
659,165,554,17:37:26,17:38:18
593,-52,730,17:37:26,17:38:18
647,-197,832,17:37:26,17:38:18
699,-281,903,17:37:26,17:38:18
688,-300,927,17:37:26,17:38:18
600,-379,839,17:37:26,17:38:18
625,-458,778,17:37:26,17:38:18
658,-494,748,17:37:26,17:38:18
598,-464,780,17:37:26,17:38:18
573,-473,779,17:37:26,17:38:18
596,-494,753,17:37:26,17:38:18
630,-501,728,17:37:26,17:38:18
582,-536,715,17:37:26,17:38:18
535,-593,692,17:37:26,17:38:18
519,-612,658,17:37:26,17:38:18
533,-531,647,17:37:26,17:38:18
550,-260,748,17:37:26,17:38:18
521,-254,818,17:37:26,17:38:18
481,-312,868,17:37:26,17:38:18
455,-294,892,17:37:26,17:38:18
497,204,856,17:37:26,17:38:18
559,493,796,17:37:26,17:38:18
638,635,720,17:37:26,17:38:18
724,616,647,17:37:26,17:38:18
818,421,568,17:37:26,17:38:18
796,378,563,17:37:26,17:38:18
760,376,561,17:37:26,17:38:18
781,437,516,17:37:26,17:38:18
828,497,480,17:37:26,17:38:18
851,565,470,17:37:26,17:38:18
825,611,508,17:37:26,17:38:18
732,654,635,17:37:26,17:38:18
755,694,618,17:37:26,17:38:18
820,706,535,17:37:26,17:38:18
864,630,447,17:37:26,17:38:18
789,301,431,17:37:26,17:38:18
729,211,484,17:37:26,17:38:18
690,209,542,17:37:26,17:38:18
669,231,604,17:37:26,17:38:18
648,81,766,17:37:26,17:38:18
642,-87,841,17:37:26,17:38:18
636,-238,883,17:37:26,17:38:18
623,-323,873,17:37:26,17:38:18
619,-298,836,17:37:26,17:38:18
620,-290,784,17:37:26,17:38:18
631,-320,737,17:37:26,17:38:18
659,-438,755,17:37:26,17:38:18
656,-479,802,17:37:26,17:38:18
642,-510,824,17:37:26,17:38:18
627,-553,801,17:37:26,17:38:18
598,-711,703,17:37:26,17:38:18
571,-749,682,17:37:26,17:38:18
542,-671,686,17:37:26,17:38:18
529,-301,692,17:37:26,17:38:18
539,-246,695,17:37:26,17:38:18
537,-321,722,17:37:26,17:38:18
524,-410,767,17:37:26,17:38:18
530,-267,803,17:37:26,17:38:18
550,-55,794,17:37:26,17:38:18
576,179,794,17:37:26,17:38:18
618,374,790,17:37:26,17:38:18
768,462,665,17:37:26,17:38:18
824,379,603,17:37:26,17:38:18
826,291,600,17:37:26,17:38:18
787,243,629,17:37:26,17:38:18
755,277,564,17:37:26,17:38:18
792,330,503,17:37:26,17:38:18
830,395,490,17:37:26,17:38:18
841,461,526,17:37:26,17:38:18
799,604,589,17:37:26,17:38:18
799,688,570,17:37:26,17:38:18
829,723,530,17:37:26,17:38:18
867,486,484,17:37:26,17:38:18
838,329,497,17:37:26,17:38:18
796,259,521,17:37:26,17:38:18
761,274,554,17:37:26,17:38:18
721,279,664,17:37:26,17:38:18
703,175,745,17:37:26,17:38:18
678,25,822,17:37:26,17:38:18
612,-204,845,17:37:26,17:38:18
605,-253,788,17:37:26,17:38:18
622,-277,732,17:37:26,17:38:18
638,-289,707,17:37:26,17:38:18
607,-308,733,17:37:26,17:38:18
600,-312,749,17:37:26,17:38:18
623,-314,759,17:37:26,17:38:18
664,-338,763,17:37:26,17:38:18
697,-484,748,17:37:26,17:38:18
671,-551,728,17:37:26,17:38:18
631,-575,704,17:37:26,17:38:18
595,-546,681,17:37:26,17:38:18
569,-358,673,17:37:26,17:38:18
573,-296,698,17:37:26,17:38:18
573,-322,734,17:37:26,17:38:18
559,-383,770,17:37:26,17:38:18
536,-217,820,17:37:26,17:38:18
566,-33,830,17:37:26,17:38:18
615,71,826,17:37:26,17:38:18
687,145,751,17:37:26,17:38:18
711,269,682,17:37:26,17:38:18
742,411,612,17:37:26,17:38:18
773,475,565,17:37:26,17:38:18
802,406,575,17:37:26,17:38:18
806,407,587,17:37:26,17:38:18
809,451,569,17:37:26,17:38:18
814,501,534,17:37:26,17:38:18
830,525,542,17:37:26,17:38:18
830,516,592,17:37:26,17:38:18
820,519,623,17:37:26,17:38:18
808,540,610,17:37:26,17:38:18
794,539,541,17:37:26,17:38:18
783,465,534,17:37:26,17:38:18
773,346,521,17:37:26,17:38:18
767,214,494,17:37:26,17:38:18
721,132,554,17:37:26,17:38:18
663,215,684,17:37:26,17:38:18
612,273,808,17:37:26,17:38:18
631,38,843,17:37:26,17:38:18
672,-145,807,17:37:26,17:38:18
684,-266,795,17:37:26,17:38:18
652,-326,804,17:37:26,17:38:18
557,-377,786,17:37:26,17:38:18
548,-387,760,17:37:26,17:38:18
564,-406,754,17:37:26,17:38:18
582,-450,781,17:37:26,17:38:18
574,-571,870,17:37:26,17:38:18
562,-604,880,17:37:26,17:38:18
557,-633,850,17:37:26,17:38:18
551,-664,804,17:37:26,17:38:18
520,-546,760,17:37:26,17:38:18
524,-395,750,17:37:26,17:38:18
547,-312,729,17:37:26,17:38:18
554,-424,737,17:37:26,17:38:18
535,-434,772,17:37:26,17:38:18
528,-364,784,17:37:26,17:38:18
532,-253,767,17:37:26,17:38:18
554,135,751,17:37:26,17:38:18
607,388,737,17:37:26,17:38:18
701,537,686,17:37:26,17:38:18
795,518,628,17:37:26,17:38:18
821,297,638,17:37:26,17:38:18
780,260,661,17:37:26,17:38:18
758,251,645,17:37:26,17:38:18
764,229,606,17:37:26,17:38:18
799,246,565,17:37:26,17:38:18
813,347,550,17:37:26,17:38:18
825,480,527,17:37:26,17:38:18
830,581,518,17:37:26,17:38:18
801,580,574,17:37:26,17:38:18
784,540,599,17:37:26,17:38:18
777,515,590,17:37:26,17:38:18
788,386,515,17:37:26,17:38:18
782,267,505,17:37:26,17:38:18
761,185,531,17:37:26,17:38:18
731,181,585,17:37:26,17:38:18
681,230,708,17:37:26,17:38:18
671,172,756,17:37:26,17:38:18
669,66,781,17:37:26,17:38:18
674,-43,772,17:37:26,17:38:18
699,-230,717,17:37:26,17:38:18
683,-308,738,17:37:26,17:38:18
638,-357,787,17:37:26,17:38:18
596,-373,808,17:37:26,17:38:18
621,-397,726,17:37:26,17:38:18
639,-412,724,17:37:26,17:38:18
627,-411,773,17:37:26,17:38:18
605,-400,826,17:37:26,17:38:18
608,-490,864,17:37:26,17:38:18
611,-590,880,17:37:26,17:38:18
604,-636,878,17:37:26,17:38:18
580,-504,733,17:37:26,17:38:18
560,-468,653,17:37:26,17:38:18
548,-474,631,17:37:26,17:38:18
564,-441,650,17:37:26,17:38:18
614,-202,664,17:37:26,17:38:18
592,-145,677,17:37:26,17:38:18
554,-184,735,17:37:26,17:38:18
530,-233,813,17:37:26,17:38:18
540,71,849,17:37:26,17:38:18
574,369,799,17:37:26,17:38:18
634,545,746,17:37:26,17:38:18
699,514,711,17:37:26,17:38:18
750,274,694,17:37:26,17:38:18
747,290,684,17:37:26,17:38:18
753,352,659,17:37:26,17:38:18
769,370,628,17:37:26,17:38:18
784,329,599,17:37:26,17:38:18
781,390,586,17:37:26,17:38:18
787,489,564,17:37:26,17:38:18
806,544,562,17:37:26,17:38:18
800,508,589,17:37:26,17:38:18
795,503,602,17:37:26,17:38:18
802,552,587,17:37:26,17:38:18
788,599,530,17:37:26,17:38:18
757,497,532,17:37:26,17:38:18
729,369,581,17:37:26,17:38:18
701,304,674,17:37:26,17:38:18
622,259,842,17:37:26,17:38:18
601,137,843,17:37:26,17:38:18
611,-13,802,17:37:26,17:38:18
630,-117,764,17:37:26,17:38:18
595,-213,786,17:37:26,17:38:18
568,-277,805,17:37:26,17:38:18
570,-337,788,17:37:26,17:38:18
588,-378,747,17:37:26,17:38:18
565,-471,760,17:37:26,17:38:18
540,-536,811,17:37:26,17:38:18
541,-588,839,17:37:26,17:38:18
575,-607,785,17:37:26,17:38:18
561,-557,752,17:37:26,17:38:18
536,-473,743,17:37:26,17:38:18
522,-405,754,17:37:26,17:38:18
538,-466,777,17:37:26,17:38:18
547,-499,772,17:37:26,17:38:18
546,-464,773,17:37:26,17:38:18
535,-382,798,17:37:26,17:38:18
522,-146,867,17:37:26,17:38:18
551,20,833,17:37:26,17:38:18
598,195,746,17:37:26,17:38:18
649,329,659,17:37:26,17:38:18
736,380,619,17:37:26,17:38:18
769,328,628,17:37:26,17:38:18
782,274,625,17:37:26,17:38:18
783,231,604,17:37:26,17:38:18
804,235,590,17:37:26,17:38:18
839,265,575,17:37:26,17:38:18
863,318,575,17:37:26,17:38:18
