x,y,z,s,e
375,237,1031,17:25:37,17:26:29
357,214,1074,17:25:37,17:26:29
395,72,1154,17:25:37,17:26:29
274,211,1153,17:25:37,17:26:29
167,439,1100,17:25:37,17:26:29
172,495,1084,17:25:37,17:26:29
367,164,1055,17:25:37,17:26:29
373,138,954,17:25:37,17:26:29
328,243,834,17:25:37,17:26:29
315,315,748,17:25:37,17:26:29
446,144,659,17:25:37,17:26:29
491,97,619,17:25:37,17:26:29
501,135,590,17:25:37,17:26:29
532,170,564,17:25:37,17:26:29
746,58,484,17:25:37,17:26:29
836,16,465,17:25:37,17:26:29
860,33,465,17:25:37,17:26:29
842,62,452,17:25:37,17:26:29
796,13,331,17:25:37,17:26:29
743,-24,314,17:25:37,17:26:29
652,-35,390,17:25:37,17:26:29
548,-33,535,17:25:37,17:26:29
440,-46,799,17:25:37,17:26:29
455,-51,874,17:25:37,17:26:29
489,-46,925,17:25:37,17:26:29
523,0,939,17:25:37,17:26:29
522,14,892,17:25:37,17:26:29
522,0,849,17:25:37,17:26:29
523,-30,852,17:25:37,17:26:29
511,-29,987,17:25:37,17:26:29
523,-17,1050,17:25:37,17:26:29
567,-46,1101,17:25:37,17:26:29
620,-119,1162,17:25:37,17:26:29
617,-226,1231,17:25:37,17:26:29
564,-170,1130,17:25:37,17:26:29
508,-41,961,17:25:37,17:26:29
454,75,849,17:25:37,17:26:29
338,-32,1037,17:25:37,17:26:29
271,-115,1177,17:25:37,17:26:29
188,-26,1217,17:25:37,17:26:29
103,212,1174,17:25:37,17:26:29
89,449,1118,17:25:37,17:26:29
184,302,1137,17:25:37,17:26:29
290,137,1124,17:25:37,17:26:29
385,175,886,17:25:37,17:26:29
409,261,728,17:25:37,17:26:29
444,260,620,17:25:37,17:26:29
478,192,580,17:25:37,17:26:29
520,168,591,17:25:37,17:26:29
551,218,582,17:25:37,17:26:29
595,228,559,17:25:37,17:26:29
649,174,526,17:25:37,17:26:29
798,-2,374,17:25:37,17:26:29
868,-41,301,17:25:37,17:26:29
