x,y,z,s,e
24,209,890,15:08:38,15:09:30
23,67,768,15:08:38,15:09:30
-4,3,701,15:08:38,15:09:30
-80,12,654,15:08:38,15:09:30
-202,171,661,15:08:38,15:09:30
-374,718,847,15:08:38,15:09:30
-339,698,928,15:08:38,15:09:30
-281,391,942,15:08:38,15:09:30
-285,73,904,15:08:38,15:09:30
-433,269,805,15:08:38,15:09:30
-442,495,755,15:08:38,15:09:30
-409,511,703,15:08:38,15:09:30
-401,384,652,15:08:38,15:09:30
-512,346,555,15:08:38,15:09:30
-555,415,512,15:08:38,15:09:30
-577,407,480,15:08:38,15:09:30
-703,256,443,15:08:38,15:09:30
-817,268,428,15:08:38,15:09:30
-906,345,409,15:08:38,15:09:30
-942,430,378,15:08:38,15:09:30
-954,538,286,15:08:38,15:09:30
-971,591,256,15:08:38,15:09:30
-979,650,241,15:08:38,15:09:30
-955,697,215,15:08:38,15:09:30
-859,721,93,15:08:38,15:09:30
-863,721,38,15:08:38,15:09:30
-923,739,19,15:08:38,15:09:30
-988,794,39,15:08:38,15:09:30
-968,958,63,15:08:38,15:09:30
-934,998,2,15:08:38,15:09:30
-927,1000,-65,15:08:38,15:09:30
-927,991,-73,15:08:38,15:09:30
-936,954,-24,15:08:38,15:09:30
-976,906,-111,15:08:38,15:09:30
-1008,851,-234,15:08:38,15:09:30
-894,793,-268,15:08:38,15:09:30
-830,813,-209,15:08:38,15:09:30
-837,852,-189,15:08:38,15:09:30
-880,887,-223,15:08:38,15:09:30
-820,969,-294,15:08:38,15:09:30
-746,1017,-282,15:08:38,15:09:30
-691,1013,-279,15:08:38,15:09:30
-530,838,-374,15:08:38,15:09:30
-412,769,-412,15:08:38,15:09:30
-326,729,-434,15:08:38,15:09:30
-289,671,-468,15:08:38,15:09:30
-248,421,-514,15:08:38,15:09:30
-188,300,-489,15:08:38,15:09:30
-100,225,-485,15:08:38,15:09:30
-12,184,-549,15:08:38,15:09:30
36,110,-789,15:08:38,15:09:30
22,72,-862,15:08:38,15:09:30
26,45,-887,15:08:38,15:09:30
45,28,-884,15:08:38,15:09:30
41,-55,-835,15:08:38,15:09:30
40,-143,-805,15:08:38,15:09:30
58,-237,-797,15:08:38,15:09:30
75,-303,-816,15:08:38,15:09:30
92,-318,-871,15:08:38,15:09:30
138,-306,-872,15:08:38,15:09:30
201,-304,-844,15:08:38,15:09:30
217,-344,-757,15:08:38,15:09:30
183,-398,-777,15:08:38,15:09:30
194,-463,-864,15:08:38,15:09:30
261,-505,-962,15:08:38,15:09:30
347,-422,-985,15:08:38,15:09:30
309,-350,-955,15:08:38,15:09:30
271,-313,-971,15:08:38,15:09:30
307,-294,-1067,15:08:38,15:09:30
333,-258,-1042,15:08:38,15:09:30
341,-208,-970,15:08:38,15:09:30
357,-166,-917,15:08:38,15:09:30
440,-102,-958,15:08:38,15:09:30
447,-39,-945,15:08:38,15:09:30
414,60,-855,15:08:38,15:09:30
377,246,-651,15:08:38,15:09:30
411,246,-619,15:08:38,15:09:30
437,201,-599,15:08:38,15:09:30
422,179,-552,15:08:38,15:09:30
318,329,-350,15:08:38,15:09:30
281,436,-181,15:08:38,15:09:30
252,496,33,15:08:38,15:09:30
211,504,236,15:08:38,15:09:30
67,551,247,15:08:38,15:09:30
-19,637,85,15:08:38,15:09:30
-107,701,-27,15:08:38,15:09:30
-199,712,-31,15:08:38,15:09:30
-393,768,76,15:08:38,15:09:30
-497,852,101,15:08:38,15:09:30
-619,929,119,15:08:38,15:09:30
-752,997,151,15:08:38,15:09:30
-928,1180,264,15:08:38,15:09:30
-968,1231,320,15:08:38,15:09:30
-1006,1176,385,15:08:38,15:09:30
-978,809,447,15:08:38,15:09:30
-903,702,296,15:08:38,15:09:30
-869,753,96,15:08:38,15:09:30
-889,891,55,15:08:38,15:09:30
-805,920,386,15:08:38,15:09:30
-674,794,309,15:08:38,15:09:30
-575,695,52,15:08:38,15:09:30
-534,656,-119,15:08:38,15:09:30
-518,630,43,15:08:38,15:09:30
-543,624,66,15:08:38,15:09:30
-605,642,-35,15:08:38,15:09:30
-669,665,-148,15:08:38,15:09:30
-724,638,-118,15:08:38,15:09:30
-797,642,-6,15:08:38,15:09:30
-936,700,88,15:08:38,15:09:30
-1097,808,-16,15:08:38,15:09:30
-1032,792,-105,15:08:38,15:09:30
-974,796,-61,15:08:38,15:09:30
-1011,873,59,15:08:38,15:09:30
-1166,1053,-29,15:08:38,15:09:30
-1098,1031,-170,15:08:38,15:09:30
-963,992,-207,15:08:38,15:09:30
-872,1008,-152,15:08:38,15:09:30
-889,1099,-92,15:08:38,15:09:30
-858,1083,-118,15:08:38,15:09:30
-754,1067,-154,15:08:38,15:09:30
-528,1083,-205,15:08:38,15:09:30
-454,1029,-200,15:08:38,15:09:30
-368,927,-190,15:08:38,15:09:30
-261,814,-202,15:08:38,15:09:30
-157,593,-280,15:08:38,15:09:30
-150,509,-332,15:08:38,15:09:30
-90,478,-416,15:08:38,15:09:30
16,473,-538,15:08:38,15:09:30
53,347,-756,15:08:38,15:09:30
-16,266,-777,15:08:38,15:09:30
-23,243,-750,15:08:38,15:09:30
144,233,-670,15:08:38,15:09:30
191,155,-646,15:08:38,15:09:30
217,58,-661,15:08:38,15:09:30
266,-9,-730,15:08:38,15:09:30
343,-69,-853,15:08:38,15:09:30
306,-99,-832,15:08:38,15:09:30
252,-138,-807,15:08:38,15:09:30
230,-198,-828,15:08:38,15:09:30
293,-385,-904,15:08:38,15:09:30
316,-452,-887,15:08:38,15:09:30
307,-471,-839,15:08:38,15:09:30
286,-471,-790,15:08:38,15:09:30
317,-499,-729,15:08:38,15:09:30
342,-490,-717,15:08:38,15:09:30
307,-459,-727,15:08:38,15:09:30
218,-500,-821,15:08:38,15:09:30
198,-554,-877,15:08:38,15:09:30
317,-557,-926,15:08:38,15:09:30
390,-510,-969,15:08:38,15:09:30
218,-428,-985,15:08:38,15:09:30
150,-362,-956,15:08:38,15:09:30
186,-246,-942,15:08:38,15:09:30
267,-117,-955,15:08:38,15:09:30
312,37,-965,15:08:38,15:09:30
300,85,-937,15:08:38,15:09:30
302,138,-893,15:08:38,15:09:30
300,293,-710,15:08:38,15:09:30
305,392,-585,15:08:38,15:09:30
346,471,-492,15:08:38,15:09:30
409,521,-467,15:08:38,15:09:30
417,682,-557,15:08:38,15:09:30
354,796,-576,15:08:38,15:09:30
285,853,-525,15:08:38,15:09:30
222,827,-405,15:08:38,15:09:30
116,688,-106,15:08:38,15:09:30
83,645,-32,15:08:38,15:09:30
58,631,-36,15:08:38,15:09:30
23,641,-59,15:08:38,15:09:30
-102,668,122,15:08:38,15:09:30
-158,695,235,15:08:38,15:09:30
-183,739,212,15:08:38,15:09:30
-198,767,89,15:08:38,15:09:30
-370,766,23,15:08:38,15:09:30
-519,857,89,15:08:38,15:09:30
-643,1023,138,15:08:38,15:09:30
-719,1206,223,15:08:38,15:09:30
-709,1144,255,15:08:38,15:09:30
-713,1077,250,15:08:38,15:09:30
-740,1073,223,15:08:38,15:09:30
-748,1065,121,15:08:38,15:09:30
-711,950,47,15:08:38,15:09:30
-696,823,6,15:08:38,15:09:30
-801,767,-53,15:08:38,15:09:30
-822,763,-135,15:08:38,15:09:30
-781,720,-159,15:08:38,15:09:30
-744,684,-47,15:08:38,15:09:30
-895,864,263,15:08:38,15:09:30
-945,1002,252,15:08:38,15:09:30
-886,1024,143,15:08:38,15:09:30
-807,906,28,15:08:38,15:09:30
-897,776,-31,15:08:38,15:09:30
-905,928,-40,15:08:38,15:09:30
-740,1062,-107,15:08:38,15:09:30
-453,1000,-212,15:08:38,15:09:30
-147,426,-205,15:08:38,15:09:30
-292,324,-67,15:08:38,15:09:30
-526,527,53,15:08:38,15:09:30
-696,926,96,15:08:38,15:09:30
-748,1427,60,15:08:38,15:09:30
-770,1364,9,15:08:38,15:09:30
-804,1247,-101,15:08:38,15:09:30
-707,1253,-334,15:08:38,15:09:30
-601,1311,-331,15:08:38,15:09:30
-497,1292,-306,15:08:38,15:09:30
-384,1160,-344,15:08:38,15:09:30
-191,709,-465,15:08:38,15:09:30
-172,527,-423,15:08:38,15:09:30
-173,426,-407,15:08:38,15:09:30
-140,390,-516,15:08:38,15:09:30
-23,365,-772,15:08:38,15:09:30
-23,315,-731,15:08:38,15:09:30
-41,244,-703,15:08:38,15:09:30
-30,192,-798,15:08:38,15:09:30
40,191,-968,15:08:38,15:09:30
29,155,-850,15:08:38,15:09:30
-4,40,-725,15:08:38,15:09:30
-21,-124,-718,15:08:38,15:09:30
13,-353,-809,15:08:38,15:09:30
20,-367,-729,15:08:38,15:09:30
15,-354,-633,15:08:38,15:09:30
16,-337,-714,15:08:38,15:09:30
40,-335,-806,15:08:38,15:09:30
92,-341,-837,15:08:38,15:09:30
171,-370,-827,15:08:38,15:09:30
281,-466,-870,15:08:38,15:09:30
266,-481,-902,15:08:38,15:09:30
235,-476,-904,15:08:38,15:09:30
227,-490,-890,15:08:38,15:09:30
266,-613,-922,15:08:38,15:09:30
247,-657,-961,15:08:38,15:09:30
198,-647,-986,15:08:38,15:09:30
161,-594,-983,15:08:38,15:09:30
204,-467,-937,15:08:38,15:09:30
249,-427,-928,15:08:38,15:09:30
275,-390,-931,15:08:38,15:09:30
298,-287,-925,15:08:38,15:09:30
325,-226,-908,15:08:38,15:09:30
363,-164,-896,15:08:38,15:09:30
396,-108,-894,15:08:38,15:09:30
403,-48,-877,15:08:38,15:09:30
399,-33,-849,15:08:38,15:09:30
423,-6,-825,15:08:38,15:09:30
468,41,-790,15:08:38,15:09:30
484,182,-511,15:08:38,15:09:30
444,259,-312,15:08:38,15:09:30
419,327,-195,15:08:38,15:09:30
423,378,-180,15:08:38,15:09:30
396,459,-138,15:08:38,15:09:30
316,507,-20,15:08:38,15:09:30
207,562,104,15:08:38,15:09:30
89,628,173,15:08:38,15:09:30
-130,754,109,15:08:38,15:09:30
-226,772,42,15:08:38,15:09:30
-323,767,-1,15:08:38,15:09:30
-551,823,-15,15:08:38,15:09:30
-644,886,11,15:08:38,15:09:30
-695,939,58,15:08:38,15:09:30
-721,982,103,15:08:38,15:09:30
-815,1081,127,15:08:38,15:09:30
-856,1127,151,15:08:38,15:09:30
-851,1153,184,15:08:38,15:09:30
-814,1153,179,15:08:38,15:09:30
-786,1156,75,15:08:38,15:09:30
-803,1217,91,15:08:38,15:09:30
-809,1277,125,15:08:38,15:09:30
-796,1242,90,15:08:38,15:09:30
-736,902,-24,15:08:38,15:09:30
-698,800,73,15:08:38,15:09:30
-659,797,177,15:08:38,15:09:30
-626,815,143,15:08:38,15:09:30
-555,736,-117,15:08:38,15:09:30
-489,680,-104,15:08:38,15:09:30
-424,661,-41,15:08:38,15:09:30
-463,727,-73,15:08:38,15:09:30
-544,743,-104,15:08:38,15:09:30
-598,720,-85,15:08:38,15:09:30
-614,693,-39,15:08:38,15:09:30
-711,785,-29,15:08:38,15:09:30
-837,866,-82,15:08:38,15:09:30
-986,924,-135,15:08:38,15:09:30
-1128,973,-146,15:08:38,15:09:30
-1212,1073,-76,15:08:38,15:09:30
-1069,1075,-84,15:08:38,15:09:30
-873,1062,-130,15:08:38,15:09:30
-749,1112,-173,15:08:38,15:09:30
-762,1367,-218,15:08:38,15:09:30
-730,1369,-266,15:08:38,15:09:30
-642,1255,-334,15:08:38,15:09:30
-557,1142,-386,15:08:38,15:09:30
-443,1071,-416,15:08:38,15:09:30
-360,962,-445,15:08:38,15:09:30
-266,777,-467,15:08:38,15:09:30
-116,507,-349,15:08:38,15:09:30
-78,460,-332,15:08:38,15:09:30
-73,423,-437,15:08:38,15:09:30
-81,391,-586,15:08:38,15:09:30
-4,395,-664,15:08:38,15:09:30
66,379,-696,15:08:38,15:09:30
112,304,-806,15:08:38,15:09:30
126,190,-930,15:08:38,15:09:30
139,23,-946,15:08:38,15:09:30
147,-24,-869,15:08:38,15:09:30
146,-80,-789,15:08:38,15:09:30
132,-154,-714,15:08:38,15:09:30
62,-324,-664,15:08:38,15:09:30
55,-385,-713,15:08:38,15:09:30
117,-394,-755,15:08:38,15:09:30
232,-356,-739,15:08:38,15:09:30
332,-359,-644,15:08:38,15:09:30
286,-448,-687,15:08:38,15:09:30
271,-528,-777,15:08:38,15:09:30
408,-525,-846,15:08:38,15:09:30
442,-505,-826,15:08:38,15:09:30
420,-516,-831,15:08:38,15:09:30
388,-538,-869,15:08:38,15:09:30
370,-490,-931,15:08:38,15:09:30
343,-422,-917,15:08:38,15:09:30
301,-358,-891,15:08:38,15:09:30
270,-303,-876,15:08:38,15:09:30
287,-175,-913,15:08:38,15:09:30
318,-108,-941,15:08:38,15:09:30
349,-58,-961,15:08:38,15:09:30
373,-20,-971,15:08:38,15:09:30
397,118,-957,15:08:38,15:09:30
