x,y,z,s,e
-614,511,554,13:19:22,13:20:14
-574,461,592,13:19:22,13:20:14
-482,489,554,13:19:22,13:20:14
-362,496,474,13:19:22,13:20:14
-287,478,422,13:19:22,13:20:14
-337,458,563,13:19:22,13:20:14
-356,491,633,13:19:22,13:20:14
-319,545,595,13:19:22,13:20:14
-251,588,470,13:19:22,13:20:14
-143,572,278,13:19:22,13:20:14
-91,564,259,13:19:22,13:20:14
-13,601,255,13:19:22,13:20:14
73,660,264,13:19:22,13:20:14
170,645,339,13:19:22,13:20:14
193,602,329,13:19:22,13:20:14
220,604,264,13:19:22,13:20:14
233,638,179,13:19:22,13:20:14
161,719,-69,13:19:22,13:20:14
82,918,-255,13:19:22,13:20:14
-41,1287,-393,13:19:22,13:20:14
-190,1637,-396,13:19:22,13:20:14
-249,1473,-125,13:19:22,13:20:14
-156,1199,-90,13:19:22,13:20:14
-111,1134,-200,13:19:22,13:20:14
-167,1265,-373,13:19:22,13:20:14
-150,1158,-260,13:19:22,13:20:14
-130,1046,-126,13:19:22,13:20:14
-143,1052,-95,13:19:22,13:20:14
-82,1130,-212,13:19:22,13:20:14
27,1030,-202,13:19:22,13:20:14
106,899,-147,13:19:22,13:20:14
115,818,-98,13:19:22,13:20:14
81,743,-60,13:19:22,13:20:14
75,642,-19,13:19:22,13:20:14
37,497,62,13:19:22,13:20:14
-46,352,171,13:19:22,13:20:14
-236,123,326,13:19:22,13:20:14
-334,17,316,13:19:22,13:20:14
-486,-57,283,13:19:22,13:20:14
-696,-61,304,13:19:22,13:20:14
-1005,39,538,13:19:22,13:20:14
-1048,25,605,13:19:22,13:20:14
-1113,-26,599,13:19:22,13:20:14
-1251,-46,582,13:19:22,13:20:14
-1458,82,644,13:19:22,13:20:14
-1370,124,638,13:19:22,13:20:14
-1210,116,584,13:19:22,13:20:14
-1091,113,552,13:19:22,13:20:14
-1119,262,726,13:19:22,13:20:14
-1153,279,782,13:19:22,13:20:14
-1138,159,719,13:19:22,13:20:14
-1140,-93,607,13:19:22,13:20:14
-1196,20,711,13:19:22,13:20:14
-1223,229,799,13:19:22,13:20:14
-1201,376,753,13:19:22,13:20:14
-1249,432,560,13:19:22,13:20:14
-1320,488,636,13:19:22,13:20:14
-1302,556,748,13:19:22,13:20:14
-1166,570,759,13:19:22,13:20:14
-839,497,528,13:19:22,13:20:14
-734,502,454,13:19:22,13:20:14
-625,528,434,13:19:22,13:20:14
