x,y,z,s,e
-804,376,-224,14:25:23,14:26:15
-795,437,-192,14:25:23,14:26:15
-784,494,-181,14:25:23,14:26:15
-765,521,-202,14:25:23,14:26:15
-704,512,-313,14:25:23,14:26:15
-686,500,-371,14:25:23,14:26:15
-716,455,-420,14:25:23,14:26:15
-978,192,-522,14:25:23,14:26:15
-1130,64,-542,14:25:23,14:26:15
-1217,22,-456,14:25:23,14:26:15
-1225,76,-248,14:25:23,14:26:15
-1063,321,-52,14:25:23,14:26:15
-910,420,-266,14:25:23,14:26:15
-762,451,-502,14:25:23,14:26:15
-692,412,-554,14:25:23,14:26:15
-799,328,-290,14:25:23,14:26:15
-822,337,-270,14:25:23,14:26:15
-774,351,-331,14:25:23,14:26:15
-683,388,-365,14:25:23,14:26:15
-697,434,-359,14:25:23,14:26:15
-719,472,-385,14:25:23,14:26:15
-739,485,-423,14:25:23,14:26:15
-833,494,-497,14:25:23,14:26:15
-887,455,-549,14:25:23,14:26:15
-907,320,-574,14:25:23,14:26:15
-892,114,-544,14:25:23,14:26:15
-868,-57,-500,14:25:23,14:26:15
-858,-101,-509,14:25:23,14:26:15
-904,123,-568,14:25:23,14:26:15
-952,261,-460,14:25:23,14:26:15
-998,391,-280,14:25:23,14:26:15
-1012,521,-151,14:25:23,14:26:15
-972,631,-150,14:25:23,14:26:15
-890,683,-249,14:25:23,14:26:15
-760,607,-407,14:25:23,14:26:15
-757,554,-409,14:25:23,14:26:15
-779,528,-399,14:25:23,14:26:15
-814,521,-394,14:25:23,14:26:15
-875,509,-388,14:25:23,14:26:15
-977,468,-386,14:25:23,14:26:15
-1188,288,-452,14:25:23,14:26:15
-1184,226,-458,14:25:23,14:26:15
-1095,241,-388,14:25:23,14:26:15
-974,309,-270,14:25:23,14:26:15
-820,374,-155,14:25:23,14:26:15
-792,369,-170,14:25:23,14:26:15
-776,396,-176,14:25:23,14:26:15
-762,457,-166,14:25:23,14:26:15
-740,511,-164,14:25:23,14:26:15
-698,535,-191,14:25:23,14:26:15
-642,542,-244,14:25:23,14:26:15
-588,546,-364,14:25:23,14:26:15
-613,528,-419,14:25:23,14:26:15
-644,511,-462,14:25:23,14:26:15
-658,522,-480,14:25:23,14:26:15
-655,558,-468,14:25:23,14:26:15
-651,584,-435,14:25:23,14:26:15
-661,543,-407,14:25:23,14:26:15
-663,518,-427,14:25:23,14:26:15
-668,518,-454,14:25:23,14:26:15
-687,535,-473,14:25:23,14:26:15
-723,550,-478,14:25:23,14:26:15
-764,548,-471,14:25:23,14:26:15
-796,521,-460,14:25:23,14:26:15
-820,431,-462,14:25:23,14:26:15
-818,415,-460,14:25:23,14:26:15
-808,424,-439,14:25:23,14:26:15
-786,427,-406,14:25:23,14:26:15
-757,392,-384,14:25:23,14:26:15
-726,210,-426,14:25:23,14:26:15
-747,134,-482,14:25:23,14:26:15
-800,120,-548,14:25:23,14:26:15
-880,176,-595,14:25:23,14:26:15
-958,277,-583,14:25:23,14:26:15
-988,382,-505,14:25:23,14:26:15
-944,457,-415,14:25:23,14:26:15
-850,487,-382,14:25:23,14:26:15
-688,431,-489,14:25:23,14:26:15
-652,397,-521,14:25:23,14:26:15
-644,401,-505,14:25:23,14:26:15
-668,445,-469,14:25:23,14:26:15
-720,493,-440,14:25:23,14:26:15
-863,486,-411,14:25:23,14:26:15
-973,428,-428,14:25:23,14:26:15
-1129,338,-486,14:25:23,14:26:15
-1283,229,-555,14:25:23,14:26:15
-1343,146,-560,14:25:23,14:26:15
-1261,135,-458,14:25:23,14:26:15
-1091,193,-296,14:25:23,14:26:15
-840,326,-187,14:25:23,14:26:15
-787,373,-270,14:25:23,14:26:15
-734,436,-351,14:25:23,14:26:15
-679,508,-383,14:25:23,14:26:15
-634,558,-378,14:25:23,14:26:15
-597,565,-378,14:25:23,14:26:15
-518,495,-454,14:25:23,14:26:15
-501,472,-507,14:25:23,14:26:15
-523,475,-552,14:25:23,14:26:15
-576,488,-582,14:25:23,14:26:15
-635,488,-596,14:25:23,14:26:15
-679,468,-598,14:25:23,14:26:15
-705,445,-600,14:25:23,14:26:15
-732,432,-630,14:25:23,14:26:15
-738,431,-647,14:25:23,14:26:15
-726,426,-652,14:25:23,14:26:15
-693,421,-645,14:25:23,14:26:15
-656,425,-627,14:25:23,14:26:15
-640,432,-589,14:25:23,14:26:15
-657,421,-520,14:25:23,14:26:15
-699,365,-424,14:25:23,14:26:15
-796,174,-291,14:25:23,14:26:15
-834,129,-329,14:25:23,14:26:15
