x,y,z,s,e
-776,102,-673,14:28:53,14:29:46
-752,99,-649,14:28:53,14:29:46
-714,107,-614,14:28:53,14:29:46
-620,118,-695,14:28:53,14:29:46
-591,106,-705,14:28:53,14:29:46
-581,118,-635,14:28:53,14:29:46
-610,180,-560,14:28:53,14:29:46
-865,234,-732,14:28:53,14:29:46
-1003,113,-839,14:28:53,14:29:46
-1027,-22,-764,14:28:53,14:29:46
-917,-48,-534,14:28:53,14:29:46
-642,192,-302,14:28:53,14:29:46
-633,268,-396,14:28:53,14:29:46
-686,281,-491,14:28:53,14:29:46
-740,284,-541,14:28:53,14:29:46
-776,357,-711,14:28:53,14:29:46
-780,389,-815,14:28:53,14:29:46
-778,380,-832,14:28:53,14:29:46
-760,319,-761,14:28:53,14:29:46
-636,175,-607,14:28:53,14:29:46
-545,176,-537,14:28:53,14:29:46
-480,221,-440,14:28:53,14:29:46
-480,280,-356,14:28:53,14:29:46
-676,317,-489,14:28:53,14:29:46
-796,198,-720,14:28:53,14:29:46
-891,0,-967,14:28:53,14:29:46
-1030,-113,-1028,14:28:53,14:29:46
-1041,54,-798,14:28:53,14:29:46
-980,182,-600,14:28:53,14:29:46
-895,135,-587,14:28:53,14:29:46
-912,-175,-776,14:28:53,14:29:46
-908,-130,-659,14:28:53,14:29:46
-792,49,-436,14:28:53,14:29:46
-684,182,-283,14:28:53,14:29:46
-1037,-24,-388,14:28:53,14:29:46
-1244,-116,-447,14:28:53,14:29:46
-1201,-24,-416,14:28:53,14:29:46
-1004,178,-356,14:28:53,14:29:46
-930,253,-425,14:28:53,14:29:46
-999,67,-500,14:28:53,14:29:46
-964,-69,-530,14:29:53,14:30:45
-853,-23,-508,14:29:53,14:30:45
-733,348,-365,14:29:53,14:30:45
-715,377,-306,14:29:53,14:30:45
-696,290,-322,14:29:53,14:30:45
-702,217,-428,14:29:53,14:30:45
-819,297,-677,14:29:53,14:30:45
-853,323,-692,14:29:53,14:30:45
-839,278,-637,14:29:53,14:30:45
-802,213,-573,14:29:53,14:30:45
-752,297,-493,14:29:53,14:30:45
-743,386,-414,14:29:53,14:30:45
-743,341,-341,14:29:53,14:30:45
-770,123,-359,14:29:53,14:30:45
-904,-197,-668,14:29:53,14:30:45
-946,-34,-814,14:29:53,14:30:45
-945,220,-876,14:29:53,14:30:45
-920,346,-676,14:29:53,14:30:45
-923,227,-503,14:29:53,14:30:45
-918,118,-400,14:29:53,14:30:45
-913,54,-400,14:29:53,14:30:45
-994,9,-497,14:29:53,14:30:45
-1044,18,-472,14:29:53,14:30:45
-1048,52,-376,14:29:53,14:30:45
-977,193,-158,14:29:53,14:30:45
-993,273,-133,14:29:53,14:30:45
-1059,314,-145,14:29:53,14:30:45
-1123,292,-164,14:29:53,14:30:45
-1094,121,-337,14:29:53,14:30:45
-1062,57,-439,14:29:53,14:30:45
-1053,60,-416,14:29:53,14:30:45
-1020,127,-289,14:29:53,14:30:45
-807,236,-279,14:29:53,14:30:45
-759,223,-410,14:29:53,14:30:45
-795,216,-465,14:29:53,14:30:45
-831,238,-430,14:29:53,14:30:45
-707,290,-453,14:29:53,14:30:45
-655,325,-531,14:29:53,14:30:45
-668,395,-571,14:29:53,14:30:45
-690,469,-562,14:29:53,14:30:45
-609,466,-485,14:29:53,14:30:45
-576,432,-438,14:29:53,14:30:45
-596,420,-411,14:29:53,14:30:45
-721,314,-507,14:29:53,14:30:45
-802,178,-609,14:29:53,14:30:45
-903,79,-713,14:29:53,14:30:45
-1001,93,-803,14:29:53,14:30:45
-1033,253,-751,14:29:53,14:30:45
-973,219,-561,14:29:53,14:30:45
-926,138,-387,14:29:53,14:30:45
-928,89,-366,14:29:53,14:30:45
-1036,54,-604,14:29:53,14:30:45
-1050,17,-573,14:29:53,14:30:45
-998,0,-426,14:29:53,14:30:45
-911,14,-295,14:29:53,14:30:45
-878,87,-292,14:29:53,14:30:45
-952,173,-303,14:29:53,14:30:45
-1022,292,-279,14:29:53,14:30:45
-1070,369,-291,14:29:53,14:30:45
-1197,147,-550,14:29:53,14:30:45
-1229,-44,-608,14:29:53,14:30:45
-1151,-120,-507,14:29:53,14:30:45
-975,-35,-339,14:29:53,14:30:45
-724,250,-256,14:29:53,14:30:45
-734,288,-299,14:29:53,14:30:45
-754,287,-319,14:29:53,14:30:45
-680,332,-411,14:29:53,14:30:45
-649,365,-487,14:29:53,14:30:45
-652,379,-518,14:29:53,14:30:45
-680,374,-507,14:29:53,14:30:45
-762,378,-525,14:29:53,14:30:45
-780,399,-528,14:29:53,14:30:45
-760,402,-488,14:29:53,14:30:45
-719,370,-448,14:29:53,14:30:45
-738,259,-497,14:29:53,14:30:45
-817,183,-539,14:29:53,14:30:45
-887,70,-606,14:29:53,14:30:45
-910,-31,-742,14:29:53,14:30:45
-856,73,-971,14:29:53,14:30:45
-860,196,-843,14:29:53,14:30:45
-913,224,-596,14:29:53,14:30:45
-985,155,-421,14:29:53,14:30:45
-1032,28,-573,14:29:53,14:30:45
-984,8,-645,14:29:53,14:30:45
-908,-9,-558,14:29:53,14:30:45
-807,-2,-308,14:29:53,14:30:45
-870,35,-330,14:29:53,14:30:45
-1000,99,-374,14:29:53,14:30:45
-1106,200,-361,14:29:53,14:30:45
-1005,325,-382,14:29:53,14:30:45
-939,199,-515,14:29:53,14:30:45
-980,-16,-609,14:29:53,14:30:45
-1069,-170,-546,14:29:53,14:30:45
-941,-22,-250,14:29:53,14:30:45
-765,128,-276,14:29:53,14:30:45
-679,228,-374,14:29:53,14:30:45
-709,291,-412,14:29:53,14:30:45
-767,344,-342,14:29:53,14:30:45
-727,314,-404,14:29:53,14:30:45
-715,290,-526,14:29:53,14:30:45
-750,316,-616,14:29:53,14:30:45
-772,382,-563,14:29:53,14:30:45
-744,338,-510,14:29:53,14:30:45
-750,292,-496,14:29:53,14:30:45
-791,297,-487,14:29:53,14:30:45
-837,312,-374,14:29:53,14:30:45
-825,223,-367,14:29:53,14:30:45
-820,108,-447,14:29:53,14:30:45
-862,11,-657,14:29:53,14:30:45
-890,19,-712,14:29:53,14:30:45
-903,41,-744,14:29:53,14:30:45
-897,79,-749,14:29:53,14:30:45
-892,125,-646,14:29:53,14:30:45
-917,66,-589,14:29:53,14:30:45
-961,-26,-559,14:29:53,14:30:45
-1006,-92,-547,14:29:53,14:30:45
-1009,-66,-509,14:29:53,14:30:45
-967,-45,-461,14:29:53,14:30:45
-928,-40,-399,14:29:53,14:30:45
-911,-10,-346,14:29:53,14:30:45
-951,232,-356,14:29:53,14:30:45
-1011,351,-386,14:29:53,14:30:45
-1065,368,-392,14:29:53,14:30:45
-1079,279,-402,14:29:53,14:30:45
-1046,12,-555,14:29:53,14:30:45
-1038,-71,-573,14:29:53,14:30:45
-996,-82,-461,14:29:53,14:30:45
-779,118,-244,14:29:53,14:30:45
-711,239,-320,14:29:53,14:30:45
-711,309,-443,14:29:53,14:30:45
-735,329,-525,14:29:53,14:30:45
-693,332,-608,14:29:53,14:30:45
-644,340,-656,14:29:53,14:30:45
-623,340,-666,14:29:53,14:30:45
-635,338,-620,14:29:53,14:30:45
-647,410,-469,14:29:53,14:30:45
-607,457,-412,14:29:53,14:30:45
-578,439,-372,14:29:53,14:30:45
-615,341,-363,14:29:53,14:30:45
-880,108,-486,14:29:53,14:30:45
-996,9,-618,14:29:53,14:30:45
-1030,-98,-774,14:29:53,14:30:45
-982,-162,-901,14:29:53,14:30:45
-878,49,-831,14:29:53,14:30:45
-949,176,-622,14:29:53,14:30:45
-1099,184,-404,14:29:53,14:30:45
-1238,114,-285,14:29:53,14:30:45
-1158,23,-395,14:29:53,14:30:45
-989,-10,-446,14:29:53,14:30:45
-881,-60,-407,14:29:53,14:30:45
-926,-20,-292,14:29:53,14:30:45
-915,87,-307,14:29:53,14:30:45
-843,191,-331,14:29:53,14:30:45
-793,260,-322,14:29:53,14:30:45
-927,317,-342,14:29:53,14:30:45
-1031,301,-481,14:29:53,14:30:45
-1102,222,-648,14:29:53,14:30:45
-1120,85,-705,14:29:53,14:30:45
-936,-78,-425,14:29:53,14:30:45
-799,23,-337,14:29:53,14:30:45
-736,201,-356,14:29:53,14:30:45
-766,354,-400,14:29:53,14:30:45
-820,433,-452,14:29:53,14:30:45
-744,425,-509,14:29:53,14:30:45
-655,416,-546,14:29:53,14:30:45
-618,398,-519,14:29:53,14:30:45
-642,379,-439,14:29:53,14:30:45
-613,402,-465,14:29:53,14:30:45
-580,427,-484,14:29:53,14:30:45
-696,311,-406,14:29:53,14:30:45
-809,134,-433,14:29:53,14:30:45
-884,-50,-580,14:29:53,14:30:45
-913,-139,-792,14:29:53,14:30:45
-927,33,-991,14:29:53,14:30:45
-930,137,-886,14:29:53,14:30:45
-938,177,-690,14:29:53,14:30:45
-961,178,-490,14:29:53,14:30:45
-995,146,-416,14:29:53,14:30:45
-944,83,-517,14:29:53,14:30:45
-864,-1,-565,14:29:53,14:30:45
-811,-69,-510,14:29:53,14:30:45
