x,y,z,s,e
235,1050,34,14:52:50,14:53:42
227,1058,66,14:52:50,14:53:42
249,1048,110,14:52:50,14:53:42
258,1021,142,14:52:50,14:53:42
220,999,192,14:52:50,14:53:42
208,1011,231,14:52:50,14:53:42
179,1023,273,14:52:50,14:53:42
103,1027,311,14:52:50,14:53:42
-94,1000,406,14:52:50,14:53:42
-118,967,459,14:52:50,14:53:42
-89,938,484,14:52:50,14:53:42
-54,944,469,14:52:50,14:53:42
-21,1021,355,14:52:50,14:53:42
18,994,281,14:52:50,14:53:42
82,910,208,14:52:50,14:53:42
226,808,156,14:52:50,14:53:42
313,838,187,14:52:50,14:53:42
412,879,218,14:52:50,14:53:42
507,906,223,14:52:50,14:53:42
639,914,246,14:52:50,14:53:42
666,897,339,14:52:50,14:53:42
648,865,468,14:52:50,14:53:42
581,702,562,14:52:50,14:53:42
443,593,475,14:52:50,14:53:42
436,538,352,14:52:50,14:53:42
457,569,239,14:52:50,14:53:42
475,728,25,14:52:50,14:53:42
467,795,-82,14:52:50,14:53:42
466,866,-153,14:52:50,14:53:42
480,929,-162,14:52:50,14:53:42
492,931,-84,14:52:50,14:53:42
450,917,-62,14:52:50,14:53:42
383,950,-57,14:52:50,14:53:42
322,1016,-49,14:52:50,14:53:42
296,1080,8,14:52:50,14:53:42
306,1057,43,14:52:50,14:53:42
301,1023,75,14:52:50,14:53:42
279,995,106,14:52:50,14:53:42
217,984,171,14:52:50,14:53:42
182,997,191,14:52:50,14:53:42
138,1020,203,14:52:50,14:53:42
48,1081,251,14:52:50,14:53:42
31,1097,290,14:52:50,14:53:42
31,1102,319,14:52:50,14:53:42
30,1123,327,14:52:50,14:53:42
-9,1224,319,14:52:50,14:53:42
-5,1177,318,14:52:50,14:53:42
32,1007,300,14:52:50,14:53:42
82,811,245,14:52:50,14:53:42
179,798,59,14:52:50,14:53:42
269,917,-6,14:52:50,14:53:42
404,958,-8,14:52:50,14:53:42
546,891,74,14:52:50,14:53:42
670,743,459,14:52:50,14:53:42
648,747,664,14:52:50,14:53:42
604,742,769,14:52:50,14:53:42
480,585,545,14:52:50,14:53:42
414,547,350,14:52:50,14:53:42
371,612,224,14:52:50,14:53:42
364,737,171,14:52:50,14:53:42
442,859,73,14:52:50,14:53:42
508,832,4,14:52:50,14:53:42
575,796,-37,14:52:50,14:53:42
622,776,-42,14:52:50,14:53:42
613,824,-21,14:52:50,14:53:42
575,891,-21,14:52:50,14:53:42
537,948,-29,14:52:50,14:53:42
457,946,-52,14:52:50,14:53:42
392,949,-51,14:52:50,14:53:42
302,1010,-34,14:52:50,14:53:42
194,1107,-5,14:52:50,14:53:42
11,1148,61,14:52:50,14:53:42
-15,1066,103,14:52:50,14:53:42
-7,986,150,14:52:50,14:53:42
0,956,192,14:52:50,14:53:42
-29,981,250,14:52:50,14:53:42
-30,982,273,14:52:50,14:53:42
-6,980,295,14:52:50,14:53:42
27,1000,318,14:52:50,14:53:42
85,1093,349,14:52:50,14:53:42
90,1128,350,14:52:50,14:53:42
55,1145,348,14:52:50,14:53:42
-17,1156,361,14:52:50,14:53:42
-96,1097,415,14:52:50,14:53:42
-39,980,396,14:52:50,14:53:42
45,853,321,14:52:50,14:53:42
119,795,222,14:52:50,14:53:42
249,852,120,14:52:50,14:53:42
347,829,151,14:52:50,14:53:42
454,768,235,14:52:50,14:53:42
578,763,525,14:52:50,14:53:42
581,786,635,14:52:50,14:53:42
558,750,645,14:52:50,14:53:42
512,676,558,14:52:50,14:53:42
411,649,312,14:52:50,14:53:42
406,695,219,14:52:50,14:53:42
442,719,130,14:52:50,14:53:42
494,719,31,14:52:50,14:53:42
533,793,-125,14:52:50,14:53:42
498,877,-134,14:52:50,14:53:42
441,952,-99,14:52:50,14:53:42
382,995,-50,14:52:50,14:53:42
295,1029,-29,14:52:50,14:53:42
271,1063,-55,14:52:50,14:53:42
281,1111,-71,14:52:50,14:53:42
336,1144,-58,14:52:50,14:53:42
441,1081,14,14:52:50,14:53:42
389,1034,41,14:52:50,14:53:42
277,1023,68,14:52:50,14:53:42
175,1035,105,14:52:50,14:53:42
171,992,196,14:52:50,14:53:42
218,934,227,14:52:50,14:53:42
249,896,251,14:52:50,14:53:42
297,906,306,14:52:50,14:53:42
333,922,328,14:52:50,14:53:42
350,935,331,14:52:50,14:53:42
334,951,316,14:52:50,14:53:42
261,993,276,14:52:50,14:53:42
248,996,271,14:52:50,14:53:42
251,975,266,14:52:50,14:53:42
263,934,247,14:52:50,14:53:42
331,850,178,14:52:50,14:53:42
377,818,161,14:52:50,14:53:42
419,793,168,14:52:50,14:53:42
460,783,202,14:52:50,14:53:42
553,837,339,14:52:50,14:53:42
588,865,407,14:52:50,14:53:42
600,858,443,14:52:50,14:53:42
585,818,440,14:52:50,14:53:42
494,744,358,14:52:50,14:53:42
450,726,298,14:52:50,14:53:42
434,709,226,14:52:50,14:53:42
447,697,142,14:52:50,14:53:42
474,735,-59,14:52:50,14:53:42
464,779,-152,14:52:50,14:53:42
446,821,-214,14:52:50,14:53:42
407,910,-226,14:52:50,14:53:42
392,985,-191,14:52:50,14:53:42
390,1072,-135,14:52:50,14:53:42
398,1128,-67,14:52:50,14:53:42
373,1065,62,14:52:50,14:53:42
327,1010,114,14:52:50,14:53:42
285,998,160,14:52:50,14:53:42
263,1020,197,14:52:50,14:53:42
260,965,236,14:52:50,14:53:42
248,887,246,14:52:50,14:53:42
221,851,260,14:52:50,14:53:42
187,887,274,14:52:50,14:53:42
146,1040,281,14:52:50,14:53:42
136,1084,286,14:52:50,14:53:42
117,1103,302,14:52:50,14:53:42
81,1111,327,14:52:50,14:53:42
-19,1121,367,14:52:50,14:53:42
-54,1121,372,14:52:50,14:53:42
-55,1098,350,14:52:50,14:53:42
-9,1041,285,14:52:50,14:53:42
206,867,81,14:52:50,14:53:42
329,779,19,14:52:50,14:53:42
422,701,34,14:52:50,14:53:42
506,656,301,14:52:50,14:53:42
532,696,491,14:52:50,14:53:42
556,736,645,14:52:50,14:53:42
559,755,715,14:52:50,14:53:42
461,771,596,14:52:50,14:53:42
395,773,478,14:52:50,14:53:42
348,756,369,14:52:50,14:53:42
329,736,277,14:52:50,14:53:42
344,780,124,14:52:50,14:53:42
355,837,55,14:52:50,14:53:42
350,894,-5,14:52:50,14:53:42
320,949,-60,14:52:50,14:53:42
227,1070,-171,14:52:50,14:53:42
215,1121,-210,14:52:50,14:53:42
224,1138,-229,14:52:50,14:53:42
215,1117,-229,14:52:50,14:53:42
81,1055,-163,14:52:50,14:53:42
25,1061,-103,14:52:50,14:53:42
21,1080,-53,14:52:50,14:53:42
49,1081,2,14:52:50,14:53:42
55,1002,53,14:52:50,14:53:42
24,963,124,14:52:50,14:53:42
-4,947,184,14:52:50,14:53:42
-35,961,218,14:52:50,14:53:42
-47,994,236,14:52:50,14:53:42
-50,1047,272,14:52:50,14:53:42
-38,1103,300,14:52:50,14:53:42
-3,1153,240,14:52:50,14:53:42
-4,1171,176,14:52:50,14:53:42
-17,1200,130,14:52:50,14:53:42
-24,1206,115,14:52:50,14:53:42
35,991,133,14:52:50,14:53:42
92,831,136,14:52:50,14:53:42
134,746,127,14:52:50,14:53:42
142,770,118,14:52:50,14:53:42
130,908,192,14:52:50,14:53:42
171,915,290,14:52:50,14:53:42
239,907,393,14:52:50,14:53:42
301,921,459,14:52:50,14:53:42
